bullwort |See Bishop's-weed.
butcher |1. One who slaughters animals, or dresses their flesh for market; one whose occupation it is to kill animals for food. 2. A slaughterer; one who kills in large numbers, or with unusual cruelty; one who causes needless loss of life, as in battle. \"Butcher of an innocent child.\" Shak. Butcher bird (Zoöl.), a species of shrike of the genus Lanius. Note: The Lanius excubitor is the common butcher bird of Europe. In England, the bearded tit is sometimes called the lesser butcher bird. The American species are L.borealis, or northernbutcher bird, and L. Ludovicianus or loggerhead shrike. The name butcher birdis derived from its habit of suspending its prey impaled upon thorns, after killing it. Butcher's meat, such flesh of animals slaughtered for food as is sold for that purpose by butchers, as beef, mutton, lamb, and pork.\n\n1. To kill or slaughter (animals) for food, or for market; as, to butcher hogs. 2. To murder, or kill, especially in an unusually bloody or barbarous manner. Macaulay. [Ithocles] was murdered, rather butchered. Ford.
butchering |1. The business of a butcher. 2. The act of slaughtering; the act of killing cruelly and needlessly. That dreadful butchering of one another. Addison.
butcherliness |Butchery quality.
butcherly |Like a butcher; without compunction; savage; bloody; inhuman; fell. \"The victim of a butcherly murder.\" D. Webster. What stratagems, how fell, how butcherly, This deadly quarrel daily doth beget! Shak. BUTCHER'S BROOM Butch\"er's broom`. (Bot.)  A genus of plants (Ruscus); esp. R. aculeatus, which has large red berries and leaflike branches. See Cladophyll.
butchery |1. The business of a butcher. [Obs.] 2. Murder or manslaughter, esp. when committed with unusual barbarity; great or cruel slaughter. Shak. The perpetration of human butchery. Prescott. 3. A slaughterhouse; the shambles; a place where blood is shed. [Obs.] Like as an ox is hanged in the butchery. Fabyan. Syn. -- Murder; slaughter; carnage. See Massacre.
butler |An officer in a king's or a nobleman's household, whose principal business it is to take charge of the liquors, plate, etc.; the head servant in a large house. The butler and the baker of the king of Egypt. Gen. xl. 5. Your wine locked up, your butler strolled abroad. Pope.
butlerage |A duty of two shillings on every tun of wine imported into England by merchant strangers; -- so called because paid to the king's butler for the king. Blackstone.
butlership |The office of a butler.
butment |1. (Arch.)  A buttress of an arch; the supporter, or that part which joins it to the upright pier. 2. (Masonry)  The mass of stone or solid work at the end of a bridge, by which the extreme arches are sustained, or by which the end of a bridge without arches is supported. Butment cheek (Carp.), the part of a mortised timber surrounding the mortise, and against which the shoulders of the tenon bear. Knight.
butt |1. A limit; a bound; a goal; the extreme bound; the end. Here is my journey's end, here my butt And very sea mark of my utmost sail. Shak. Note: As applied to land, the word is nearly synonymous with mete, and signifies properly the end line or boundary; the abuttal. 2. The thicker end of anything. See But. 3. A mark to be shot at; a target. Sir W. Scott. The groom his fellow groom at butts defies, And bends his bow, and levels with his eyes. Dryden. 4. A person at whom ridicule, jest, or contempt is directed; as, the butt of the company. I played a sentence or two at my butt, which I thought very smart. Addison. 5. A push, thrust, or sudden blow, given by the head of an animal; as, the butt of a ram. 6. A thrust in fencing. To prove who gave the fairer butt, John shows the chalk on Robert's coat. Prior. 7. A piece of land left unplowed at the end of a field. The hay was growing upon headlands and butts in cornfields. Burrill. 8. (Mech.) (a) A joint where the ends of two objects come squarely together without scrafing or chamfering; -- also called butt joint. (b) The end of a connecting rod or other like piece, to which the boxing is attached by the strap, cotter, and gib. (c) The portion of a half-coupling fastened to the end of a hose. 9. (Shipbuilding)  The joint where two planks in a strake meet. 10. (Carp.)  A kind of hinge used in hanging doors, etc.; -- so named because fastened on the edge of the door, which butts against the casing, instead of on its face, like the strap hinge; also called butt hinge. 11. (Leather Trade)  The thickest and stoutest part of tanned oxhides, used for soles of boots, harness, trunks. 12. The hut or shelter of the person who attends to the targets in rifle practice. Butt chain (Saddlery), a short chain attached to the end of a tug. -- Butt end. The thicker end of anything. See But end, under 2d But. Amen; and make me die a good old man! That's the butt end of a mother's blessing. Shak. A butt's length, the ordinary distance from the place of shooting to the butt, or mark. -- Butts and bounds (Conveyancing), abuttals and boundaries. In lands of the ordinary rectangular shape, butts are the lines at the ends (F. bouts), and bounds are those on the sides, or sidings, as they were formerly termed. Burrill. -- Bead and butt. See under Bead. -- Butt and butt, joining end to end without overlapping, as planks. -- Butt weld (Mech.), a butt joint, made by welding together the flat ends, or edges, of a piece of iron or steel, or of separate pieces, without having them overlap. See Weld. -- Full butt, headfirst with full force. [Colloq.] \"The corporal . . . ran full butt at the lieutenant.\" Marryat.\n\n1. To join at the butt, end, or outward extremity; to terminate; to be bounded; to abut. [Written also but.] And Barnsdale there doth butt on Don's well-watered ground. Drayton. 2. To thrust the head forward; to strike by thrusting the head forward, as an ox or a ram. [See Butt, n.] A snow-white steer before thine altar led, Butts with his threatening brows. Dryden.\n\nTo strike by thrusting the head against; to strike with the head. Two harmless lambs are butting one the other. Sir H. Wotton.\n\nA large cask or vessel for wine or beer. It contains two hogsheads. Note: A wine butt contains 126 wine gallons (= 105 imperial gallons, nearly); a beer butt 108 ale gallons (= about 110 imperial gallons).\n\nThe common English flounder.
butt hinge |See 1st Butt, 10.
butt joint |A joint in which the edges or ends of the pieces united come squarely together instead of overlapping. See 1st Butt, 8.
butt shaft |An arrow without a barb, for shooting at butts; an arrow. [Also but shaft.] Shak.
butt weld |See Butt weld, under Butt.
butte |A detached low mountain, or high rising abruptly from the general level of the surrounding plain; -- applied to peculiar elevations in the Rocky Mountain region. The creek . . . passes by two remarkable buttes of red conglomerate. Ruxton.
butter |1. An oily, unctuous substance obtained from cream or milk by churning. 2. Any substance resembling butter in degree of consistence, or other qualities, especially, in old chemistry, the chloridess, as butter of antimony, sesquichloride of antimony; also, certain concrete fat oils remaining nearly solid at ordinary temperatures, as butter of cacao, vegetable butter, shea butter. Butter and eggs (Bot.), a name given to several plants having flowers of two shades of yellow, as Narcissus incomparabilis, and in the United States to the toadflax (Linaria vulgaris). -- Butter boat, a small vessel for holding melted butter at table. -- Butter flower, the buttercup, a yellow flower. -- Butter print, a piece of carved wood used to mark pats of butter; -- called also butter stamp. Locke. -- Butter tooth, either of the two middle incisors of the upper jaw. -- Butter tree (Bot.), a tree of the genus Bassia, the seeds of which yield a substance closely resembling butter. The butter tree of India is the B. butyracea; that of Africa is the Shea tree (B. Parkii). See Shea tree. -- Butter trier, a tool used in sampling butter. -- Butter wife, a woman who makes or sells butter; -- called also butter woman. [Obs. or Archaic]\n\n1. To cover or spread with butter. I know what's what. I know on which side My bread is buttered. Ford. 2. To increase, as stakes, at every throw or every game. [Cant] Johnson.\n\nOne who, or that which, butts.
butter-fingered |Apt to let things fall, or to let them slip away; slippery; careless.
butter-scotch |A kind of candy, mainly composed of sugar and butter. [Colloq.] Dickens.
butterball |The buffel duck.
butterbird |The rice bunting or bobolink; -- so called in the island of Jamaica.
butterbump |The European bittern. Johnson.
butterbur |A broad-leaved plant (Petasites vulgaris) of the Composite family, said to have been used in England for wrapping up pats of butter.
buttercup |A plant of the genus Ranunculus, or crowfoot, particularly R. bulbosus, with bright yellow flowers; -- called also butterflower, golden cup, and kingcup. It is the cuckoobud of Shakespeare.
butterfish |A name given to several different fishes, in allusion to their slippery coating of mucus, as the Stromateus triacanthus of the Atlantic coast, the Epinephelus punctatus of the southern coast, the rock eel, and the kelpfish of New Zealand.
butterfly |A general name for the numerous species of diurnal Lepidoptera. Note: [See Illust. under Aphrodite.] Asclepias butterfly. See under Asclepias. -- Butterfly fish (Zoöl.), the ocellated blenny (Blennius ocellaris) of Europe. See Blenny. The term is also applied to the flying gurnard. -- Butterfly shell (Zoöl.), a shell of the genus Voluta. -- Butterfly valve (Mech.), a kind of double clack valve, consisting of two semicircular clappers or wings hinged to a cross rib in the pump bucket. When open it somewhat resembles a butterfly in shape.
butterine |A substance prepared from animal fat with some other ingredients intermixed, as an imitation of butter. The manufacturers ship large quantities of oleomargarine to England, Holland, and other countries, to be manufactured into butter, which is sold as butterine or suine. Johnson's Cyc.
butteris |A steel cutting instrument, with a long bent shank set in a handle which rests against the shoulder of the operator. It is operated by a thrust movement, and used in paring the hoofs of horses.
butterman |A man who makes or sells butter.
buttermilk |The milk that remains after the butter is separated from the cream.
butternut |1. (Bot.)  An American tree (Juglans cinerea) of the Walnut family, and its edible fruit; -- so called from the oil contained in the latter. Sometimes called oil nut and white walnut. 2. (Bot.)  The nut of the Caryocar butyrosum and C. nuciferum, of S. America; -- called also Souari nut.
butterweed |An annual composite plant of the Mississippi valley (Senecio lobatus).
butterweight |Over weight. Swift. Note: Formerly it was a custom to give 18 ounces of butter for a pound.
butterwort |A genus of low herbs (Pinguicula) having simple leaves which secrete from their glandular upper surface a viscid fluid, to which insects adhere, after which the margin infolds and the insects are digested by the plant. The species are found mostly in the North Temperate zone.
buttery |Having the qualities, consistence, or appearance, of butter.\n\n1. An apartment in a house where butter, milk and other provisions are kept. All that need a cool and fresh temper, as cellars, pantries, and butteries, to the north. Sir H. Wotton. 2. A room in some English colleges where liquors, fruit, and refreshments are kept for sale to the students. And the major Oxford kept the buttery bar. E. Hall. 3. A cellar in which butts of wine are kept. Weale. Buttery hatch, a half door between the buttery or kitchen and the hall, in old mansions, over which provisions were passed. Wright.
butting |An abuttal; a boundary. Without buttings or boundings on any side. Bp. Beveridge.
butting joint |A joint between two pieces of timber or wood, at the end of one or both, and either at right angles or oblique to the grain, as the joints which the struts and braces form with the truss posts; -- sometimes called abutting joint.
buttock |1. The part at the back of the hip, which, in man, forms one of the rounded protuberances on which he sits; the rump. 2. (Naut.)  The convexity of a ship behind, under the stern. Mar. Dict.
button |1. A knob; a small ball; a small, roundish mass. 2. A catch, of various forms and materials, used to fasten together the different parts of dress, by being attached to one part, and passing through a slit, called a buttonhole, in the other; -- used also for ornament. 3. A bud; a germ of a plant. Shak. 4. A piece of wood or metal, usually flat and elongated, turning on a nail or screw, to fasten something, as a door. 5. A globule of metal remaining onan assay cupel or in a crucible, after fusion. Button hook, a hook for catching a button and drawing it through a buttonhole, as in buttoning boots and gloves. -- Button shell (Zoöl.), a small, univalve marine shell of the genus Rotella. -- Button snakeroot. (Bot.) (a) The American composite genus Liatris, having rounded buttonlike heads of flowers. (b) An American umbelliferous plant with rigid, narrow leaves, and flowers in dense heads. -- Button tree (Bot.), a genus of trees (Conocarpus), furnishing durable timber, mostly natives of the West Indies. -- To hold by the button, to detain in conversation to weariness; to bore; to buttonhole.\n\n1. To fasten with a button or buttons; to inclose or make secure with buttons; -- often followed by up. He was a tall, fat, long-bodied man, buttoned up to the throat in a tight green coat. Dickens. 2. To dress or clothe. [Obs.] Shak.\n\nTo be fastened by a button or buttons; as, the coat will not button.
buttonball |See Buttonwood.
buttonbush |A shrub (Cephalanthus occidentalis) growing by the waterside; - - so called from its globular head of flowers. See Capitulum.
buttonhole |The hole or loop in which a button is caught.\n\nTo hold at the button or buttonhole; to detain in conversation to weariness; to bore; as, he buttonholed me a quarter of an hour.
buttonmold |A disk of bone, wood, or other material, which is made into a button by covering it with cloth. [Written also buttonmould.] Fossil buttonmolds, joints of encrinites. See Encrinite.
buttons |A boy servant, or page, -- in allusion to the buttons on his livry. [Colloq.] Dickens.
buttonweed |The name of several plants of the genera Spermacoce and Diodia, of the Madder family.
buttonwood |The Platanus occidentalis, or American plane tree, a large tree, producing rough balls, from which it is named; -- called also buttonball tree, and, in some parts of the United States, sycamore. The California buttonwood is P. racemosa.
buttony |Ornamented with a large number of buttons. \"The buttony boy.\" Thackeray. \"My coat so blue and buttony.\" W. S. Gilbert.
buttress |1. (Arch.)  A projecting mass of masonry, used for resisting the thrust of an arch, or for ornament and symmetry. Note: When an external projection is used merely to stiffen a wall, it is a pier. 2. Anything which supports or strengthens. \"The ground pillar and buttress of the good old cause of nonconformity.\" South. Flying buttress. See Flying buttress.\n\nTo support with a buttress; to prop; to brace firmly. To set it upright again, and to prop and buttress it up for duration. Burke.
buttweld |To unite by a butt weld.
butty |One who mines by contract, at so much per ton of coal or ore.
butyl |A compound radical, regarded as butane, less one atom of hydrogen.
butylamine |A colorless liquid base, C4H9NH2, of which there are four isomeric varieties.
butylene |Any one of three metameric hydrocarbons, C4H8, of the ethylene series. They are gaseous or easily liquefiable.
butyraceous |Having the qualities of butter; resembling butter.
butyrate |A salt of butyric acid.
butyric |Pertaining to, or derived from, butter. Butyric acid, C3H7.CO2H, an acid found in butter; an oily, limpid fluid, having the smell of rancid butter, and an acrid taste, with a sweetish aftertaste, like that of ether. There are two metameric butyric acids, called in distinction the normal- and iso-butyric acid. The normal butyric acid is the one common in rancid butter.
butyrin |A butyrate of glycerin; a fat contained in small quantity in milk, which helps to give to butter its peculiar flavor.
butyrometer |An instrument for determining the amount of fatty matter or butter contained in a sample of milk.
butyrone |A liquid ketone obtained by heating calcium butyrate.
butyrous |Butyraceous.
butyryl |The radical (C4H7O) of butyric acid.
buxeous |Belonging to the box tree.
buxine |An alkaloid obtained from the Buxus sempervirens, or common box tree. It is identical with bebeerine; -- called also buxina.
buxom |1. Yielding; pliable or compliant; ready to obey; obedient; tractable; docile; meek; humble. [Obs.] So wild a beast, so tame ytaught to be, And buxom to his bands, is joy to see. Spenser. I submit myself unto this holy church of Christ, to be ever buxom and obedient to the ordinance of it. Foxe. 2. Having the characteristics of health, vigor, and comeliness, combined with a gay, lively manner; stout and rosy; jolly; frolicsome. A daughter fair, So buxom, blithe, and debonair. Milton. A parcel of buxom bonny dames, that were laughing, singing, dancing, and as merry as the day was long. Tatler. -- Bux\"om*ly, adv. -- Bux\"om*ness, n.
buy |1. To acquire the ownership of (property) by giving an accepted price or consideration therefor, or by agreeing to do so; to acquire by the payment of a price or value; to purchase; -- opposed to sell. Buy what thou hast no need of, and ere long thou wilt sell thy necessaries. B. Franklin. 2. To acquire or procure by something given or done in exchange, literally or figuratively; to get, at a cost or sacrifice; to buy pleasure with pain. Buy the truth and sell it not; also wisdom, and instruction, and understanding. Prov. xxiii. 23. To buy again. See Againbuy. [Obs.] Chaucer. -- To buy off. (a) To influence to compliance; to cause to bend or yield by some consideration; as, to buy off conscience. (b) To detach by a consideration given; as, to buy off one from a party. -- To buy out (a) To buy off, or detach from. Shak. (b) To purchase the share or shares of in a stock, fund, or partnership, by which the seller is separated from the company, and the purchaser takes his place; as, A buys out B. (c) To purchase the entire stock in trade and the good will of a business. -- To buy in, to purchase stock in any fund or partnership. -- To buy on credit, to purchase, on a promise, in fact or in law, to make payment at a future day. -- To buy the refusal (of anything), to give a consideration for the right of purchasing, at a fixed price, at a future time.\n\nTo negotiate or treat about a purchase. I will buy with you, sell with you. Shak.
buyer |One who buys; a purchaser.
buz |See Buzz. [Obs.]
buzz |To make a low, continuous, humming or sibilant sound, like that made by bees with their wings. Hence: To utter a murmuring sound; to speak with a low, humming voice. Like a wasp is buzzed, and stung him. Longfellow. However these disturbers of our peace Buzz in the people's ears. Shak.\n\n1. To sound forth by buzzing. Shak. 2. To whisper; to communicate, as tales, in an under tone; to spread, as report, by whispers, or secretly. I will buzz abroad such prophecies That Edward shall be fearful of his life. Shak. 3. To talk to incessantly or confidentially in a low humming voice. [Colloq.] 4. (Phonetics)  To sound with a \"buzz\". H. Sweet.\n\n1. A continuous, humming noise, as of bees; a confused murmur, as of general conversation in low tones, or of a general expression of surprise or approbation. \"The constant buzz of a fly.\" Macaulay. I found the whole room in a buzz of politics. Addison. There is a buzz all around regarding the sermon. Thackeray. 2. A whisper; a report spread secretly or cautiously. There's a certain buzz Of a stolen marriage. Massinger. 3. (Phonetics)  The audible friction of voice consonants. H. Sweet.
buzzard |1. (Zoöl.)  A bird of prey of the Hawk family, belonging to the genus Buteo and related genera. Note: The Buteo vulgaris is the common buzzard of Europe. The American species (of which the most common are B. borealis, B. Pennsylvanicus, and B. lineatus) are usually called hen hawks. -- The rough-legged buzzard, or bee hawk, of Europe (Pernis apivorus) feeds on bees and their larvæ, with other insects, and reptiles. -- The moor buzzard of Europe is Circus æruginosus. See Turkey buzzard, and Carrion buzzard. Bald buzzard, the fishhawk or osprey. See Fishhawk. 2. A blockhead; a dunce. It is common, to a proverb, to call one who can not be taught, or who continues obstinately ignorant, a buzzard. Goldsmith.\n\nSenseless; stupid. [R.& Obs.] Milton.
buzzardet |A hawk resembling the buzzard, but with legs relatively longer.
buzzer |One who, or that which, buzzes; a whisperer; a talebearer. And wants not buzzers to infect his ear With pestilent speeches of his father's death. Shak.
buzzingly |In a buzzing manner; with a buzzing sound.
buzzsaw |A circular saw; -- so called from the buzzing it makes when running at full speed.
by |1. In the neighborhood of; near or next to; not far from; close to; along with; as, come and sit by me. By foundation or by shady rivulet He sought them both. Milton. 2. On; along; in traversing. Compare 5. Long labors both by sea and land he bore. Dryden. By land, by water, they renew the charge. Pope. 3. Near to, while passing; hence, from one to the other side of; past; as, to go by a church. 4. Used in specifying adjacent dimensions; as, a cabin twenty feet by forty. 5. Against. [Obs.] Tyndale [1. Cor. iv. 4]. 6. With, as means, way, process, etc.; through means of; with aid of; through; through the act or agency of; as, a city is destroyed by fire; profit is made by commerce; to take by force. Note: To the meaning of by, as denoting means or agency, belong, more or less closely, most of the following uses of the word: (a) It points out the author and producer; as, \"Waverley\| a novel by Sir W.Scott; a statue by Canova; a sonata by Beethoven. (b) In an oath or adjuration| it indicates the being or thing appealed to as sanction; as| I affirm to you by all that is sacred; he swears by his faith as a Christian; no| by Heaven. (c) According to; by direction| authority| or example of; after; -- in such phrases as| it appears by his account; ten o'clock by my watch; to live by rule; a model to build by. (d) At the rate of; according to the ratio or proportion of; in the measure or quantity of; as| to sell cloth by the yard| milk by the quart| eggs by the dozen| meat by the pound; to board by the year. (e) In comparison| it denotes the measure of excess or deficiency; when anything is increased or diminished| it indicates the measure of increase or diminution; as| larger by a half; older by five years; to lessen by a third. (f) It expresses continuance or duration; during the course of; within the period of; as| by day| by night. (g) As soon as; not later than; near or at; -- used in expressions of time; as| by this time the sun had risen; he will be here by two o'clock. Note| In boxing the compass| by indicates a pint nearer to| or towards| the next cardinal point; as| north by east| i.e.| a point towards the east from the north; northeast by east| i.e.| on point nearer the east than northeast is. Note| With is used instead of by before the instrument with which anything is done; as| to beat one with a stick; the board was fastened by the carpenter with nails. But there are many words which may be regarded as means or processes| or| figuratively| as instruments; and whether with or by shall be used with them is a matter of arbitrary| and often| of unsettled usage; as| to a reduce a town by famine; to consume stubble with fire; he gained his purpose by flattery; he entertained them with a story; he distressed us with or by a recital of his sufferings. see With. By all means| most assuredly; without fail; certainly. -- By and by. (a) Close together (of place). [Obs.] \"Two yonge knightes liggyng [lying] by and by.\" Chaucer. (b) Immediately; at once. [Obs.] \"When . . . persecution ariseth because of the word| by and by he is offended.\" Matt. xiii. 21. (c) Presently; pretty soon; before long. Note| In this phrase| by seems to be used in the sense of nearness in time| and to be repeated for the sake of emphasis| and thus to be equivalent to \"soon| and soon|\" that is instantly; hence| -- less emphatically| -- pretty soon| presently. -- By one's self| with only one's self near; alone; solitary.- By the bye. See under Bye. -- By the head (Naut.)| having the bows lower than the stern; -- said of a vessel when her head is lower in the water than her stern. If her stern is lower| she is by the stern. -- By the lee| the situation of a vessel| going free| when she has fallen off so much as to bring the wind round her stern| and to take her sails aback on the other side. -- By the run| to let go by the run| to let go altogether| instead of slacking off. -- By the way| by the bye; -- used to introduce an incidental or secondary remark or subject. -Day by day| One by one| Piece by piece| etc.| each day| each one| each piece| etc.| by itself singly or separately; each severally. -- To come by| to get possession of; to obtain. -- To do by| to treat| to behave toward. -- To set by| to value| to esteem. -- To stand by| to aid| to support. Note| The common phrase good-by is equivalent to farewell| and would be better written good-bye| as it is a corruption of God be with you (b'w'ye).\n\n1. Near; in the neighborhood; present; as| there was no person by at the time. 2. Passing near; going past; past; beyond; as| the procession has gone by; a bird flew by. 3. Aside; as| to lay by; to put by.\n\nOut of the common path; aside; -- used in composition| giving the meaning of something aside| secondary| or incidental| or collateral matter| a thing private or avoiding notice; as| by-line| by-place| by-play| by-street. It was formerly more freely used in composition than it is now; as| by-business| by-concernment| by- design| by-interest| etc."
by-bidder |One who bids at an auction in behalf of the auctioneer or owner, for the purpose of running up the price of articles. [U.S.]
by-blow |1. A side or incidental blow; an accidental blow. With their by-blows they did split the very stones in pieces. Bunyan. 2. An illegitimate child; a bastard. The Aga speedily . . . brought her [his disgraced slave] to court, together with her pretty by-blow, the present Padre Ottomano. Evelyn.
by-corner |A private corner. Britain being a by-corner, out of the road of the world. Fuller.
by-dependence |An appendage; that which depends on something else, or is distinct from the main dependence; an accessory. Shak.
by-drinking |A drinking between meals. [Obs.]
by-election |An election held by itself, not at the time of a general election.
by-end |Private end or interest; secret purpose; selfish advantage. [Written also bye-end.] \"Profit or some other by-end.\" L'Estrange.
by-interest |Self-interest; private advantage. Atterbury.
by-lane |A private lane, or one opening out of the usual road.
by-law |1. A local or subordinate law; a private law or regulation made by a corporation for its own government. There was likewise a law to restrain the by-laws, or ordinances of corporations. Bacon. The law or institution; to which are added two by-laws, as a comment upon the general law. Addison. 2. A law that is less important than a general law or constitutional provision, and subsidiary to it; a rule relating to a matter of detail; as, civic societies often adopt a constitution and by-laws for the government of their members. In this sense the word has probably been influenced by by, meaning secondary or aside.
by-name |A nickname. Camden.
by-pass |A by-passage, for a pipe, or other channel, to divert circulation from the usual course.
by-passage |A passage different from the usual one; a byway.
by-past |Past; gone by. \"By-past perils.\" Shak.
by-place |A retired or private place.
by-product |A secondary or additional product; something produced, as in the course of a manufacture, in addition to the principal product.
by-respect |Private end or view; by-interest. [Obs.] Dryden.
by-room |A private room or apartment. \"Stand in some by-room\" Shak.
by-speech |An incidental or casual speech, not directly relating to the point. \"To quote by-speeches.\" Hooker.
by-spell |A proverb. [Obs.]
by-street |A separate, private, or obscure street; an out of the way or cross street. He seeks by-streets, and saves the expensive coach. Gay.
by-stroke |An accidental or a slyly given stroke.
by-turning |An obscure road; a way turning from the main road. Sir P. Sidney.
by-view |A private or selfish view; self-interested aim or purpose. No by-views of his own shall mislead him. Atterbury.
by-walk |secluded or private walk. He moves afterward in by-walks. Dryden.
by-wash |The outlet from a dam or reservoir; also, a cut to divert the flow of water.
by-wipe |A secret or side stroke, as of raillery or sarcasm. Milton.
byard |A piece of leather crossing the breast, used by the men who drag sledges in coal mines.
bye |1. A thing not directly aimed at; something which is a secondary object of regard; an object by the way, etc.; as in on or upon the bye, i.e., in passing; indirectly; by implication. [Obs. except in the phrase by the bye.] The Synod of Dort condemneth upon the bye even the discipline of the Church of England. Fuller. 2. (Cricket)  A run made upon a missed ball; as, to steal a bye. T. Hughes. By the bye, in passing; by way of digression; apropos to the matter in hand. [Written also by the by.]\n\n1. A dwelling. Gibson. 2. In certain games, a station or place of an individual player. Emerson.
bygone |Past; gone by. \"Bygone fooleries.\" Shak\n\nSomething gone by or past; a past event. \"Let old bygones be\" Tennyson. Let bygones be bygones, let the past be forgotten.
byland |A peninsula. [Obs.]
bylander |See Bilander.[Obs.]
byname |To give a nickname to. Camden.
bypath |A private path; an obscure way; indirect means. God known, my son, By what bypaths, and indirect crooked ways, I met this crown. Shak.
byplay |Action carried on aside, and commonly in dumb show, while the main action proceeds.
byre |A cow house. [N. of Eng.& Scot.]
byroad |A private or obscure road. \"Through slippery byroads\" Swift.
byronic |Pertaining to, or in the style of, Lord Byron. With despair and Byronic misanthropy. Thackeray
bysmottered |Bespotted with mud or dirt. [Obs.] Chaucer.
byss |See Byssus, n., 1.
byssaceous |Byssuslike; consisting of fine fibers or threads, as some very delicate filamentous algæ.
byssiferous |Bearing a byssus or tuft.
byssin |See Byssus, n., 1.
byssine |Made of silk; having a silky or flaxlike appearance. Coles.
byssoid |Byssaceous.
byssolite |An olive-green fibrous variety of hornblende.
byssus |1. A cloth of exceedingly fine texture, used by the ancients. It is disputed whether it was of cotton, linen, or silk. [Written also byss and byssin.] 2. (Zoöl.)  A tuft of long, tough filaments which are formed in a groove of the foot, and issue from between the valves of certain bivalve mollusks, as the Pinna and Mytilus, by which they attach themselves to rocks, etc. 3. (Bot.)  An obsolete name for certain fungi composed of slender threads. 4. Asbestus.
bystander |One who stands near; a spectator; one who has no concern with the business transacting. He addressed the bystanders and scattered pamphlets among them. Palfrey. Syn. -- Looker on; spectator; beholder; observer.
byway |A secluded, private, or obscure way; a path or road aside from the main one. \" Take no byways.\" Herbert.
byword |1. A common saying; a proverb; a saying that has a general currency. I knew a wise man that had it for a byword. Bacon. 2. The object of a contemptuous saying. Thou makest us a byword among the heathen. Ps. xliv. 14
bywork |Work aside from regular work; subordinate or secondary business.
byzant |A gold coin, so called from being coined at Byzantium. See Bezant.
byzantian |See Byzantine.
byzantine |A gold coin, so called from being coined at Byzantium. See Bezant.\n\nOf or pertaining to Byzantium. -- n.  A native or inhabitant of Byzantium, now Constantinople; sometimes, applied to an inhabitant of the modern city of Constantinople. [ Written also Bizantine.] Byzantine church, the Eastern or Greek church, as distinguished from the Western or Roman or Latin church.See under Greek. -- Byzantine empire, the Eastern Roman or Greek empire from A.D. 364 or A.D. 395 to the capture of Constantinople by the Turks, A.D. 1453. -- Byzantine historians, historians and writers (Zonaras, Procopius, etc.) who lived in the Byzantine empire. P. Cyc. Byzantine style (Arch.), a style of architecture developed in the Byzantine empire. Note: Its leading forms are the round arch, the dome, the pillar, the circle, and the cross. The capitals of the pillars are the endless variety, and full of invention. The mosque of St. Sophia, Constantinople, and the church of St. Mark, Venice, are prominent examples of Byzantine architecture.
c |1. C is the third letter of the English alphabet. It is from the Latin letter C, which in old Latin represented the sounds of k, and g (in go); its original value being the latter. In Anglo-Saxon words, or Old English before the Norman Conquest, it always has the sound of k. The Latin C was the same letter as the Greek got it from the Phoenicians. The English name of C is from the Latin name ce, and was derived, probably, through the French. Etymologically C is related to g, h, k, q, s (and other sibilant sounds). Examples of these relations are in L. acutus, E. acute, ague; E. acrid, eagar; L. cornu, E. horn; E. cat, kitten; E. coy, quiet; L. circare, OF. cerchier, E. search. Note: See Guide to Pronunciation, t\\'c5 221-228. 2. (Mus.)  (a) The keynote of the normal or \"natural\" scale, which has neither flats nor sharps in its signature; also, the third note of the relative minor scale of the same (b) C after the clef is the mark of common time, in which each measure is a semibreve (four fourths or crotchets); for alla breve time it is written (c) The \"C clef,\" a modification of the letter C, placed on any line of the staff, abows that line to be middle C. 3. As a numeral, C stands for Latin centum or 100, CC for 200, etc. C spring, a spring in the form of the letter C.
ca ira |The refrain of a famous song of the French Revolution.
caaba |The small and nearly cubical stone building, toward which all Mohammedans must pray. [Written also kaaba.] Note: The Caaba is situated in Mecca, a city of Arabia, and contains a famous black stone said to have been brought from heaven. Before the time of Mohammed, the Caaba was an idolatrous temple, but it has since been the chief sanctuary and object of pilgrimage of the Mohammedan world.
caada |A small cañon; a narrow valley or glen; also, but less frequently, an open valley. [Local, Western U. S.]
caas |Case. [Obs.] Chaucer.
caatinga |A forest composed of stunted trees and thorny bushes, found in areas of small rainfall in Brazil.
cab |1. A kind of close carriage with two or four wheels, usually a public vehicle. \"A cab came clattering up.\" Thackeray. Note: A cab may have two seats at right to the driver's seat, and a door behind; or one seat parallel to the driver's, with the entrance from the side or front. Hansom cab. See Hansom. 2. The covered part of a locomotive, in which the engineer has his station. Knight.\n\nA Hebrew dry measure, containing a little over two (2.37) pints. W. H. Ward. 2 Kings vi. 25.
