cloture |See Closure, 5.
cocoon |1. An oblong case in which the silkworn lies in its chrysalis state. It is formed of threads of silk spun by the worm just before leaving the larval state. From these the silk of commerce is prepared. 2. (Zoöl.) (a) The case constructed by any insect to contain its larva or pupa. (b) The case of silk made by spiders to protect their eggs. (c) The egg cases of mucus, etc., made by leeches and other worms.
cocoonery |A building or apartment for silkworms, when feeding and forming cocoons.
coctible |Capable of being cooked. Blount.
coctile |Made by baking, or exposing to heat, as a brick.
coction |1. Act of boiling. 2. (Med.) (a) Digestion. [Obs.] (b) The change which the humorists believed morbific matter undergoes before elimination. [Obs.] Dunglison.
cocus wood |A West Indian wood, used for making flutes and other musical instruments.
cod |1. A husk; a pod; as, a peascod. [Eng.] Mortimer. 2. A small bag or pouch. [Obs.] Halliwell. 3. The scortum. Dunglison. 4. A pillow or cushion. [Prov. Eng.] Halliwell.\n\nAn important edible fish (Gadus morrhua), Taken in immense numbers on the northern coasts of Europe and America. It is especially abundant and large on the Grand Bank of Newfoundland. It is salted and dried in large quantities. Note: There are several varieties; as shore cod, from shallow water; bank cod, from the distant banks; and rock cod, which is found among ledges, and is often dark brown or mottled with red. The tomcod is a distinct species of small size. The bastard, blue, buffalo, or cultus cod of the Pacific coast belongs to a distinct family. See Buffalo cod, under Buffalo. Cod fishery, the business of fishing for cod. -- Cod line, an eighteen-thread line used in catching codfish. McElrath.
cod liver |The liver of the common cod and allied species. Cod-liver oil, an oil obtained fron the liver of the codfish, and used extensively in medicine as a means of supplying the body with fat in cases of malnutrition.
coda |A few measures added beyond the natural termination of a composition.
codder |A gatherer of cods or peas. [Obs. or Prov.] Johnson.
codding |Lustful. [Obs.] Shak.
coddle |1. To parboil, or soften by boiling. It [the guava fruit] may be coddled. Dampier. 2. To treat with excessive tenderness; to pamper. How many of our English princes have been coddled at home by their fond papas and mammas! Thackeray. He [Lord Byron] never coddled his reputation. Southey.
coddymoddy |A gull in the plumage of its first year.
code |1. A body of law, sanctioned by legislation, in which the rules of law to be specifically applied by the courts are set forth in systematic form; a compilation of laws by public authority; a digest. Note: The collection of laws made by the order of Justinian is sometimes called, by way of eminence. \"The Code\" Wharton. 2. Any system of rules or regulations relating to one subject; as, the medical code, a system of rules for the regulation of the professional conduct of physicians; the naval code, a system of rules for making communications at sea means of signals. Code civil or Code Napoleon, a code enacted in France in 1803 and 1804, embodying the law of rights of persons and of property generally. Abbot.
codefendant |A joint defendant. Blackstone.
codeine |One of the opium alkaloids; a white crystalline substance, C18H21NO3, similar to and regarded as a derivative of morphine, but much feebler in its action; -- called also codeia.
codetta |A short passage connecting two sections, but not forming part of either; a short coda.
codex |1. A book; a manuscript. 2. A collection or digest of laws; a code. Burrill. 3. An ancient manuscript of the Sacred Scriptures, or any part of them, particularly the New Testament. 4. A collection of canons. Shipley.
codfish |A kind of fish. Same as Cod.
codger |1. A miser or mean person. 2. A singular or odd person; -- a familiar, humorous, or depreciatory appellation. [Colloq.] A few of us old codgers met at the fireside. Emerson.
codical |Ralating to a codex, or a code.
codicil |A clause added to a will.
codicillary |Of the nature of a codicil.
codification |The act or process of codifying or reducing laws to a code.
codifier |One who codifies.
codify |To reduce to a code, as laws.
codilla |The coarse tow of flax and hemp. McElrath.
codille |A term at omber, signifying that the game is won. Pope.
codist |A codifier; a maker of codes. [R.]
codle |See Coddle.
codlin |(a) An apple fit to stew or coddle. (b) An immature apple. A codling when 't is almost an apple. Shak. Codling moth (Zoöl.), a small moth (Carpocapsa Pomonella), which in the larval state (known as the apple worm) lives in apples, often doing great damage to the crop.
codling |(a) An apple fit to stew or coddle. (b) An immature apple. A codling when 't is almost an apple. Shak. Codling moth (Zoöl.), a small moth (Carpocapsa Pomonella), which in the larval state (known as the apple worm) lives in apples, often doing great damage to the crop.\n\nA young cod; also, a hake.
codpiece |A part of male dress in front of the breeches, formerly made very conspicuous. Shak. Fosbroke.
coecilian |See Cæcilian.
coeducation |An educating together, as of persons of different sexes or races. Co*ed`u*ca\"tion*al (, a.
coefficacy |Joint efficacy.
coefficiency |Joint efficiency; coöperation. Glanvill.
coefficient |Coöperating; acting together to produce an effect. Co`ef*fi\"cient*ly, adv.\n\n1. That which unites in action with something else to produce the same effect. 2. Etym: [Cf. F. coefficient.] (Math.)  A number or letter put before a letter or quantity, known or unknown, to show how many times the latter is to be taken; as, 6x; bx; here 6 and b are coefficients of x. 3. (Physics)  A number, commonly used in computation as a factor, expressing the amount of some change or effect under certain fixed conditions as to temperature, length, volume, etc.; as, the coefficient of expansion; the coefficient of friction. Arbitrary coefficient (Math.), a literal coefficient placed arbitrarily in an algebraic, expression, the value of the coefficient being afterwards determined by the conditions of the problem.
coehorn |A small bronze mortar mounted on a wooden block with handles, and light enough to be carried short distances by two men.
coelacanth |Having hollow spines, as some ganoid fishes.
coelectron |See Electron.
coelentera |A comprehensive group of Invertebrata, mostly marine, comprising the Anthozoa, Hydrozoa, and Ctenophora. The name implies that the stomach and body cavities are one. The group is sometimes enlarged so as to include the sponges.
coelenterata |A comprehensive group of Invertebrata, mostly marine, comprising the Anthozoa, Hydrozoa, and Ctenophora. The name implies that the stomach and body cavities are one. The group is sometimes enlarged so as to include the sponges.
coelenterate |Belonging to the Coelentra. -- n.  One of the Coelentera.
coelia |A cavity. Note: The word is applied to the ventricles of the brain, the different venticles being indicated by prefixes like those characterizing the parts of the brain in which the cavities are found; as, epicoelia, mesocoelia, metacoelia, procoelia, etc. B. G. Wilder.
coeliac |Relating to the abdomen, or to the cavity of the abdomen. Coeliac artery (Anat.), the artery which issues from the aorta just below the diaphragm; -- called also coeliac axis. -- Coeliac flux, Coeliac passion (Med.), a chronic flux or diarrhea of undigested food.
coelodont |Having hollow teeth; -- said of a group lizards. -- n.  One of a group of lizards having hollow teeth.
coelospermous |Hollow-seeded; having the ventral face of the seedlike carpels incurved at the ends, as in coriander seed.
coelum |See Body cavity, under Body.
coemption |The act of buying the whole quantity of any commodity. [R.] Bacon.
coendoo |The Brazilian porcupine (Cercolades, or Sphingurus, prehensiles), remarkable for its prehensile tail.
coenenchym |The common tissue which unites the polyps or zooids of a compound anthozoan or coral. It may be soft or more or less ossified. See Coral.
coenenchyma |The common tissue which unites the polyps or zooids of a compound anthozoan or coral. It may be soft or more or less ossified. See Coral.
coenesthesis |Common sensation or general sensibility, as distinguished from the special sensations which are located in, or ascribed to, separate organs, as the eye and ear. It is supposed to depend on the ganglionic system.
coenobite |See Cenobite.
coenoecium |The common tissue which unites the various zooids of a bryozoan.
coenogamy |The state of a community which permits promiscuous sexual intercourse among its members; -- as in certain primitive tribes or communistic societies. [Written also cenogamy.]
coenosarc |The common soft tissue which unites the polyps of a compound hydroid. See Hydroidea.
coenurus |The larval stage of a tapeworm (Tænia coenurus) which forms bladderlike sacs in the brain of sheep, causing the fatal disease known as water brain, vertigo, staggers or gid. Note: This bladder worm has on its surface numerous small heads, each of which, when swallowed by a dog, becomes a mature tapeworm in the dog's intestine.
coequal |Being on an equality in rank or power. -- n.  One who is on an equality with another. In once he come to be a cardinal, He'll make his cap coequal with the crown. Shak.
coequality |The state of being on an equality, as in rank or power.
coequally |With coequality.
coerce |1. To restrain by force, especially by law or authority; to repress; to curb. Burke. Punishments are manifold, that they may coerce this profligate sort. Ayliffe. 2. To compel or constrain to any action; as, to coerce a man to vote for a certain candidate. 3. To compel or enforce; as, to coerce obedience. Syn. -- To Coerce, Compel. To compel denotes to urge on by force which cannot be resisted. The term aplies equally to physical and moral force; as, compelled by hunger; compelled adverse circumstances; compelled by parental affection. Coerce had at first only the negative sense of checking or restraining by force; as, to coerce a bad man by punishments or a prisoner with fetters. It has now gained a positive sense., viz., that of driving a person into the performance of some act which is required of him by another; as, to coerce a man to sign a contract; to coerce obedience. In this sense (which is now the prevailing one), coerce differs but little from compel, and yet there is a distinction between them. Coercion is usually acomplished by indirect means, as threats and intimidation, physical force being more rarely employed in coercing.
coercible |Capable of being coerced. -- Co*er\"ci*ble*ness, n.
coercion |1. The act or process of coercing. 2. (Law)  The application to another of either physical or moral force. When the force is physical, and cannot be resisted, then the act produced by it is a nullity, so far as concerns the party coerced. When the force is moral, then the act, though voidable, is imputable to the party doing it, unless he be so paralyzed by terror as to act convulsively. At the same time coercion is not negatived by the fact of submission under force. \"Coactus volui\" (I consented under compulsion) is the condition of mind which, when there is volition forced by coercion, annuls the result of such coercion. Wharton.
coercitive |Coercive. \"Coercitive power in laws.\" Jer. Taylor.
coercive |Serving or intended to coerce; having power to constrain. -- Co*er\"cive*ly, adv. -- Co*er\"cive*ness, n. Coercive power can only influence us to outward practice. Bp. Warburton. Coercive or Coercitive force (Magnetism), the power or force which in iron or steel produces a slowness or difficulty in imparting magnetism to it, and also interposes an obstacle to the return of a bar to its natural state when active magnetism has ceased. It plainly depends on the molecular constitution of the metal. Nichol. The power of resisting magnetization or demagnization is sometimes called coercive force. S. Thompson.
coerulignone |A bluish violet, crystalline substance obtained in the purification of crude wood vinegar. It is regarded as a complex quinone derivative of diphenyl; -- called also cedriret.
coessential |Partaking of the same essence. -- Co`es*sen\"tial*ly, adv. We bless and magnify that coessential Spirit, eternally proceeding from both [The Father and the Son]. Hooker.
coessentiality |Participation of the same essence. Johnson.
coestablishment |Joint establishment. Bp. Watson.
coestate |Joint estate. Smolett.
coetanean |A personcoetaneous with another; a contemporary. [R.] A . . . coetanean of the late earl of SouthamptoAubrey.
coetaneous |Of the same age; beginning to exist at the same time; contemporaneous. -- Co`e*ta\"ne*ous*ly, adv. And all [members of the body] are coetaneous. Bentley.
coeternal |Equally eternal. -- Co`e*ter\"nal*ly, adv. Hail, holy Light, offspring of Heaven first born! Or of the Eternal coeternal beam. Milton.
coeternity |Existence from eternity equally with another eternal being; equal eternity.
coeval |Of the same age; existing during the same period of time, especially time long and remote; -- usually followed by with. Silence! coeval with eternity! Pope. Oaks coeval spread a mournful shade. Cowper.\n\nOne of the same age; a contemporary. As if it were not enough to have outdone all your coevals in wit. Pope.
coevous |Coeaval [Obs.] South.
coexecutor |A joint executor.
coexecutrix |A joint executrix.
coexist |To exist at the same time; -- sometimes followed by with. Of substances no one has any clear idea, farther than of certain simple ideas coexisting together. Locke. So much purity and integrity . . . coexisting with so much decay and so many infirmities. Warburton.
coexistence |Existence at the same time with another; -- contemporary existence. Without the help, or so much as the coexistence, of any condition. Jer. Taylor.
coexistent |Existing at the same time with another. -- n.  That which coexists with another. The law of coexistent vibrations. Whewell.
coexisting |Coexistent. Locke.
coextend |To extend through the same space or time with another; to extend to the same degree. According to which the least body may be coextended with the greatest. Boyle. Has your English language one single word that is coextended through all these significations Bentley.
coextension |The act of extending equally, or the state of being equally extended.
coextensive |Equally extensive; having as, consciousness and knowledge are coextensive. Sir W. Hamilton. -- Co`ex*ten\"sive*ly, adv. -- Co`ex*ten\"sive*ness, n.
coffee |1. The \"beans\" or \"berries\" (pyrenes) obtained from the drupes of a small evergreen tree of the genus Coffea, growing in Abyssinia, Arabia, Persia, and other warm regions of Asia and Africa, and also in tropical America. 2. The coffee tree. Note: There are several species of the coffee tree, as, Coffea Arabica, C. occidentalis, and C. Liberica. The white, fragrant flowers grow in clusters at the root of the leaves, and the fruit is a red or purple cherrylike drupe, with sweet pulp, usually containing two pyrenes, commercially called \"beans\" or \"berries\". 3. The beverage made from the roasted and ground berry. They have in Turkey a drink called coffee . . . This drink comforteth the brain and heart, and helpeth digestion. Bacon. Note: The use of coffee is said to have been introduced into England about 1650, when coffeehouses were opened in Oxford and London. Coffee bug (Zoöl.), a species of scale insect (Lecanium coffæa), often very injurious to the coffee tree. -- Coffee rat (Zoöl.) See Musang.
coffeehouse |A house of entertainment, where guests are supplied with coffee and other refreshments, and where men meet for conversation. The coffeehouse must not be dismissed with a cursory mention. It might indeed, at that time, have been not improperly called a most important political institution . . . The coffeehouses were the chief organs through which the public opinion of the metropolis vented itself . . . Every man of the upper or middle class went daily to his coffeehouse to learn the news and discuss it. Every coffeehouse had one or more orators, to whose eloquence the crowd listened with admiration, and who soon became what the journalists of our own time have been called -- a fourth estate of the realm. Macaulay.
coffeeman |One who keeps a coffeehouse. Addison.
coffeepot |A covered pot im which coffee is prepared,
coffeeroom |A public room where coffee and other refreshments may be obtained.
coffer |1. A casket, chest, or trunk; especially, one used for keeping money or other valuables. Chaucer. In ivory coffers I have stuffed my crowns. Shak. 2. Fig.: Treasure or funds; -- usually in the plural. He would discharge it without any burden to the queen's coffers, for honor sake. Bacon. Hold, here is half my coffer. Shak. 3. (Arch.)  A panel deeply recessed in the ceiling of a vault, dome, or portico; a caisson. 4. (Fort.)  A trench dug in the botton of a dry moat, and extending across it, to enable the besieged to defend it by a raking fire. 5. The chamber of a canal lock; also, a caisson or a cofferdam. Coffer dam. (Engin.) See Cofferdam, in the Vocabulary. -- Coffer fish. (Zoöl.) See Cowfish.\n\n1. To put into a coffer. Bacon. 2. (Mining.)  To secure from leaking, as a chaft, by ramming clay behind the masonry or timbering. Raymond. 3. To form with or in a coffer or coffers; to turnish with a coffer or coffers.
cofferdam |A water-tight inclosure, as of piles packed with clay, from which the water is pumped to expose the bottom (of a river, etc.) and permit the laying of foundations, building of piers, etc.
cofferer |One who keeps treasures in a coffer. [R.]
cofferwork |Rubblework faced with stone. Knight.
coffin |1. The case in which a dead human body is inclosed for burial. They embalmed him [Joseph], and he was put in a coffin. Gen. 1. 26. 2. A basket. [Obs.] Wyclif (matt. xiv. 20). 3. A casing or crust, or a mold, of pastry, as for a pie. Of the paste a coffin I will rear. Shak. 4. A conical paper bag, used by grocers. [Obs.] Nares. 5. (Far.)  The hollow crust or hoof of a horse's foot, below the coronet, in which is the coffin bone. Coffin bone, the foot bone of the horse and allied animals, inclosed within the hoof, and corresponding to the third phalanx of the middle finger, or toe, of most mammals. -- Coffin joint, the joint next above the coffin bone.\n\nTo inclose in, or as in, a coffin. Would'st thou have laughed, had I come coffined home Shak. Devotion is not coffined in a cell. John Hall (1646).
coffinless |Having no coffin.
coffle |A gang of negro slaves being driven to market.
cog |1. To seduce, or draw away, by adulation, artifice, or falsehood; to wheedle; to cozen; to cheat. [R.] I'll . . . cog their hearts from them. Shak. 2. To obtrude or thrust in, by falsehood or deception; as, to cog in a word; to palm off. [R.] Fustian tragedies . . . have, by concerted applauses, been cogged upon the town for masterpieces. J. Dennis To cog a die, to load so as to direct its fall; to cheat in playing dice. Swift.\n\nTo deceive; to cheat; to play false; to lie; to wheedle; to cajole. For guineas in other men's breeches, Your gamesters will palm and will cog. Swift.\n\nA trick or deception; a falsehood. Wm. Watson.\n\n1. (Mech.)  A tooth, cam, or catch for imparting or receiving motion, as on a gear wheel, or a lifter or wiper on a shaft; originally, a separate piece of wood set in a mortise in the face of a wheel. 2. (Carp.) (a) A kind of tenon on the end of a joist, received into a notch in a bearing timber, and resting flush with its upper surface. (b) A tenon in a scarf joint; a coak. Knight. 3. (Mining.)  One of the rough pillars of stone or coal left to support the roof of a mine.\n\nTo furnish with a cog or cogs. Cogged breath sound (Auscultation), a form of interrupted respiration, in which the interruptions are very even, three or four to each inspiration. Quain.\n\nA small fishing boat. Ham. Nav. Encyc.
cogency |The quality of being cogent; power of compelling conviction; conclusiveness; force. An antecedent argument of extreme cogency. J. H. Newman.
cogenial |Congenial. [Obs.]
cogent |1. Compelling, in a physical sense; powerful. [Obs.] The cogent force of nature. Prior. 2. Having the power to compel conviction or move the will; constraining; conclusive; forcible; powerful; not easily reasisted. No better nor more cogent reason. Dr. H. More. Proofs of the most cogent description. Tyndall. The tongue whose strains were cogent as commands, Revered at home, and felt in foreign lands. Cowper. Syn. -- Forcible; powerful; potent; urgent; strong; persuasive; convincing; conclusive; influential.
cogently |In a cogent manner; forcibly; convincigly; conclusively. Locke.
cogger |A flatterer or deceiver; a sharper.
coggery |Trick; deception. Bp. Watson.
coggle |A small fishing boat. Ham. Nav. Encyc.\n\nA cobblestone. [Prov. Eng.] Halliwell.
cogitability |The quality of being cogitable; conceivableness.
cogitable |Capable of being brought before the mind as a throught or idea; conceivable; thinkable. Creation is cogitable by us only as a putting forth of divine power. Sir W. Hamilton.
cogitabund |Full of thought; thoughtful. [R.] Leigh Hunt.
cogitate |To engage in continuous thought; to think. He that calleth a thing into his mind, whether by impression or recordation, cogitateth and considereth, and he that employeth the faculty of his fancy also cogitateth. Bacon.\n\nTo think over; to plan. He . . . is our witness, how we both day and night, revolving in our minds, did cogitate nothing more than how to satisfy the parts of a good pastor. Foxe.
cogitation |The act of thinking; thought; meditation; contemplation. \"Fixed in cogitation deep.\" Milton.
cogitative |1. Possessing, or pertaining to, the power of thinking or meditating. \"Cogitative faculties.\" Wollaston. 2. Given to thought or contemplation. Sir H. Wotton.
cogman |A dealer in cogware or coarse cloth. [Obs.] Wright.
cognac |A kind of French brandy, so called from the town of Cognac.
cognate |1. Allied by blood; kindred by birth; specifically (Law), related on the mother's side. 2. Of the same or a similar nature; of the same family; proceeding from the same stock or root; allied; kindred; as, a cognate language.\n\n1. (Law)  One who is related to another on the female side. Wharton. 2. One of a number of things allied in origin or nature; as, certain letters are cognates.
cognateness |The state of being cognate.
cognati |Relatives by the mother's side. Wharton.
cognation |1. Relationship by blood; descent from the same original; kindred. As by our cognation to the body of the first Adam. Jer. Taylor. 2. Participation of the same nature. Sir T. Browne. A like temper and cognation. Sir K. Digby. 3. (Law)  That tie of consanguinity which exists between persons descended from the same mother; -- used in distinction from agnation.
cognatus |A person cinnected through cognation.
cognisee |See Cognizor, Cognizee.
cognisor |See Cognizor, Cognizee.
cognition |1. The act of knowing; knowledge; perception. I will not be myself nor have cognation Of what I feel: I am all patience. Shak. 2. That which is known.
cognitive |Knowing, or apprehending by the understanding; as, cognitive power. South.
cognizable |1. Capable of being known or apprehended; as, cognizable causes. 2. Fitted to be a subject of judicial investigation; capable of being judicially heard and determined. Cognizable both in the ecclesiastical and secular courts. Ayliffe.
cognizably |In a cognizable manner.
cognizance |1. Apprehension by the understanding; perception; observation. Within the cognizance and lying under the control of their divine Governor. Bp. Hurd 2. Recollection; recognition. Who, soon as on that knight his eye did glance, Eftsoones of him had perfect cognizance. Spenser. 3. (Law) (a) Jurisdiction, or the power given by law to hear and decide controversies. (b) The hearing a matter judicially. (c) An acknowledgment of a fine of lands and tenements or confession of a thing done. [Eng.] (d) A form of defense in the action of replevin, by which the defendant insists that the goods were lawfully taken, as a distress, by defendant, acting as servant for another. [Eng.] Cowell. Mozley & W. 4. The distinguishing mark worn by an armed knight, usually upon the helmet, and by his retainers and followers: Hence, in general, a badge worn by a retainer or dependent, to indicate the person or party to which he belonged; a token by which a thing may be known. Wearing the liveries and cognizance of their master. Prescott. This pale and angry rose, As cognizance of my blood-drinking hate. Shak.
cognizant |Having cognizance or knowledge. (of).
cognize |To know or perceive; to recognize. The reasoning faculty can deal with no facts until they are cognized by it. H. Spencer.
cognizee |One to whom a fine of land was ackowledged. Blackstone.
cognizor |One who ackowledged the right of the plaintiff or cognizee in a fine; the defendant. Blackstone.
cognomen |1. The last of the three names of a person among the ancient Romans, denoting his house or family. 2. (Eng. Law)  A surname.
cognominal |Of or pertaining to a cognomen; of the nature of a surname.\n\nOne bearing the same name; a namesake. [Obs.] Sir T. Browne.
cognomination |A cognomen or surname. [R.] Jer. Taylor.
cognoscence |Cognizance. [R.] Dr. H. More.
cognoscente |A conoisseur. Mason.
cognoscibility |The quality of being cognoscible. Cudworth.
cognoscible |1. Capable of being known. \"Matters intelligible and cognoscible.\" Sir M. Hale. 2. Liable to judicial investigation. Jer. Taylor.
cognoscitive |Having the power of knowing. [Obs.] \"An innate cognoscitive power.\" Cudworth.
cognovit |An instrument in writting whereby a defendant in an action acknowledges a plaintiff's demand to be just. Mozley & W.
cogon |A tall, coarse grass (Imperata arundinacea) of the Philippine Islands and adjacent countries, used for thatching.
coguardian |A joint guardian.
cogue |A small wooden vessel; a pail. [Scot.] Jamieson.
cogware |A coarse, narrow cloth, like frieze, used by the lower classes in the sixteenth century. Halliwell.
cogwheel |A wheel with cogs or teeth; a gear wheel. See Illust. of Gearing.
cohabit |1. To inhabit or reside in company, or in the same place or country. The Philistines were worsted by the captived ark . . . : they were not able to cohabit with that holy thing. South. 2. To dwell or live together as husband and wife. The law presumes that husband and wife cohabit together, even after a voluntary separation has taken place between them. Bouvier. Note: By the common law as existing in the United States, marriage is presumed when a man and woman cohabit permanently together, being reputed by those who know them to be husband and wife, and admitting the relationship. Wharton.
cohabitant |One who dwells with another, or in the same place or country. No small number of the Danes became peaceable cohabitants with the Saxons in England. Sir W. Raleigh.
cohabitation |1. The act or state of dwelling together, or in the same place with another. Feltham. 2. (Law)  The living together of a man and woman in supposed sexual relationship. That the duty of cohabitation is released by the cruelty of one of the parties is admitted. Lord Stowell.
cohabiter |A cohabitant. Hobbes.
coheir |A joint heir; one of two or more heirs; one of several entitled to an inheritance.
coheiress |A female heir who inherits with other heiresses; a joint heiress.
coheirship |The state of being a coheir.
coherald |A joint herald.
cohere |1. To stick together; to cleave; to be united; to hold fast, as parts of the same mass. Neither knows he . . . how the solid parts of the body are united or cohere together. Locke. 2. To be united or connected together in subordination to one purpose; to follow naturally and logically, as the parts of a discourse, or as arguments in a train of reasoning; to be logically consistent. They have been inserted where they best seemed to cohere. Burke. 3. To suit; to agree; to fit. [Obs.] Had time cohered with place, or place with wishing. Shak. Syn. -- To cleave; unite; adhere; stick; suit; agree; fit; be consistent.
coherence |1. A sticking or cleaving together; union of parts of the same body; cohesion. 2. Connection or dependence, proceeding from the subordination of the parts of a thing to one principle or purpose, as in the parts of a discourse, or of a system of philosophy; consecutiveness. Coherence of discourse, and a direct tendency of all the parts of it to the argument in hand, are most eminently to be found in him. Locke.
coherency |1. A sticking or cleaving together; union of parts of the same body; cohesion. 2. Connection or dependence, proceeding from the subordination of the parts of a thing to one principle or purpose, as in the parts of a discourse, or of a system of philosophy; consecutiveness. Coherence of discourse, and a direct tendency of all the parts of it to the argument in hand, are most eminently to be found in him. Locke.
coherent |1. Sticking together; cleaving; as the parts of bodies; solid or fluid. Arbuthnot. 2. Composed of mutually dependent parts; making a logical whole; consistent; as, a coherent plan, argument, or discourse. 3. Logically consistent; -- applied to persons; as, a coherent thinker. Watts. 4. Suitable or suited; adapted; accordant. [Obs.] Instruct my daughter how she shall persever, That time and place, with this deceit so lawful, May prove coherent. Shak.
coherently |In a coherent manner.
coherer |Any device in which an imperfectly conducting contact between pieces of metal or other conductors loosely resting against each other is materially improved in conductivity by the influence of Hertzian waves; -- so called by Sir O. J. Lodge in 1894 on the assumption that the impact of the electic waves caused the loosely connected parts to cohere, or weld together, a condition easily destroyed by tapping. A common form of coherer as used in wireless telegraphy consists of a tube containing filings (usually a pinch of nickel and silver filings in equal parts) between terminal wires or plugs (called conductor plugs).
cohesibility |The state of being cohesible. Good.
cohesible |Capable of cohesion.
cohesion |1. The act or state of sticking together; close union. 2. (Physics)  That from of attraction by which the particles of a body are united throughout the mass, whether like or unlike; -- distinguished from adhesion, which unites bodies by their adjacent surfaces. Solids and fluids differ in the degree of cohesion, which, being increased, turns a fluid into a solid. Arbuthnot. 3. Logical agreement and dependence; as, the cohesion of ideas. Locke.
cohesive |1. Holding the particles of a homogeneous body together; as, cohesive attraction; producing cohesion; as, a cohesive force. 2. Cohering, or sticking together, as in a mass; capable of cohering; tending to cohere; as, cohesive clay. Cohesive attraction. See under Attraction. -- Co*he\"sive*ly, adv. -- Co*he\"sive*ness, n.
cohibit |To restrain. [Obs.] Bailey.
cohibition |Hindrance; restraint. [Obs.]
cohobate |To repeat the distillation of, pouring the liquor back upon the matter remaining in the vessel. Arbuthnot.
cohobation |The process of cohobating. Grew.
cohorn |See Coehorn.
cohort |1. (Rom. Antiq.)  A body of about five or six hundred soldiers; the tenth part of a legion. 2. Any band or body of warriors. With him the cohort bright Of watchful cherubim. Milton. 3. (Bot.)  A natural group of orders of plants, less comprehensive than a class.
cohosh |A perennial American herb (Caulophyllum thalictroides), whose roostock is used in medicine; -- also called pappoose root. The name is sometimes also given to the Cimicifuga racemosa, and to two species of Actæa, plants of the Crowfoot family.
cohune |A Central and South American pinnate-leaved palm (Attalea cohune), the very large and hard nuts of which are turned to make fancy articles, and also yield an oil used as a substitute for coconut oil.
cohune palm |A Central and South American pinnate-leaved palm (Attalea cohune), the very large and hard nuts of which are turned to make fancy articles, and also yield an oil used as a substitute for coconut oil.
coif |A cap. Specifically: (a) A close-fitting cap covering the sides of the head, like a small hood without a cape. (b) An official headdress, such as that worn by certain judges in England. [Writting also quoif.] From point and saucy ermine down To the plain coif and russet gown. H. Brocke. The judges, . . . althout they are not of the first magnitude, nor need be of the degree of the coif, yet are they considerable. Bacon.\n\nTo cover or dress with, or as with, a coif. And coif me, where I'm bald, with flowers. J. G. Cooper.
coifed |Wearing a coif.
coiffeur |A hairdresser.
coiffure |A headdress, or manner of dressing the hair. Addison.
coign |A var. spelling of Coin, Quoin, a corner, wedge; -- chiefly used in the phrase coign of vantage, a position advantageous for action or observation. From some shielded nook or coign of vantage. The Century. The lithosphere would be depressed on four faces; . . . the four projecting coigns would stand up as continents. Nature.
coigne |A quoin. See you yound coigne of the Capitol yon corner stone Shak.\n\nThe practice of quartering one's self as landlord on a tenant; a quartering of one's self on anybody. [Ireland] Spenser.
coigny |The practice of quartering one's self as landlord on a tenant; a quartering of one's self on anybody. [Ireland] Spenser.
coil |1. To wind cylindrically or spirally; as, to coil a rope when not in use; the snake coiled itself before springing. 2. To encircle and hold with, or as with, coils. [Obs. or R.] T. Edwards.\n\nTo wind itself cylindrically or spirally; to form a coil; to wind; -- often with about or around. You can see his flery serpents . . . Coiting, playing in the water. Longfellow.\n\n1. A ring, series of rings, or spiral, into which a rope, or other like thing, is wound. The wild grapevines that twisted their coils from trec to tree. W. Irving. 2. Fig.: Entanglement; toil; mesh; perplexity. 3. A series of connected pipes in rows or layers, as in a steam heating apparatus. Induction coil. (Elec.) See under Induction. -- Ruhmkorff's coil (Elec.), an induction coil, sometimes so called from Ruhmkorff (, a prominent manufacturer of the apparatus.\n\nA noise, tumult, bustle, or confusion. [Obs.] Shak.
coilon |A testicle. [Obs.] Chaucer.
coin |1. A quoin; a corner or external angle; a wegde. See Coigne, and Quoin. 2. A piece of metal on which certain characters are stamped by government authority, making it legally current as money; -- much used in a collective sense. It is alleged that it [a subsidy] exceeded all the current coin of the realm. Hallam. 3. That which serves for payment or recompense. The loss of present advantage to flesh and blood is repaid in a nobler coin. Hammond. Coin balance. See Illust. of Balance. -- To pay one in his own coin, to return to one the same kind of injury or ill treatment as has been received from him. [Colloq.]\n\n1. To make of a definite fineness, and convert into coins, as a mass of metal; to mint; to manufacture; as, to coin silver dollars; to coin a medal. 2. To make or fabricate; to invent; to originate; as, to coin a word. Some tale, some new pretense, he daily coined, To soothe his sister and delude her mind. Dryden. 3. To acquire rapidly, as money; to make. Tenants cannot coin rent just at quarter day. Locke.\n\nTo manufacture counterfeit money. They cannot touch me for coining. Shak.
coinage |1. The act or process of converting metal into money. The care of the coinage was committed to the inferior magistrates. Arbuthnot. 2. Coins; the aggregate coin of a time or place. 3. The cost or expense of coining money. 4. The act or process of fabricating or inventing; formation; fabrication; that which is fabricated or forged. \"Unnecessary coinage . . . of words.\" Dryden. This is the very coinage of your brain. Shak.
coincide |1. To occupy the same place in space, as two equal triangles, when placed one on the other. If the equator and the ecliptic had coincided, it would have rendered the annual revoluton of the earth useless. Cheyne. 2. To occur at the same time; to be contemporaneous; as, the fall of Granada coincided with the discovery of America. 3. To correspond exactly; to agree; to concur; as, our aims coincide. The rules of right jugdment and of good ratiocination often coincide with each other. Watts.
