drunkship |The state of being drunk; drunkenness. [Obs.] Gower.
dynactinometer |An instrument for measuring the intensity of the photogenic (light-producing) rays, and computing the power of object glasses.
dynam |A unit of measure for dynamical effect or work; a foot pound. See Foot pound. Whewell.
dynameter |1. A dynamometer. 2. (Opt.)  An instrument for determining the magnifying power of telescopes, consisting usually of a doubleimage micrometer applied to the eye end of a telescope for measuring accurately the diameter of the image of the object glass there formed; which measurement, compared with the actual diameter of the glass, gives the magnifying power.
dynametrical |Pertaining to a dynameter.
dynamic |1. Of or pertaining to dynamics; belonging to energy or power; characterized by energy or production of force. Science, as well as history, has its past to show, -- a past indeed, much larger; but its immensity is dynamic, not divine. J. Martineau. The vowel is produced by phonetic, not by dynamic, causes. J. Peile. 2. Relating to physical forces, effects, or laws; as, dynamical geology. As natural science has become more dynamic, so has history. Prof. Shedd. Dynamical electricity. See under Electricity.
dynamical |1. Of or pertaining to dynamics; belonging to energy or power; characterized by energy or production of force. Science, as well as history, has its past to show, -- a past indeed, much larger; but its immensity is dynamic, not divine. J. Martineau. The vowel is produced by phonetic, not by dynamic, causes. J. Peile. 2. Relating to physical forces, effects, or laws; as, dynamical geology. As natural science has become more dynamic, so has history. Prof. Shedd. Dynamical electricity. See under Electricity.
dynamically |In accordance with the principles of dynamics or moving forces. J. Peile.
dynamics |1. That branch of mechanics which treats of the motion of bodies (kinematics) and the action of forces in producing or changing their motion (kinetics). Dynamics is held by some recent writers to include statics and not kinematics. 2. The moving moral, as well as physical, forces of any kind, or the laws which relate to them. 3. (Mus.)  That department of musical science which relates to, or treats of, the power of tones.
dynamism |The doctrine of Leibnitz, that all substance involves force.
dynamist |One who accounts for material phenomena by a theory of dynamics. Those who would resolve matter into centers of force may be said to constitute the school of dynamists. Ward (Dyn. Sociol. ).
dynamitard |A political dynamiter. Note: [A form found in some newspapers.]
dynamite |An explosive substance consisting of nitroglycerin absorbed by some inert, porous solid, as infusorial earth, sawdust, etc. It is safer than nitroglycerin, being less liable to explosion from moderate shocks, or from spontaneous decomposition.
dynamiter |One who uses dynamite; esp., one who uses it for the destruction of life and property.
dynamiting |Destroying by dynamite, for political ends. Dynamiting is not the American way. The Century.
dynamitism |The work of dynamiters.
dynamization |The act of setting free the dynamic powers of a medicine, as by shaking the bottle containing it.
dynamo |A dynamo-electric machine.
dynamo-electric |Pertaining to the development of electricity, especially electrical currents, by power; producing electricity or electrical currents by mechanical power.
dynamograph |A dynamometer to which is attached a device for automatically registering muscular power.
dynamometer |An apparatus for measuring force or power; especially, muscular effort of men or animals, or the power developed by a motor, or that required to operate machinery. Note: It usually embodies a spring to be compressed or weight to be sustained by the force applied, combined with an index, or automatic recorder, to show the work performed.
dynamometric |Relating to a dynamometer, or to the measurement of force doing work; as, dynamometrical instruments.
dynamometrical |Relating to a dynamometer, or to the measurement of force doing work; as, dynamometrical instruments.
dynamometry |The art or process of measuring forces doing work.
dynast |1. A ruler; a governor; a prince. 2. A dynasty; a government. [Obs.]
dynasta |A tyrant. [Obs.] Milton.
dynastic |Of or relating to a dynasty or line of kings. Motley.
dynastical |Dynastic.
dynastidan |One of a group of gigantic, horned beetles, including Dynastus Neptunus, and the Hercules beetle (D. Hercules) of tropical America, which grow to be six inches in length.
dynasty |1. Sovereignty; lordship; dominion. Johnson. 2. A race or succession of kings, of the same line or family; the continued lordship of a race of rulers.
dyne |The unit of force, in the C. G. S. (Centimeter Gram Second) system of physical units; that is, the force which, acting on a gram for a second, generates a velocity of a centimeter per second.
dys- |An inseparable prefix, fr. the Greek ill, bad, hard, difficult, and the like; cf. the prefixes, Skr. dus-, Goth. tuz-, OHG. zur-, G. zer-, AS. to-, Icel. tor-, Ir. do-.
dysaesthesia |Impairment of any of the senses, esp. of touch.
dyscrasia |An ill habit or state of the constitution; -- formerly regarded as dependent on a morbid condition of the blood and humors.
dyscrasite |A mineral consisting of antimony and silver.
dyscrasy |Dycrasia. Sin is a cause of dycrasies and distempers. Jer. Taylor.
dysenteric |Of or pertaining to dysentery; having dysentery; as, a dysenteric patient. \"Dysenteric symptoms.\" Copland.
dysenterical |Of or pertaining to dysentery; having dysentery; as, a dysenteric patient. \"Dysenteric symptoms.\" Copland.
dysentery |A disease attended with inflammation and ulceration of the colon and rectum, and characterized by griping pains, constant desire to evacuate the bowels, and the discharge of mucus and blood. Note: When acute, dysentery is usually accompanied with high fevers. It occurs epidemically, and is believed to be communicable through the medium of the alvine discharges.
dysgenesic |Not procreating or breeding freely; as, one race may be dysgenesic with respect to another. Darwin.
dysgenesis |A condition of not generating or breeding freely; infertility; a form homogenesis in which the hybrids are sterile among themselves, but are fertile with members of either parent race.
dyslogistic |Unfavorable; not commendatory; -- opposed to eulogistic. There is no course of conduct for which dyslogistic or eulogistic epithets may be found. J. F. Stephen. The paternity of dyslogistic -- no bantling, but now almost a centenarian -- is adjudged to that genius of common sense, Jeremy Bentham. Fitzed. Hall.
dysluite |A variety of the zinc spinel or gahnite.
dyslysin |A resinous substance formed in the decomposition of cholic acid of bile; -- so called because it is difficult to solve.
dysmenorrhea |Difficult and painful menstruation.
dysnomy |Bad legislation; the enactment of bad laws. Cockeram.
dysodile |An impure earthy or coaly bitumen, which emits a highly fetid odor when burning.
dyspepsia |A kind of indigestion; a state of the stomach in which its functions are disturbed, without the presence of other diseases, or, if others are present, they are of minor importance. Its symptoms are loss of appetite, nausea, heartburn, acrid or fetid eructations, a sense of weight or fullness in the stomach, etc. Dunglison.
dyspepsy |A kind of indigestion; a state of the stomach in which its functions are disturbed, without the presence of other diseases, or, if others are present, they are of minor importance. Its symptoms are loss of appetite, nausea, heartburn, acrid or fetid eructations, a sense of weight or fullness in the stomach, etc. Dunglison.
dyspeptic |Pertaining to dyspepsia; having dyspepsia; as, a dyspeptic or dyspeptical symptom.\n\nA person afflicted with dyspepsia.
dyspeptical |Pertaining to dyspepsia; having dyspepsia; as, a dyspeptic or dyspeptical symptom.
dyspeptone |An insoluble albuminous body formed from casein and other proteid substances by the action of gastric juice. Meissner.
dysphagia |Difficulty in swallowing.
dysphagy |Difficulty in swallowing.
dysphonia |A difficulty in producing vocal sounds; enfeebled or depraved voice.
dysphony |A difficulty in producing vocal sounds; enfeebled or depraved voice.
dysphoria |Impatience under affliction; morbid restlessness; dissatisfaction; the fidgets.
dyspnea |Difficulty of breathing.
dyspnoea |Difficulty of breathing.
dyspnoic |Affected with shortness of breath; relating to dyspn
dysprosium |An element of the rare earth-group. Symbol Dy; at. wt., 162.5.
dysteleology |The doctrine of purposelessness; a term applied by Haeckel to that branch of physiology which treats of rudimentary organs, in view of their being useless to the life of the organism. To the doctrine of dysteleology, or the denial of final causes, a proof of the real existence of such a thing as instinct must necessarily be fatal. Word (Dynamic Sociology).
dystocia |Difficult delivery pr parturition.
dystome |Cleaving with difficulty. Note: Datolite was called dystome spar by Mohs.
dysuria |Difficult or painful discharge of urine.
dysuric |Pertaining to, or afflicted with, dysury.
dysury |Difficult or painful discharge of urine.
dzeren |The Chinese yellow antelope (Procapra gutturosa), a remarkably swift-footed animal, inhabiting the deserts of Central Asia, Thibet, and China.
dzeron |The Chinese yellow antelope (Procapra gutturosa), a remarkably swift-footed animal, inhabiting the deserts of Central Asia, Thibet, and China.
dziggetai |The kiang, a wild horse or wild ass of Thibet (Asinus hemionus). Note: The name is sometimes applied also to the koulan or onager. See Koulan.
e |1. The fifth letter of the English alphabet. Note: It derives its form, name, and value from the Latin, the form and value being further derived from the Greek, into which it came from the Phoenician, and ultimately, probably, from the Egyptian. Its etymological relations are closest with the vowels i, a, and o, as illustrated by to fall, to fell; man, pl. men; drink, drank, drench; dint, dent; doom, deem; goose, pl. geese; beef, OF. boef, L. bos; and E. cheer, OF. chiere, LL. cara. Note: The letter e has in English several vowel sounds, the two principal being its long or name sound, as in eve, me, and the short, as in end, best. Usually at the end of words it is silent, but serves to indicate that the preceding vowel has its long sound, where otherwise it would be short, as in mane, as in cane, m, which without the final e would be pronounced m, c, m. After c and g, the final e indicates that these letters are to be pronounced as s and j; respectively, as in lace, rage. See Guide to Pronunciation, §§ 74-97. 2. (Mus.)  E is the third tone of the model diatonic scale. E (E flat) is a tone which is intermediate between D and E.
e- |A Latin prefix meaning out, out of, from; also, without. See Ex-.
e-la |Originally, the highest note in the scale of Guido; hence, proverbially, any extravagant saying. \"Why, this is above E-la!\" Beau. & Fl.
each |1. Every one of the two or more individuals composing a number of objects, considered separately from the rest. It is used either with or without a following noun; as, each of you or each one of you. \"Each of the combatants.\" Fielding. Note: To each corresponds other. \"Let each esteem other better than himself.\" Each other, used elliptically for each the other. It is our duty to assist each other; that is, it is our duty, each to assist the other, each being in the nominative and other in the objective case. It is a bad thing that men should hate each other; but it is far worse that they should contract the habit of cutting one another's throats without hatred. Macaulay. Let each His adamantine coat gird well. Milton. In each cheek appears a pretty dimple. Shak. Then draw we nearer day by day, Each to his brethren, all to God. Keble. The oak and the elm have each a distinct character. Gilpin. 2. Every; -- sometimes used interchangeably with every. Shak. I know each lane and every alley green. Milton. In short each man's happiness depends upon himself. Sterne. Note: This use of each for every, though common in Scotland and in America, is now un-English. Fitzed. Hall. Syn. -- See Every.
eachwhere |Everywhere. [Obs.] The sky eachwhere did show full bright and fair. Spenser.
eadish |See Eddish.
eager |1. Sharp; sour; acid. [Obs.] \"Like eager droppings into milk.\" Shak. 2. Sharp; keen; bitter; severe. [Obs.] \"A nipping and an eager air.\" \"Eager words.\" Shak. 3. Excited by desire in the pursuit of any object; ardent to pursue, perform, or obtain; keenly desirous; hotly longing; earnest; zealous; impetuous; vehement; as, the hounds were eager in the chase. And gazed for tidings in my eager eyes. Shak. How eagerly ye follow my disgraces! Shak. When to her eager lips is brought Her infant's thrilling kiss. Keble. A crowd of eager and curious schoolboys. Hawthorne. Conceit and grief an eager combat fight. Shak. 4. Brittle; inflexible; not ductile. [Obs.] Gold will be sometimes so eager, as artists call it, that it will as little endure the hammer as glass itself. Locke. Syn. -- Earnest; ardent; vehement; hot; impetuous; fervent; intense; impassioned; zealous; forward. See Earnest. -- Eager, Earnest. Eager marks an excited state of desire or passion; thus, a child is eager for a plaything, a hungry man is eager for food, a covetous man is eager for gain. Eagerness is liable to frequent abuses, and is good or bad, as the case may be. It relates to what is praiseworthy or the contrary. Earnest denotes a permanent state of mind, feeling, or sentiment. It is always taken in a good sense; as, a preacher is earnest in his appeals to the conscience; an agent is earnest in his solicitations.\n\nSame as Eagre.
eagerly |In an eager manner.
eagerness |1. The state or quality of being eager; ardent desire. \"The eagerness of love.\" Addison. 2. Tartness; sourness. [Obs.] Syn. -- Ardor; vehemence; earnestness; impetuosity; heartiness; fervor; fervency; avidity; zeal; craving; heat; passion; greediness.
eagle |1. (Zoöl.)  Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliæetus. The eagle is remarkable for strength, size, graceful figure, keenness of vision, and extraordinary flight. The most noted species are the golden eagle (Aquila chrysaëtus); the imperial eagle of Europe (A. mogilnik or imperialis); the American bald eagle (Haliæetus leucocephalus); the European sea eagle (H. albicilla); and the great harpy eagle (Thrasaetus harpyia). The figure of the eagle, as the king of birds, is commonly used as an heraldic emblem, and also for standards and emblematic devices. See Bald eagle, Harpy, and Golden eagle. 2. A gold coin of the United States, of the value of ten dollars. 3. (Astron.)  A northern constellation, containing Altair, a star of the first magnitude. See Aquila. 4. The figure of an eagle borne as an emblem on the standard of the ancient Romans, or so used upon the seal or standard of any people. Though the Roman eagle shadow thee. Tennyson. Note: Some modern nations, as the United States, and France under the Bonapartes, have adopted the eagle as their national emblem. Russia, Austria, and Prussia have for an emblem a double-headed eagle. Bald eagle. See Bald eagle. -- Bold eagle. See under Bold. -- Double eagle, a gold coin of the United States worth twenty dollars. -- Eagle hawk (Zoöl.), a large, crested, South American hawk of the genus Morphnus. -- Eagle owl (Zoöl.), any large owl of the genus Bubo, and allied genera; as the American great horned owl (Bubo Virginianus), and the allied European species (B. maximus). See Horned owl. -- Eagle ray (Zoöl.), any large species of ray of the genus Myliobatis (esp. M. aquila). -- Eagle vulture (Zoöl.), a large West African bid (Gypohierax Angolensis), intermediate, in several respects, between the eagles and vultures.
eagle-eyed |Sharp-sighted as an eagle. \"Inwardly eagle-eyed.\" Howell.
eagle-sighted |Farsighted and strong-sighted; sharp-sighted. Shak.
eagle-winged |Having the wings of an eagle; swift, or soaring high, like an eagle. Shak.
eagless |A female or hen eagle. [R.] Sherwood.
eaglestone |A concretionary nodule of clay ironstone, of the size of a walnut or larger, so called by the ancients, who believed that the eagle transported these stones to her nest to facilitate the laying of her eggs; aëtites.
eaglet |A young eagle, or a diminutive eagle.
eaglewood |A kind of fragrant wood. See Agallochum.
eagrass |See Eddish. [Obs.]
eagre |A wave, or two or three successive waves, of great height and violence, at flood tide moving up an estuary or river; -- commonly called the bore. See Bore.
ealderman |An alderman. [Obs.]
ealdorman |An alderman. [Obs.]
eale |Ale. [Obs.] Shak.
eame |Uncle. [Obs.] Spenser.
ean |To bring forth, as young; to yean. \"In eaning time.\" Shak.
eanling |A lamb just brought forth; a yeanling. Shak.
ear |1. The organ of hearing; the external ear. Note: In man and the higher vertebrates, the organ of hearing is very complicated, and is divisible into three parts: the external ear, which includes the pinna or auricle and meatus or external opening; the middle ear, drum, or tympanum; and the internal ear, or labyrinth. The middle ear is a cavity connected by the Eustachian tube with the pharynx, separated from the opening of the external ear by the tympanic membrane, and containing a chain of three small bones, or ossicles, named malleus, incus, and stapes, which connect this membrane with the internal ear. The essential part of the internal ear where the fibers of the auditory nerve terminate, is the membranous labyrinth, a complicated system of sacs and tubes filled with a fluid (the endolymph), and lodged in a cavity, called the bony labyrinth, in the periotic bone. The membranous labyrinth does not completely fill the bony labyrinth, but is partially suspended in it in a fluid (the perilymph). The bony labyrinth consists of a central cavity, the vestibule, into which three semicircular canals and the canal of the cochlea (spirally coiled in mammals) open. The vestibular portion of the membranous labyrinth consists of two sacs, the utriculus and sacculus, connected by a narrow tube, into the former of which three membranous semicircular canals open, while the latter is connected with a membranous tube in the cochlea containing the organ of Corti. By the help of the external ear the sonorous vibrations of the air are concentrated upon the tympanic membrane and set it vibrating, the chain of bones in the middle ear transmits these vibrations to the internal ear, where they cause certain delicate structures in the organ of Corti, and other parts of the membranous labyrinth, to stimulate the fibers of the auditory nerve to transmit sonorous impulses to the brain. 2. The sense of hearing; the perception of sounds; the power of discriminating between different tones; as, a nice ear for music; -- in the singular only. Songs . . . not all ungrateful to thine ear. Tennyson. 3. That which resembles in shape or position the ear of an animal; any prominence or projection on an object, -- usually one for support or attachment; a lug; a handle; as, the ears of a tub, a skillet, or dish. The ears of a boat are outside kneepieces near the bow. See Illust. of Bell. 4. (Arch.) (a) Same as Acroterium (a). (b) Same as Crossette. 5. Privilege of being kindly heard; favor; attention. Dionysius . . . would give no ear to his suit. Bacon. Friends, Romans, countrymen, lend me your ears. Shak. About the ears, in close proximity to; near at hand. -- By the ears, in close contest; as, to set by the ears; to fall together by the ears; to be by the ears. -- Button ear (in dogs), an ear which falls forward and completely hides the inside. -- Ear finger, the little finger. -- Ear of Dionysius, a kind of ear trumpet with a flexible tube; -- named from the Sicilian tyrant, who constructed a device to overhear the prisoners in his dungeons. -- Ear sand (Anat.), otoliths. See Otolith. -- Ear snail (Zoöl.), any snail of the genus Auricula and allied genera. -- Ear stones (Anat.), otoliths. See Otolith. -- Ear trumpet, an instrument to aid in hearing. It consists of a tube broad at the outer end, and narrowing to a slender extremity which enters the ear, thus collecting and intensifying sounds so as to assist the hearing of a partially deaf person. -- Ear vesicle (Zoöl.), a simple auditory organ, occurring in many worms, mollusks, etc. It consists of a small sac containing a fluid and one or more solid concretions or otocysts. -- Rose ear (in dogs), an ear which folds backward and shows part of the inside. -- To give ear to, to listen to; to heed, as advice or one advising. \"Give ear unto my song.\" Goldsmith. -- To have one's ear, to be listened to with favor. -- Up to the ears, deeply submerged; almost overwhelmed; as, to be in trouble up to one's ears. [Colloq.]\n\nTo take in with the ears; to hear. [Sportive] \"I eared her language.\" Two Noble Kinsmen.\n\nThe spike or head of any cereal (as, wheat, rye, barley, Indian corn, etc.), containing the kernels. First the blade, then the ear, after that the full corn in the ear. Mark iv. 28.\n\nTo put forth ears in growing; to form ears, as grain; as, this corn ears well.\n\nTo plow or till; to cultivate. \"To ear the land.\" Shak.
ear-bored |Having the ear perforated.
ear-minded |Thinking chiefly or most readily through, or in terms related to, the sense of hearing; specif., thinking words as spoken, as a result of familiarity with speech or of mental peculiarity; -- opposed to eye-minded.
ear-piercer |The earwig.
ear-shell |A flattened marine univalve shell of the genus Haliotis; -- called also sea-ear. See Abalone.
ear-splitting |Deafening; disagreeably loud or shrill; as, ear-splitting strains.
earable |Arable; tillable. [Archaic]
earache |Ache or pain in the ear.
earal |Receiving by the ear. [Obs.] Hewyt.
earcap |A cap or cover to protect the ear from cold.
earcockle |A disease in wheat, in which the blackened and contracted grain, or ear, is filled with minute worms.
eardrop |1. A pendant for the ear; an earring; as, a pair of eardrops. 2. (Bot.)  A species of primrose. See Auricula.
eardrum |The tympanum. See Illust. of Ear.
eared |1. Having (such or so many) ears; -- used in composition; as, long- eared-eared; sharp-eared; full-eared; ten-eared. 2. (Zoöl.)  Having external ears; having tufts of feathers resembling ears. Eared owl (Zoöl.), an owl having earlike tufts of feathers, as the long-eared owl, and short-eared owl. -- Eared seal (Zoöl.), any seal of the family Otariidæ, including the fur seals and hair seals. See Seal.
eariness |Fear or timidity, especially of something supernatural. [Written also eiryness.] The sense of eariness, as twilight came on. De Quincey.
earing |(a) A line used to fasten the upper corners of a sail to the yard or gaff; -- also called head earing. (b) A line for hauling the reef cringle to the yard; -- also called reef earing. (c) A line fastening the corners of an awning to the rigging or stanchions.\n\nComing into ear, as corn.\n\nA plowing of land. [Archaic] Neither earing nor harvest. Gen. xlv. 6.
earl |A nobleman of England ranking below a marquis, and above a viscount. The rank of an earl corresponds to that of a count (comte) in France, and graf in Germany. Hence the wife of an earl is still called countess. See Count.\n\nThe needlefish. [Ireland]
earl marshal |An officer of state in England who marshals and orders all great ceremonials, takes cognizance of matters relating to honor, arms, and pedigree, and directs the proclamation of peace and war. The court of chivalry was formerly under his jurisdiction, and he is still the head of the herald's office or college of arms.
earlap |The lobe of the ear.
earldom |1. The jurisdiction of an earl; the territorial possessions of an earl. 2. The status, title, or dignity of an earl. He [Pulteney] shrunk into insignificancy and an earldom. Chesterfield.
earldorman |Alderman. [Obs.]
earlduck |The red-breasted merganser (Merganser serrator).
earles penny |Earnest money. Same as Arles penny. [Obs.]
earless |Without ears; hence, deaf or unwilling to hear. Pope.
earlet |An earring. [Obs.] The Ismaelites were accustomed to wear golden earlets. Judg. viii. 24 (Douay version).
earliness |The state of being early or forward; promptness.
earlock |A lock or curl of hair near the ear; a lovelock. See Lovelock.
early |Soon; in good season; seasonably; betimes; as, come early. Those that me early shall find me. Prov. viii. 17. You must wake and call me early. Tennyson.\n\n1. In advance of the usual or appointed time; in good season; prior in time; among or near the first; -- opposed to Ant: late; as, the early bird; an early spring; early fruit. Early and provident fear is the mother of safety. Burke. The doorsteps and threshold with the early grass springing up about them. Hawthorne. 2. Coming in the first part of a period of time, or among the first of successive acts, events, etc. Seen in life's early morning sky. Keble. The forms of its earlier manhood. Longfellow. The earliest poem he composed was in his seventeenth summer. J. C. Shairp. Early English (Philol.) See the Note under English. -- Early English architecture, the first of the pointed or Gothic styles used in England, succeeding the Norman style in the 12th and 13th centuries. Syn. -- Forward; timely; not late; seasonable.
earmark |1. A mark on the ear of sheep, oxen, dogs, etc., as by cropping or slitting. 2. A mark for identification; a distinguishing mark. Money is said to have no earmark. Wharton. Flying, he [a slave] should be described by the rounding of his head, and his earmark. Robynson (More's Utopia). A set of intellectual ideas . . . have earmarks upon them, no tokens of a particular proprietor. Burrow.\n\nTo mark, as sheep, by cropping or slitting the ear.
earn |See Ern, n. Sir W. Scott.\n\n1. To merit or deserve, as by labor or service; to do that which entitles one to (a reward, whether the reward is received or not). The high repute Which he through hazard huge must earn. Milton. 2. To acquire by labor, service, or performance; to deserve and receive as compensation or wages; as, to earn a good living; to earn honors or laurels. I earn that [what] I eat. Shak. The bread I have earned by the hazard of my life or the sweat of my brow. Burke. Earned run (Baseball), a run which is made without the assistance of errors on the opposing side. Syn. -- See Obtain.\n\nTo grieve. [Obs.]\n\nTo long; to yearn. [Obs.] And ever as he rode, his heart did earn To prove his puissance in battle brave. Spenser.\n\nTo curdle, as milk. [Prov. Eng.]
earnest |Seriousness; reality; fixed determination; eagerness; intentness. Take heed that this jest do not one day turn to earnest. Sir P. Sidney. And given in earnest what I begged in jest. Shak. In earnest, serious; seriously; not in jest; earnestly.\n\n1. Ardent in the pursuit of an object; eager to obtain or do; zealous with sincerity; with hearty endeavor; heartfelt; fervent; hearty; -- used in a good sense; as, earnest prayers. An earnest advocate to plead for him. Shak. 2. Intent; fixed closely; as, earnest attention. 3. Serious; important. [Obs.] They whom earnest lets do often hinder. Hooker. Syn. -- Eager; warm; zealous; ardent; animated; importunate; fervent; sincere; serious; hearty; urgent. See Eager.\n\nTo use in earnest. [R.] To earnest them [our arms] with men. Pastor Fido (1602).\n\n1. Something given, or a part paid beforehand, as a pledge; pledge; handsel; a token of what is to come. Who hath also sealed us, and given the earnest of the Spirit in our hearts. 2 Cor. i. 22. And from his coffers Received the golden earnest of our death. Shak. 2. (Law)  Something of value given by the buyer to the seller, by way of token or pledge, to bind the bargain and prove the sale. Kent. Ayliffe. Benjamin. Earnest money (Law), money paid as earnest, to bind a bargain or to ratify and prove a sale. Syn. -- Earnest, Pledge. These words are here compared as used in their figurative sense. Earnest is not so strong as pledge. An earnest, like first fruits, gives assurance, or at least a high probability, that more is coming of the same kind; a pledge, like money deposited, affords security and ground of reliance for the future. Washington gave earnest of his talent as commander by saving his troops after Braddock's defeat; his fortitude and that of his soldiers during the winter at Valley Forge might rightly be considered a pledge of their ultimate triumph.
earnestful |Serious. [Obs.] Chaucer.
earnestly |In an earnest manner.
earnestness |The state or quality of being earnest; intentness; anxiety. An honest earnestness in the young man's manner. W. Irving.
earnful |Full of anxiety or yearning. [Obs.] P. Fletcher.
earning |That which is earned; wages gained by work or services; money earned; -- used commonly in the plural. As to the common people, their stock is in their persons and in their earnings. Burke.
earpick |An instrument for removing wax from the ear.
earreach |Earshot. Marston.
earring |An ornament consisting of a ring passed through the lobe of the ear, with or without a pendant.
earsh |See Arrish.
earshot |Reach of the ear; distance at which words may be heard. Dryden.
earshrift |A nickname for auricular confession; shrift. [Obs.] Cartwright.
earsore |An annoyance to the ear. [R.] The perpetual jangling of the chimes . . . is no small earsore Sir T. Browne.
earst |See Erst. [Obs.] Spenser.
earth |1. The globe or planet which we inhabit; the world, in distinction from the sun, moon, or stars. Also, this world as the dwelling place of mortals, in distinction from the dwelling place of spirits. That law preserves the earth a sphere And guides the planets in their course. S. Rogers. In heaven, or earth, or under earth, in hell. Milton. 2. The solid materials which make up the globe, in distinction from the air or water; the dry land. God called the dry land earth. Gen. i. 10. He is pure air and fire, and the dull elements of earth and water never appear in him. Shak. 3. The softer inorganic matter composing part of the surface of the globe, in distinction from the firm rock; soil of all kinds, including gravel, clay, loam, and the like; sometimes, soil favorable to the growth of plants; the visible surface of the globe; the ground; as, loose earth; rich earth. Give him a little earth for charity. Shak. 4. A part of this globe; a region; a country; land. Would I had never trod this English earth. Shak. 5. Worldly things, as opposed to spiritual things; the pursuits, interests, and allurements of this life. Our weary souls by earth beguiled. Keble. 6. The people on the globe. The whole earth was of one language. Gen. xi. 1. 7. (Chem.) (a) Any earthy-looking metallic oxide, as alumina, glucina, zirconia, yttria, and thoria. (b) A similar oxide, having a slight alkaline reaction, as lime, magnesia, strontia, baryta. 8. A hole in the ground, where an animal hides himself; as, the earth of a fox. Macaulay. They [ferrets] course the poor conies out of their earths. Holland. Note: Earth is used either adjectively or in combination to form compound words; as, earth apple or earth-apple; earth metal or earth- metal; earth closet or earth-closet. Adamic earth, Bitter earth, Bog earth, Chian earth, etc. See under Adamic, Bitter, etc. -- Alkaline earths. See under Alkaline. -- Earth apple. (Bot.) (a) A potato. (b) A cucumber. -- Earth auger, a form of auger for boring into the ground; -- called also earth borer. -- Earth bath, a bath taken by immersing the naked body in earth for healing purposes. -- Earth battery (Physics), a voltaic battery the elements of which are buried in the earth to be acted on by its moisture. -- Earth chestnut, the pignut. -- Earth closet, a privy or commode provided with dry earth or a similar substance for covering and deodorizing the fæcal discharges. -- Earth dog (Zoöl.), a dog that will dig in the earth, or enter holes of foxes, etc. -- Earth hog, Earth pig (Zoöl.), the aard-vark. -- Earth hunger, an intense desire to own land, or, in the case of nations, to extend their domain. -- Earth light (Astron.), the light reflected by the earth, as upon the moon, and corresponding to moonlight; -- called also earth shine. Sir J. Herschel. -- Earth metal. See 1st Earth, 7. (Chem.) -- Earth oil, petroleum. -- Earth pillars or pyramids (Geol.), high pillars or pyramids of earth, sometimes capped with a single stone, found in Switzerland. Lyell. -- Earth pitch (Min.), mineral tar, a kind of asphaltum. -- Earth quadrant, a fourth of the earth's circumference. -- Earth table (Arch.), the lowest course of stones visible in a building; the ground table. -- On earth, an intensive expression, oftenest used in questions and exclamations; as, What on earth shall I do Nothing on earth will satisfy him. [Colloq.]\n\n1. To hide, or cause to hide, in the earth; to chase into a burrow or den. \"The fox is earthed.\" Dryden. 2. To cover with earth or mold; to inter; to bury; -- sometimes with up. The miser earths his treasure, and the thief, Watching the mole, half beggars him ere noon. Young. Why this in earthing up a carcass R. Blair.\n\nTo burrow. Tickell.\n\nA plowing. [Obs.] Such land as ye break up for barley to sow, Two earths at the least, ere ye sow it, bestow. Tusser.
earth flax |A variety of asbestus. See Amianthus.
earth shine |See Earth light, under Earth.
earth-tongue |A fungus of the genus Geoglossum.
earthbag |A bag filled with earth, used commonly to raise or repair a parapet.
earthbank |A bank or mound of earth.
earthboard |The part of a plow, or other implement, that turns over the earth; the moldboard.
earthborn |1. Born of the earth; terrigenous; springing originally from the earth; human. Some earthborn giant. Milton. 2. Relating to, or occasioned by, earthly objects. All earthborn cares are wrong. Goldsmith.
earthbred |Low; grovelling; vulgar.
earthdin |An earthquake. [Obs.]
earthdrake |A mythical monster of the early Anglo-Saxon literature; a dragon. W. Spalding.
earthen |Made of earth; made of burnt or baked clay, or other like substances; as, an earthen vessel or pipe.
earthen-hearted |Hard-hearted; sordid; gross. [Poetic] Lowell.
earthenware |Vessels and other utensils, ornaments, or the like, made of baked clay. See Crockery, Pottery, Stoneware, and Porcelain.
earthfork |A pronged fork for turning up the earth.
earthiness |The quality or state of being earthy, or of containing earth; hence, grossness.
earthlight |The sunlight reflected from the earth to the moon, by which we see faintly, when the moon is near the sun (either before or after new moon), that part of the moon's disk unillumined by direct sunlight, or \"the old moon in the arms of the new.\",
  "ideational |Pertaining to, or characterized by, ideation. Certain sensational or ideational stimuli. Blackw. Mag.
earthliness |The quality or state of being earthly; worldliness; grossness; perishableness.
earthling |An inhabitant of the earth; a mortal. Earthings oft her deemed a deity. Drummond.
earthly |1. Pertaining to the earth; belonging to this world, or to man's existence on the earth; not heavenly or spiritual; carnal; worldly; as, earthly joys; earthly flowers; earthly praise. This earthly load Of death, called life. Milton. Whose glory is in their shame, who mind earthly things. Phil. iii. 19. 2. Of all things on earth; possible; conceivable. What earthly benefit can be the result Pope. 3. Made of earth; earthy. [Obs.] Holland. Syn. -- Gross; material; sordid; mean; base; vile; low; unsubstantial; temporary; corrupt; groveling.\n\nIn the manner of the earth or its people; worldly. Took counsel from his guiding eyes To make this wisdom earthly wise. Emerson.
earthly-minded |Having a mind devoted to earthly things; worldly-minded; -- opposed to spiritual-minded. -- Earth\"ly-mind`ed*ness, n.
earthmad |The earthworm. [Obs.] The earthmads and all the sorts of worms . . . are without eyes. Holland.
