cheirosophy |The art of reading character as it is delineated in the hand. -- Chei*ros\"o*phist (, n.
chock |To stop or fasten, as with a wedge, or block; to scotch; as, to chock a wheel or cask.\n\nTo fill up, as a cavity. \"The woodwork . . . exactly chocketh into joints.\" Fuller.\n\n1. A wedge, or block made to fit in any space which it is desired to fill, esp. something to steady a cask or other body, or prevent it from moving, by fitting into the space around or beneath it. 2. (Naut.)  A heavy casting of metal, usually fixed near the gunwale. It has two short horn-shaped arms curving inward, between which ropes or hawsers may pass for towing, mooring, etc.\n\nEntirely; quite; as, chock home; chock aft.\n\nTo encounter. [Obs.]\n\nAn encounter. [Obs.]
chock-full |Quite full; choke-full.
chockablock |Hoisted as high as the tackle will admit; brought close together, as the two blocks of a tackle in hoisting.
chocolate |1. A paste or cake composed of the roasted seeds of the Theobroma Cacao ground and mixed with other ingredients, usually sugar, and cinnamon or vanilla. 2. The beverage made by dissolving a portion of the paste or cake in boiling water or milk. Chocolate house, a house in which customers may be served with chocolate. -- Chocolate nut. See Cacao.
choctaws |; sing. Choctaw. (Ethnol.) A tribe of North American Indians (Southern Appalachian), in early times noted for their pursuit of agriculture, and for living at peace with the white settlers. They are now one of the civilized tribes of the Indian Territory.
chode |the old imp. of chide. See Chide.
chogset |See Cunner.
choice |1. Act of choosing; the voluntary act of selecting or separating from two or more things that which is preferred; the determination of the mind in preferring one thing to another; election. 2. The power or opportunity of choosing; option. Choice there is not, unless the thing which we take be so in our power that we might have refused it. Hooker. 3. Care in selecting; judgment or skill in distinguishing what is to be preferred, and in giving a preference; discrimination. I imagine they [the apothegms of Cæsar] were collected with judgment and choice. Bacon. 4. A sufficient number to choose among. Shak. 5. The thing or person chosen; that which is approved and selected in preference to others; selection. The common wealth is sick of their own choice. Shak. 6. The best part; that which is preferable. The flower and choice Of many provinces from bound to bound. Milton. To make a choice of, to choose; to select; to separate and take in preference. Syn. - See Volition, Option.\n\n1. Worthly of being chosen or preferred; select; superior; precious; valuable. My choicest hours of life are lost. Swift. 2. Preserving or using with care, as valuable; frugal; -- used with of; as, to be choice of time, or of money. 3. Selected with care, and due attention to preference; deliberately chosen. Choice word measured phrase. Wordsworth. Syn. - Select; precious; exquisite; uncommon; rare; chary; careful\/
choiceful |Making choices; fickle. [Obs.] His choiceful sense with every change doth fit. Spenser.
choicely |1. With care in choosing; with nice regard to preference. \"A band of men collected choicely, from each county some.\" Shak. 2. In a preferable or excellent manner; excellently; eminently. \"Choicely good.\" Walton.
choiceness |The quality of being of particular value or worth; nicely; excellence.
choir |1. A band or organized company of singers, especially in church service. [Formerly written also quire.] 2. That part of a church appropriated to the singers. 3. (Arch.)  The chancel. Choir organ (Mus.), one of the three or five distinct organs included in the full organ, each separable from the rest, but all controlled by one performer; a portion of the full organ, complete in itself, and more practicable for ordinary service and in the accompanying of the vocal choir. -- Choir screen, Choir wall (Arch.), a screen or low wall separating the choir from the aisles. -- Choir service, the service of singing performed by the choir. T. Warton.
choke |1. To render unable to breathe by filling, pressing upon, or squeezing the windpipe; to stifle; to suffocate; to strangle. With eager feeding food doth choke the feeder. Shak. 2. To obstruct by filling up or clogging any passage; to block up. Addison. 3. To hinder or check, as growth, expansion, progress, etc.; to stifle. Oats and darnel choke the rising corn. Dryden. 4. To affect with a sense of strangulation by passion or strong feeling. \"I was choked at this word.\" Swift. 5. To make a choke, as in a cartridge, or in the bore of the barrel of a shotgun. To choke off, to stop a person in the execution of a purpose; as, to choke off a speaker by uproar.\n\n1. To have the windpipe stopped; to have a spasm of the throat, caused by stoppage or irritation of the windpipe; to be strangled. 2. To be checked, as if by choking; to stick. The words choked in his throat. Sir W. Scott.\n\n1. A stoppage or irritation of the windpipe, producing the feeling of strangulation. 2. (Gun.) (a) The tied end of a cartridge. (b) A constriction in the bore of a shotgun, case of a rocket, etc.
choke damp |See Carbonic acid, under Carbonic.
choke pear |1. A kind of pear that has a rough, astringent taste, and is swallowed with difficulty, or which contracts the mucous membrane of the mouth. 2. A sarcasm by which one is put to silence; anything that can not be answered. [Low] S. Richardson.
choke-full |Full to the brim; quite full; chock-full.
choke-strap |A strap leading from the bellyband to the lower part of the collar, to keep the collar in place.
chokeberry |The small apple-shaped or pear-shaped fruit of an American shrub (Pyrus arbutifolia) growing in damp thickets; also, the shrub.
chokebore |1. In a shotgun, a bore which is tapered to a slightly smaller diameter at a short distance (usually 2½ to 3 inches) to the rear of the muzzle, in order to prevent the rapid dispersion of the shot. 2.  A shotgun that is made with such a bore.\n\nTo provide with a chokebore.
chokecherry |The astringent fruit of a species of wild cherry (Prunus Virginiana); also, the bush or tree which bears such fruit.
chokedar |A watchman; an officer of customs or police. [India]
choker |1. One who, or that which, chokes. 2. A stiff wide cravat; a stock. [Slang]
chokey |1. Tending to choke or suffocate, or having power to suffocate. 2. Inclined to choke, as a person affected with strong emotion. \"A deep and choky voice.\" Aytoun. The allusion to his mother made Tom feel rather chokey. T. Hughes.
choking |1. That chokes; producing the feeling of strangulation. 2. Indistinct in utterance, as the voice of a person affected with strong emotion.
choking coil |A coil of small resistance and large inductance, used in an alternating-current circuit to impede or throttle the current, or to change its phase; --called also reactance coil or reactor, these terms being now preferred in engineering usage.
choky |1. Tending to choke or suffocate, or having power to suffocate. 2. Inclined to choke, as a person affected with strong emotion. \"A deep and choky voice.\" Aytoun. The allusion to his mother made Tom feel rather chokey. T. Hughes.
cholaemaa |A disease characterized by severe nervous symptoms, dependent upon the presence of the constituents of the bile in the blood.
cholagogue |Promoting the discharge of bile from the system. -- n.  An agent which promotes the discharge of bile from the system.
cholate |A salt of cholic acid; as, sodium cholate.
cholecystis |The gall bladder.
cholecystotomy |The operation of making an opening in the gall bladder, as for the removal of a gallstone.
choledology |A treatise on the bile and bilary organs. Dunglison. Note: Littré says that the word cholédologie is absolutely barbarous, there being no Greek word cholology.
choleic |Pertaining to, or obtained from, bile; as, choleic acid.
choler |1. The bile; -- formerly supposed to be the seat and cause of irascibility. [Obs.] His [Richard Hooker's] complexion . . . was sanguine, with a mixture of choler; and yet his motion was slow. I. Warton. 2. Irritation of the passions; anger; wrath. He is rash and very sudden in choler. Shak.
cholera |One of several diseases affecting the digestive and intestinal tract and more or less dangerous to life, esp. the one commonly called Asiatic cholera. Asiatic cholera, a malignant and rapidly fatal disease, originating in Asia and frequently epidemic in the more filthy sections of other lands, to which the germ or specific poison may have been carried. It is characterized by diarrhea, rice- water evacuations, vomiting, cramps, pinched expression, and lividity, rapidly passing into a state of collapse, followed by death, or by a stage of reaction of fever. -- Cholera bacillus. See Comma bacillus. -- Cholera infantum, a dangerous summer disease, of infants, caused by hot weather, bad air, or poor milk, and especially fatal in large cities. -- Cholera morbus, a disease characterized by vomiting and purging, with gripings and cramps, usually caused by imprudence in diet or by gastrointestinal disturbance. -- Chicken cholera. See under Chicken. -- Hog cholera. See under Hog. -- Sporadic cholera, a disease somewhat resembling the Asiatic cholera, but originating where it occurs, and rarely becoming epidemic.
choleraic |Relating to, or resulting from, or resembling, cholera.
choleric |1. Abounding with, or producing choler, or bile. Dryden. 2. Easily irritated; irascible; inclined to anger. 3. Angry; indicating anger; excited by anger. \"Choleric speech.\" Sir W. Raleigh. Choleric temperament, the bilious temperament.
cholericly |In a choleric manner; angrily.
choleriform |Resembling cholera.
cholerine |(a) The precursory symptoms of cholera. (b) The first stage of epidemic cholera. (c) A mild form of cholera.
choleroid |Choleriform.
cholesteric |Pertaining to cholesterin, or obtained from it; as, cholesteric acid. Ure.
cholesterin |A white, fatty, crystalline substance, tasteless and odorless, found in animal and plant products and tissue, and especially in nerve tissue, in the bile, and in gallstones.
choliamb |A verse having an iambus in the fifth place, and a spondee in the sixth or last.
choliambic |A verse having an iambus in the fifth place, and a spondee in the sixth or last.
cholic |Pertaining to, or obtained from, the bile. Cholic acid (Chem.), a complex organic acid found as a natural constituent of taurocholic and glycocholic acids in the bile, and extracted as a resinous substance, convertible under the influence of ether into white crystals.
choline |See Neurine.
cholinic |Pertaining to, or obtained from, the bile. Cholic acid (Chem.), a complex organic acid found as a natural constituent of taurocholic and glycocholic acids in the bile, and extracted as a resinous substance, convertible under the influence of ether into white crystals.
cholochrome |See Bilirubin.
cholophaein |See Bilirubin.
choltry |A Hindoo caravansary.
chomage |1.  Stoppage; cessation (of labor). 2.  A standing still or idle (of mills, factories, etc.).
chomp |To chew loudly and greedily; to champ. [Prov. Eng. & Colloq. U. S.] Halliwell.
chondrification |Formation of, or conversion into, cartilage.
chondrify |To convert, or be converted, into cartilage.
chondrigen |The chemical basis of cartilage, converted by long boiling in water into a gelatinous body called chondrin.
chondrigenous |Affording chondrin.
chondrin |A colorless, amorphous, nitrogenous substance, tasteless and odorless, formed from cartilaginous tissue by long-continued action of boiling water. It is similar to gelatin, and is a large ingredient of commercial gelatin.
chondrite |A meteoric stone characterized by the presence of chondrules.
chondritic |Granular; pertaining to, or having the granular structure characteristic of, the class of meteorites called chondrites.
chondritis |An inflammation of cartilage.
chondro- |A combining form meaning a grain, granular, granular cartilage, cartilaginous; as, the chondrocranium, the cartilaginous skull of the lower vertebrates and of embryos.
chondrodite |A fluosilicate of magnesia and iron, yellow to red in color, often occurring in granular form in a crystalline limestone.
chondroganoidea |An order of ganoid fishes, including the sturgeons; -- so called on account of their cartilaginous skeleton.
chondrogen |Same as Chondrigen.
chondrogenesis |The development of cartilage.
chondroid |Resembling cartilage.
chondrology |The science which treats of cartilages. Dunglison.
chondroma |A cartilaginous tumor or growth.
chondrometer |A steelyard for weighting grain.
chondropterygian |Having a cartilaginous skeleton. -- n.  One of the Chondropterygii.
chondropterygii |A group of fishes, characterized by cartilaginous fins and skeleton. It includes both ganoids (sturgeons, etc.) and selachians (sharks), but is now often restricted to the latter. [Written also Chondropterygia.]
chondrostei |An order of fishes, including the sturgeons; -- so named because the skeleton is cartilaginous.
chondrotomy |The dissection of cartilages.
chondrule |A peculiar rounded granule of some mineral, usually enstatite or chrysolite, found imdedded more or less aboundantly in the mass of many meteoric stones, which are hence called chondrites.
choose |1. To make choice of; to select; to take by way of preference from two or more objects offered; to elect; as, to choose the least of two evils. Choose me for a humble friend. Pope. 2. To wish; to desire; to prefer. [Colloq.] The landlady now returned to know if we did not choose a more genteel apartment. Goldsmith. To choose sides. See under Side. Syn. - To select; prefer; elect; adopt; follow. -- To Choose, Prefer, Elect. To choose is the generic term, and denotes to take or fix upon by an act of the will, especially in accordance with a decision of the judgment. To prefer is to choose or favor one thing as compared with, and more desirable than, another, or more in accordance with one's tastes and feelings. To elect is to choose or select for some office, employment, use, privilege, etc., especially by the concurrent vote or voice of a sufficient number of electors. To choose a profession; to prefer private life to a public one; to elect members of Congress.\n\n1. To make a selection; to decide. They had only to choose between implicit obedience and open rebellion. Prescott. 2. To do otherwise. \"Can I choose but smile\" Pope. Can not choose but, must necessarily. Thou canst not choose but know who I am. Shak.
chooser |One who chooses; one who has the power or right of choosing; an elector. Burke.
chop |1. To cut by striking repeatedly with a sharp instrument; to cut into pieces; to mince; -- often with up. 2. To sever or separate by one more blows of a sharp instrument; to divide; -- usually with off or down. Chop off your hand, and it to the king. Shak. 3. To seize or devour greedily; -- with up. [Obs.] Upon the opening of his mouth he drops his breakfast, which the fox presently chopped up. L'estrange.\n\n1. To make a quick strike, or repeated strokes, with an ax or other sharp instrument. 2. To do something suddenly with an unexpected motion; to catch or attempt to seize. Out of greediness to get both, he chops at the shadow, and loses the substance. L'Estrange. 3. To interrupt; -- with in or out. This fellow interrupted the sermon, even suddenly chopping in. Latimer.\n\n1. To barter or truck. 2. To exchange; substitute one thing for another. We go on chopping and changing our friends. L'Estrange. To chop logic, to dispute with an affected use of logical terms; to argue sophistically.\n\n1. To purchase by way of truck. 2. (Naut.)  To vary or shift suddenly; as, the wind chops about. 3. To wrangle; to altercate; to bandy words. Let not the counsel at the bar chop with the judge. Bacon.\n\nA change; a vicissitude. Marryat.\n\nTo crack. See Chap, v. t. & i.\n\n1. The act of chopping; a stroke. 2. A piece chopped off; a slice or small piece, especially of meat; as, a mutton chop. 3. A crack or cleft. See Chap.\n\n1. A jaw of an animal; -- commonly in the pl. See Chops. 2. A movable jaw or cheek, as of a wooden vise. 3. The land at each side of the mouth of a river, harbor, or channel; as, East Chop or West Chop. See Chops.\n\n1. Quality; brand; as, silk of the first chop. 2. A permit or clearance. Chop dollar, a silver dollar stamped to attest its purity. -- chop of tea, a number of boxes of the same make and quality of leaf. -- Chowchow chop. See under Chowchow. -- Grand chop, a ship's port clearance. S. W. Williams.
chop sooy |A mélange served in Chinese restaurants to be eaten with rice, noodles, etc. It consists typically of bean sprouts, onions, mushrooms, etc., and sliced meats, fried and flavored with sesame oil. [U. S.]
chop suey |A mélange served in Chinese restaurants to be eaten with rice, noodles, etc. It consists typically of bean sprouts, onions, mushrooms, etc., and sliced meats, fried and flavored with sesame oil. [U. S.]
chop-logic |One who bandies words or is very argunentative. [Jocular] Shak.
chopboat |A licensed lighter employed in the transportation of goods to and from vessels. [China] S. W. Williams.
chopchurch |An exchanger or an exchange of benefices. [Cant]
chopfallen |Having the lower chop or jaw depressed; hence, crestfallen; dejected; dispirited;downcast. See Chapfallen.
chophouse |A house where chops, etc., are sold; an eating house. The freedom of a chophouse. W. Irving.\n\nA customhouse where transit duties are levied. [China] S. W. Williams.
chopin |A liquid measure formerly used in France and Great Britain, varying from half a pint to a wine quart.\n\nSee Chopine.
chopine |A clog, or patten, having a very thick sole, or in some cases raised upon a stilt to a height of a foot or more. [Variously spelt chioppine, chopin, etc.] Your ladyship is nearer to heaven than when I saw you last, by the altitude of a chopine. Shak.
chopness |A kind of spade. [Eng.]
chopper |One who, or that which, chops.
chopping |Stout or plump; large. [Obs.] Fenton.\n\nShifting or changing suddenly, as the wind; also, having tumbling waves dashing against each other; as, a chopping sea.\n\nAct of cutting by strokes. Chopping block, a solid block of wood on which butchers and others chop meat, etc. -- Chopping knife, a knife for chopping or mincing meat, vegetables, etc.; -- usually with a handle at the back of the blade instead of at the end.
choppy |1. Full of cracks. \"Choppy finger.\" Shak. 2. Etym: [Cf. Chop a change.]  Rough, with short, tumultuous waves; as, a choppy sea.
chops |1. The jaws; also, the fleshy parts about the mouth. 2. The sides or capes at the mouth of a river, channel, harbor, or bay; as, the chops of the English Channel.
chopstick |One of two small sticks of wood, ivory, etc., used by the Chinese and Japanese to convey food to the mouth.
choragic |Of or pertaining to a choragus. Choragic monument, a building or column built by a victorious choragus for the reception and exhibition of the tripod which he received as a prize. Those of Lysicrates and Thrasyllus are still to be seen at Athens.
choragus |A chorus leader; esp. one who provided at his own expense and under his own supervision one of the choruses for the musical contents at Athens.
choral |Of or pertaining to a choir or chorus; singing, sung, or adapted to be sung, in chorus or harmony. Choral service, a service of song.\n\nA hymn tune; a simple sacred tune, sung in unison by the congregation; as, the Lutheran chorals. [Sometimes written chorale.]
choralist |A singer or composer of chorals.
chorally |In the manner of a chorus; adapted to be sung by a choir; in harmony.
chord |1. The string of a musical instrument. Milton. 2. (Mus.)  A combination of tones simultaneously performed, producing more or less perfect harmony, as, the common chord. 3. (Geom.)  A right line uniting the extremities of the arc of a circle or curve. 4. (Anat.)  A cord. See Cord, n., 4. 5. (Engin.)  The upper or lower part of a truss, usually horizontal, resisting compression or tension. Waddell. Accidental, Common, and Vocal chords. See under Accidental, Common, and Vocal. -- Chord of an arch. See Illust. of Arch. -- Chord of curvature, a chord drawn from any point of a curve, in the circle of curvature for that point. -- Scale of chords. See Scale.\n\nTo provide with musical chords or strings; to string; to tune. When Jubal struck the chorded shell. Dryden. Even the solitary old pine tree chords his harp. Beecher.\n\nTo accord; to harmonize together; as, this note chords with that.
chorda |A cord. Chorda dorsalis (. Etym: [NL., lit., cord of the back.] (Anat.) See Notochord.
chordal |Of or pertaining to a chord.
chordata |A comprehensive division of animals including all Vertebrata together with the Tunicata, or all those having a dorsal nervous cord.
chordee |A painful erection of the penis, usually with downward curvature, occurring in gonorrhea.
chore |A small job; in the pl., the regular or daily light work of a household or farm, either within or without doors. [U. S.]\n\nTo do chores. [U. S.]\n\nA choir or chorus. [Obs.] B. Jonson.
chorea |St. Vitus's dance; a disease attended with convulsive twitchings and other involuntary movements of the muscles or limbs.
choree |See Choreus.\n\n(a) a trochee. (b) A tribrach.
choregraphic |Pertaining to choregraphy.
