informed |Unformed or ill-formed; deformed; shapeless. [Obs.] Spenser. Informed stars. See under Unformed.
inofficious |1. Indifferent to obligation or duty. [Obs.] Thou drown'st thyself in inofficious sleep. B. Jonson. 2. Not officious; not civil or attentive. [Obs.] Jonhson. 3. (Law)  Regardless of natural obligation; contrary to natural duty; unkind; -- commonly said of a testament made without regard to natural obligation, or by which a child is unjustly deprived of inheritance. \"The inofficious testament.\" Blackstone. \"An inofficious disposition of his fortune.\" Paley.
inofficiously |Not-officiously.
inogen |A complex nitrogenous substance, which, by Hermann's hypothesis, is continually decomposed and reproduced in the muscles, during their life.
inoperation |Agency; influence; production of effects. [Obs.] Bp. Hall.
inoperative |Not operative; not active; producing no effects; as, laws renderd inoperative by neglect; inoperative remedies or processes.
inopercular |Having no operculum; -- said of certain gastropod shells.
inoperculate |Having no operculum; -- said of certain gastropod shells.
inopinable |Not to be expected; inconceivable. [Obs.] \"Inopinable, incredible . . . saings.\" Latimer.
inopinate |Not expected or looked for. [Obs.]
inopportune |Not opportune; inconvenient; unseasonable; as, an inopportune occurrence, remark, etc. No visit could have been more inopportune. T. Hook.
inopportunely |Not opportunely; unseasonably; inconveniently.
inopportunity |Want of opportunity; unseasonableness; inconvenience. [R.]
inoppressive |Not oppressive or burdensome. O. Wolcott.
inopulent |Not opulent; not affluent or rich.
inordinacy |The state or quality of being inordinate; excessiveness; immoderateness; as, the inordinacy of love or desire. Jer. Taylor.
inordinate |Not limited to rules prescribed, or to usual bounds; irregular; excessive; immoderate; as, an inordinate love of the world. \"Inordinate desires.\" Milton. \"Inordinate vanity.\" Burke. -- In*or\"di*nate*ly, adv. -- In*or\"di*nate*ness, n.
inordination |Deviation from custom, rule, or right; irregularity; inordinacy. [Obs.] South. Every inordination of religion that is not in defect, is properly called superstition. Jer. Taylor.
inorganic |Not organic; without the organs necessary for life; devoid of an organized structure; unorganized; lifeness; inanimate; as, all chemical compounds are inorganic substances. Note: The term inorganic is used to denote any one the large series of substances (as minerals, metals, etc.), which are not directly connected with vital processes, either in origin or nature, and which are broadly and relatively contrasted with organic subscances. See Organic. Inorganic Chemistry. See under Chemistry.
inorganical |Inorganic. Locke.
inorganically |In an inorganic manner.
inorganity |Quality of being inorganic. [Obs.] \"The inorganity of the soul.\" Sir T. Browne.
inorganization |The state of being without organization.
inorganized |Not having organic structure; devoid of organs; inorganic.
inorthography |Deviation from correct orthography; bad spelling. [Obs.] Feltham.
inosculate |1. To unite by apposition or contact, as two tubular vessels at their extremities; to anastomose. 2. To intercommunicate; to interjoin. The several monthly divisions of the journal may inosculate, but not the several volumes. De Quincey.\n\n1. To unite by apposition or contact, as two vessels in an animal body. Berkeley. 2. To unite intimately; to cause to become as one. They were still together, grew (For so they said themselves) inosculated. Tennyson.
inosculation |The junction or connection of vessels, channels, or passages, so that their contents pass from one to the other; union by mouths or ducts; anastomosis; intercommunication; as, inosculation of veins, etc. Ray.
inosinic |Pertaining to, or derived from, inosite; as, inosinic acid.
inosite |A white crystalline substance with a sweet taste, found in certain animal tissues and fluids, particularly in the muscles of the heart and lungs, also in some plants, as in unripe pease, beans, potato sprouts, etc. Called also phaseomannite. Note: Chemically,it has the composition represented by the formula, C6H12O6+H2O, and was formerly regarded as a carbohydrate, isomeric with dextrose, but is now known to be an aromatic compound (a hexacid phenol derivative of benzene).
inoxidizable |Incapable of being oxidized; as, gold and platinum are inoxidizable in the air.
inoxidize |To prevent or hinder oxidation, rust, or decay; as, inoxidizing oils or varnishes.
inpatient |A patient who receives lodging and food, as well as treatment, in a hospital or an infirmary; -- distinguished from outpatient.
inquartation |Quartation.
inquest |1. Inquiry; quest; search. [R.] Spenser. The laborious and vexatious inquest that the soul must make after science. South. 2. (Law) (a) Judicial inquiry; official examination, esp. before a jury; as, a coroner's inquest in case of a sudden death. (b) A body of men assembled under authority of law to inquire into any matterm civil or criminal, particularly any case of violent or sudden death; a jury, particularly a coroner's jury. The grand jury is sometimes called the grand inquest. See under Grand. (c) The finding of the jury upon such inquiry. Coroner's inquest, an inquest held by a coroner to determine the cause of any violent, sudden, or mysterious death. See Coroner. -- Inquest of office, an inquiry made, by authority or direction of proper officer, into matters affecting the rights and interests of the crown or of the state. Craig. Bouvier.
inquiet |To disquiet. [Obs.] Joye.
inquietation |Disturbance. [Obs.] Sir T. Elyot.
inquietness |Unquietness. [Obs.] Joye.
inquietude |Disturbed state; uneasiness either of body or mind; restlessness; disquietude. Sir H. Wotton.
inquiline |A gallfly which deposits its eggs in galls formed by other insects.
inquinate |To defile; to pollute; to contaminate; to befoul. [Obs.] Sir T. Browne.
inquination |A defiling; pollution; stain. [Obs.] Bacon.
inquirable |Capable of being inquired into; subject or liable to inquisition or inquest. Bacon.
inquirance |Inquiry. [Obs.] Latimer.
inquire |1. To ask a question; to seek for truth or information by putting queries. We will call the damsel, and inquire. Gen. xxiv. 57. Then David inquired of the Lord yet again. And the Lord answered him. 1 Sam. xxiii. 4. 2. To seek to learn anything by recourse to the proper means of knoledge; to make examination. And inquire Gladly into the ways of God with man. Miltom. Note: This word is followed by of before the person asked; as, to inquire of a neighbor. It is followed by concerning, after, or about, before the subject of inquiry; as, his friends inquired about or concerning his welfare. \"Thou dost not inquire wisely concerning this.\" Eccl. vii. 10. It is followed by into when search is made for particular knowledge or information; as, to inquire into the cause of a sudden death. It is followed by for or after when a place or person is sought, or something is missing. \"Inquire in the house of Judas for one called Saul of Tarsus.\" Acts ix. 11.\n\n1. To ask about; to seek to know by asking; to make examination or inquiry respecting. Having thus at length inquired the truth concerning law and dispense. Milton. And all obey and few inquire his will. Byron. 2. To call or name. [Obs.] Spenser. Syn. -- To ask; question. See Question.
inquirent |Making inquiry; inquiring; questioning. [Obs.] Shenstone.
inquirer |One who inquires or examines; questioner; investigator. Locke. Expert inquirers after truth. Cowper.
inquiring |Given to inquiry; disposed to investigate causes; curious; as, an inquiring mind.
inquiringly |In an inquiring manner.
inquiry |1. The act of inquiring; a seeking for information by asking questions; interrogation; a question or questioning. He could no path nor track of foot descry, Nor by inquiry learn, nor guess by aim. Spenser. The men which were sent from Cornelius had made inquiry for Simon's house, and stood before the gate. Acts x. 17. 2. Search for truth, information, or knoledge; examination into facts or principles; research; invextigation; as, physical inquiries. All that is wanting to the perfection of this art will undoubtedly be found, if able men . . . will make inquiry into it. Dryden. Court of inquiry. See under Court. -- Writ of inquiry, a writ issued in certain actions at law, where the defendant has suffered judgment to pass against him by default, in order to ascertain and assess the plaintiff's damages, where they can not readily be ascertained by mere calculation. Burrill. Syn. -- Interrogation; interrogatory; question; query; scrutiny; investigation; research; examination.
inquisible |Admitting judicial inquiry. [Obs.] Sir M. Hale.
inquisition |1. The act of inquiring; inquiry; search; examination; inspection; investigation. As I could learn through earnest inquisition. Latimer. Let not search and inquisition quail To bring again these foolish runaways. Shak. 2. (Law) (a) Judicial inquiry; official examination; inquest. (b) The finding of a jury, especially such a finding under a writ of inquiry. Bouvier. The justices in eyre had it formerly in charge to make inquisition concerning them by a jury of the county. Blackstone. 3. (R. C. Ch.)  A court or tribunal for the examination and punishment of heretics, fully established by Pope Gregory IX. in 1235. Its operations were chiefly confined to Spain, Portugal, and their dependencies, and a part of Italy.\n\nTo make inquisistion concerning; to inquire into. [Obs.] Milton.
inquisitional |Relating to inquiry or inquisition; inquisitorial; also, of or pertaining to, or characteristic of, the Inquisition. All the inquisitional rigor . . . executed upon books. Milton.
inquisitionary |Inquisitional.
inquisitive |1. Disposed to ask questions, especially in matters which do not concern the inquirer. A wise man is not inquisitive about things impertinent. Broome. 2. Given to examination, investigation, or research; searching; curious. A young, inquisitive, and sprightly genius. I. Watts. Syn. -- Inquiring; prying; curious; meddling; intrusive. -- Inquisitive, Curious, Prying. Curious denotes a feeling, and inquisitive a habit. We are curious when we desire to learn something new; we are inquisitive when we set ourselves to gain it by inquiry or research. Prying implies inquisitiveness, and is more commonly used in a bad sense, as indicating a desire to penetrate into the secrets of others. [We] curious are to hear, What happens new. Milton. This folio of four pages [a newspaper], happy work! Which not even critics criticise; that holds Inquisitive attention, while I read. Cowper. Nor need we with a prying eye survey The distant skies, to find the Milky Way. Creech.\n\nA person who is inquisitive; one curious in research. Sir W. Temple.
inquisitively |In an inquisitive manner. The occasion that made him afterwards so inquisitively apply himself to the study of physic. Boyle.
inquisitiveness |The quality or state of being inquisitive; the disposition to seek explanation and information; curiosity to learn what is unknown; esp., uncontrolled and impertinent curiosity. Mr. Boswell, whose inquisitiveness is seconded by great activity, scrambled in at a high window. Johnson. Curiosity in children nature has provided, to remove that ignorance they were born with; which, without this busy inquisitiveness, will make them dull. Locke.
inquisitor |1. An inquisitive person; one fond of asking questions. [R.] \"Inquisitors are tatlers.\" Feltham. 2. (Law)  One whose official duty it is to examine and inquire, as coroners, sheriffs, etc. Mozley & W. 3. (R.C.Ch.)  A member of the Court of Inquisition.
inquisitorial |1. Pertaining to inquisition; making rigorous and unfriendly inquiry; searching; as, inquisitorial power. \"Illiberal and inquisitorial abuse.\" F. Blackburne. He conferred on it a kind of inquisitorial and censorious power even over the laity, and directed it to inquire into all matters of conscience. Hume. 2. Pertaining to the Court of Inquisition or resembling its practices. \"Inquisitorial robes.\" C. Buchanan.
inquisitorially |In an inquisitorial manner.
inquisitorious |Making strict inquiry; inquisitorial. [Obs.] Milton.
inquisiturient |Inquisitorial. [Obs.] \"Our inquisiturient bishops.\" Milton.
inracinate |To enroot or implant.
inrail |To rail in; to inclose or surround, as with rails. Hooker.
inregister |To register; to enter, as in a register. [R.] Walsh.
inro |A small closed receptacle or set of receptacles of hard material, as lacquered wood, iron, bronze, or ivory, used by the Japanese to hold medicines, perfumes, and the like, and carried in the girdle. It is usually secured by a silk cord by which the wearer may grasp it, which cord passes through an ornamental button or knob called a netsuke.
inroad |The entrance of an enemy into a country with purposes of hostility; a sudden or desultory incursion or invasion; raid; encroachment. The loss of Shrewsbury exposed all North Wales to the daily inroads of the enemy. Clarendon. With perpetual inroads to alarm, Though inaccessible, his fatal throne. Milton. Syn. -- Invasion; incursion; irruption. See Invasion.\n\nTo make an inroad into; to invade. [Obs.] The Saracens . . . conquered Spain, inroaded Aquitaine. Fuller.
inroll |See Enroll.
inrunning |The act or the place of entrance; an inlet. Tennyson.
inrush |A rush inwards; as, the inrush of the tide. G. Eliot.\n\nTo rush in. [Obs.] Holland.
insabbatati |The Waldenses; -- so called from their peculiary cut or marked sabots, or shoes.
insafety |Insecurity; danger. [Obs.]
insalivation |The mixing of the food with the saliva and other secretions of the mouth in eating.
insalubrious |Not salubrious or healthful; unwholesome; as, an insalubrious air or climate.
insalubrity |Unhealthfulness; unwholesomeness; as, the insalubrity of air, water, or climate. Boyle.
insalutary |1. Not salutary or wholesome; unfavorable to health. 2. Not tending to safety; productive of evil.
insanability |The state of being insanable or incurable; insanableness.
insanable |Not capable of being healed; incurable; irremediable.
insanableness |The state of being insanable; insanability; incurableness.
insanably |In an incurable manner.
insane |1. Exhibiting unsoundness or disorded of mind; not sane; mad; deranged in mind; delirious; distracted. See Insanity, 2. 2. Used by, or appropriated to, insane persons; as, an insane hospital. 3. Causing insanity or madness. [R.] Or have we eaten on the insaneroot That takes the reason prisoner Shak. 4. Characterized by insanity or the utmost folly; chimerical; unpractical; as, an insane plan, attempt, etc. I know not which was the insane measure. Southey.
insanely |Without reason; madly; foolishly.
insaneness |Insanity; madness.
insaniate |To render unsound; to make mad. [Obs.] Feltham.
insanie |Insanity. [Obs.] Shak.
insanitary |Not sanitary; unhealthy; as, insanitary conditions of drainage.
insanitation |Lack of sanitation; careless or dangerous hygienic conditions.
insanity |1. The state of being insane; unsoundness or derangement of mind; madness; lunacy. All power of fancy overreason is a degree of insanity. Johnson. Without grace The heart's insanity admits no cure. Cowper. 2. (Law)  Such a mental condition, as, either from the existence of delusions, or from incapacity to distinguish between right and wrong, with regard to any matter under action, does away with individual responsibility. Syn. - Insanity, Lunacy, Madness, Derangement, Aliention, Aberration, Mania, Delirium, Frenzy, Monomania, Dementia. Insanity is the generic term for all such diseases; lunacy has now an equal extent of meaning, though once used to denote periodical insanity; madness has the same extent, though originally referring to the rage created by the disease; derangement, alienation, are popular terms for insanity; delirium, mania, and frenzy denote excited states of the disease; dementia denotes the loss of mental power by this means; monomania is insanity upon a single subject.
insapory |Tasteless; unsavory. [R.] Sir T. Herbert.
insatiability |The state or quality of being insatiable; insatiableness. Eagerness for increase of possession deluges the soul, and we sink into the gulfs of insatiability. Rambler.
insatiable |Not satiable; incapable of being satisfied or appeased; very greedy; as, an insatiable appetite, thirst, or desire. \"Insatiable of glory.\" Milton.
insatiableness |Greediness of appetite that can not be satisfied or appeased; insatiability. The eye of the covetous hath a more particular insatiableness. Bp. Hall.
insatiably |In an insatiable manner or degree; unappeasably. \"Insatiably covetous.\" South.
insatiate |Insatiable; as, insatiate thirst. The insatiate greediness of his desires. Shak. And still insatiate, thirsting still for blood. Hook.
insatiately |Insatiably. Sir T. Herbert.
insatiateness |The state of being insatiate.
insatiety |Insatiableness. T. Grander.
insatisfaction |1. Insufficiency; emptiness. [Obs.] Bacon. 2. Dissatisfaction. [Obs.] Sir T. Browne.
insaturable |Not capable of being saturated or satisfied.
inscience |Want of knowledge; ignorance. [Obs.]
inscient |Having little or no knowledge; ignorant; stupid; silly. [R.] N. Bacon.\n\nHaving knowledge or insight; intelligent. [R.] Gaze on, with inscient vision, toward the sun. Mrs. Browning.
insconce |See Ensconce.
inscribable |Capable of being inscribed, -- used specif. (Math.) of solids or plane figures capable of being inscribed in other solids or figures.
inscribableness |Quality of being inscribable.
inscribe |1. To write or engrave; to mark down as something to be read; to imprint. Inscribe a verse on this relenting stone. Pope. 2. To mark with letters, charakters, or words. O let thy once lov'd friend inscribe thy stone. Pope. 3. To assign or address to; to commend to by a shot address; to dedicate informally; as, to inscribe an ode to a friend. Dryden. 4. To imprint deeply; to impress; to stamp; as, to inscribe a sentence on the memory. 5. (Geom.)  To draw within so as to meet yet not cut the boundaries. Note: A line is inscribed in a circle, or in a sphere, when its two ends are in the circumference of the circle, or in the surface of the sphere. A triangle is inscribed in another triangle, when the three angles of the former are severally on the three sides of the latter. A circle is inscribed in a polygon, when it touches each side of the polygon. A sphere is inscribed in a polyhedron, when the sphere touches each boundary plane of the polyhedron. The latter figure in each case is circumscribed about the former.
inscriber |One who inscribes. Pownall.
inscriptible |Capable of being inscribed; inscribable.
inscription |1. The act or process of inscribing. 2. That which is inscribed; something written or engraved; especially, a word or words written or engraved on a solid substance for preservation or public inspection; as, inscriptions on monuments, pillars, coins, medals, etc. 3. (Anat.)  A line of division or intersection; as, the tendinous inscriptions, or intersections, of a muscle. 4. An address, consignment, or informal dedication, as of a book to a person, as a mark of respect or an invitation of patronage.
inscriptive |Bearing inscription; of the character or nature of an inscription.
inscroll |To write on a scroll; to record. [Written also inscrol.] Shak.
inscrutability |The quality or state of being inscrutable; inscrutableness.
inscrutable |Unsearchable; incapable of being searched into and understood by inquiry or study; impossible or difficult to be explained or accounted for satisfactorily; obscure; incomprehensible; as, an inscrutable design or event. 'T is not in man To yield a reason for the will of Heaven Which is inscrutable. Beau. & Fl. Waiving a question so inscrutable as this. De Quincey.
inscrutableness |The quality or state of being inscrutable; inscrutability.
inscrutably |In an inscrutable manner.
insculp |To engrave; to carve; to sculpture. [Obs. & R.] Shak. Which he insculped in two likely stones. Drayton.
insculption |Inscription. [Obs.]
insculpture |An engraving, carving, or inscription. [Obs.] On his gravestone this insculpture. Shak.
insculptured |Engraved. Glover.
inseam |To impress or mark with a seam or cicatrix. Pope.
insearch |To make search after; to investigate or examine; to ensearch. [Obs.]
insecable |Incapable of being divided by cutting; indivisible.
insect |1. (Zoöl.)  One of the Insecta; esp., one of the Hexapoda. See Insecta. Note: The hexapod insects pass through three stages during their growth, viz., the larva, pupa, and imago or adult, but in some of the orders the larva differs little from the imago, except in lacking wings, and the active pupa is very much like the larva, except in having rudiments of wings. In the higher orders, the larva is usually a grub, maggot, or caterpillar, totally unlike the adult, while the pupa is very different from both larva and imago and is inactive, taking no food. 2. (Zoöl.)  Any air-breathing arthropod, as a spider or scorpion. 3. (Zoöl.)  Any small crustacean. In a wider sense, the word is often loosely applied to various small invertebrates. 4. Fig.: Any small, trivial, or contemptible person or thing. Thomson. Insect powder,a powder used for the extermination of insects; esp., the powdered flowers of certain species of Pyrethrum, a genus now merged in Chrysanthemum. Called also Persian powder.\n\n1. Of or pertaining to an insect or insects. 2. Like an insect; small; mean; ephemeral.
insecta |1. (Zoöl.)  One of the classes of Arthropoda, including those that have one pair of antennæ, three pairs of mouth organs, and breathe air by means of tracheæ, opening by spiracles along the sides of the body. In this sense it includes the Hexapoda, or six-legged insects and the Myriapoda, with numerous legs. See Insect, n. 2. (Zoöl.)  In a more restricted sense, the Hexapoda alone. See Hexapoda. 3. (Zoöl.)  In the most general sense, the Hexapoda, Myriapoda, and Arachnoidea, combined. Note: The typical Insecta, or hexapod insects, are divided into several orders, viz.: Hymenoptera, as the bees and ants; Diptera, as the common flies and gnats; Aphaniptera, or fleas; Lepidoptera, or moths and butterflies; Neuroptera, as the ant-lions and hellgamite; Coleoptera, or beetles; Hemiptera, as bugs, lice, aphids; Orthoptera, as grasshoppers and cockroaches; Pseudoneuroptera, as the dragon flies and termites; Euplexoptera, or earwings; Thysanura, as the springtails, podura, and lepisma. See these words in the Vocabulary.
insectary |A place for keeping living insects. -- In`sec*ta\"ri*um, n. Etym: [L.]
insectation |The act of pursuing; pursuit; harassment; persecution. [Obs.] Sir T. More.
insectator |A pursuer; a persecutor; a censorious critic. [Obs.] Bailey.
insected |Pertaining to, having the nature of, or resembling, an insect. Howell.
insecticide |An agent or preparation for destroying insects; an insect powder. -- In*sec\"ti*ci`dal, a.
insectile |Pertaining to, or having the nature of, insects. Bacon.
insection |A cutting in; incisure; incision.
