lady-killer |A gallant who captivates the hearts of women. \"A renowned dandy and lady-killer.\" Blackw. Mag.
lapidary |1. An artificer who cuts, polishes, and engraves precious stones; hence, a dealer in precious stones. 2. A virtuoso skilled in gems or precious stones; a connoisseur of lapidary work. Lapidary's lathe, mill, or wheel, a machine consisting essentially of a revolving lap on a vertical spindle, used by a lapidary for grinding and polishing.\n\n1. Of or pertaining to the art of cutting stones, or engraving on stones, either gems or monuments; as, lapidary ornamentation. 2. Of or pertaining to monumental inscriptions; as, lapidary adulation. Lapidary style, that style which is proper for monumental and other inscriptions; terse; sententious.
lapidate |To stone. [Obs.]
lapidation |The act of stoning. [Obs.] Bp. Hall.
lapideous |Of the nature of stone; [Obs.] Ray.
lapidescence |1. The state or quality of being lapidescent. 2. A hardening into a stone substance. 3. A stony concretion. Sir T. Browne.
lapidescent |Undergoing the process of becoming stone; having the capacity of being converted into stone; having the quality of petrifying bodies.\n\nAny substance which has the quality of petrifying other bodies, or of converting or being converted into stone.
lapidific |Forming or converting into stone.
lapidifical |Forming or converting into stone.
lapidification |The act or process of lapidifying; fossilization; petrifaction.
lapidify |To convert into stone or stony material; to petrify.\n\nTo become stone or stony
lapidist |A lapidary. Ray.
lapillation |The state of being, or the act of making, stony.
lapilli |Volcanic ashes, consisting of small, angular, stony fragments or particles.
lapis |A stone. Lapis calaminaris (. Etym: [NL.] (Min.) Calamine. -- Lapis infernalis (. Etym: [L.] Fused nitrate of silver; lunar caustic.
lapis lazuli |An albuminous mineral of a rich blue color. Same as Lazuli, which see.
laplander |A native or inhabitant of Lapland; -- called also Lapp.
laplandish |Of or pertaining to Lapland.
lapling |One who has been fondled to excess; one fond of ease and sensual delights; -- a term of contempt.
lapp |Same as Laplander. Cf. Lapps.
lappaceous |Resembling the capitulum of burdock; covered with forked points.
lapper |One who takes up food or liquid with his tongue.
lappet |A small decorative fold or flap, esp, of lace or muslin, in a garment or headdress. Swift. Lappet moth (Zoöl.), one of several species of bombycid moths, which have stout, hairy caterpillars, flat beneath. Two common American species (Gastropacha Americana, and Tolype velleda) feed upon the apple tree.\n\nTo decorate with, or as with, a lappet. [R.] Landor.
lappic |Of or pertaining to Lapland, or the Lapps. -- n.  The language of the Lapps. See Lappish.
lapping |A kind of machine blanket or wrapping material used by calico printers. Ure. Lapping engine, Lapping machine (Textile Manuf.), A machine for forming fiber info a lap. See its Lap, 9.
lappish |Of or pertaining to the Lapps; Laplandish. -- n.  The language spoken by the Lapps in Lapland. It is related to the Finnish and Hungarian, and is not an Aryan language.
lapponian |Laplandish; Lappish.
lapponic |Laplandish; Lappish.
lapps |A branch of the Mongolian race, now living in the northern parts of Norway, Sweden, and the adjacent parts of Russia.
lapsable |Lapsible. Cudworth.
lapse |1. A gliding, slipping, or gradual falling; an unobserved or imperceptible progress or passing away,; -- restricted usually to immaterial things, or to figurative uses. The lapse to indolence is soft and imperceptible. Rambler. Bacon was content to wait the lapse of long centuries for his expected revenue of fame. I. Taylor. 2. A slip; an error; a fault; a failing in duty; a slight deviation from truth or rectitude. To guard against those lapses and failings to which our infirmities daily expose us. Rogers. 3. (Law)  The termination of a right or privilege through neglect to exercise it within the limited time, or through failure of some contingency; hence, the devolution of a right or privilege. 4. (Theol.)  A fall or apostasy.\n\n1. To pass slowly and smoothly downward, backward, or away; to slip downward, backward, or away; to glide; -- mostly restricted to figurative uses. A tendency to lapse into the barbarity of those northern nations from whom we are descended. Swift. Homer, in his characters of Vulcan and Thersites, has lapsed into the burlesque character. Addison. 2. To slide or slip in moral conduct; to fail in duty; to fall from virtue; to deviate from rectitude; to commit a fault by inadvertence or mistake. To lapse in fullness Is sorer than to lie for need. Shak. 3. (Law) (a) To fall or pass from one proprietor to another, or from the original destination, by the omission, negligence, or failure of some one, as a patron, a legatee, etc. (b) To become ineffectual or void; to fall. If the archbishop shall not fill it up within six months ensuing, it lapses to the king. Ayliffe.\n\n1. To let slip; to permit to devolve on another; to allow to pass. An appeal may be deserted by the appellant's lapsing the term of law. Ayliffe. 2. To surprise in a fault or error; hence, to surprise or catch, as an offender. [Obs.] For which, if be lapsed in this place, I shall pay dear. Shak.
lapsed |1. Having slipped downward, backward, or away; having lost position, privilege, etc., by neglect; -- restricted to figurative uses. Once more I will renew His lapsed powers, though forfeit. Milton. 2. Ineffectual, void, or forfeited; as, a lapsed policy of insurance; a lapsed legacy. Lapsed devise, Lapsed legacy (Law), a devise, or legacy, which fails to take effect in consequence of the death of the devisee, or legatee, before that of the testator, or for ether cause. Wharton (Law Dict.).
lapsible |Liable to lapse.
lapsided |See Lopsided.
lapstone |A stone for the lap, on which shoemakers beat leather.
lapstrake |Made with boards whose edges lap one over another; clinker- built; -- said of boats.
lapstreak |Made with boards whose edges lap one over another; clinker- built; -- said of boats.
laputan |Of or pertaining to Laputa, an imaginary flying island described in Gulliver's Travels as the home of chimerical philosophers. Hence, fanciful; preposterous; absurd in science or philosophy. \"Laputan ideas.\" G. Eliot.
lapwing |A small European bird of the Plover family (Vanellus cristatus, or V. vanellus). It has long and broad wings, and is noted for its rapid, irregular fight, upwards, downwards, and in circles. Its back is coppery or greenish bronze. Its eggs are the \"plover's eggs\" of the London market, esteemed a delicacy. It is called also peewit, dastard plover, and wype. The gray lapwing is the Squatarola cinerea.
lapwork |Work in which one part laps over another. Grew.
laquay |A lackey. [Obs.] Evelyn.
laquear |A lacunar.
laqueary |Using a noose, as a gladiator. [Obs. or R.] Retiary and laqueary combatants. Sir T. Browne.
lar |A tutelary deity; a deceased ancestor regarded as a protector of the family. The domestic Lares were the tutelar deities of a house; household gods. Hence, Eng.: Hearth or dwelling house. Nor will she her dear Lar forget, Victorious by his benefit. Lovelace. The Lars and Lemures moan with midnight plaint. Milton. Looking backward in vain toward their Lares and lands. Longfellow.\n\nA species of gibbon (Hylobates lar), found in Burmah. Called also white-handed gibbon.
laramie group |An extensive series of strata, principally developed in the Rocky Mountain region, as in the Laramie Mountains, and formerly supposed to be of the Tertiary age, but now generally regarded as Cretaceous, or of intermediate and transitional character. It contains beds of lignite, often valuable for coal, and is hence also called the lignitic group. See Chart of Geology.
larboard |The left-hand side of a ship to one on board facing toward the bow; port; -- opposed to Ant: starboard. Note: Larboard is a nearly obsolete term, having been superseded by port to avoid liability of confusion with starboard, owing to similarity of sound.\n\nOn or pertaining to the left-hand side of a vessel; port; as, the larboard quarter.
larcener |One who commits larceny.
larcenist |One who commits larceny.
larcenous |Having the character of larceny; as, a larcenous act; committing larceny. \"The larcenous and burglarious world.\" Sydney Smith. -- Lar\"ce*nous*ly, adv.
larceny |The unlawful taking and carrying away of things personal with intent to deprive the right owner of the same; theft. Cf. Embezzlement. Grand larceny and Petit larceny are distinctions having reference to the nature or value of the property stolen. They are abolished in England. -- Mixed, or Compound, larceny, that which, under statute, includes in it the aggravation of a taking from a building or the person. -- Simple larceny, that which is not accompanied with any aggravating circumstances.
larch |A genus of coniferous trees, having deciduous leaves, in fascicles (see Illust. of Fascicle). Note: The European larch is Larix Europæa. The American or black larch is L. Americana, the hackmatack or tamarack. The trees are generally of a drooping, graceful appearance.
larchen |Of or pertaining to the larch. Keats.
lard |1. Bacon; the flesh of swine. [Obs.] Dryden. 2. The fat of swine, esp. the internal fat of the abdomen; also, this fat melted and strained. Lard oil, an illuminating and lubricating oil expressed from lard. -- Leaf lard, the internal fat of the hog, separated in leaves or masses from the kidneys, etc.; also, the same melted.\n\n1. To stuff with bacon; to dress or enrich with lard; esp., to insert lardons of bacon or pork in the surface of, before roasting; as, to lard poultry. And larded thighs on loaded altars laid. Dryden. 2. To fatten; to enrich. [The oak] with his nuts larded many a swine. Spenser. Falstaff sweats to death. And lards the lean earth as he walks along. Shak. 3. To smear with lard or fat. In his buff doublet larded o'er with fat Of slaughtered brutes. Somerville. 4. To mix or garnish with something, as by way of improvement; to interlard. Shak. Let no alien Sedley interpose To lard with wit thy hungry Epsom prose. Dryden.\n\nTo grow fat. [Obs.]
lardacein |A peculiar amyloid substance, colored blue by iodine and sulphuric acid, occurring mainly as an abnormal infiltration into the spleen, liver, etc.
lardaceous |Consisting of, or resembling, lard. Lardaceous degeneration (Med.), amyloid degeneration.
larder |A room or place where meat and other articles of food are kept before they are cooked. Shak.
larderer |One in charge of the larder.
lardery |A larder. [Obs.]
lardon |A bit of fat pork or bacon used in larding.
lardoon |A bit of fat pork or bacon used in larding.
lardry |A larder. [Obs.]
lardy |Containing, or resembling, lard; of the character or consistency of lard.
lare |Lore; learning. [Obs.]\n\nPasture; feed. See Lair. [Obs.] Spenser.\n\nTo feed; to fatten. [Obs.] Beau. & Fl.
lares |See 1st Lar.
large |1. Exceeding most other things of like in bulk, capacity, quantity, superficial dimensions, or number of constituent units; big; great; capacious; extensive; -- opposed to small; as, a nlarge horse; a large house or room; a large lake or pool; a large jug or spoon; a large vineyard; a large army; a large city. Note: For linear dimensions, and mere extent, great, and not large, is used as a qualifying word; as, great length, breadth, depth; a great distance; a great height. 2. Abundant; ample; as, a large supply of provisions. We hare yet large day. Milton. 3. Full in statement; diffuse; full; profuse. I might be very large upon the importance and advantages of education. Felton. 4. Having more than usual power or capacity; having broad sympathies and generous impulses; comprehensive; -- said of the mind and heart. 5. Free; unembarrassed. [Obs.] Of burdens all he set the Paynims large. Fairfax. 6. Unrestrained by decorum; -- said of language. [Obs.] \"Some large jests he will make.\" Shak. 7. Prodigal in expending; lavish. [Obs.] Chaucer. 8. (Naut.)  Crossing the line of a ship's course in a favorable direction; -- said of the wind when it is abeam, or between the beam and the quarter. At large. (a) Without restraint or confinement; as, to go at large; to be left at large. (b) Diffusely; fully; in the full extent; as, to discourse on a subject at large. -- Common at large. See under Common, n. -- Electors at large, Representative at large, electors, or a representative, as in Congress, chosen to represent the whole of a State, in distinction from those chosen to represent particular districts in a State. [U. S.] -- To give, go, run, or sail large (Naut.), to have the wind crossing the direction of a vessel's course in such a way that the sails feel its full force, and the vessel gains its highest speed. See Large, a., 8. Syn. -- Big; bulky; huge; capacious; comprehensive; ample; abundant; plentiful; populous; copious; diffusive; liberal.\n\nFreely; licentiously. [Obs.] Chaucer.\n\nA musical note, formerly in use, equal to two longs, four breves, or eight semibreves.
large-acred |Possessing much land.
large-handed |Having large hands, Fig.: Taking, or giving, in large quantities; rapacious or bountiful.
large-hearted |Having a large or generous heart or disposition; noble; liberal. -- Large\"-heart`ed*ness, n.
largely |In a large manner. Dryden. Milton.
largeness |The quality or state of being large.
largess |1. Liberality; generosity; bounty. [Obs.] Fulfilled of largesse and of all grace. Chaucer. 2. A present; a gift; a bounty bestowed. The heralds finished their proclamation with their usual cry of \"Largesse, largesse, gallant knights!\" and gold and silver pieces were showered on them from the galleries. Sir W. Scott.
largesse |1. Liberality; generosity; bounty. [Obs.] Fulfilled of largesse and of all grace. Chaucer. 2. A present; a gift; a bounty bestowed. The heralds finished their proclamation with their usual cry of \"Largesse, largesse, gallant knights!\" and gold and silver pieces were showered on them from the galleries. Sir W. Scott.
larget |A sport piece of bar iron for rolling into a sheet; a small billet.
larghetto |Somewhat slow or slowly, but not so slowly as largo, and rather more so than andante.
largifical |Generous; ample; liberal. [Obs.]
largifluous |Flowing copiously. [Obs.]
largiloquent |Grandiloquent. [Obs.]
largish |Somewhat large. [Colloq.]
largition |The bestowment of a largess or gift. [Obs.]
largo |Slow or slowly; -- more so than adagio; next in slowness to grave, which is also weighty and solemn. -- n.  A movement or piece in largo time.
lariat |A long, slender rope made of hemp or strips of hide, esp. one with a noose; -- used as a lasso for catching cattle, horses, etc., and for picketing a horse so that he can graze without wandering. [Mexico & Western U.S.]\n\nTo secure with a lariat fastened to a stake, as a horse or mule for grazing; also, to lasso or catch with a lariat. [Western U.S.]
larine |Of or pertaining to the Gull family (Laridæ).
larixinic |Of, or derived from, the larch (Larix); as, larixinic acid.
lark |A frolic; a jolly time. [Colloq.] Dickens.\n\nTo sport; to frolic. [Colloq.]\n\nAny one numerous species of singing birds of the genus Alauda and allied genera (family Alaudidæ). They mostly belong to Europe, Asia, and Northern Africa. In America they are represented by the shore larks, or horned by the shore larks, or horned larks, of the genus Otocoris. The true larks have holaspidean tarsi, very long hind claws, and usually, dull, sandy brown colors. Note: The European skylark, or lark of the poets (Alauda arvensis), is of a brown mottled color, and is noted for its clear and sweet song, uttered as it rises and descends almost perpendicularly in the air. It is considered a table delicacy, and immense numbers are killed for the markets. Other well-known European species are the crested, or tufted, lark (Alauda cristata), and the wood lark (A. arborea). The pipits, or titlarks, of the genus Anthus (family Motacillidæ) are often called larks. See Pipit. The American meadow larks, of the genus Sturnella, are allied to the starlings. See Meadow Lark. The Australian bush lark is Mirafra Horsfieldii. See Shore lark. Lark bunting (Zoöl.), a fringilline bird (Calamospiza melanocorys) found on the plains of the Western United States. -- Lark sparrow (Zoöl.), a sparrow (Chondestes grammacus), found in the Mississippi Valley and the Western United States.\n\nTo catch larks; as, to go larking.
lark-colored |Having the sandy brown color of the European larks.
larker |1. A catcher of larks. 2. One who indulges in a lark or frolic. [Colloq.] LARK'S-HEEL Lark's\"-heel`, n. (Bot.)  Indian cress.
larkspur |A genus of ranunculaceous plants (Delphinium), having showy flowers, and a spurred calyx. They are natives of the North Temperate zone. The commonest larkspur of the gardens is D. Consolida. The flower of the bee larkspur (D. elatum) has two petals bearded with yellow hairs, and looks not unlike a bee.
larmier |See Tearpit.
laroid |Like or belonging to the Gull family (Laridæ).
larrikin |A rowdy street loafer; a rowdyish or noisy ill-bred fellow; -- variously applied, as to a street blackguard, a street Arab, a youth given to horse-play, etc. [Australia & Eng.] -- a.  Rowdy; rough; disorderly. [Australia & Eng.] Mobs of unruly larrikins. Sydney Daily Telegraph. Larrikin is often popularly explained by the following anecdote (which is without foundation): An Irish policeman at Melbourne, on bringing a notorious rough into court, was asked by the magistrate what the prisoner had been doing, and replied, \"He was a-larrikin' [i. e., a-larking] about the streets.\",
  "apparence |Appearance. [Obs.] Chaucer.
larrup |To beat or flog soundly. [Prov. Eng. & Colloq. U.S.] Forby.
larry |Same as Lorry, or Lorrie.
larum |, See Alarum, and Alarm.
larva |1. (Zoöl.)  Any young insect from the time that it hatches from the egg until it becomes a pupa, or chrysalis. During this time it usually molts several times, and may change its form or color each time. The larvæ of many insects are much like the adults in form and habits, but have no trace of wings, the rudimentary wings appearing only in the pupa stage. In other groups of insects the larvæ are totally unlike the parents in structure and habits, and are called caterpillars, grubs, maggots, etc. 2. (Zoöl.)  The early, immature form of any animal when more or less of a metamorphosis takes place, before the assumption of the mature shape.
larval |Of or pertaining to a larva.
larvalia |An order of Tunicata, including Appendicularia, and allied genera; -- so called because certain larval features are retained by them through life. Called also Copelata. See Appendicularia.
larvate |Masked; hence, concealed; obscure; -- applied in medicine to doubtful cases of some diseases; as, larvate pneumonis; larvate epilepsy.
larvated |Masked; clothed as with a mask.
larve |A larva.
larviform |Having the form or structure of a larva.
larviparous |Depositing living larvæ, instead of eggs; -- said of certain insects.
lary |A guillemot; -- called also lavy. [Prov. Eng.]
laryngeal |Of or pertaining to the larynx; adapted to operations on the larynx; as, laryngeal forceps.
laryngean |See Laryngeal.
laryngectomy |Excision of the larynx.
laryngismus |A spasmodic state of the glottis, giving rise to contraction or closure of the opening.
laryngitis |Inflammation of the larynx.
laryngograph |An instrument for recording the larynx movements in speech.
laryngological |Of or pertaining to laryngology.
laryngologist |One who applies himself to laryngology.
laryngology |Systematized knowledge of the action and functions of the larynx; in pathology, the department which treats of the diseases of the larynx.
laryngophony |The sound of the voice as heard through a stethoscope when the latter is placed upon the larynx.
laryngoscope |An instrument, consisting of an arrangement of two mirrors, for reflecting light upon the larynx, and for examining its image.
laryngoscopic |Of or pertaining to the inspection of the larynx.
laryngoscopist |One skilled in laryngoscopy.
laryngoscopy |The art of using the laryngoscope; investigations made with the laryngoscope.
laryngotome |An instrument for performing laryngotomy.
laryngotomy |The operation of cutting into the larynx, from the outside of the neck, for assisting respiration when obstructed, or for removing foreign bodies.
laryngotracheal |Pertaining to both larynx and trachea; as, the laryngotracheal cartilage in the frog.
laryngotracheotomy |The operation of cutting into the larynx and the upper part of the trachea, -- a frequent operation for obstruction to breathing.
larynx |The expanded upper end of the windpipe or trachea, connected with the hyoid bone or cartilage. It contains the vocal cords, which produce the voice by their vibrations, when they are stretched and a current of air passes between them. The larynx is connected with the pharynx by an opening, the glottis, which, in mammals, is protected by a lidlike epiglottis. Note: In the framework of the human larynx, the thyroid cartilage, attached to the hyoid bone, makes the protuberance on the front of the neck known as Adam's apple, and is articulated below to the ringlike cricoid cartilage. This is narrow in front and high behind, where, within the thyroid, it is surmounted by the two arytenoid cartilages, from which the vocal cords pass forward to be attached together to the front of the thyroid. See Syrinx.
las |A lace. See Lace. [Obs.] Chaucer.\n\nLess. [Obs.] Chaucer.
lascar |A native sailor, employed in European vessels; also, a menial employed about arsenals, camps, camps, etc.; a camp follower. [East Indies]
lascious |Loose; lascivious. [Obs.] \"To depaint lascious wantonness.\" Holland.
lasciviency |Lasciviousness; wantonness. [Obs.]
lascivient |Lascivious. [Obs.] Dr. H. More.
lascivious |1. Wanton; lewd; lustful; as, lascivious men; lascivious desires. Milton. 2. Tending to produce voluptuous or lewd emotions. He capers nimbly in a lady's chamber To the lascivious pleasing of a lute. Shak. -- Las*civ\"i*ous*ly, adv. -- Las*civ\"i*ous*ness, n.
laserwort |Any plant of the umbelliferous genus Laserpitium, of several species (as L. glabrum, and L. siler), the root of which yields a resinous substance of a bitter taste. The genus is mostly European.
lash |1. The thong or braided cord of a whip, with which the blow is given. I observed that your whip wanted a lash to it. Addison. 2. A leash in which an animal is caught or held; hence, a snare. [Obs.] 3. A stroke with a whip, or anything pliant and tough; as, the culprit received thirty-nine lashes. 4. A stroke of satire or sarcasm; an expression or retort that cuts or gives pain; a cut. The moral is a lash at the vanity of arrogating that to ourselves which succeeds well. L'Estrange. 5. A hair growing from the edge of the eyelid; an eyelash. 6. In carpet weaving, a group of strings for lifting simultaneously certain yarns, to form the figure.\n\n1. To strike with a lash ; to whip or scourge with a lash, or with something like one. We lash the pupil, and defraud the ward. Dryden. 2. To strike forcibly and quickly, as with a lash; to beat, or beat upon, with a motion like that of a lash; as, a whale lashes the sea with his tail. And big waves lash the frighted shores. Dryden. 3. To throw out with a jerk or quickly. He falls, and lashing up his heels, his rider throws. Dryden. 4. To scold; to berate; to satirize; to censure with severity; as, to lash vice.\n\n,. v. i. To ply the whip; to strike; to uttercensure or sarcastic language. To laugh at follies, or to lash at vice. Dryden. To lash out, to strike out wildly or furiously.\n\nTo bind with a rope, cord, thong, or chain, so as to fasten; as, to lash something to a spar; to lash a pack on a horse's back.
lasher |One who whips or lashes.\n\n1. A piece of rope for binding or making fast one thing to another; - - called also lashing. 2. A weir in a river. [Eng.] Halliwell.
lashing |The act of one who, or that which, lashes; castigation; chastisement. South. Lashing out, a striking out; also, extravagance.\n\nSee 2d Lasher.
lask |A diarrhea or flux. [Obs.] Holland.
lasket |latching.
lass |A youth woman; a girl; a sweetheart.
lasse |Less. [Obs.] Chaucer.
lassie |A young girl; a lass. [Scot.]
lassitude |A condition of the body, or mind, when its voluntary functions are performed with difficulty, and only by a strong exertion of the will; languor; debility; weariness. The corporeal instruments of action being strained to a high pitch . . . will soon feel a lassitude. Barrow.
lasslorn |Forsaken by a lass. Shak.
lasso |A rope or long thong of leather with, a running noose, used for catching horses, cattle, etc. Lasso cell (Zoöl.), one of a peculiar kind of defensive and offensive stinging cells, found in great numbers in all coelenterates, and in a few animals of other groups. They are most highly developed in the tentacles of jellyfishes, hydroids, and Actiniæ. Each of these cells is filled with, fluid, and contains a long, slender, often barbed, hollow thread coiled up within it. When the cell contracts the thread is quickly ejected, being at the same time turned inside out. The thread is able to penetrate the flesh of various small, soft-bodied animals, and carries a subtle poison by which they are speedily paralyzed and killed. The threads, at the same time, hold the prey in position, attached to the tentacles. Some of the jellyfishes, as the Portuguese man-of-war, and Cyanea, are able to penetrate the human skin, and inflict painful stings in the same way. Called also nettling cell, cnida, cnidocell.\n\nTo catch with a lasso.
last |of Last, to endure, contracted from lasteth. [Obs.] Chaucer.\n\n1. Being after all the others, similarly classed or considered, in time, place, or order of succession; following all the rest; final; hindmost; farthest; as, the last year of a century; the last man in a line of soldiers; the last page in a book; his last chance. Also day by day, from the first day unto the last day, he read in the book of the law of God. Neh. viii. 18. Fairest of stars, last in the train of night. Milton. 2. Next before the present; as, I saw him last week. 3. Supreme; highest in degree; utmost. Contending for principles of the last importance. R. Hall . 4. Lowest in rank or degree; as, the last prize. Pope. 5. Farthest of all from a given quality, character, or condition; most unlikely; having least fitness; as, he is the last person to be accused of theft. At last, at the end of a certain period; after delay. \"The duke of Savoy felt that the time had at last arrived.\" Motley. -- At the last. Etym: [Prob. fr. AS. on laste behind, following behind, fr. last race, track, footstep. See Last mold of the foot.] At the end; in the conclusion. [Obs.] \"Gad, a troop shall overcome him; but he shall overcome at the last.\" Gen. xlix. 19. -- Last heir, the person to whom lands escheat for want of an heir. [Eng.] Abbott. -- On one's last legs, at, or near, the end of one's resources; hence, on the verge of failure or ruin, especially in a financial sense. [Colloq.] -- To breathe one's last, to die. -- To the last, to the end; till the conclusion. And blunder on in business to the last. Pope. Syn. -- At Last, At Length. These phrases both denote that some delayed end or result has been reached. At length implies that a long period was spent in so doing; as, after a voyage of more than three months, we at Length arrived safe. At last commonly implies that something has occurred (as interruptions, disappointments, etc.) which leads us to emphasize the idea of having reached the end; as, in spite of every obstacle, we have at last arrived.\n\n1. At a time or on an occasion which is the latest of all those spoken of or which have occurred; the last time; as, I saw him last in New York. 2. In conclusion; finally.lastly Pleased with his idol, he commends, admires, Adores; and, last, the thing adored desires. Dryden. 3. At a time next preceding the present time. How long is't now since last yourself and I Were in a mask Shak.\n\n1. To continue in time; to endure; to remain in existence. [I] proffered me to be slave in all that she me would ordain while my life lasted. Testament of Love. 2. To endure use, or continue in existence, without impairment or exhaustion; as, this cloth lasts better than that; the fuel will last through the winter.\n\nA wooden block shaped like the human foot, on which boots and shoes are formed. The cobbler is not to go beyond his last. L'Estrange. Darning last, a smooth, hard body, often egg-shaped, put into a stocking to preserve its shape in darning.\n\nTo shape with a last; to fasten or fit to a last; to place smoothly on a last; as, to last a boot.\n\n1. A load; a heavy burden; hence, a certain weight or measure, generally estimated at 4,000 lbs., but varying for different articles and in different countries. In England, a last of codfish, white herrings, meal, or ashes, is twelve barrels; a last of corn, ten quarters, or eighty bushels, in some parts of England, twenty-one quarters; of gunpowder, twenty-four barrels, each containing 100 lbs; of red herrings, twenty cades, or 20,000; of hides, twelve dozen; of leather, twenty dickers; of pitch and tar, fourteen barrels; of wool, twelve sacks; of flax or feathers, 1,700 lbs. 2. The burden of a ship; a cargo.
lastage |1. A duty exacted, in some fairs or markets, for the right to carry things where one will. [Obs.] 2. A tax on wares sold by the last. [Obs.] Cowell. 3. The lading of a ship; also, ballast. Spelman. 4. Room for stowing goods, as in a ship.
laste |of Last, to endure. Chaucer.
laster |A workman whose business it is to shape boots or shoes, or place leather smoothly, on lasts; a tool for stretching leather on a last.
lastery |A red color.[Obs.] Spenser.
lasting |Existing or continuing a long while; enduring; as, a lasting good or evil; a lasting color. Syn. -- Durable; permanent; undecaying; perpetual; unending. -- Lasting, Permanent, Durable. Lasting commonly means merely continuing in existence; permanent carries the idea of continuing in the same state, position, or course; durable means lasting in spite of agencies which tend to destroy.\n\n1. Continuance; endurance. Locke. 2. A species of very durable woolen stuff, used for women's shoes; everlasting. 3. The act or process of shaping on a last.\n\nIn a lasting manner.
lastingly |In a lasting manner.
lastly |1. In the last place; in conclusion. 2. at last; finally.
lat |To let; to allow. [Obs.] Chaucer.
lata |A convulsive tic or hysteric neurosis prevalent among Malays, similar to or identical with miryachit and jumping disease, the person affected performing various involuntary actions and making rapid inarticulate ejaculations in imitation of the actions and words of another person.
latah |A convulsive tic or hysteric neurosis prevalent among Malays, similar to or identical with miryachit and jumping disease, the person affected performing various involuntary actions and making rapid inarticulate ejaculations in imitation of the actions and words of another person.
latakia |A superior quality of Turkish smoking tobacco, so called from the place where produced, the ancient Laodicea.
latch |To smear; to anoint. [Obs.] Shak.\n\n1. That which fastens or holds; a lace; a snare. [Obs.] Rom. of R. 2. A movable piece which holds anything in place by entering a notch or cavity; specifically, the catch which holds a door or gate when closed, though it be not bolted. 3. (Naut.)  A latching. 4. A crossbow. [Obs.] Wright.\n\n1. To catch so as to hold. [Obs.] Those that remained threw darts at our men, and latching our darts, sent them again at us. Golding. 2. To catch or fasten by means of a latch. The door was only latched. Locke.
latchet |The string that fastens a shoe; a shoestring.
latching |A loop or eye formed on the head rope of a bonnet, by which it is attached to the foot of a sail; -- called also latch and lasket. [Usually in pl.]
latchkey |A key used to raise, or throw back, the latch of a door, esp. a night latch.
latchstring |A string for raising the latch of a door by a person outside. It is fastened to the latch and passed through a hole above it in the door. To find the latchstring out, to meet with hospitality; to be welcome. (Intrusion is prevented by drawing in the latchstring.) [Colloq. U.S.]
late |1. Coming after the time when due, or after the usual or proper time; not early; slow; tardy; long delayed; as, a late spring. 2. Far advanced toward the end or close; as, a late hour of the day; a late period of life. 3. Existing or holding some position not long ago, but not now; lately deceased, departed, or gone out of office; as, the late bishop of London; the late administration. 4. Not long past; happening not long ago; recent; as, the late rains; we have received late intelligence. 5. Continuing or doing until an advanced hour of the night; as, late revels; a late watcher.\n\n1. After the usual or proper time, or the time appointed; after delay; as, he arrived late; -- opposed to early. 2. Not long ago; lately. 3. Far in the night, day, week, or other particular period; as, to lie abed late; to sit up late at night. Of late, in time not long past, or near the present; lately; as, the practice is of late uncommon. -- Too late, after the proper or available time; when the time or opportunity is past.
lated |Belated; too late. [Obs.] Shak.
lateen |Of or pertaining to a peculiar rig used in the Mediterranean and adjacent waters, esp. on the northern coast of Africa. See below. Lateen sail. Etym: [F. voile latine a sail in the shape of a right- angled triangle; cf. It. & Sp. vela latina; properly Latin sail. See Latin.] (Naut.) A triangular sail, extended by a long yard, which is slung at about one fourth of its length from the lower end, to a low mast, this end being brought down at the tack, while the other end is elevated at an angle or about forty-five degrees; -- used in small boats, feluccas, xebecs, etc., especially in the Mediterranean and adjacent waters. Some lateen sails have also a boom on the lower side.
lately |Not long ago; recently; as, he has lately arrived from Italy.
latence |Latency. Coleridge.
latency |The state or quality of being latent. To simplify the discussion, I shall distinguish three degrees of this latency. Sir W. Hamilton.
lateness |The state, condition, or quality, of being late; as, the lateness of his arrival; the lateness of the hour; the lateness of the season.
latent |Not visible or apparent; hidden; springs of action. The evils latent in the most promising contrivances are provided for as they arise. Burke. Latent buds (bot.), buds which remain undeveloped or dormant for a long time, but may at length grow. Latent heat (Physics), that quantity of heat which disappears or becomes concealed in a body while producing some change in it other than rise of temperature, as fusion, evaporation, or expansion, the quantity being constant for each particular body and for each species of change. -- Latent period. (a) (Med.) The regular time in which a disease is supposed to be existing without manifesting itself. (b) (Physiol.) One of the phases in a simple muscular contraction, in which invisible preparatory changes are taking place in the nerve and muscle. (c) (Biol.) One of those periods or resting stages in the development of the ovum, in which development is arrested prior to renewed activity.
latently |In a secret or concealed manner; invisibly.
later |A brick or tile. Knight.\n\nCompar. of Late, a. & adv.
laterad |Toward the side; away from the mesial plane; -- opposed to mesiad.
