prorectorate |The office of prorector.
prussian |Of or pertaining to Prussia. -- n.  A native or inhabitant of Prussia. Prussian blue (Chem.), any one of several complex double cyanides of ferrous and ferric iron; specifically, a dark blue amorphous substance having a coppery luster, obtained by adding a solution of potassium ferrocyanide (yellow prussiate of potash) to a ferric salt. It is used in dyeing, in ink, etc. Called also Williamson's blue, insoluble Prussian blue, Berlin blue, etc. -- Prussian carp (Zoöl.) See Gibel. -- Prussian green. (Chem.) Same as Berlin green, under Berlin.
prussiate |A salt of prussic acid; a cyanide. Red prussiate of potash. See Potassium ferricyanide, under Ferricyanide. Yellow prussiate of potash. See Potassium ferrocyanide, under Ferrocyanide.
prussic |designating the acid now called hydrocyanic acid, but formerly called prussic acid, because Prussian blue is derived from it or its compounds. See Hydrocyanic.
prutenic |Prussian; -- applied to certain astronomical tables published in the sixteenth century, founded on the principles of Copernicus, a Prussian.
pry |A lever; also, leverage. [Local, U. S. & Eng.] Pry pole, the pole which forms the prop of a hoisting gin, and stands facing the windlass.\n\nTo raise or move, or attempt to raise or move, with a pry or lever; to prize. [Local, U. S. & Eng.]\n\nTo peep narrowly; to gaze; to inspect closely; to attempt to discover something by a scrutinizing curiosity; -- often implying reproach. \" To pry upon the stars.\" Chaucer. Watch thou and wake when others be asleep, To pry into the secrets of the state. Shak.\n\nCurious inspection; impertinent peeping.
pryan |See Prian.
prying |Inspecting closely or impertinently. Syn. -- Inquisitive; curious. See Inquisitive.
pryingly |In a prying manner.
prytaneum |A public building in certain Greek cities; especially, a public hall in Athens regarded as the home of the community, in which official hospitality was extended to distinguished citizens and strangers.
prytanis |A member of one of the ten sections into which the Athenian senate of five hundred was divided, and to each of which belonged the presidency of the senate for about one tenth of the year.
prytany |The period during which the presidency of the senate belonged to the prytanes of the section.
prythee |See Prithee.
psalm |1. A sacred song; a poetical composition for use in the praise or worship of God. Humus devout and holy psalms Singing everlastingly. Milton. 2. Especially, one of the hymns by David and others, collected into one book of the Old Testament, or a modern metrical version of such a hymn for public worship.\n\nTo extol in psalms; to sing; as, psalming his praises. Sylvester.
psalmist |1. A writer or composer of sacred songs; -- a title particularly applied to David and the other authors of the Scriptural psalms. 2. (R. C. Ch.)  A clerk, precentor, singer, or leader of music, in the church.
psalmistry |The use of psalms in devotion; psalmody.
psalmodic |Relating to psalmody.
psalmodical |Relating to psalmody.
psalmodist |One who sings sacred songs; a psalmist.
psalmodize |To practice psalmody. \" The psalmodizing art.\" J. G. Cooper.
psalmody |The act, practice, or art of singing psalms or sacred songs; also, psalms collectively, or a collection of psalms.
psalmograph |A writer of psalms; a psalmographer.
psalmographer |A writer of psalms, or sacred songs and hymns.
psalmographist |A writer of psalms, or sacred songs and hymns.
psalmography |The act or practice of writing psalms, or sacred songs.
psalter |1. The Book of Psalms; -- often applied to a book containing the Psalms separately printed. 2. Specifically, the Book of Psalms as printed in the Book of Common Prayer; among the Roman Catholics, the part of the Breviary which contains the Psalms arranged for each day of the week. 3. (R. C. Ch.)  A rosary, consisting of a hundred and fifty beads, corresponding to the number of the psalms.
psalterial |Of or pertaining to the psalterium.
psalterium |(a) The third stomach of ruminants. See Manyplies. (b) The lyra of the brain.
psaltery |A stringed instrument of music used by the Hebrews, the form of which is not known. Praise the Lord with harp; sing unto him with the psaltery and an instrument of ten strings. Ps. xxxiii. 2.
psammite |A species of micaceous sandstone. -- Psam*mit\"ic, a.
psarolite |A silicified stem of tree fern, found in abundance in the Triassic sandstone.
psellism |Indistinct pronunciation; stammering.
psephism |A proposition adopted by a majority of votes; especially, one adopted by vote of the Athenian people; a statute. J. P. Mahaffy.
pseudaesthesia |False or imaginary feeling or sense perception such as occurs in hypochondriasis, or such as is referred to an organ that has been removed, as an amputated foot.
pseudembryo |(a) A false embryo. (b) An asexual form from which the true embryo is produced by budding.
pseudepigraphic |Of or pertaining to pseudepigraphy.\n\nOf or pertaining to pseudepigraphy.
pseudepigraphous |Inscribed with a false name. Cudworth.
pseudepigraphy |The ascription of false names of authors to works.
pseudhaemal |Pertaining to the vascular system of annelids. Pseudhæmal fluid, the circulatory fluid, or blood, of annelids, analogous to the blood of vertebrates. It is often red, but is sometimes green or colorless. -- Pseudhæmal vessels, the blood vessels of annelids.
pseudo- |A combining form or prefix signifying false, counterfeit, pretended, spurious; as, pseudo-apostle, a false apostle; pseudo- clergy, false or spurious clergy; pseudo-episcopacy, pseudo-form, pseudo-martyr, pseudo-philosopher. Also used adjectively.
pseudo-bulb |An aërial corm, or thickened stem, as of some epiphytic orchidaceous plants.
pseudo-china |The false china root, a plant of the genus Smilax (S. Pseudo- china), found in America.
pseudo-cone |One of the soft gelatinous cones found in the compound eyes of certain insects, taking the place of the crystalline cones of others.
pseudo-cumene |A hydrocarbon of the aromatic series, metameric with mesitylene and cumene, found in coal tar, and obtained as a colorless liquid.
pseudo-dipteral |Falsely or imperfectly dipteral, as a temple with the inner range of columns surrounding the cella omitted, so that the space between the cella wall and the columns is very great, being equal to two intercolumns and one column. -- n.  A pseudo-dipteral temple.
pseudo-galena |False galena, or blende. See Blende (a).
pseudo-heart |Any contractile vessel of invertebrates which is not of the nature of a real heart, especially one of those pertaining to the excretory system.
pseudo-hyperthophic |Falsely hypertrophic; as, pseudo-hypertrophic paralysis, a variety of paralysis in which the muscles are apparently enlarged, but are really degenerated and replaced by fat.
pseudo-metallic |Falsely or imperfectly metallic; -- said of a kind of luster, as in minerals.
pseudo-monocotyledonous |Having two coalescent cotyledons, as the live oak and the horse-chestnut.
pseudo-peripteral |Falsely or imperfectly peripteral, as a temple having the columns at the sides attached to the walls, and an ambulatory only at the ends or only at one end. -- n.  A pseudo-peripteral temple. Oxf. Gloss.\n\nFalsely or imperfectly peripteral, as a temple having the columns at the sides attached to the walls, and an ambulatory only at the ends or only at one end. -- n.  A pseudo-peripteral temple.  Oxf. Gloss.
pseudo-romantic |Falsely romantic. The false taste, the pseudo-romantic rage. De Quincey.
pseudo-symmetric |Exhibiting pseudo-symmetry.
pseudo-symmetry |A kind of symmetry characteristic of certain crystals which from twinning, or other causes, come to resemble forms of a system other than that to which they belong, as the apparently hexagonal prisms of aragonite.
pseudobacteria |Microscopic organic particles, molecular granules, powdered inorganic substances, etc., which in form, size, and grouping resemble bacteria. Note: The globules which divide and develop in form of chains are organized beings; when this does not occur, we are dealing with pseudobacteria. Sternberg.
pseudoblepsis |False or depraved sight; imaginary vision of objects. Forsyth.
pseudobranch |Same as Pseudobranchia.
pseudobranchia |A rudimentary branchia, or gill. -- Pseu`do*bran\"chi*al, a.
pseudocarp |That portion of an anthocarpous fruit which is not derived from the ovary, as the soft part of a strawberry or of a fig.
pseudocoele |Same as Pseudocoelia.
pseudocoelia |The fifth ventricle in the mammalian brain. See Ventricle. B. G. Wilder.
pseudodox |Not true in opinion or doctrine; false. -- n.  A false opinion or doctrine. \"To maintain the atheistical pseudodox which judgeth evil good, and darkness light.\" T. Adams.
pseudofilaria |One of the two elongated vibratile young formed by fission of the embryo during the development of certain Gregarinæ.
pseudograph |A false writing; a spurious document; a forgery.
pseudography |False writing; forgery.
pseudohalter |One of the rudimentary front wings of certain insects (Stylops). They resemble the halteres, or rudimentary hind wings, of Diptera.
pseudologist |One who utters falsehoods; a liar.
pseudology |Falsehood of speech. Arbuthnot.
pseudomorph |1. An irregular or deceptive form. 2. (Crystallog.)  A pseudomorphous crystal, as a crystal consisting of quartz, but having the cubic form of fluor spar, the fluor crystal having been changed to quartz by a process of substitution.
pseudomorphism |The state of having, or the property of taking, a crystalline form unlike that which belongs to the species.
pseudomorphous |Not having the true form. Pseudomorphous crystal, one which has a form that does not result from its own powers of crystallization.
pseudonavicella |Same as Pseudonavicula.
pseudonavicula |One of the minute spindle-shaped embryos of Gregarinæ and some other Protozoa.
pseudoneuroptera |division of insects (Zoöl.) reticulated wings, as in the Neuroptera, but having an active pupa state. It includes the dragon flies, May flies, white ants, etc. By some zoölogists they are classed with the Orthoptera; by others, with the Neuroptera.
pseudoneuropterous |Of or pertaining to the Pseudoneuroptera.
pseudonym |A fictitious name assumed for the time, as by an author; a pen name. [Written also pseudonyme.]
pseudonymity |The using of fictitious names, as by authors.
pseudonymous |Bearing a false or fictitious name; as, a pseudonymous work. -- Pseu*don\"y*mous*ly, adv. -- Pseu*don\"y*mous*ness, n.
pseudopod |1. (Biol.)  Any protoplasmic filament or irregular process projecting from any unicellular organism, or from any animal or plant call. 2. (Zoöl.)  A rhizopod.
pseudopodial |Of or pertaining to a pseudopod, or to pseudopodia. See Illust. of Heliozoa.
pseudopodium |Same as Pseudopod.
pseudopupa |A stage intermediate between the larva and pupa of bees and certain other hymenopterous insects.
pseudorhabdite |One of the peculiar rodlike corpuscles found in the integument of certain Turbellaria. They are filled with a soft granular substance.
pseudoscope |An instrument which exhibits objects with their proper relief reversed; -- an effect opposite to that produced by the stereoscope. Wheatstone.
pseudoscopic |Of, pertaining to, or formed by, a pseudoscope; having its parts appearing with the relief reversed; as, a pseudoscopic image.
pseudoscorpiones |An order of Arachnoidea having the palpi terminated by large claws, as in the scorpions, but destitute of a caudal sting; the false scorpions. Called also Pseudoscorpii, and Pseudoscorpionina. See Illust. of Book scorpion, under Book.
pseudosphere |The surface of constant negative curvature generated by the revolution of a tractrix. This surface corresponds in non-Euclidian space to the sphere in ordinary space. An important property of the surface is that any figure drawn upon it can be displaced in any way without tearing it or altering in size any of its elements.
pseudospore |A peculiar reproductive cell found in some fungi.
pseudostella |Any starlike meteor or phenomenon. [R.]
pseudostoma |A group of cells resembling a stoma, but without any true aperture among them.
pseudotetramera |A division of beetles having the fifth tarsal joint minute and obscure, so that there appear to be but four joints. -- Pseu`do*te*tram\"er*al, a.
pseudotinea |The bee moth, or wax moth (Galleria).
pseudoturbinal |See under Turbinal.
pseudovary |The organ in which pseudova are produced; -- called also pseudovarium.
pseudovum |An egglike germ produced by the agamic females of some insects and other animals, and by the larvæ of certain insects. It is capable of development without fertilization. See Illust. of Pædogenesis.
pshaw |Pish! pooch! -- an exclamation used as an expression of contempt, disdain, dislike, etc. [Written also psha.]\n\nTo express disgust or contemptuous disapprobation, as by the exclamation \" Pshaw!\" The goodman used regularly to frown and pshaw wherever this topic was touched upon. Sir W. Scott.
psilanthropic |Pertaining to, or embodying, psilanthropy. \"A psilanthropic explanation.\" Coleridge.
psilanthropism |Psilanthropy.
psilanthropist |One who believes that Christ was a mere man. Smart.
psilanthropy |The doctrine of the merely human existence of Christ.
psilology |Love of empty of empty talk or noise. Coleridge.
psilomelane |A hydrous oxide of manganese, occurring in smooth, botryoidal forms, and massive, and having an iron-black or steel-gray color.
psilopaedes |birds whose young at first have down on the pterylæ only; -- called also Gymnopædes.
psilopaedic |Having down upon the pterylæ only; -- said of the young of certain birds.
psilosopher |A superficial or narrow pretender to philosophy; a sham philosopher.
psitta-co-fulvine |A yellow pigment found in the feathers of certain parrots.
psittaceous |Of or pertaining to the parrots, or the Psittaci. -- n.  One of the Psittaci.
psittaci |The order of birds which comprises the parrots.
psittacid |Of or pertaining to the parrots, or the Psittaci. -- n.  One of the Psittaci.
psoas |An internal muscle arising from the lumbar vertebræ and inserted into the femur. In man there are usually two on each side, and the larger one, or great psoas, forms a part of the iliopsoas.
psora |A cutaneous disease; especially, the itch.
psoriasis |(a) The state of being affected with psora. [Obs.] (b) A cutaneous disease, characterized by imbricated silvery scales, affecting only the superficial layers of the skin.
psoric |Of or pertaining to psora.
psorosperm |A minute parasite, usually the young of Gregarinæ, in the pseudonavicula stage.
psychagogic |Attractive; persuasive. J. Morley.
psychagogue |A necromancer. [R.]
psychal |Of or pertaining to the soul; psychical. Bayne.
psychanalysis |A method or process of psychotherapeutic analysis based on the work of Dr. Sigmund Freud (1856- --) of Vienna. The method rests upon the theory that hysteria is characteristically due to repression of desires consciously rejected but subconsciously persistent; it consists in a close analysis of the patient's mental history, stress being laid upon the dream life, and of treatment by means of suggestion. -- Psy*chan`a*lyt\"ic (#), a. -- Psy`cha*nal\"y*sist (#), n.
psyche |1. (Class Myth.)  A lovely maiden, daughter of a king and mistress of Eros, or Cupid. She is regarded as the personification of the soul. 2. The soul; the vital principle; the mind. 3. Etym: [F. psyché.]  A cheval glass.
psychian |Any small moth of the genus Psyche and allied genera (family Psychidæ). The larvæ are called basket worms. See Basket worm, under Basket.
psychiatria |The application of the healing art to mental diseases. Dunglison.
psychiatric |Of or pertaining to psychiatria.
psychiatry |The application of the healing art to mental diseases. Dunglison.
psychic |1. Of or pertaining to the human soul, or to the living principle in man. Note: This term was formerly used to express the same idea as psychological. Recent metaphysicians, however, have employed it to mark the difference between psychh` the living principle in man, and pney^ma the rational or spiritual part of his nature. In this use, the word describes the human soul in its relation to sense, appetite, and the outer visible world, as distinguished from spiritual or rational faculties, which have to do with the supersensible world. Heyse. 2. Of or pertaining to the mind, or its functions and diseases; mental; -- contrasted with physical. Psychical blindness, Psychical deafness (Med.), forms of nervous disease in which, while the senses of sight and hearing remain unimpaired, the mind fails to appreciate the significance of the sounds heard or the images seen. -- Psychical contagion, the transference of disease, especially of a functional nervous disease, by mere force of example. -- Psychical medicine, that department of medicine which treats of mental diseases.
psychical |1. Of or pertaining to the human soul, or to the living principle in man. Note: This term was formerly used to express the same idea as psychological. Recent metaphysicians, however, have employed it to mark the difference between psychh` the living principle in man, and pney^ma the rational or spiritual part of his nature. In this use, the word describes the human soul in its relation to sense, appetite, and the outer visible world, as distinguished from spiritual or rational faculties, which have to do with the supersensible world. Heyse. 2. Of or pertaining to the mind, or its functions and diseases; mental; -- contrasted with physical. Psychical blindness, Psychical deafness (Med.), forms of nervous disease in which, while the senses of sight and hearing remain unimpaired, the mind fails to appreciate the significance of the sounds heard or the images seen. -- Psychical contagion, the transference of disease, especially of a functional nervous disease, by mere force of example. -- Psychical medicine, that department of medicine which treats of mental diseases.
psychics |Psychology.
psychism |The doctrine of Quesne, that there is a fluid universally diffused, end equally animating all living beings, the difference in their actions being due to the difference of the individual organizations. Fleming.
psycho- |A combining form from Gr. the soul, the mind, the understanding; as, psychology.
psycho-motor |Of or pertaining to movement produced by action of the mind or will.
psychoanalysis |= Psychanalysis, Psychanalytic.
psychoanalytic |= Psychanalysis, Psychanalytic.
psychogenesis |Genesis through an internal force, as opposed to natural selection.
psychography |1. A description of the phenomena of mind. 2. (Spiritualism)  Spirit writing.
psychologic |Of or pertaining to psychology. See Note under Psychic. -- Psy`cho*log\"ic*al*ly, adv.
psychological |Of or pertaining to psychology. See Note under Psychic. -- Psy`cho*log\"ic*al*ly, adv.
psychologist |One who is versed in, devoted to, psychology.
psychologue |A psychologist.
psychology |The science of the human soul; specifically, the systematic or scientific knowledge of the powers and functions of the human soul, so far as they are known by consciousness; a treatise on the human soul. Psychology, the science conversant about the phenomena of the mind, or conscious subject, or self. Sir W. Hamilton.
psychomachy |A conflict of the soul with the body.
psychomancy |Necromancy.
psychometry |The art of measuring the duration of mental processes, or of determining the time relations of mental phenomena. -- Psy`cho*met\"ric, a.
psychopannychism |The doctrine that the soul falls asleep at death, and does not wake until the resurrection of the body. -- Psy`cho*pan\"ny*chism, n.
psychopathy |Mental disease. See Psychosis, 2. -- Psy`cho*path\"ic, a. -- Psy*chop\"a*thist, n.
psychophysical |Of or pertaining to psychophysics; involving the action or mutual relations of the psychical and physical in man. Psychophysical time (Physiol.), the time required for the mind to transform a sensory impression into a motor impulse. It is an important part of physiological or reaction time. See under Reaction.
