parallel standards |Two or more metals coined without any attempt by the government to regulate their values.
partial |1. Of, pertaining to, or affecting, a part only; not general or universal; not total or entire; as, a partial eclipse of the moon. \"Partial dissolutions of the earth.\" T. Burnet. 2. Inclined to favor one party in a cause, or one side of a question, more then the other; baised; not indifferent; as, a judge should not be partial. Ye have been partial in the law. Mal. ii. 9. 3. Having a predelection for; inclined to favor unreasonably; foolishly fond. \"A partial parent.\" Pope. Not partial to an ostentatious display. Sir W. Scott. 4. (Bot.)  Pertaining to a subordinate portion; as, a compound umbel is made up of a several partial umbels; a leaflet is often supported by a partial petiole. Partial differentials, Partial differential coefficients, Partial differentiation, etc. (of a function of two or more variables), the differentials, differential coefficients, differentiation etc., of the function, upon the hypothesis that some of the variables are for the time constant. -- Partial fractions (Alg.), fractions whose sum equals a given fraction. -- Partial tones (Music), the simple tones which in combination form an ordinary tone; the overtones, or harmonics, which, blending with a fundamental tone, cause its special quality of sound, or timbre, or tone color. See, also, Tone.
partialism |Partiality; specifically (Theol.), the doctrine of the Partialists.
partialist |1. One who is partial. [R.] 2. (Theol.)  One who holds that the atonement was made only for a part of mankind, that is, for the elect.
partiality |1. The quality or state of being partial; inclination to favor one party, or one side of a question, more than the other; undue bias of mind. 2. A predilection or inclination to one thing rather than to others; special taste or liking; as, a partiality for poetry or painting. Roget.
partialize |To make or be partial. [R.]
partially |1. In part; not totally; as, partially true; the sun partially eclipsed. Sir T. Browne. 2. In a partial manner; with undue bias of mind; with unjust favor or dislike; as, to judge partially. Shak.
partibility |The quality or state of being partible; divisibility; separability; as, the partibility of an inherttance.
partible |Admitting of being parted; divisible; separable; susceptible of severance or partition; as, an estate of inheritance may be partible. \"Make the molds partible.\" Bacon.
participable |Capable of being participated or shared. [R.] Norris.
participant |Sharing; participating; having a share of part. Bacon.\n\nA participator; a partaker. Participants in their . . . mysterious rites. Bp. Warburton.
participantly |In a participant manner.
participate |Acting in common; participating. [R.] Shak.\n\nTj have a share in common with others; to take a part; to partake; -- followed by in, formely by of; as, to participate in a debate. Shak. So would he participateof their wants. Hayward. Mine may come when men With angels may participate. Milton.\n\n1. To partake of; to share in; to receive a part of. [R.] Fit to participate all rational delight. Milton. 2. To impart, or give, or share of. [Obs.] Drayton.
participation |1. The act or state of participating, or sharing in common with others; as, a participation in joy or sorrows. These deities are so by participation. Bp. Stillingfleet. What an honor, that God should admit us into such a blessed participation of himself! Atterbury. 2. Distribution; division into shares. [Obs.] Raleigh. 3. community; fellowship; association. [Obs.] Shak.
participative |Capable of participating.
participator |One who participates, or shares with another; a partaker.
participial |Having, or partaking of, the nature and use of a participle; formed from a participle; as, a participial noun. Lowth.\n\nA participial word.
participialize |To form into, or put in the form of, a participle. [R.]
participially |In the sense or manner of a participle.
participle |1. (Gram.)  A part of speech partaking of the nature both verb and adjective; a form of a verb, or verbal adjective, modifying a noun, but taking the adjuncts of the verb from which it is derived. In the sentences: a letter is written; being asleep he did not hear; exhausted by toil he will sleep soundly, -- written, being, and exhaustedare participles. By a participle, [I understand] a verb in an adjectival aspect. Earle. Note: Present participles, called also imperfect, or incomplete, participles, end in -ing. Past participles, called also perfect, or complete, participles, for the most part end in -ed, -d, -t, -en, or -n. A participle when used merely as an attribute of a noun, without reference to time, is called an adjective, or a participial adjective; as, a written constitution; a rolling stone; the exhausted army. The verbal noun in -ing has the form of the present participle. See Verbal noun, under Verbal, a. 2. Anything that partakes of the nature of different things. [Obs.] The participles or confines between plants and living creatures. Bacon.
particle |1. A minute part or portion of matter; a morsel; a little bit; an atom; a jot; as, a particle of sand, of wood, of dust. The small size of atoms which unite To make the smallest particle of light. Blackmore. 2. Any very small portion or part; the smallest portion; as, he has not a particle of patriotism or virtue. The houses had not given their commissioners authority in the least particle to recede. Clarendon. 3. (R. C. Ch.) (a) A crumb or little piece of concecrated host. (b) The smaller hosts distributed in the communion of the laity. Bp. Fitzpatrick. 4. (Gram.)  A subordinate word that is never inflected (a preposition, conjunction, interjection); or a word that can not be used except in compositions; as, ward in backward, ly in lovely.
particolored |Same as Party-colored.
particular |1. Relating to a part or portion of anything; concerning a part separated from the whole or from others of the class; separate; sole; single; individual; specific; as, the particular stars of a constellation. Shak. [\/Make] each particular hair to stand an end, Like quills upon the fretful porpentine. Shak. Seken in every halk and every herne Particular sciences for to lerne. Chaucer. 2. Of or pertaining to a single person, class, or thing; belonging to one only; not general; not common; hence, personal; peculiar; singular. \"Thine own particular wrongs.\" Shak. Wheresoever one plant draweth such a particular juice out of the earth. Bacon. 3. Separate or distinct by reason of superiority; distinguished; important; noteworthy; unusual; special; as, he brought no particular news; she was the particular belle of the party. 4. Concerned with, or attentive to, details; minute; circumstantial; precise; as, a full and particular account of an accident; hence, nice; fastidious; as, a man particular in his dress. 5. (Law) (a) Containing a part only; limited; as, a particular estate, or one precedent to an estate in remainder. (b) Holding a particular estate; as, a particular tenant. Blackstone. 6. (Logic)  Forming a part of a genus; relatively limited in extension; affirmed or denied of a part of a subject; as, a particular proposition; -- opposed to universal: e. g. (particular affirmative) Some men are wise; (particular negative) Some men are not wise. Particular average. See under Average. -- Particular Baptist, one of a branch of the Baptist denomination the members of which hold the doctrine of a particular or individual election and reprobation. -- Particular lien (Law), a lien, or a right to retain a thing, for some charge or claim growing out of, or connected with, that particular thing. -- Particular redemption, the doctrine that the purpose, act, and provisions of redemption are restricted to a limited number of the human race. See Calvinism. Syn. -- Minute; individual; respective; appropriate; peculiar; especial; exact; specific; precise; critical; circumstantial. See Minute.\n\n1. A separate or distinct member of a class, or part of a whole; an individual fact, point, circumstance, detail, or item, which may be considered separately; as, the particulars of a story. Particulars which it is not lawful for me to reveal. Bacon. It is the greatest interest of particulars to advance the good of the community. L'Estrange. 2. Special or personal peculiarity, trait, or character; individuality; interest, etc. [Obs.] For his particular I'll receive him gladly. Shak. If the particulars of each person be considered. Milton. Temporal blessings, whether such as concern the public . . . or such as concern our particular. Whole Duty of Man. 3. (Law)  One of the details or items of grounds of claim; -- usually in the pl.; also, a bill of particulars; a minute account; as, a particular of premises. The reader has a particular of the books wherein this law was written. Ayliffe. Bill of particulars. See under Bill. -- In particular, specially; peculiarly. \"This, in particular, happens to the lungs.\" Blackmore. -- To go into particulars, to relate or describe in detail or minutely.
particularism |1. A minute description; a detailed statement. [R.] 2. (Theol.)  The doctrine of particular election. 3. (German Politics)  Devotion to the interests of one's own kingdom or province rather than to those of the empire.
particularist |One who holds to particularism. -- Par*tic`u*lar*is\"tic, a.
particularity |1. The state or quality of being particular; distinctiveness; circumstantiality; minuteness in detail. 2. That which is particular; as: (a) Peculiar quality; individual characteristic; peculiarity. \"An old heathen altar with this particularity.\" Addison. (b) Special circumstance; minute detail; particular. \"Even descending to particularities.\" Sir P. Sidney. (c) Something of special or private concern or interest. Let the general trumpet blow his blast, Particularities and petty sounds To cease! Shak .
particularization |The act of particularizing. Coleridge.
particularize |To give as a particular, or as the particulars; to mention particularly; to give the particulars of; to enumerate or specify in detail. He not only boasts of his parentage as an Israelite, but particularizes his descent from Benjamin. Atterbury.\n\nTo mention or attend to particulars; to give minute details; to be circumstantial; as, to particularize in a narrative.
particularly |1. In a particular manner; expressly; with a specific reference or interest; in particular; distinctly. 2. In an especial manner; in a high degree; as, a particularly fortunate man; a particularly bad failure. The exact propriety of Virgil I particularly regarded as a great part of his character. Dryden.
particularment |A particular; a detail. [Obs.]
particulate |To particularize. [Obs.]\n\n1. Having the form of a particle. 2. Referring to, or produced by, particles, such as dust, minute germs, etc. [R.] The smallpox is a particulate disease. Tyndall.
parting |1. Serving to part; dividing; separating. 2. Given when departing; as, a parting shot; a parting salute. \"Give him that parting kiss.\" Shak. 3. Departing. \"Speed the parting guest.\" Pope. 4. Admitting of being parted; partible. Parting fellow, a partner. [Obs.] Chaucer. -- Parting pulley. See under Pulley. -- Parting sand (Founding), dry, nonadhesive sand, sprinkled upon the partings of a mold to facilitate the separation. -- Parting strip (Arch.), in a sash window, one of the thin strips of wood let into the pulley stile to keep the sashes apart; also, the thin piece inserted in the window box to separate the weights. -- Parting tool (Mach.), a thin tool, used in turning or planing, for cutting a piece in two.\n\n1. The act of parting or dividing; the state of being parted; division; separation. \"The parting of the way.\" Ezek. xxi. 21. 2. A separation; a leave-taking. Shak. And there were sudden partings, such as press The life from out young hearts. Byron. 3. A surface or line of separation where a division occurs. 4. (Founding)  The surface of the sand of one section of a mold where it meets that of another section. 5. (Chem.)  The separation and determination of alloys; esp., the separation, as by acids, of gold from silver in the assay button. 6. (Geol.)  A joint or fissure, as in a coal seam. 7. (Naut.)  The breaking, as of a cable, by violence. 8. (Min.)  Lamellar separation in a crystallized mineral, due to some other cause than cleavage, as to the presence of twinning lamellæ.
partisan |1. An adherent to a party or faction; esp., one who is strongly and passionately devoted to a party or an interest. \"The violence of a partisan.\" Macaulay. Both sides had their partisans in the colony. Jefferson. 2. (Mil.) (a) The commander of a body of detached light troops engaged in making forays and harassing an enemy. (b) Any member of such a corps.\n\n1. Adherent to a party or faction; especially, having the character of blind, passionate, or unreasonable adherence to a party; as, blinded by partisan zeal. 2. (Mil.)  Serving as a partisan in a detached command; as, a partisan officer or corps. Partisan ranger (Mil.), a member of a partisan corps.\n\nA kind of halberd or pike; also, a truncheon; a staff. And make him with our pikes and partisans a grave. Shak.
partisanship |The state of being a partisan, or adherent to a party; feelings or conduct appropriate to a partisan.
partita |A suite; a set of variations.
partite |Divided nearly to the base; as, a partite leaf is a simple separated down nearly to the base.
partition |1. The act of parting or dividing; the state of being parted; separation; division; distribution; as, the partition of a kingdom. And good from bad find no partition. Shak. 2. That which divides or separates; that by which different things, or distinct parts of the same thing, are separated; separating boundary; dividing line or space; specifically, an interior wall dividing one part or apartment of a house, an inclosure, or the like, from another; as, a brick partition; lath and plaster partitions. No sight could pass Betwixt the nice partitions of the grass. Dryden. 3. A part divided off by walls; an apartment; a compartment. [R.] \"Lodged in a small partition.\" Milton. 4. (Law.)  The servance of common or undivided interests, particularly in real estate. It may be effected by consent of parties, or by compulsion of law. 5. (Mus.)  A score. Partition of numbers (Math.), the resolution of integers into parts subject to given conditions. Brande & C.\n\n1. To divide into parts or shares; to divide and distribute; as, to partition an estate among various heirs. 2. To divide into distinct parts by lines, walls, etc.; as, to partition a house. Uniform without, though severally partitioned within. Bacon.
partitionment |The act of partitioning.
partitive |Denoting a part; as, a partitive genitive.\n\nA word expressing partition, or denoting a part.
partitively |In a partitive manner.
partlet |1. A covering for the neck, and sometimes for the shoulders and breast; originally worn by both sexes, but laterby women alone; a ruff. [Obs.] Fuller. 2. A hen; -- so called from the ruffing of her neck feathers. \"Dame Partlett, the hen.\" Shak.
partly |In part; in some measure of degree; not wholly. \"I partly believe it.\" 1 Cor. xi. 18.
partner |1. One who has a part in anything with an other; a partaker; an associate; a sharer. \"Partner of his fortune.\" Shak. Hence: (a) A husband or a wife. (b) Either one of a couple who dance together. (c) One who shares as a member of a partnership in the management, or in the gains and losses, of a business. My other self, the partner of my life. Milton. 2. (Law)  An associate in any business or occupation; a member of a partnership. See Partnership. 3. pl. (Naut.)  A framework of heavy timber surrounding an opening in a deck, to strengthen it for the support of a mast, pump, capstan, or the like. Dormant, or Silent, partner. See under Dormant, a. Syn. -- Associate; colleague; coadjutor; confederate; partaker; participator; companion; comrade; mate.\n\nTo associate, to join. [Obs.] Shak.
partnership |1. The state or condition of being a partner; as, to be in partnership with another; to have partnership in the fortunes of a family or a state. 2. A division or sharing among partners; joint possession or interest. Rome, that ne'er knew three lordly heads before, First fell by fatal partnership of power. Rowe. He does possession keep, And is too wise to hazard partnership. Dryden. 3. An alliance or association of persons for the prosecution of an undertaking or a business on joint account; a company; a firm; a house; as, to form a partnership. 4. (Law)  A contract between two or more competent persons for joining together their money, goods, labor, and skill, or any or all of them, under an understanding that there shall be a communion of profit between them, and for the purpose of carrying on a legal trade, business, or adventure. Kent. Story. Note: Community of profit is absolutely essential to, though not necessary the test of, a partnership. 5. (Arith.)  See Fellowship, n., 6. Limited partnership, a form of partnership in which the firm consists of one or more general partners, jointly and severally responsible as ordinary partners, and one or more special partners, who are not liable for the debts of the partnership beyond the amount of cash they contribute as capital. -- Partnership in commendam, the title given to the limited partnership (F. société en commandité) of the French law, introduced into the code of Louisiana. Burrill. -- Silent partnership, the relation of partnership sustained by a person who furnishes capital only.
partook |imp. of Partake.
partridge |1. Any one of numerous species of small gallinaceous birds of the genus Perdix and several related genera of the family Perdicidæ, of the Old World. The partridge is noted as a game bird. Full many a fat partrich had he in mew. Chaucer. Note: The common European, or gray, partridge (Perdix cinerea) and the red-legged partridge (Caccabis rubra) of Southern Europe and Asia are well-known species. 2. Any one of several species of quail-like birds belonging to Colinus, and allied genera. [U.S.] Note: Among them are the bobwhite (Colinus Virginianus) of the Eastern States; the plumed, or mountain, partridge (Oreortyx pictus) of California; the Massena partridge (Cyrtonyx Montezumæ); and the California partridge (Callipepla Californica). 3. The ruffed grouse (Bonasa umbellus). [New Eng.] Bamboo partridge (Zoöl.), a spurred partridge of the genus Bambusicola. Several species are found in China and the East Indies. -- Night partridge (Zoöl.), the woodcock. [Local, U.S.] -- Painted partridge (Zoöl.), a francolin of South Africa (Francolinus pictus). -- Partridge berry. (Bot.) (a) The scarlet berry of a trailing american plant (Mitchella repens) of the order Rubiaceæ, having roundish evergreen leaves, and white fragrant flowers sometimes tinged with purple, growing in pairs with the ovaries united, and producing the berries which remain over winter; also, the plant itself. (b) The fruit of the creeping wintergreen (Gaultheria procumbens); also, the plant itself. -- Partridge dove (Zoöl.) Same as Mountain witch, under Mountain. -- Partridge pea (Bot.), a yellow-flowered leguminous herb (Cassia Chamæcrista), common in sandy fields in the Eastern United States. -- Partridge shell (Zoöl.), a large marine univalve shell (Dolium perdix), having colors variegated like those of the partridge. -- Partridge wood (a) A variegated wood, much esteemed for cabinetwork. It is obtained from tropical America, and one source of it is said to be the leguminous tree Andira inermis. Called also pheasant wood. (b) A name sometimes given to the dark-colored and striated wood of some kind of palm, which is used for walking sticks and umbrella handles. -- Sea partridge (Zoöl.), an Asiatic sand partridge (Ammoperdix Bonhami); -- so called from its note. -- Snow partridge (Zoöl.), a large spurred partridge (Lerwa nivicola) which inhabits the high mountains of Asia. -- Spruce partridge. See under Spruce. -- Wood partridge, or Hill partridge (Zoöl.), any small Asiatic partridge of the genus Arboricola.
parture |Departure. [Obs.] Spenser.
parturiate |To bring forth young. [Obs.]
parturiency |Parturition.
parturient |Bringing forth, or about to bring forth, young; fruitful. Jer. Tailor.
parturifacient |A medicine tending to cause parturition, or to give relief in childbearing. Dunglison.
parturious |Parturient. [Obs.] Drayton.
parturition |1. The act of bringing forth, or being delivered of, young; the act of giving birth; delivery; childbirth. 2. That which is brought forth; a birth. [Obs.]
parturitive |Pertaining to parturition; obstetric. [R.]
party |1. A part or portion. [Obs.] \"The most party of the time.\" Chaucer. 2. A number of persons united in opinion or action, as distinguished from, or opposed to, the rest of a community or association; esp., one of the parts into which a people is divided on questions of public policy. Win the noble Brutus to our party. Shak. The peace both parties want is like to last. Dryden. 3. A part of a larger body of company; a detachment; especially (Mil.), a small body of troops dispatched on special service. 4. A number of persons invited to a social entertainment; a select company; as, a dinner party; also, the entertainment itself; as, to give a party. 5. One concerned or interested in an affair; one who takes part with others; a participator; as, he was a party to the plot; a party to the contract. 6. The plaintiff or the defendant in a lawsuit, whether an individual, a firm, or corporation; a litigant. The cause of both parties shall come before the judges. Ex. xxii. 9. 7. Hence, any certain person who is regarded as being opposed or antagonistic to another. It the jury found that the party slain was of English race, it had been adjudged felony. Sir J. Davies. 8. Cause; side; interest. Have you nothing said Upon this Party 'gainst the Duke of Albany Shak. 9. A person; as, he is a queer party. [Now accounted a vulgarism.] Note: \"For several generations, our ancestors largely employed party for person; but this use of the word, when it appeared to be reviving, happened to strike, more particularly, the fancy of the vulgar; and the consequence has been, that the polite have chosen to leave it in their undisputed possession.\" Fitzed. Hall. Party jury (Law), a jury composed of different parties, as one which is half natives and half foreigners. -- Party man, a partisan. Swift. -- Party spirit, a factious and unreasonable temper, not uncommonly shown by party men. Whately. -- Party verdict, a joint verdict. Shak. -- Party wall. (a) (Arch.) A wall built upon the dividing line between two adjoining properties, usually having half its thickness on each property. (b) (Law) A wall that separates adjoining houses, as in a block or row.\n\n1. (Her.)  Parted or divided, as in the direction or form of one of the ordinaries; as, an escutcheon party per pale. 2. Partial; favoring one party. I will be true judge, and not party. Chaucer. Charter party. See under Charter.\n\nPartly. [Obs.] Chaucer.
party-coated |Having a motley coat, or coat of divers colors. Shak.
party-colored |Colored with different tints; variegated; as, a party-colored flower. \"Parti-colored lambs.\" Shak.
partyism |Devotion to party.
parumbilical |Near the umbilicus; -- applied especially to one or more small veins which, in man, connect the portal vein with the epigastric veins in the front wall of the abdomen.
parure |An ornament or decoration for the person; esp., a decoration consisting of a set of ornaments to be used together; as, a parure of rubies or of embroideries.
parusia |A figure of speech by which the present tense is used instead of the past or the future, as in the animated narration of past, or in the prediction of future, events.
parvanimity |The state or quality of having a little or ignoble mind; pettiness; meanness; -- opposed to magnanimity. De Quincey.
parvenu |An upstart; a man newly risen into notice.
parvis |a court of entrance to, or an inclosed space before, a church; hence, a church porch; -- sometimes formerly used as place of meeting, as for lawyers. Chaucer.
parvise |a court of entrance to, or an inclosed space before, a church; hence, a church porch; -- sometimes formerly used as place of meeting, as for lawyers. Chaucer.
parvitude |Littleness. [Obs.] Glanvill. Ray.
parvity |Littleness. [Obs.] Glanvill. Ray.
parvolin |A nonoxygenous ptomaine, formed in the putrefaction of albuminous matters, especially of horseflesh and mackerel.
parvoline |A liquid base, C
pas |1. A pace; a step, as in a dance. Chaucer. 2. Right of going foremost; precedence. Arbuthnot.
pasan |The gemsbok.
pasch |The passover; the feast of Easter. Pasch egg. See Easter egg, under Easter. -- Pasch flower. See Pasque flower, under Pasque.
pascha |The passover; the feast of Easter. Pasch egg. See Easter egg, under Easter. -- Pasch flower. See Pasque flower, under Pasque.
paschal |Of or pertaining to the passover, or to Easter; as, a paschal lamb; paschal eggs. Longfellow. Paschal candle (R. C. Ch.), a large wax candle, blessed and placed on the altar on Holy Saturday, or the day before Easter. -- Paschal flower. See Pasque flower, under Pasque.
paseng |The wild or bezoar goat. See Goat.
pash |To strike; to crush; to smash; to dash in pieces. [Obs.] P. Plowman. \"I'll pash him o'er the face.\" Shak.\n\n1. The head; the poll. [R.] \"A rough pash.\" Shak. 2. A crushing blow. [Obs.] 3. A heavy fall of rain or snow. [Prov. Eng.]
pasha |An honorary title given to officers of high rank in Turkey, as to governers of provinces, military commanders, etc. The earlier form was bashaw. [Written also pacha.] Note: There are three classes of pashas, whose rank is distinguished by the number of the horsetails borne on their standards, being one, two, or three, a pasha of three tails being the highest.
pashalic |The jurisdiction of a pasha.
pashaw |See Pasha.
pasigraphic |Of or pertaining to pasigraphy.
pasigraphical |Of or pertaining to pasigraphy.
pasigraphy |A system of universal writing, or a manner of writing that may be understood and used by all nations. Good.
pasilaly |A form of speech adapted to be used by all mankind; universal language.
pask |See Pasch.
paspy |A kind of minuet, in triple time, of French origin, popular in the reign of Queen Elizabeth and for some time after; -- called also passing measure, and passymeasure. Percy Smith.
pasque |See Pasch. Pasque flower (Bot.), a name of several plants of the genus Anemone, section Pulsatilla. They are perennial herbs with rather large purplish blossoms, which appear in early spring, or about Easter, whence the common name. Called also campana.
pasquil |See Pasquin. [R.]\n\nSee Pasquin.
pasquilant |A lampooner; a pasquiler. [R.] Coleridge.
pasquiler |A lampooner. [R.] Burton.
pasquin |A lampooner; also, a lampoon. See Pasquinade. The Grecian wits, who satire first began, Were pleasant pasquins on the life of man. Dryden.\n\nTo lampoon; to satiraze. [R.] To see himself pasquined and affronted. Dryden.
pasquinade |A lampoon or satirical writing. Macaulay.\n\nTo lampoon, to satirize.
pass |1. To go; to move; to proceed; to be moved or transferred from one point to another; to make a transit; -- usually with a following adverb or adverbal phrase defining the kind or manner of motion; as, to pass on, by, out, in, etc.; to pass swiftly, directly, smoothly, etc.; to pass to the rear, under the yoke, over the bridge, across the field, beyond the border, etc. \"But now pass over [i.e., pass on].\" Chaucer. On high behests his angels to and fro Passed frequent. Milton. Sweet sounds rose slowly through their mouths, And from their bodies passed. Coleridge. 2. To move or be transferred from one state or condition to another; to change possession, condition, or circumstances; to undergo transition; as, the business has passed into other hands. Others, dissatisfied with what they have, . . . pass from just to unjust. Sir W. Temple. 3. To move beyond the range of the senses or of knowledge; to pass away; hence, to disappear; to vanish; to depart; specifically, to depart from life; to die. Disturb him not, let him pass paceably. Shak. Beauty is a charm, but soon the charm will pass. Dryden. The passing of the sweetest soul That ever looked with human eyes. Tennyson. 4. To move or to come into being or under notice; to come and go in consciousness; hence, to take place; to occur; to happen; to come; to occur progressively or in succession; to be present transitorly. So death passed upon all men. Rom. v. 12. Our own consciousness of what passes within our own mind. I. Watts. 5. To go by or glide by, as time; to elapse; to be spent; as, their vacation passed pleasantly. Now the time is far passed. Mark vi. 35 6. To go from one person to another; hence, to be given and taken freely; as, clipped coin will not pass; to obtain general acceptance; to be held or regarded; to circulate; to be current; -- followed by for before a word denoting value or estimation. \"Let him pass for a man.\" Shak. False eloquence passeth only where true is not understood. Felton. This will not pass for a fault in him. Atterbury. 7. To advance through all the steps or stages necessary to validity or effectiveness; to be carried through a body that has power to sanction or reject; to receive legislative sanction; to be enacted; as, the resolution passed; the bill passed both houses of Congress. 8. To go through any inspection or test successfully; to be approved or accepted; as, he attempted the examination, but did not expect to pass. 9. To be suffered to go on; to be tolerated; hence, to continue; to live alogn. \"The play may pass.\" Shak. 10. To go unheeded or neglected; to proceed without hindrance or opposition; as, we let this act pass. 11. To go beyond bounds; to surpass; to be in excess. [Obs.] \"This passes, Master Ford.\" Shak. 12. To take heed; to care. [Obs.] As for these silken-coated slaves, I pass not. Shak. 13. To go through the intestines. Arbuthnot. 14. (Law)  To be conveyed or transferred by will, deed, or other instrument of conveyance; as, an estate passes by a certain clause in a deed. Mozley & W. 15. (Fencing)  To make a lunge or pass; to thrust. 16. (Card Playing)  To decline to play in one's turn; in euchre, to decline to make the trump. She would not play, yet must not pass. Prior. To bring to pass, To come to pass. See under Bring, and Come. -- To pass away, to disappear; to die; to vanish. \"The heavens shall pass away.\" 2 Pet. iii. 10. \"I thought to pass away before, but yet alive I am.\" Tennyson. -- To pass by, to go near and beyond a certain person or place; as, he passed by as we stood there. -- To pass into, to change by a gradual transmission; to blend or unite with. -- To pass on, to proceed. -- To pass on or upon. (a) To happen to; to come upon; to affect. \"So death passed upon all men.\" Rom. v. 12. \"Provided no indirect act pass upon our prayers to define them.\" Jer. Taylor. (b) To determine concerning; to give judgment or sentence upon. \"We may not pass upon his life.\" Shak. -- To pass off, to go away; to cease; to disappear; as, an agitation passes off. -- To pass over, to go from one side or end to the other; to cross, as a river, road, or bridge.\n\n1. In simple, transitive senses; as: (a) To go by, beyond, over, through, or the like; to proceed from one side to the other of; as, to pass a house, a stream, a boundary, etc. (b) Hence:  To go from one limit to the other of; to spend; to live through; to have experience of; to undergo; to suffer. \"To pass commodiously this life.\" Milton. She loved me for the dangers I had passed. Shak. (c) To go by without noticing; to omit attention to; to take no note of; to disregard. Please you that I may pass This doing. Shak. I pass their warlike pomp, their proud array. Dryden. (d) To transcend; to surpass; to excel; to exceed. And strive to pass . . . Their native music by her skillful art. Spenser. Whose tender power Passes the strength of storms in their most desolate hour. Byron. (e) To go successfully through, as an examination, trail, test, etc.; to obtain the formal sanction of, as a legislative body; as, he passed his examination; the bill passed the senate. 2. In causative senses: as: (a) To cause to move or go; to send; to transfer from one person, place, or condition to another; to transmit; to deliver; to hand; to make over; as, the waiter passed bisquit and cheese; the torch was passed from hand to hand. I had only time to pass my eye over the medals. Addison. Waller passed over five thousand horse and foot by Newbridge. Clarendon. (b) To cause to pass the lips; to utter; to pronounce; hence, to promise; to pledge; as, to pass sentence. Shak. Father, thy word is passed. Milton. (c) To cause to advance by stages of progress; to carry on with success through an ordeal, examination, or action; specifically, to give legal or official sanction to; to ratify; to enact; to approve as valid and just; as, he passed the bill through the committee; the senate passed the law. (e) To put in circulation; to give currency to; as, to pass counterfeit money. \"Pass the happy news.\" Tennyson. (f) To cause to obtain entrance, admission, or conveyance; as, to pass a person into a theater, or over a railroad. 3. To emit from the bowels; to evacuate. 4. (Naut.)  To take a turn with (a line, gasket, etc.), as around a sail in furling, and make secure. 5. (Fencing)  To make, as a thrust, punto, etc. Shak. Passed midshipman. See under Midshipman. -- To pass a dividend, to omit the declaration and payment of a dividend at the time when due. -- To pass away, to spend; to waste. \"Lest she pass away the flower of her age.\" Ecclus. xlii. 9. -- To pass by. (a) To disregard; to neglect. (b) To excuse; to spare; to overlook. -- To pass off, to impose fraudulently; to palm off. \"Passed himself off as a bishop.\" Macaulay. -- To pass (something) on or upon (some one), to put upon as a trick or cheat; to palm off. \"She passed the child on her husband for a boy.\" Dryden. -- To pass over, to overlook; not to note or resent; as, to pass over an affront.\n\n1. An opening, road, or track, available for passing; especially, one through or over some dangerous or otherwise impracticable barrier; a passageway; a defile; a ford; as, a mountain pass. \"Try not the pass!\" the old man said. Longfellow. 2. (Fencing)  A thrust or push; an attempt to stab or strike an adversary. Shak. 3. A movement of the hand over or along anything; the manipulation of a mesmerist. 4. (Rolling Metals)  A single passage of a bar, rail, sheet, etc., between the rolls. 5. State of things; condition; predicament. Have his daughters brought him to this pass. Shak. Matters have been brought to this pass. South. 6. Permission or license to pass, or to go and come; a psssport; a ticket permitting free transit or admission; as, a railroad or theater pass; a military pass. A ship sailing under the flag and pass of an enemy. Kent. 7. Fig.: a thrust; a sally of wit. Shak. 8. Estimation; character. [Obs.] Common speech gives him a worthy pass. Shak. 9. Etym: [Cf. Passus.]  A part; a division. [Obs.] Chaucer. Pass boat (Naut.), a punt, or similar boat. -- Pass book. (a) A book in which a trader enters articles bought on credit, and then passes or sends it to the purchaser. (b) See Bank book. -- Pass box (Mil.), a wooden or metallic box, used to carry cartridges from the service magazine to the piece. -- Pass check, a ticket of admission to a place of entertainment, or of readmission for one who goes away in expectation of returning.
pass-key |A key for opening more locks than one; a master key.
pass-parole |An order passed from front to rear by word of mouth.
passable |1. Capable of being passed, traveled, navigated, traversed, penetrated, or the like; as, the roads are not passable; the stream is passablein boats. His body's a passable carcass if it be not hurt; it is a throughfare for steel. Shak. 2. Capable of being freely circulated or disseminated; acceptable; generally receivable; current. With men as with false money -- one piece is more or less passable than another. L'Estrange. Could they have made this slander passable. Collier. 3. Such as may be allowed to pass without serious objection; tolerable; admissable; moderate; mediocre. My version will appear a passable beauty when the original muse is absent. Dryden.
passableness |The quality of being passable.
passably |Tolerably; moderately.
passacaglia |An old Italian or Spanish dance tune, in slow three-four measure, with divisions on a ground bass, resembling a chaconne.
passacaglio |An old Italian or Spanish dance tune, in slow three-four measure, with divisions on a ground bass, resembling a chaconne.
passade |1. (Fencing)  A pass or thrust. Shak. 2. (Man.)  A turn or course of a horse backward or forward on the same spot of ground.
passado |1. (Fencing)  A pass or thrust. Shak. 2. (Man.)  A turn or course of a horse backward or forward on the same spot of ground.
