corrivalship |Corivalry. [R.] By the corrivalship of Shager his false friend. Sir T. Herbert.
counterman |A man who attends at the counter of a shop to sell goods. [Eng.]
countermand |1. To revoke (a former command); to cancel or rescind by giving an order contrary to one previously given; as, to countermand an order for goods. 2. To prohibit; to forbid. [Obs.] Avicen countermands letting blood in choleric bodles. Harvey. 3. To oppose; to revoke the command of. For us to alter anuthing, is to lift ourselves against God; and, as it were, to countermand him. Hooker.\n\nA contrary order; revocation of a former order or command. Have you no countermand for Claudio yet, But he must die to-morrow Shak.
countermandable |Capable of being countermanded; revocable. Bacon.
countermarch |To march back, or to march in reversed order. The two armies marched and countermarched, drew near and receded. Macaulay.\n\n1. A marching back; retrocession. 2. (Mil.)  An evolution by which a body of troops change front or reverse the direction of march while retaining the same men in the front rank; also, a movement by which the rear rank becomes the front one, either with or without changing the right to the left. 3. A change of measures; alteration of conduct. Such countermarches and retractions as we do not willingly impute to wisdom. T. Burnet.
countermark |1. A mark or token added to those already existing, in order to afford security or proof; as, an additional or special mark put upon a package of goods belonging to several persons, that it may not be opened except in the presence of all; a mark added to that of an artificer of gold or silver work by the Goldsmiths' Company of London, to attest the standard quality of the gold or silver; a mark added to an ancient coin or medal, to show either its change of value or that it was taken from an enemy. 2. (Far.)  An artificial cavity made in the teeth of horses that have outgrown their natural mark, to disguise their age.\n\nTo apply a countenmark to; as, to countermark silverware; to countermark a horse's teeth.
countermine |1. (Mil.)  An underground gallery excavated to intercept and destroy the mining of an enemy. 2. A stratagem or plot by which another sratagem or project is defeated. Thinking himself contemned, knowing no countermine against contempt but terror. Sir P. Sidney.\n\n1. (Mil.)  To oppose by means or a countermine; to intercept with a countermine. 2. To frustrate or counteract by secret measures.\n\nTo make a countermine or counterplot; to plot secretly. 'Tis hard for man to countermine with God. Chapman.
countermove |To move in a contrary direction to.\n\nA movement in opposition to another.
countermovement |A movement in opposition to another.
countermure |A wall raised behind another, to supply its place when breached or destroyed. [R.] Cf. Contramure. Knolles.\n\nTo fortify with a wall behind another wall. [R.] Kyd.
counternatural |Contrary to nature. [R.] Harvey.
counterpane |A coverlet for a bed, -- originally stitched or woven in squares or figures. On which a tissue counterpane was cast. Drayton.\n\nA duplicate part or copy of an indenture, deed, etc., corresponding with the original; -- now called counterpart. Read, scribe; give me the counterpane. B. Jonson.
counterpart |1. A part corresponding to another part; anything which answers, or corresponds, to another; a copy; a duplicate; a facsimile. In same things the laws of Normandy agreed with the laws of England, so that they seem to be, as it were, copies or counterparts one of another. Sir M. Hale. 2. (Law)  One of two corresponding copies of an instrument; a duplicate. 3. A person who closely resembles another. 4. A thing may be applied to another thing so as to fit perfectly, as a seal to its impression; hence, a thing which is adapted to another thing, or which suplements it; that which serves to complete or complement anything; hence, a person or thing having qualities lacking in another; an opposite. O counterpart Of our soft sex, well are you made our lords. Dryden.
counterpassant |Passant in opposite directions; -- said of two animals.
counterplead |To plead the contrary of; to plead against; to deny.
counterplot |To oppose, as another plot, by plotting; to attempt to frustrate, as a stratagem, by stratagem. Every wile had proved abortive, every plot had been counterplotted. De Quinsey.\n\nA plot or artifice opposed to another. L'Estrange.
counterpoint |An opposite point [Obs.] Sir E. Sandys.\n\n(a) The setting of note against note in harmony; the adding of one or more parts to a given canto fermo or melody. (b) The art of polyphony, or composite melody, i. e., melody not single, but moving attended by one or more related melodies. (c) Music in parts; part writing; harmony; polyphonic music. See Polyphony. Counterpoint, an invention equivalent to a new creation of music. Whewell.\n\nA coverlet; a cover for a bed, often stitched or broken into squares; a counterpane. See 1st Counterpane. Embroidered coverlets or counterpoints of purple silk. Sir T. North.
counterpoise |1. To act against with equal weight; to equal in weght; to balance the weight of; to counterbalance. Weigts, counterpoising one another. Sir K. Digby. 2. To act against with equal power; to balance. So many freeholders of English will be able to beard and counterpoise the rest. Spenser.\n\n1. A weight sufficient to balance another, as in the opposite scale of a balance; an equal weight. Fastening that to our exact balance, we put a metalline counterpoise into the opposite scale. Boyle. 2. An equal power or force acting in opposition; a force sufficient to balance another force. The second nobles are a counterpoise to the higher nobility, that they grow not too potent. Bacon. 3. The relation of two weights or forces which balance each other; equilibrum; equiponderance. The pendulous round eart, with balanced air, In counterpoise. Milton.
counterpole |The exact opposite. The German prose offers the counterpole to the French style. De Quincey.
counterponderate |TO equal in weight; to counterpoise; to equiponderate.
counterprove |To take a counter proof of, or a copy in reverse, by taking an impression directly from the face of an original. See Counter proof, under Counter.
counterrevolutionary |marked by opposition or antipathy to revolution; as, ostracized for his counterrevolutionary tendencies. Opposite of revolutionary. [WordNet 1.5]
counterrolment |A counter account. See Control. [Obs.] Bacon.
counterscale |Counterbalance; balance, as of one scale against another. [Obs.] Howell.
counterscarf |The exterior slope or wall of the ditch; -- sometimes, the whole covered way, beyond the ditch, with its parapet and glacis; as, the enemy have lodged themselves on the counterscarp.
counterseal |To seal or ratify with another or others. Shak.
countersecure |To give additional security to or for. Burke.
countershaft |An intermediate shaft; esp., one which receives motion from a line shaft in a factory and transmits it to a machine.
countersign |To sign on the opposite side of (an instrument or writing); hence, to sign in addition to the signature of a principal or superior, in order to attest the authenticity of a writing.\n\n1. The signature of a secretary or other officer to a writing signed by a principal or superior, to attest its authenticity. 2. (Mil.)  A private signal, word, or phrase, which must be given in order to pass a sentry; a watchword.
countersink |1. To chamfer or form a depression around the top of (a hole in wood, metal, etc.) for the reception of the head of a screw or bolt below the surface, either wholly or in part; as, to countersink a hole for a screw. 2. To cause to sink even with or below the surface; as, to countersink a screw or bolt into woodwork.\n\n1. An enlargement of the upper part of a hole, forming a cavity or depression for receiving the head of a screw or bolt. Note: In the United States a flaring cavity formed by chamfering the edges of a round hole is called a countersink, while a cylindrical flat-bottomed enlargement of the mouth of the hole is usually called a conterbore. 2. A drill or cutting tool for countersinking holes.
counterstand |Resistance; opposition; a stand against. Making counterstand to Robert Guiscard. Longfellow.
counterstep |A contrary method of procedure; opposite course of action.
counterstock |See Counterfoil.
counterstroke |A stroke or blow in return. Spenser.
countersunk |1. Chamfered at the top; -- said of a hole. 2. Sunk into a chamfer; as, a countersunk bolt. 3. Beveled on the lower side, so as to fit a chamfered countersink; as, a countersunk nailhead.
countersway |A swaying in a contrary direction; an opposing influence. [Obs.] A countersway of restraint, curbing their wild exorbitance. Milton.
counterterm |A term or word which is the opposite of, or antithesis to, another; an antonym; -- the opposite of synonym; as, \"foe\" is the counterterm of \"friend\". C. J. Smith.
countertime |1. (Man.)  The resistance of a horse, that interrupts his cadence and the measure of his manege, occasioned by a bad horseman, or the bad temper of the horse. 2. Resistance; opposition. [Obs.] Give not shus the countertime to fate. Dryden.
countertrippant |Trippant in opposite directions. See Trippant.
countertripping |Same as Countertrippant.
counterturn |The critical moment in a play, when, contrary to expectation, the action is embroiled in new difficulties. Dryden.
countervail |To act against with equal force, power, or effect; to thwart or overcome by such action; to furnish an equivalent to or for; to counterbalance; to compensate. Upon balancing the account, the profit at last will hardly countervail the inconveniences that go allong with it. L'Estrange.\n\nPower or value sufficient to obviate any effect; equal weight, strength, or value; equivalent; compensation; requital. [Obs.] Surely, the present pleasure of a sinful act is a poor countervail for the bitterness of the review. South.
countervallation |See Contravallation.
counterview |1. An opposite or opposing view; opposition; a posture in which two persons front each other. Within the gates of hell sat Death and Sin, In counterview. Milton M. Peisse has ably advocated the counterview in his preface and appendixx. Sir W. Hamilton. 2. A position in which two dissimilar things illustrate each other by opposition; contrast. I have drawn some lines of Linger's character, on purpose to place it in counterview, or contrast with that of the other company. Swift.
countervote |To vote in opposition ti; to balance or overcome by viting; to outvote. Dr. J. Scott.
counterwait |To wait or watch for; to be on guard against. [Obs.] Chaucer.
counterweigh |To weigh against; to counterbalance.
counterwheel |To cause to wheel or turn in an opposite direction.
counterwork |To work in oppositeion to; to counteract. That counterworksh folly and caprice. Pope.
countess |The wife of an earl in the British peerage, or of a count in the Continental nobility; also, a lady possessed of the same dignity in her own right. See the Note under Count.
countinghouse |The house or room in which a merchant, trader, or manufacturer keeps his books and transacts business.
countingroom |The house or room in which a merchant, trader, or manufacturer keeps his books and transacts business.
countless |Incapable of being counted; not ascertainable; innumerable.
countor |An advocate or professional pleader; one who counted for his client, that is, orally pleaded his cause. [Obs.] Burrill.
countour |A merchant's office; a countinghouse. [Obs.] Chaucer.
countourhouse |A merchant's office; a countinghouse. [Obs.] Chaucer.
countre- |Same as prefix Counter-. [Obs.]
countreplete |To counterplead. [Obs.] Chaucer.
countretaille |A counter tally; correspondence (in sound). [Obs.] At the countretaille, in return. Chaucer.
countrified |Having the appearance and manners of a rustic; rude. As being one who took no pride, And was a deal too countrified. Lloyd.
countrify |To give a rural appearance to; to cause to appear rustic. Lamb.
country |1. A tract of land; a region; the territory of an independent nation; (as distinguished from any other region, and with a personal pronoun) the region of one's birth, permanent residence, or citizenship. Return unto thy country, and to thy kindred. Gen. xxxxii. 9. I might have learned this by my last exile, that change of countries cannot change my state. Stirling. Many a famous realm And country, whereof here needs no account Milton. 2. Rural regions, as opposed to a city or town. As they walked, on their way into the country. Mark xvi. 12 (Rev. Ver. ). God made the covatry, and man made the town. Cowper. Only very great men were in the habit of dividing the year between town and country. Macualay. 3. The inhabitants or people of a state or a region; the populace; the public. Hence: (a) One's constituents. (b) The whole body of the electors of state; as, to dissolve Parliament and appeal to the country. All the country in a general voice Cried hate upon him. Shak. 4. (Law) (a) A jury, as representing the citizens of a country. (b) The inhabitants of the district from which a jury is drawn. 5. (Mining.)  The rock through which a vein runs. Conclusion to the country. See under Conclusion. -- To put, or throw, one's self upon the country, to appeal to one's constituents; to stand trial before a jury.\n\n1. Pertaining to the regions remote from a city; rural; rustic; as, a country life; a country town; the country party, as opposed to city. 2. Destitute of refinement; rude; unpolished; rustic; not urbane; as, country manners. 3. Pertaining, or peculiar, to one's own country. She, bowing herself towards him, laughing the cruel tyrant to scorn, spake in her country language. 2 Macc. vii. 27.
country bank |A national bank not in a reserve city. [Colloq., U. S.]
country club |A club usually located in the suburbs or vicinity of a city or town and devoted mainly to outdoor sports.
country cousin |A relative from the country visiting the city and unfamiliar with city manners and sights.
country seat |A dwelling in the country, used as a place of retirement from the city.
country-base |Same as Prison base.
country-dance |See Contradance. He had introduced the English country-dance to the knowledge of the Dutch ladies. Macualay.
countryman |1. An inhabitant or native of a region. Shak. 2. One born in the same country with another; a compatriot; -- used with a possessive pronoun. In perils of waters, in perils of robbers, in perils by mine own countrymen. 2 Cor. xi. 26. 3. One who dwells in the country, as distinguished from a townsman or an inhabitant of a city; a rustic; a husbandman or farmer. A simple countryman that brought her figs. Shak.
countryside |A particular rural district; a country neighborhood. [Eng.] W. Black. Blackmore.
countrywoman |A woman born, or dwelling, in the country, as opposed to the city; a woman born or dwelling in the same country with another native or inhabitant. Shak.
county |1. An earldom; the domain of a count or earl. [Obs.] 2. A circuit or particular portion of a state or kingdom, separated from the rest of the territory, for certain purposes in the administration of justice and public affairs; -- called also a shire. See Shire. Every county, every town, every family, was in agitation. Macaulay. 3. A count; an earl or lord. [Obs.] Shak. County commissioners. See Commissioner. -- County corporate, a city or town having the privilege to be a county by itself, and to be governed by its own sheriffs and other magistrates, irrespective of the officers of the county in which it is situated; as London, York, Bristol, etc. [Eng.] Mozley & W. -- County court, a court whose jurisdiction is limited to county. -- County palatine, a county distingushed by particular privileges; -- so called a palatio (from the palace), because the owner had originally royal powers, or the same powers, in the administration of justice, as the king had in his palace; but these powers are now abridged. The counties palatine, in England, are Lancaster, Chester, and Durham. -- County rates, rates levied upon the county, and collected by the boards of guardians, for the purpose of defraying the expenses to which counties are liable, such as repairing bridges, jails, etc. [Eng.] -- County seat, a county town. [U.S.] -- County sessions, the general quarter sessions of the peace for each county, held four times a year. [Eng.] -- County town, the town of a county, where the county business is transacted; a shire town.
coup |A sudden stroke; an unexpected device or stratagem; -- a term used in various ways to convey the idea of promptness and force. Coup de grace (ke gr Etym: [F.], the stroke of mercy with which an executioner ends by death the sufferings of the condemned; hence, a decisive, finishing stroke. -- Coup de main (ke m Etym: [F.] (Mil.), a sudden and unexpected movement or attack. -- Coup de soleil (k Etym: [F.] (Med.), a sunstroke. See Sunstroke. -- Coup d'état (k Etym: [F.] (Politics), a sudden, decisive exercise of power whereby the existing government is subverted without the consent of the people; an unexpected measure of state, more or less violent; a stroke of policy. -- Coup d'oeil (k. Etym: [F.] (a) A single view; a rapid glance of the eye; a comprehensive view of a scene; as much as can be seen at one view. (b) The general effect of a picture. (c) (Mil.) The faculty or the act of comprehending at a glance the weakness or strength of a military position, of a certain arrangement of troops, the most advantageous position for a battlefield, etc.
coupable |Culpable. [Obs.]
coupe |1. The front compartment of a French diligence; also, the front compartment (usually for three persons) of a car or carriage on British railways. 2. A four-wheeled close carriage for two persons inside, with an outside seat for the driver; -- so called because giving the appearance of a larger carriage cut off.
coupe-gorge |Any position giving the enemy such advantage that the troops occupying it must either surrender or be cut to pieces. Farrow.
couped |Cut off smoothly, as distinguished from erased; -- used especially for the head or limb of an animal. See Erased.
coupee |A motion in dancing, when one leg is a little bent, and raised from the floor, and with the other a forward motion is made. Chambers.
couple |1. That which joins or links two things together; a bond or tie; a coupler. [Obs.] It is in some sort with friends as it is with dogs in couples; they should be of the same size and humor. L'Estrange. I'll go in couples with her. Shak. 2. Two of the same kind connected or considered together; a pair; a brace. \"A couple of shepherds.\" Sir P. Sidney. \"A couple of drops\" Adduson. \"A couple of miles.\" Dickens. \"A couple of weeks.\" Carlyle. Adding one to one we have the complex idea of a couple. Locke. [Ziba] met him with a couple of asses saddled. 2 Sam. xvi. 1. 3. A male and female associated together; esp., a man and woman who are married or betrothed. Such were our couple, man and wife. Lloyd. Fair couple linked in happy, nuptial league. Milton. 4. (Arch.)  See Couple-close. 5. (Elec.)  One of the pairs of plates of two metals which compose a voltaic battery; -- called a voltaic couple or galvanic couple. 6. (Mech.)  Two rotations, movements, etc., which are equal in amount but opposite in direction, and acting along parallel lines or around parallel axes. Note: The effect of a couple of forces is to produce a rotation. A couple of rotations is equivalent to a motion of translation.\n\n1. To link or tie, as one thing to another; to connect or fasten together; to join. Huntsman, I charge thee, tender well my hounds, . . . And couple Clowder with the deep-mouthed brach. Shak. 2. To join in wedlock; to marry. [Colloq.] A parson who couples all our beggars. Swift.\n\nTo come together as male and female; to copulate. [Obs.] Milton. Bacon.
couple-beggar |One who makes it his business to marry beggars to each other. Swift.
couple-close |1. (Her.)  A diminutive of the chevron, containing one fourth of its surface. Couple-closes are generally borne one on each side of a chevron, and the blazoning may then be either a chevron between two couple-closes or chevron cottised. 2. (Arch.)  A pair of rafters framed together with a tie fixed at their feet, or with a collar beam. [Engl.]
couplement |Union; combination; a coupling; a pair. [Obs.] Shak. And forth together rode, a goodly couplement. Spenser.
coupler |One who couples; that which couples, as a link, ring, or shackle, to connect cars. Coupler of an organ, a contrivance by which any two or more of the ranks of keys, or keys and pedals, are connected so as to act together when the organ is played.
couplet |Two taken together; a pair or couple; especially two lines of verse that rhyme with each other. A sudden couplet rushes on your mind. Crabbe.
coupling |1. The act of bringing or coming together; connection; sexual union. 2. (Mach.)  A device or contrivance which serves to couple or connect adjacent parts or objects; as, a belt coupling, which connects the ends of a belt; a car coupling, which connects the cars in a train; a shaft coupling, which connects the ends of shafts. Box coupling, Chain coupling. See under Box, Chain. -- Coupling box, a coupling shaped like a journal box, for clamping together the ends of two shafts, so that they may revolve together. -- Coupling pin, a pin or bolt used in coupling or joining together railroad cars, etc.
coupon |1. (Com.)  A certificate of interest due, printed at the bottom of transferable bonds (state, railroad, etc.), given for a term of years, designed to be cut off and presented for payment when the interest is due; an interest warrant. 2. A section of a ticket, showing the holder to be entitled to some specified accomodation or service, as to a passage over a designated line of travel, a particular seat in a theater, or the like.
coupstick |A stick or switch used among some American Indians in making or counting a coup.
coupure |A passage cut through the glacis to facilitate sallies by the besieged. Wilhelm.
courage |1. The heart; spirit; temper; disposition. [Obs.] So priketh hem nature in here corages. Chaucer. My lord, cheer up your spirits; our foes are nigh, and this soft courage makes your followers faint. Shak. 2. Heart; inclination; desire; will. [Obs.] Chaucer. I'd such a courage to do him good. Shak. 3. That quality of mind which enables one to encounter danger and difficulties with firmness, or without fear, or fainting of heart; valor; boldness; resolution. The king-becoming graces . . . Devotion, patience, courage, fortitude, I have no relish of them. Shak. Courage that grows from constitution often forsakes a man when he has occasion for it. Addison. Syn. -- Heroism; bravery; intrepidity; valor; gallantry; daring; firmness; hardihood; boldness; dauntlessness; resolution. See Heroism. -- Courage, Bravery, Fortitude, Intrepidity, Gallantry, Valor. Courage is that firmness of spirit and swell of soul which meets danger without fear. Bravery is daring and impetuous courage, like that of one who has the reward continually in view, and displays his courage in daring acts. Fortitude has often been styled \"passive courage,\" and consist in the habit of encountering danger and enduring pain with a steadfast and unbroken spirit. Valor is courage exhibited in war, and can not be applied to single combats; it is never used figuratively. Intrepidity is firm, unshaken courage. Gallantry is adventurous courage, which courts danger with a high and cheerful spirit. A man may show courage, fortitude, or intrepidity in the common pursuits of life, as well as in war. Valor, bravery, and gallantry are displayed in the contest of arms. Valor belongs only to battle; bravery may be shown in single combat; gallantry may be manifested either in attack or defense; but in the latter ease, the defense is usually turned into an attack.\n\nTo inspire with courage. [Obs.] Paul writeth unto Timothy . . . to courage him. Tyndale.
courageous |Possessing, or characterized by, courage; brave; bold. With this victory, the women became most courageous and proud, and the men waxed . . . fearful and desperate. Stow. Syn. -- Gallant; brave; bold; daring; valiant; valorous; heroic; intrepid; fearless; hardy; stout; adventurous; enterprising. See Gallant.
courageously |In a courageous manner.
courageousness |The quality of being courageous; courage.
courant |Represented as running; -- said of a beast borne in a coat of arms.\n\n1. A piece of music in triple time; also, a lively dance; a coranto. 2. A circulating gazette of news; a newspaper.
couranto |A sprightly dance; a coranto; a courant.
courap |A skin disease, common in India, in which there is perpetual itching and eruption, esp. of the groin, breast, armpits, and face.
courb |Curved; rounded. [Obs.] Her neck is short, her shoulders courb. Gower.\n\nTo bend; to stop; to bow. [Obs.] Then I courbed on my knees. Piers Plowman.
courbaril |See Animé, n.
courche |A square piece of linen used formerly by women instead of a cap; a kerchief. [Scot.] [Written also curch.] Jamieson.
courier |1. A messenger sent with haste to convey letters or dispatches, usually on public busuness. The wary Bassa . . . by speedy couriers, advertised Solyman of the enemy's purpose. Knolles. 2. An attendant on travelers, whose business it is to make arrangements for their convenience at hotels and on the way.
courlan |A South American bird, of the genus Aramus, allied to the rails.
course |1. The act of moving from one point to another; progress; passage. And when we had finished our course from Tyre, we came to Ptolemais. Acts xxi. 7. 2. THe ground or path traversed; track; way. The same horse also run the round course at Newmarket. Pennant. 3. Motion, considered as to its general or resultant direction or to its goal; line progress or advance. A light by which the Argive squadron steers Their silent course to Ilium's well known shore. Dennham. Westward the course of empire takes its way. Berkeley. 4. Progress from point to point without change of direction; any part of a progress from one place to another, which is in a straight line, or on one direction; as, a ship in a long voyage makes many courses; a course measured by a surveyor between two stations; also, a progress without interruption or rest; a heat; as, one course of a race. 5. Motion considered with reference to manner; or derly progress; procedure in a certain line of thought or action; as, the course of an argument. The course of true love never did run smooth. Shak. 6. Customary or established sequence of evants; re currence of events according to natural laws. By course of nature and of law. Davies. Day and night, Seedtime and harvest, heat and hoary frost, Shall hold their course. Milton. 7. Method of procedure; manner or way of conducting; conduct; behavior. My lord of York commends the plot and the general course of the action. Shak. By perseverance in the course prescribed. Wodsworth. You hold your course without remorse. Tennyson. 8. A series of motions or acts arranged in order; a succession of acts or practices connectedly followed; as, a course of medicine; a course of lectures on chemistry. 9. The succession of one to another in office or duty; order; turn. He appointed . . . the courses of the priests 2 Chron. viii. 14. 10. That part of a meal served at one time, with its accompaniments. He [Goldsmith] wore fine clothes, gave dinners of several courses, paid court to venal beauties. Macualay. 11. (Arch.)  A continuous level range of brick or stones of the same height throughout the face or faces of a building. Gwilt. 12. (Naut.)  The lowest sail on any mast of a square-rigged vessel; as, the fore course, main course, etc. 13. pl. (Physiol.)  The menses. In course, in regular succession. -- Of course, by consequence; as a matter of course; in regular or natural order. -- In the course of, at same time or times during. \"In the course of human events.\" T. Jefferson. Syn. -- Way; road; route; passage; race; series; succession; manner; method; mode; career; progress.\n\n1. To run, hunt, or chase after; to follow hard upon; to pursue. We coursed him at the heels. Shak. 2. To cause to chase after or pursue game; as, to course greyhounds after deer. 3. To run through or over. The bounding steed courses the dusty plain. Pope.\n\n1. To run as in a race, or in hunting; to pursue the sport of coursing; as, the sportsmen coursed over the flats of Lancashire. 2. To move with speed; to race; as, the blood courses through the veins. Shak.
coursed |1. Hunted; as, a coursed hare. 2. Arranged in courses; as, coursed masonry.
courser |1. One who courses or hunts. leash is a leathern thong by which . . . a courser leads his greyhound. Hanmer. 2. A swift or spirited horse; a racer or a war horse; a charger. [Poetic.] Pope. 3. (Zoöl.)  A grallatorial bird of Europe (Cursorius cursor), remarkable for its speed in running. Sometimes, in a wider sense, applied to running birds of the Ostrich family.
coursey |A space in the galley; a part of the hatches. Ham. Nav. Encyc.
coursing |The pursuit or running game with dogs that follow by sight instead of by scent. In coursing of a deer, or hart, with greyhounds. Bacon
court |1. An inclosed space; a courtyard; an uncovered area shut in by the walls of a building, or by different building; also, a space opening from a street and nearly surrounded by houses; a blind alley. The courts the house of our God. Ps. cxxxv. 2. And round the cool green courts there ran a row Cf cloisters. Tennyson. Goldsmith took a garret in a miserable court. Macualay. 2. The residence of a sovereign, prince, nobleman, or ether dignitary; a palace. Attends the emperor in his royal court. Shak. This our court, infected with their manners, Shows like a riotous inn. Shak. 3. The collective body of persons composing the retinue of a sovereign or person high in aithority; all the surroundings of a sovereign in his regal state. My lord, there is a nobleman of the court at door would speak with you. Shak. Love rules the court, the camp, the grove. Sir. W. Scott. 4. Any formal assembling of the retinue of a sovereign; as, to hold a court. The princesses held their court within the fortres. Macualay. 5. Attention directed to a person in power; conduct or address designed to gain favor; courtliness of manners; civility; compliment; flattery. No solace could her paramour intreat Her once to show, ne court, nor dalliance. Spenser. I went to make my court to the Dike and Duches of Newcastle. Evelyn. 6. (Law) (a) The hall, chamber, or place, where justice is administered. (b) The persons officially assembled under authority of law, at the appropriate time and place, for the administration of justice; an official assembly, legally met together for the transaction of judicial business; a judge or judges sitting for the hearing or trial of causes. (c) A tribunal established for the administration of justice. (d) The judge or judges; as distinguished from the counsel or jury, or both. Most heartily I do beseech the court To give the judgment. Shak. 7. The session of a judicial assembly. 8. Any jurisdiction, civil, military, or ecclesiastical. 9. A place arranged for playing the game of tennis; also, one of the divisions of a tennis court. Christian court, the English ecclesiastical courts in the aggregate, or any one of them. -- Court breeding, education acquired at court. -- Court card. Same as Coat card. -- Court circular, one or more paragraphs of news respecting the sovereign and the royal family, together with the proceedings or movements of the court generally, supplied to the newspapers by an officer specially charged with such duty. [Eng.] Edwards. -- Court day, a day on which a court sits to administer justice. -- Court dress, the dress prescribed for appearance at the court of a sovereign. -- Court fool, a buffoon or jester, formerly kept by princes and nobles for their amusement. -- Court guide, a directory of the names and adresses of the nobility and gentry in a town. -- Court hand, the hand or manner of writing used in records and judicial proceedings. Shak. -- Court lands (Eng. Law), lands kept in demesne, -- that is, for the use of the lord and his family. -- Court marshal, one who acts as marshal for a court. -- Court party, a party attached to the court. -- Court rolls, the records of a court. SeeRoll. -- Court in banc, or Court in bank, The full court sitting at its regular terms for the hearing of arguments upon questions of law, as distinguished from a sitting at nisi prius. -- Court of Arches, audience, etc. See under Arches, Audience, etc. -- Court of Chancery. See Chancery, n. -- Court of Common pleas. (Law) See Common pleas, under Common. -- Court of Equity. See under Equity, and Chancery. -- Court of Inquiry (Mil.) , a court appointed to inquire into and report on some military matter, as the conduct of an officer. -- Court of St. James, the usual designation of the British Court; - - so called from the old palace of St. James, which is used for the royal receptions, levees, and drawing-rooms. -- The court of the Lord, the temple at Jerusalem; hence, a church, or Christian house of worship. -- General Court, the legislature of a State; -- so called from having had, in the colonial days, judical power; as, the General Court of Massachusetts. [U.S.] -- To pay one's court, to seek to gain favor by attentions. \"Alcibiades was assiduous in paying his court to Tissaphernes.\" Jowett. -- To put out of court, to refuse further judicial hearing.\n\n1. To endeavor to gain the favor of by attention or flattery; to try to ingratiate one's self with. By one person, hovever, Portland was still assiduously courted. Macualay. 2. To endeavor to gain the affections of; to seek in marriage; to woo. If either of you both love Katharina . . . leave shall you have to court her at your pleasure. Shak. 3. To attempt to gain; to solicit; to seek. They might almost seem to have courted the crown of martyrdem. Prescott. Guilt and misery . . . court privacy and silitude. De Quincey. 4. To invite by attractions; to allure; to attract. A well-worn pathway courted us To one green wicket in a privet hedge. Tennyson.\n\n1. To play the lover; to woo; as, to go courting.
court tennis |See under Tennis.
court-baron |An inferior court of civil jurisdiction, attached to a manor, and held by the steward; a baron's court; -- now fallen into disuse.
court-craft |The artifices, intrigues, and plottings, at courts.
court-cupboard |A movable sideboard or buffet, on which plate and other articles of luxury were displayed on special ocasions. [Obs.] A way with the joint stools, remove the court-cupboard, look to the plate. Shak.
court-leet |A court of record held once a year, in a particular hundred, lordship, or manor, before the steward of the leet. Blackstone.
court-martial |A court consisting of military or naval officers, for the trial of one belonging to the army or navy, or of offenses against military or naval law.\n\nTo subject to trial by a court-martial.
court-plaster |Sticking plaster made by coating taffeta or silk on one side with some adhesive substance, commonly a mixture of isinglass and glycerin.
courtbred |Bred, or educated, at court; polished; courtly.
courtelle |a wool-like fabric. [WordNet 1.5]
courteous |Of courtlike manners; pertaining to, or exxpressive of, courtesy; characterized by courtesy; civil; obliging; well bred; polite; affable; complaisant. A patient and courteous bearing. Prescott. His behavior toward his people is grave and courteous. Fuller.
courteously |In a courteous manner.
courteousness |The quality of being courteous; politeness; courtesy.
courtepy |A short coat of coarse cloth. [Obs.] Full threadbare was his overeste courtepy. Chaucer.
courter |One who courts; one who plays the lover, or who solicits in marriage; one who flatters and cajoles. Sherwood.
courtesan |A woman who prostitutes herself for hire; a prostitute; a harlot. Lasciviously decked like a courtesan. Sir H. Wotton.
courtesanship |Harlotry.
courtesy |1. Politeness; civility; urbanity; courtliness. And trust thy honest-offered courtesy, With oft is sooner found in lowly sheds, With smoky rafters, than in tapestry walls And courts of princes, where it first was named, And yet is most pretended. Milton. Pardon me, Messer Claudio, if once more I use the ancient courtesies of speech. Longfellow. 2. An act of civility or respect; an act of kindness or favor performed with politeness. My lord, for your many courtesies I thank you. Shak. 3. Favor or indulgence, as distinguished from right; as, a title given one by courtesy. Courtesy title, a title assumed by a person, or popularly conceded to him, to which he has no valid claim; as, the courtesy title of Lord prefixed to the names of the younger sons of noblemen. Syn. -- Politiness; urbanity; civility; complaisance; affability; courteousness; elegance; refinement; courtliness; good breeding. See Politeness.\n\nAn act of civility, respect, or reverence, made by women, consisting of a slight depression or dropping of the body, with bending of the kness. [Written also curtsy.] The lady drops a courtesy in token of obedience, and the ceremony proceeds as usual. Golgsmith.\n\nTo make a respectful salutation or movement of respect; esp. (with reference to women), to bow the body slightly, with bending of the knes.\n\nTo treat with civility. [Obs.]
courthouse |1. A house in which established courts are held, or a house appropriated to courts and public meetings. [U.S.] 2. A county town; -- so called in Virginia and some others of the Southern States. Providence, the county town of Fairfax, is unknown by that name, and passes as Fairfax Court House. Barlett.
courtier |1. One who is in attendance at the court of a prince; one who has an appointment at court. You know I am no courtier, nor versed in state affairs. Bacon. This courtier got a frigate, and that a company. Macualay. 2. One who courts or solicits favor; one who flatters. There was not among all our princes a greater courtier of the people than Richard III. Suckling.
courtiery |The manners of a courtier; courtliness. [Obs.] B. Jonson.
courtlike |After the manner of a court; elegant; polite; courtly.
courtliness |The quality of being courtly; elegance or dignity of manners.
courtling |A sycophantic courtier. B. Jonson.
