tailage |See Tallage.
tapoa tafa |A small carnivorous marsupial (Phascogale penicillata) having long, soft fur, and a very long tail with a tuft of long hairs at the end; -- called also brush-tailed phascogale.
tappen |An obstruction, or indigestible mass, found in the intestine of bears and other animals during hibernation.
tapper |The lesser spotted woodpecker (Dendrocopus minor); -- called also tapperer, tabberer, little wood pie, barred woodpecker, wood tapper, hickwall, and pump borer. [Prov. Eng.]
tappester |A female tapster. [Obs.] Chaucer.
tappet |A lever or projection moved by some other piece, as a cam, or intended to tap or touch something else, with a view to produce change or regulate motion. G. Francis. Tappet motion, a valve motion worked by tappets from a reciprocating part, without an eccentric or cam, -- used in steam pumps, etc.
tappet rod |A rod carrying a tappet or tappets, as one for closing the valves in a Cornish pumping engine.
tappice |See Tapish.
tappis |See Tapish.
tappit hen |1. A hen having a tuft of feathers on her head. [Scot.] Jamieson. 2. A measuring pot holding one quart (according to some, three quarts); -- so called from a knob on the lid, though to resemble a crested hen. [Scot.] Jamieson.
tappoon |A piece of wood or sheet metal fitted into a ditch to dam up the water so as to overflow a field. [U. S.]
taproom |A room where liquors are kept on tap; a barroom. The ambassador was put one night into a miserable taproom, full of soldiers smoking. Macaulay.
taproot |The root of a plant which penetrates the earth directly downward to a considerable depth without dividing.
tapster |One whose business is to tap or draw ale or other liquor.
taqua-nut |A Central American name for the ivory nut.
tar |A sailor; a seaman. [Colloq.] Swift.\n\nA thick, black, viscous liquid obtained by the distillation of wood, coal, etc., and having a varied composition according to the temperature and material employed in obtaining it. Coal tar. See in the Vocabulary. -- Mineral tar (Min.), a kind of soft native bitumen. -- Tar board, a strong quality of millboard made from junk and old tarred rope. Knight. -- Tar water. (a) A cold infusion of tar in water, used as a medicine. (b) The ammoniacal water of gas works. -- Wood tar, tar obtained from wood. It is usually obtained by the distillation of the wood of the pine, spruce, or fir, and is used in varnishes, cements, and to render ropes, oakum, etc., impervious to water.\n\nTo smear with tar, or as with tar; as, to tar ropes; to tar cloth. To tar and feather a person. See under Feather, v. t.
taranis |A Celtic divinity, regarded as the evil principle, but confounded by the Romans with Jupiter.
tarantass |A low four-wheeled carriage used in Russia. The carriage box rests on two long, springy poles which run from the fore to the hind axletree. When snow falls, the wheels are taken off, and the body is mounted on a sledge.
tarantella |(a) A rapid and delirious sort of Neapolitan dance in 6-8 time, which moves in whirling triplets; -- so called from a popular notion of its being a remedy against the poisonous bite of the tarantula. Some derive its name from Taranto in Apulia. (b) Music suited to such a dance.
tarantism |A nervous affection producing melancholy, stupor, and an uncontrollable desire to dance. It was supposed to be produced by the bite of the tarantula, and considered to be incapable of cure except by protraced dancing to appropriate music. [Written also tarentism.]
tarantula |Any one of several species of large spiders, popularly supposed to be very venomous, especially the European species (Tarantula apuliæ). The tarantulas of Texas and adjacent countries are large species of Mygale. [Written also tarentula.] Tarantula killer, a very large wasp (Pompilus formosus), which captures the Texan tarantula (Mygale Hentzii) and places it in its nest as food for its young, after paralyzing it by a sting.
tarantulated |Bitten by a tarantula; affected with tarantism.
tarbogan |See Toboggan.
tarboosh |A red cap worn by Turks and other Eastern nations, sometimes alone and sometimes swathed with linen or other stuff to make a turban. See Fez.
tardation |The act of retarding, or delaying; retardation. [Obs.]
tardigrada |1. (Zoöl.)  A tribe of edentates comprising the sloths. They are noted for the slowness of their movements when on the ground. See Sloth, 3. 2. (Zoöl.)  An order of minute aquatic arachnids; -- called also bear animalcules, sloth animalcules, and water bears.
tardigrade |1. Moving or stepping slowly; slow-paced. [R.] G. Eliot. 2. (Zoöl.)  Of or pertaining to the Tardigrada.\n\nOne of the Tardigrada.
tardigradous |Moving slowly; slow-paced. [Obs.] Sir T. Browne.
tardily |In a tardy manner; slowly.
tardiness |The quality or state of being tardy.
tarditation |Tardiness. [Obs.] To instruct them to avoid all snares of tarditation, in the Lord's affairs. Herrick.
tardity |Slowness; tardiness. [R.] Sir K. Digby.
tardo |Slow; -- a direction to perform a passage slowly.\n\nA sloth.
tardy |1. Moving with a slow pace or motion; slow; not swift. And check the tardy flight of time. Sandys. Tardy to vengeance, and with mercy brave. Prior. 2. Not being inseason; late; dilatory; -- opposed to prompt; as, to be tardy in one's payments. Arbuthnot. The tardy plants in our cold orchards placed. Waller. 3. Unwary; unready. [Obs.] Hudibras. 4. Criminal; guilty. [Obs.] Collier. Syn. -- Slow; dilatory; tedious; reluctant. See Slow.\n\nTo make tardy. [Obs.] Shak.
tare |Tore.\n\n1. A weed that grows among wheat and other grain; -- alleged by modern naturalists to be the Lolium temulentum, or darnel. Didst not thou sow good seed in thy field From whence then hath it tares Matt. xiii. 27. The \"darnel\" is said to be the tares of Scripture, and is the only deleterious species belonging to the whole order. Baird. 2. (Bot.)  A name of several climbing or diffuse leguminous herbs of the genus Vicia; especially, the V. sativa, sometimes grown for fodder.\n\nDeficientcy in the weight or quantity of goods by reason of the weight of the cask, bag, or whatever contains the commodity, and is weighed with it; hence, the allowance or abatement of a certain weight or quantity which the seller makes to the buyer on account of the weight of such cask, bag, etc.\n\nTo ascertain or mark the tare of (goods).
tared |Weighed; determined; reduced to equal or standard weight; as, tared filter papers, used in weighing precipitates.
tarente |A harmless lizard of the Gecko family (Platydactylus Mauritianicus) found in Southern Europe and adjacent countries, especially among old walls and ruins.
tarentism |See Tarantism.
tarentula |See Tarantula.
targe |A shield or target. [Obs. or Poetic] \"A buckler on a targe.\" Chaucer.
target |1. A kind of small shield or buckler, used as a defensive weapon in war. 2. (a) A butt or mark to shoot at, as for practice, or to test the accuracy of a firearm, or the force of a projectile. (b) The pattern or arrangement of a series of hits made by a marksman on a butt or mark; as, he made a good target. 3. (Surveying)  The sliding crosspiece, or vane, on a leveling staff. 4. (Railroad)  A conspicuous disk attached to a switch lever to show its position, or for use as a signal.
targeted |Furnished, armed, or protected, with a target.
targeteer |One who is armed with a target or shield. [Written also targetier.]
targum |A translation or paraphrase of some portion of the Old Testament Scriptures in the Chaldee or Aramaic language or dialect.
targumist |The writer of a Targum; one versed in the Targums.
tariff |1. A schedule, system, or scheme of duties imposed by the government of a country upon goods imported or exported; as, a revenue tariff; a protective tariff; Clay's compromise tariff. (U.S. 1833). Note: The United States and Great Britain impose no duties on exports; hence, in these countries the tariff refers only to imports. 2. The duty, or rate of duty, so imposed; as, the tariff on wool; a tariff of two cents a pound. 3. Any schedule or system of rates, changes, etc.; as, a tariff of fees, or of railroad fares. Bolingbroke.\n\nTo make a list of duties on, as goods.
tarin |The siskin. [Prov.]
taring |The common tern; -- called also tarret, and tarrock. [Prov. Eng.]
tarlatan |A kind of thin, transparent muslin, used for dresses.
tarn |A mountain lake or pool. A lofty precipice in front, A silent tarn below. Wordsworth.
tarnish |To soil, or change the appearance of, especially by an alternation induced by the air, or by dust, or the like; to diminish, dull, or destroy the luster of; to sully; as, to tarnish a metal; to tarnish gilding; to tarnish the purity of color. \"Tarnished lace.\" Fuller. Used also figuratively; as, to tarnish one's honor. Syn. -- To sully; stain; dim.\n\nTo lose luster; to become dull; as, gilding will tarnish in a foul air. Till thy fresh glories, which now shine so bright, Grow stale and tarnish with our daily sight. Dryden.\n\n1. The quality or state of being tarnished; stain; soil; blemish. 2. (Min.)  A thin film on the surface of a metal, usually due to a slight alteration of the original color; as, the steel tarnish in columbite.
tarnisher |One who, or that which, tarnishes.
taro |A name for several aroid plants (Colocasia antiquorum, var. esculenta, Colocasia macrorhiza, etc.), and their rootstocks. They have large ovate-sagittate leaves and large fleshy rootstocks, which are cooked and used for food in tropical countries.
tarot |A game of cards; -- called also taroc. Hoyle.
tarpan |A wild horse found in the region of the Caspian Sea.
tarpaulin |1. A piece of canvas covered with tar or a waterproof composition, used for covering the hatches of a ship, hammocks, boats, etc. 2. A hat made of, or covered with, painted or tarred cloth, worn by sailors and others. 3. Hence, a sailor; a seaman; a tar. To a landsman, these tarpaulins, as they were called, seemed a strange and half-savage race. Macaulay.
tarpeian |Pertaining to or designating a rock or peak of the Capitoline hill, Rome, from which condemned criminals were hurled.
tarpon |Same as Tarpum.
tarpum |A very large marine fish (Megapolis Atlanticus) of the Southern United States and the West Indies. It often becomes six or more feet in length, and has large silvery scales. The scales are a staple article of trade, and are used in fancywork. Called also tarpon, sabalo, savanilla, silverfish, and jewfish.
tarquinish |Like a Tarquin, a king of ancient Rome; proud; haughty; overbearing.
tarrace |See Trass. [Obs.]
tarragon |A plant of the genus Artemisa (A. dracunculus), much used in France for flavoring vinegar.
tarras |See Trass. [Obs.]
tarre |To set on, as a dog; to incite. [Obs.] Shak.
tarriance |The act or time of tarrying; delay; lateness. [Archaic] Shak. And after two days' tarriance there, returned. Tennyson.
tarrier |One who, or that which, tarries.\n\nA kind of dig; a terrier. [Obs.]
tarrock |(a) The young of the kittiwake gull before the first molt. (b) The common guillemot. [Prov. Eng.] (c) The common tern.
tarry |Consisting of, or covered with, tar; like tar.\n\n1. To stay or remain behind; to wait. Tarry ye for us, until we come again. Ex. xxiv. 14. 2. To delay; to put off going or coming; to loiter. Come down unto me, tarry not. Gen. xic. 9. One tarried here, there hurried one. Emerson. 3. To stay; to abide; to continue; to lodge. Tarry all night, and wash your feet. Gen. xix. 2. Syn. -- To abide; continue; lodge; await; loiter.\n\n1. To delay; to defer; to put off. [Obs.] Tarry us here no longer than to-morrow. Chaucer. 2. To wait for; to stay or stop for. [Archaic] He that will have a cake out of the wheat must needs tarry the grinding. Shak. He plodded on, . . . tarrying no further question. Sir W. Scott.\n\nStay; stop; delay. [Obs.] E. Lodge.
tarsal |Of or pertaining to the tarsus (either of the foot or eye). -- n.  A tarsal bone or cartilage; a tarsale. Tarsal tetter (Med.), an eruptive disease of the edges of the eyelids; a kind of bleareye.\n\nSame as Tercel. [Obs.]
tarsale |One of the bones or cartilages of the tarsus; esp., one of the series articulating with the metatarsals.
tarse |The male falcon.\n\ntarsus.
tarsectomy |The operation of excising one or more of the bones of the tarsus.
tarsel |A male hawk. See Tercel. [Obs.]
tarsi |pl. of Tarsus.
tarsia |A kind of mosaic in woodwork, much employed in Italy in the fifteenth century and later, in which scrolls and arabesques, and sometimes architectural scenes, landscapes, fruits, flowers, and the like, were produced by inlaying pieces of wood of different colors and shades into panels usually of walnut wood.
tarsiatura |A kind of mosaic in woodwork, much employed in Italy in the fifteenth century and later, in which scrolls and arabesques, and sometimes architectural scenes, landscapes, fruits, flowers, and the like, were produced by inlaying pieces of wood of different colors and shades into panels usually of walnut wood.
tarsier |See Tarsius.
tarsius |A genus of nocturnal lemurine mammals having very large eyes and ears, a long tail, and very long proximal tarsal bones; -- called also malmag, spectral lemur, podji, and tarsier.
tarso- |A combining form used in anatomy to indicate connection with, or relation to, the tarsus; as, tarsometatarsus.
tarsometatarsal |(a) Of or pertaining to both the tarsus and metatarsus; as, the tarsometatarsal articulations. (b) Of or pertaining to the tarsometatarsus.
tarsometatarsus |The large bone next the foot in the leg of a bird. It is formed by the union of the distal part of the tarsus with the metatarsus.
tarsorrhaphy |An operation to diminish the size of the opening between eyelids when enlarged by surrounding cicatrices.
tarsotomy |The operation of cutting or removing the tarsal cartilages.
tarsus |1. (Anat.) (a) The ankle; the bones or cartilages of the part of the foot between the metatarsus and the leg, consisting in man of seven short bones. (b) A plate of dense connective tissue or cartilage in the eyelid of man and many animals; -- called also tarsal cartilage, and tarsal plate. 2. (Zoöl.)  The foot of an insect or a crustacean. It usually consists of form two to five joints.
tart |1. Sharp to the taste; acid; sour; as, a tart apple. 2. Fig.: Sharp; keen; severe; as, a tart reply; tart language; a tart rebuke. Why art thou tart, my brother Bunyan.\n\nA species of small open pie, or piece of pastry, containing jelly or conserve; a sort of fruit pie.
tartan |Woolen cloth, checkered or crossbarred with narrow bands of various colors, much worn in the Highlands of Scotland; hence, any pattern of tartan; also, other material of a similar pattern. MacCullummore's heart will be as cold as death can make it, when it does not warm to the tartan. Sir W. Scott. The sight of the tartan inflamed the populace of London with hatred. Macaulay.\n\nA small coasting vessel, used in the Mediterranean, having one mast carrying large leteen sail, and a bowsprit with staysail or jib.
tartar |1. (Chem.)  A reddish crust or sediment in wine casks, consisting essentially of crude cream of tartar, and used in marking pure cream of tartar, tartaric acid, potassium carbonate, black flux, etc., and, in dyeing, as a mordant for woolen goods; -- called also argol, wine stone, etc. 2. A correction which often incrusts the teeth, consisting of salivary mucus, animal matter, and phosphate of lime. Cream of tartar. (Chem.) See under Cream. -- Tartar emetic (Med. Chem.), a double tartrate of potassium and basic antimony. It is a poisonous white crystalline substance having a sweetish metallic taste, and used in medicine as a sudorific and emetic.\n\n1. Etym: [Per. Tatar, of Tartar origin.]  A native or inhabitant of Tartary in Asia; a member of any one of numerous tribes, chiefly Moslem, of Turkish origin, inhabiting the Russian Europe; -- written also, more correctly but less usually, Tatar. 2. A person of a keen, irritable temper. To catch a tartar, to lay hold of, or encounter, a person who proves too strong for the assailant. [Colloq.]\n\nOf or pertaining to Tartary in Asia, or the Tartars.\n\nSee Tartarus. Shak.
tartarated |Tartrated.
tartarean |Of or pertaining to Tartarus; hellish.
tartareous |Of or pertaining to Tartarus; hellish.\n\n1. Consisting of tartar; of the nature of tartar. 2. (Bot.)  Having the surface rough and crumbling; as, many lichens are tartareous.
tartarian |Of or pertaining to Tartary in Asia, or the Tartars. Tartarian lamb (Bot.), Scythian lamb. See Barometz.\n\nThe name of some kinds of cherries, as the Black Tartarian, or the White Tartarian.
tartaric |Of or pertaining to Tartary in Asia, or the Tartars. Tartarian lamb (Bot.), Scythian lamb. See Barometz.\n\nOf or pertaining to tartar; derived from, or resembling, tartar. Tartaric acid. (a) An acid widely diffused throughout the vegetable kingdom, as in grapes, mountain-ash berries, etc., and obtained from tartar as a white crystalline substance, C2H2(OH)2.(CO2H)2, having a strong pure acid taste. It is used in medicine, in dyeing, calico printing, photography, etc., and also as a substitute for lemon juice. Called also dextro-tartaric acid. (b) By extension, any one of the series of isomeric acids (racemic acid, levotartaric acid, inactive tartaric acid) of which tartaric acid proper is the type.
tartarine |Potassium carbonate, obtained by the incineration of tartar. [Obs.]
tartarize |To impregnate with, or subject to the action of, tartar. [R.] Tartarized antimony (Med. Chem.), tartar emetic.\n\nTo cause to resemble the Tartars and their civilization, as by conquest.
tartarous |Containing tartar; consisting of tartar, or partaking of its qualities; tartareous.\n\nResembling, or characteristic of, a Tartar; ill-natured; irritable. The Tartarous moods of common men. B. Jonson.
tartarum |See 1st Tartar.
tartarus |The infernal regions, described in the Iliad as situated as far below Hades as heaven is above the earth, and by later writers as the place of punishment for the spirits of the wicked. By the later poets, also, the name is often used synonymously with Hades, or the Lower World in general.
tartary |Tartarus. [Obs.] Spenser. TARTINI'S TONES Tar*ti\"ni's tones`. Etym: [From Tartini, an Italian violinist, who discovered them in 1754.]  See the Note under Tone.
tartish |Somewhat tart.
tartlet |A small tart. V. Knox.
tartly |In a tart manner; with acidity.
tartness |The quality or state of being tart. Syn. -- Acrimony; sourness; keenness; poignancy; severity; asperity; acerbity; harshness. See Acrimony.
tartralic |Pertaining to, or designating, an acid obtained as a white amorphous deliquescent substance, C8H10O11; -- called also ditartaric, tartrilic, or tartrylic acid.
tartramate |A salt of tartramic acid.
tartramic |Of, pertaining to, or designating, an acid which is the primary acid amide derivative of tartaric acid.
tartramide |An acid amide derivative of tartaric acid, obtained as a white crystalline substance.
tartrate |A salt of tartaric acid.
tartrated |Containing, or derived from, tartar; combined with tartaric acid.
tartrazine |An artificial dyestuff obtained as an orange-yellow powder, and regarded as a phenyl hydrazine derivative of tartaric and sulphonic acids.
tartrelic |Of, pertaining to, or designating, an anhydride, C4H4O5, of tartaric acid, obtained as a white crystalline deliquescent substance.
tartro- |A combining form (also used adjectively) used in chemistry to denote the presence of tartar or of some of its compounds or derivatives.
tartronate |A salt of tartronic acid.
tartronic |Of, pertaining to, or designating, an organic acid (called also hydroxy malonic acid) obtained, by reducing mesoxalic acid, as a white crystalline substance.
tartronyl |A hypothetical radical constituting the characteristic residue of tartronic acid and certain of its derivatives.
tartrovinic |Of, pertaining to, or designating, a certain acid composed of tartaric acid in combination with ethyl, and now called ethyltartaric acid.
tartufe |A hypocritical devotee. See the Dictionary of Noted Names in Fiction.
tartuffe |A hypocritical devotee. See the Dictionary of Noted Names in Fiction.
tartuffish |Like a tartuffe; precise; hypocritical. Sterne.
tartufish |Like a tartuffe; precise; hypocritical. Sterne.
tarweed |A name given to several resinous-glandular composite plants of California, esp. to the species of Grindelia, Hemizonia, and Madia.
tas |A heap. [Obs.] \"The tas of bodies slain.\" Chaucer.\n\nTo tassel. [Obs.] \"A purse of leather tassed with silk.\" Chaucer.
tasco |A kind of clay for making melting pots. Percy Smith.
tasimer |An instrument for detecting or measuring minute extension or movements of solid bodies. It consists essentially of a small rod, disk, or button of carbon, forming part of an electrical circuit, the resistance of which, being varied by the changes of pressure produced by the movements of the object to be measured, causes variations in the strength of the current, which variations are indicated by a sensitive galvanometer. It is also used for measuring minute changes of temperature. T. A. Edison.
task |1. Labor or study imposed by another, often in a definite quantity or amount. Ma task of servile toil. Milton. Each morning sees some task begin, Each evening sees it close. Longfellow. 2. Business; employment; undertaking; labor. His mental powers were equal to greater tasks. Atterbury. To take to task. See under Take. Syn. -- Work; labor; employment; business; toil; drudgery; study; lesson; stint.\n\n1. To impose a task upon; to assign a definite amount of business, labor, or duty to. There task thy maids, and exercise the loom. Dryden. 2. To oppress with severe or excessive burdens; to tax. 3. To charge; to tax; as with a fault. Too impudent to task me with those errors. Beau. & Fl.
task wage |A wage paid by the day, or some fixed period, on condition that a minimum task be performed. When the workman is paid in proportion for excess over the minimum, the wage is one for piece-work.
tasker |1. One who imposes a task. 2. One who performs a task, as a day-laborer. [R.] 3. A laborer who receives his wages in kind. [Scot.]
taskmaster |One who imposes a task, or burdens another with labor; one whose duty is to assign tasks; an overseer. Ex. i. 11. All is, if I have grace to use it so, As ever in my great Taskmaster's eye. Milton.
taskwork |Work done as a task; also, work done by the job; piecework.
taslet |A piece of armor formerly worn to guard the things; a tasse.
tasmanian |Of or pertaining to Tasmania, or Van Diemen's Land. -- n. A native or inhabitant of Tasmania; specifically (Ethnol.), in the plural, the race of men that formerly inhabited Tasmania, but is now extinct. Tasmanain cider tree. (Bot.) See the Note under Eucalyptus. -- Tasmanain devil. (Zoöl.) See under Devil. -- Tasmanain wolf (Zoöl.), a savage carnivorous marsupial; -- called also zebra wolf. See Zebra wolf, under Wolf.
tasse |A piece of armor for the thighs, forming an appendage to the ancient corselet. Note: Usually the tasse was a plate of iron swinging from the cuirass, but the skirts of sliding splints were also called by this name.
tassel |A male hawk. See Tercel.\n\nA kind of bur used in dressing cloth; a teasel.\n\n1. A pendent ornament, attached to the corners of cushions, to curtains, and the like, ending in a tuft of loose threads or cords. 2. The flower or head of some plants, esp. when pendent. And the maize field grew and ripened, Till it stood in all the splendor Of its garments green and yellow, Of its tassels and its plumage. Longfellow. 3. A narrow silk ribbon, or the like, sewed to a book to be put between the leaves. 4. (Arch.)  A piece of board that is laid upon a wall as a sort of plate, to give a level surface to the ends of floor timbers; -- rarely used in the United States. Tassel flower (Bot.), a name of several composite plants of the genus Cineraria, especially the C. sconchifolia, and of the blossoms which they bear.\n\nTo put forth a tassel or flower; as, maize tassels.\n\nTo adorn with tassels. Chaucer.
tasset |A defense for the front of the thigh, consisting of one or more iron plates hanging from the belt on the lower edge of the corselet.
tastable |Capable of worthy of being tasted; savory; relishing.
taste |1. To try by the touch; to handle; as, to taste a bow. [Obs.] Chapman. Taste it well and stone thou shalt it find. Chaucer. 2. To try by the touch of the tongue; to perceive the relish or flavor of (anything) by taking a small quantity into a mouth. Also used figuratively. When the ruler of the feast had tasted the water that was made wine. John ii. 9. When Commodus had once tasted human blood, he became incapable of pity or remorse. Gibbon. 3. To try by eating a little; to eat a small quantity of. I tasted a little of this honey. 1 Sam. xiv. 29. 4. To become acquainted with by actual trial; to essay; to experience; to undergo. He . . . should taste death for every man. Heb. ii. 9. 5. To partake of; to participate in; -- usually with an implied sense of relish or pleasure. Thou . . . wilt taste No pleasure, though in pleasure, solitary. Milton.\n\n1. To try food with the mouth; to eat or drink a little only; to try the flavor of anything; as, to taste of each kind of wine. 2. To have a smack; to excite a particular sensation, by which the specific quality or flavor is distinguished; to have a particular quality or character; as, this water tastes brackish; the milk tastes of garlic. Yea, every idle, nice, and wanton reason Shall to the king taste of this action. Shak. 3. To take sparingly. For age but tastes of pleasures, youth devours. Dryden. 4. To have perception, experience, or enjoyment; to partake; as, to taste of nature's bounty. Waller. The valiant never taste of death but once. Shak.\n\n1. The act of tasting; gustation. 2. A particular sensation excited by the application of a substance to the tongue; the quality or savor of any substance as perceived by means of the tongue; flavor; as, the taste of an orange or an apple; a bitter taste; an acid taste; a sweet taste. 3. (Physiol.)  The one of the five senses by which certain properties of bodies (called their taste, savor, flavor) are ascertained by contact with the organs of taste. Note: Taste depends mainly on the contact of soluble matter with the terminal organs (connected with branches of the glossopharyngeal and other nerves) in the papillæ on the surface of the tongue. The base of the tongue is considered most sensitive to bitter substances, the point to sweet and acid substances. 4. Intellectual relish; liking; fondness; -- formerly with of, now with for; as, he had no taste for study. I have no taste Of popular applause. Dryden. 5. The power of perceiving and relishing excellence in human performances; the faculty of discerning beauty, order, congruity, proportion, symmetry, or whatever constitutes excellence, particularly in the fine arts and belles-letters; critical judgment; discernment. 6. Manner, with respect to what is pleasing, refined, or in accordance with good usage; style; as, music composed in good taste; an epitaph in bad taste. 7. Essay; trial; experience; experiment. Shak. 8. A small portion given as a specimen; a little piece tastted of eaten; a bit. Bacon. 9. A kind of narrow and thin silk ribbon. Syn. -- Savor; relish; flavor; sensibility; gout. -- Taste, Sensibility, Judgment. Some consider taste as a mere sensibility, and others as a simple exercise of judgment; but a union of both is requisite to the existence of anything which deserves the name. An original sense of the beautiful is just as necessary to æsthetic judgments, as a sense of right and wrong to the formation of any just conclusions or moral subjects. But this \"sense of the beautiful\" is not an arbitrary principle. It is under the guidance of reason; it grows in delicacy and correctness with the progress of the individual and of society at large; it has its laws, which are seated in the nature of man; and it is in the development of these laws that we find the true \"standard of taste.\" What, then, is taste, but those internal powers, Active and strong, and feelingly alive To each fine impulse a discerning sense Of decent and sublime, with quick disgust From things deformed, or disarranged, or gross In species This, nor gems, nor stores of gold, Nor purple state, nor culture, can bestow, But God alone, when first his active hand Imprints the secret bias of the soul. Akenside. Taste of buds, or Taste of goblets (Anat.), the flask-shaped end organs of taste in the epithelium of the tongue. They are made up of modified epithelial cells arranged somewhat like leaves in a bud.
tasteful |1. Having a high relish; savory. \"Tasteful herbs.\" Pope. 2. Having or exhibiting good taste; in accordance with good taste; tasty; as, a tasteful drapery. -- Taste\"ful*ly, adv. -- Taste\"ful*ness, n.
tasteless |1. Having no taste; insipid; flat; as, tasteless fruit. 2. Destitute of the sense of taste; or of good taste; as, a tasteless age. Orrery. 3. Not in accordance with good taste; as, a tasteless arrangement of drapery. -- Taste\"less*ly, adv. -- Taste\"less*ness, n.
taster |1. One who tastes; especially, one who first tastes food or drink to ascertain its quality. Thy tutor be thy taster, ere thou eat. Dryden. 2. That in which, or by which, anything is tasted, as, a dram cup, a cheese taster, or the like. 3. (Zoöl.)  One of a peculiar kind of zooids situated on the polyp-stem of certain Siphonophora. They somewhat resemble the feeding zooids, but are destitute of mouths. See Siphonophora.
tastily |In a tasty manner.
tasting |The act of perceiving or tasting by the organs of taste; the faculty or sense by which we perceive or distinguish savors.
tasto |A key or thing touched to produce a tone. Tasto solo, single touch; -- in old music, a direction denoting that the notes in the bass over or under which it is written should be performed alone, or with no other chords than unisons and octaves.
tasty |1. Having a good taste; -- applied to persons; as, a tasty woman. See Taste, n., 5. 2. Being in conformity to the principles of good taste; elegant; as, tasty furniture; a tasty dress.
tat |Gunny cloth made from the fiber of the Corchorus olitorius, or jute. [India]\n\nA pony. [India]
tataupa |A South American tinamou (Crypturus tataupa).
tatch |A spot or stain; also, a trick. [Obs.] Sir T. Elyot.
tath |3d pers. sing. pres. of Ta, to take.\n\n1. Dung, or droppings of cattle. [Prov. Eng. & Scot.] 2. The luxuriant grass growing about the droppings of cattle in a pasture. [Prov. Eng. & Scot.]\n\nTo manure (land) by pasturing cattle on it, or causing them to lie upon it. [Prov. Eng. & Scot.]
tatou |The giant armadillo (Priodontes gigas) of tropical South America. It becomes nearly five feet long including the tail. It is noted for its burrowing powers, feeds largely upon dead animals, and sometimes invades human graves.
tatouay |An armadillo (Xenurus unicinctus), native of the tropical parts of South America. It has about thirteen movable bands composed of small, nearly square, scales. The head is long; the tail is round and tapered, and nearly destitute of scales; the claws of the fore feet are very large. Called also tatouary, and broad-banded armadillo.
tatouhou |The peba.
tatt |To make (anything) by tatting; to work at tatting; as, tatted edging.
tatta |A bamboo frame or trellis hung at a door or window of a house, over which water is suffered to trickle, in order to moisten and cool the air as it enters. [India]
tatter |One who makes tatting. Caulfield & S. (Doct. of Needlework).\n\nA rag, or a part torn and hanging; -- chiefly used in the plural. Tear a passion to tatters, to very rags. Shak.\n\nTo rend or tear into rags; -- used chiefly in the past participle as an adjective. Where waved the tattered ensigns of Ragfair. Pope.
tatterdemalion |A ragged fellow; a ragamuffin. L'Estrange. TATTERSALL'S Tat\"ter*sall's, n.  A famous horse market in London, established in 1766 by Richard Tattersall, also used as the headquarters of credit betting on English horse races; hence, a large horse market elsewhere.
tatting |A kind of lace made from common sewing thread, with a peculiar stitch. Tatting shuttle, the shuttle on which the thread used in tatting is wound.
tattle |1. To prate; to talk idly; to use many words with little meaning; to chat. The tattling quality of age, which is always narrative. Dryden. 2. To tell tales; to communicate secrets; to be a talebearer; as, a tattling girl.\n\nIdle talk or chat; trifling talk; prate. [They] told the tattle of the day. Swift.
tattler |1. One who tattles; an idle talker; one who tells tales. Jer. Taylor. 2. (Zoöl.)  Any one of several species of large, long-legged sandpipers belonging to the genus Totanus. Note: The common American species are the greater tattler, or telltale (T. melanoleucus), the smaller tattler, or lesser yellowlegs (T. flavipes), the solitary tattler (T. solitarius), and the semipalmated tattler, or willet. The first two are called also telltale, telltale spine, telltale tattler, yellowlegs, yellowshanks, and yelper.
tattlery |Idle talk or chat; tittle-tattle.
tattling |Given to idle talk; apt to tell tales. -- Tat\"tling*ly, adv.
tattoo |A beat of drum, or sound of a trumpet or bugle, at night, giving notice to soldiers to retreat, or to repair to their quarters in garrison, or to their tents in camp. The Devil's tattoo. See under Devil.\n\nTo color, as the flesh, by pricking in coloring matter, so as to form marks or figures which can not be washed out.\n\nAn indelible mark or figure made by puncturing the skin and introducing some pigment into the punctures; -- a mode of ornamentation practiced by various barbarous races, both in ancient and modern times, and also by some among civilized nations, especially by sailors.
tatty |A mat or screen of fibers, as of the kuskus grass, hung at a door or window and kept wet to moisten and cool the air as it enters. [India]
tatu |Same as Tatou.
tatusiid |Any armadillo of the family Tatusiidæ, of which the peba and mule armadillo are examples. Also used adjectively.
tau |The common American toadfish; -- so called from a marking resembling the Greek letter tau (t). Tau cross. See Illust. 6, of Cross.
taught |See Taut. Totten.\n\nimp. & p. p. of Teach. Etym: [AS. imp. tæhte, p.p. getæht.] Note: See Teach.
taunt |Very high or tall; as, a ship with taunt masts. Totten.\n\nTo reproach with severe or insulting words; to revile; to upbraid; to jeer at; to flout. When I had at my pleasure taunted her. Shak. Syn. -- To deride; ridicule; mock; jeer; flout; revile. See Deride.\n\nUpbraiding language; bitter or sarcastic reproach; insulting invective. With scoffs, and scorns, and contemelious taunts. Shak. With sacrilegious taunt and impious jest. Prior.
taunter |One who taunts.
taunting |from Taunt, v. Every kind of insolent and taunting reflection. Burke.
tauntingly |In a taunting manner.
tauntress |A woman who taunts.
taupie |A foolish or thoughtless young person, esp. a slothful or slovenly woman. [Scot.]  Burns.
taur |The constellation Taurus. [Obs.] Chaucer.
tauricornous |Having horns like those of a bull. Sir T. Browne.
