likehood |Likelihood. [Obs.] South.
liquid air |A transparent limpid liquid, slightly blue in color, consisting of a mixture of liquefied oxygen and nitrogen. It is prepared by subjecting air to great pressure and then cooling it by its own expansion to a temperature below the boiling point of its constituents  (N -194º C; O -183º C.).
liquidambar |1. (Bot.)  A genus consisting of two species of tall trees having star- shaped leaves, and woody burlike fruit. Liquidambar styraciflua is the North American sweet qum, and L. Orientalis is found in Asia Minor. 2. The balsamic juice which is obtained from these trees by incision. The liquid balsam of the Oriental tree is liquid storax.
liquidamber |See Liquidambar.
liquidate |1. (Law)  To determine by agreement or by litigation the precise amount of (indebtedness); or, where there is an indebtedness to more than one person, to determine the precise amount of (each indebtedness); to make the amount of (an indebtedness); clear and certain. A debt or demand is liquidated whenever the amount due is agreed on by the parties, or fixed by the operation of law. 15 Ga. Rep. 821. If our epistolary accounts were fairly liquidated, I believe you would be brought in considerable debtor. Chesterfield. 2. In an extended sense: To ascertain the amount, or the several amounts, of , and apply assets toward the discharge of (an indebtedness). Abbott. 3. To discharge; to pay off, as an indebtedness. Friburg was ceded to Zurich by Sigismund to liquidate a debt of a thousand florins. W. Coxe. 4. To make clear and intelligible. Time only can liquidate the meaning of all parts of a compound system. A. Hamilton. 5. To make liquid. [Obs.] Liquidated damages (Law), damages the amount of which is fixed or ascertained. Abbott.
liquidation |The act or process of liquidating; the state of being liquidated. To go into liquidation (Law), to turn over to a trustee one's assets and accounts, in order that the several amounts of one's indebtedness be authoritatively ascertained, and that the assets may be applied toward their discharge.
liquidator |1. One who, or that which, liquidates. 2. An officer appointed to conduct the winding up of a company, to bring and defend actions and suits in its name, and to do all necessary acts on behalf of the company. [Eng.] Mozley & W.
liquidity |The state or quality of being liquid.
liquidize |To render liquid.
liquidly |In a liquid manner; flowingly.
liquidness |The quality or state of being liquid; liquidity; fluency.
liquor |1. Any liquid substance, as water, milk, blood, sap, juice, or the like. 2. Specifically, alcoholic or spirituous fluid, either distilled or fermented, as brandy, wine, whisky, beer, etc. 3. (Pharm.)  A solution of a medicinal substance in water; -- distinguished from tincture and aqua. Note: The U. S. Pharmacopoeia includes, in this class of preparations, all aqueous solutions without sugar, in which the substance acted on is wholly soluble in water, excluding those in which the dissolved matter is gaseous or very volatile, as in the aquæ or waters. U. S. Disp. Labarraque's liquor (Old Chem.), a solution of an alkaline hypochlorite, as sodium hypochlorite, used in bleaching and as a disinfectant. -- Liquor of flints, or Liquor silicum (Old Chem.), soluble glass; - - so called because formerly made from powdered flints. See Soluble glass, under Glass. -- Liquor of Libavius. (Old Chem.) See Fuming liquor of Libavius, under Fuming. -- Liquor sanguinis (, (Physiol.), the blood plasma. -- Liquor thief, a tube for taking samples of liquor from a cask through the bung hole. -- To be in liquor, to be intoxicated.\n\n1. To supply with liquor. [R.] 2. To grease. [Obs.] Bacon. Liquor fishermen's boots. Shak.
liquorice |See Licorice.
liquorish |See Lickerish. [Obs.] Shak.
liquorous |Eagerly desirous. See Lickerish. [Obs.] Marston.
lira |An Italian coin equivalent in value to the French franc.
lirella |A linear apothecium furrowed along the middle; the fruit of certain lichens.
lirelliform |Like a lirella. [Written also lirellæform.]
liriodendron |A genus of large and very beautiful trees of North America, having smooth, shining leaves, and handsome, tuliplike flowers; tulip tree; whitewood; -- called also canoewood. Liriodendron tulipifera is the only extant species, but there were several others in the Cretaceous epoch.
liripipe |See Liripoop.
liripoop |1. A pendent part of the old clerical tippet; afterwards, a tippet; a scarf; -- worn also by doctors, learned men, etc. [Obs.] 2. Acuteness; smartness; also, a smart trick or stratagem.[Obs.] Stanihurst. 3. A silly person. [Obs.] A liripoop, vel lerripoop, a silly, empty creature; an old dotard. Milles. MS. Devon Gloss.
liroconite |A hydrated arseniate of copper, occurring in obtuse pyramidal crystals of a sky-blue or verdigris-green color.
lisbon |A sweet, light-colored species of wine, produced in the province of Estremadura, and so called as being shipped from Lisbon, in Portugal.
lisle |A city of France celebrated for certain manufactures. Lisle glove, a fine summer glove, made of Lisle thread. -- Lisle lace, a fine handmade lace, made at Lisle. -- Lisle thread, a hard twisted cotton thread, originally produced at Lisle.
lisne |A cavity or hollow.[Obs.] Sir M. Hale.
lisp |1. To pronounce the sibilant letter s imperfectly; to give s and z the sound of th; -- a defect common among children. 2. To speak with imperfect articulation; to mispronounce, as a child learning to talk. As yet a child, nor yet a fool to fame, I lisped in numbers came. Pope. 3. To speak hesitatingly with a low voice, as if afraid. Lest when my lisping, guilty tongue should halt. Drayton.\n\n1. To pronounce with a lisp. 2. To utter with imperfect articulation; to express with words pronounced imperfectly or indistinctly, as a child speaks; hence, to express by the use of simple, childlike language. To speak unto them after their own capacity, and to lispe words unto them according as the babes and children of that age might sound them again. Tyndale. 3. To speak with reserve or concealment; to utter timidly or confidentially; as, to lisp treason.\n\nThe habit or act of lisping. See Lisp, v. i., 1. I overheard her answer, with a very pretty lisp, \"O! Strephon, you are a dangerous creature.\" Tatler.
lisper |One who lisps.
lispingly |With a lisp; in a lisping manner.
liss |Release; remission; ease; relief. [Obs.] \"Of penance had a lisse.\" Chaucer.\n\nTo free, as from care or pain; to relieve. [Obs.] \"Lissed of his care.\" Chaucer.
lissencephala |A general name for all those placental mammals that have a brain with few or no cerebral convolutions, as Rodentia, Insectivora, etc.
lissom |1. Limber; supple; flexible; lithe; lithesome. Straight, but as lissome as a hazel wand. Tennyson. 2. Light; nimble; active. Halliwell. -- Lis\"some*ness, n.
lissome |1. Limber; supple; flexible; lithe; lithesome. Straight, but as lissome as a hazel wand. Tennyson. 2. Light; nimble; active. Halliwell. -- Lis\"some*ness, n.
list |A line inclosing or forming the extremity of a piece of ground, or field of combat; hence, in the plural (lists), the ground or field inclosed for a race or combat. Chaucer. In measured lists to toss the weighty lance. Pope. To enter the lists, to accept a challenge, or engage in contest.\n\nTo inclose for combat; as, to list a field.\n\nTo hearken; to attend; to listen. [Obs. except in poetry.] Stand close, and list to him. Shak.\n\nTo listen or hearken to. Then weigh what loss your honor may sustain, If with too credent ear you list his songs. Shak.\n\n1. To desire or choose; to please. The wind bloweth where it listeth. John iii. 8. Them that add to the Word of God what them listeth. Hooker. Let other men think of your devices as they list. Whitgift. 2. (Naut.)  To lean; to incline; as, the ship lists to port.\n\n1. Inclination; desire. [Obs.] Chaucer. 2. (Naut.)  An inclination to one side; as, the ship has a list to starboard.\n\n1. A strip forming the woven border or selvedge of cloth, particularly of broadcloth, and serving to strengthen it; hence, a strip of cloth; a fillet. \" Gartered with a red and blue list. \" Shak. 2. A limit or boundary; a border. The very list, the very utmost bound, Of all our fortunes. Shak. 3. The lobe of the ear; the ear itself. [Obs.] Chaucer. 4. A stripe. [Obs.] Sir T. Browne. 5. A roll or catalogue, that is row or line; a record of names; as, a list of names, books, articles; a list of ratable estate. He was the ablest emperor of all the list. Bacon. 6. (Arch.)  A little square molding; a fillet; -- called also listel. 7. (Carp.)  A narrow strip of wood, esp. sapwood, cut from the edge of a plank or board. 8. (Rope Making)  A piece of woolen cloth with which the yarns are grasped by a workman. 9. (Tin-plate Manuf.) (a) The first thin coat of tin. (b) A wirelike rim of tin left on an edge of the plate after it is coated. Civil list (Great Britain & U.S.), the civil officers of government, as judges, ambassadors, secretaries, etc. Hence, the revenues or appropriations of public money for the support of the civil officers. More recently, the civil list, in England, embraces only the expenses of the reigning monarch's household. Free list. (a) A list of articles admitted to a country free of duty. (b) A list of persons admitted to any entertainment, as a theater or opera, without payment, or to whom a periodical, or the like, is furnished without cost. Syn. -- Roll; catalogue; register; inventory; schedule. -- List, Boll, Catalogue, Register, Inventory, Schedule. Alist is properly a simple series of names, etc., in a brief form, such as might naturally be entered in a narrow strip of paper. A roll was originally a list containing the names of persons belonging to a public body (as Parliament, etc.), which was rolled up and laid aside among its archives. A catalogue is a list of persons or things arranged in order, and usually containing some description of the same, more or less extended. A register is designed for record or preservation. An inventory is a list of articles, found on hand in a store of goods, or in the estate of a deceased person, or under similar circumstances. A schedule is a formal list or inventory prepared for legal or business purposes.\n\n1. To sew together, as strips of cloth, so as to make a show of colors, or form a border. Sir H. Wotton. 2. To cover with list, or with strips of cloth; to put list on; as, to list a door; to stripe as if with list. The tree that stood white-listed through the gloom. Tennyson. 3. To enroll; to place or register in a list. Listed among the upper serving men. Milton. 4. To engage, as a soldier; to enlist. I will list you for my soldier. Sir W. Scott. 5. (Carp.)  To cut away a narrow strip, as of sapwood, from the edge of; as, to list a board. To list a stock (Stock Exchange), to put it in the list of stocks called at the meeting of the board.\n\nTo engage in public service by enrolling one's name; to enlist.
listel |Same as List, n., 6.
listen |1. To give close attention with the purpose of hearing; to give ear; to hearken; to attend. When we have occasion to listen, and give a more particular attention to same sound, the tympanum is drawn to a more than ordinary tension. Holder. 2. To give heed; to yield to advice; to follow admonition; to obey. Listen to me, and by me be ruled. Tennyson. To listen after, to take an interest in. [Obs.] Soldiers note forts, armories, and magazines; scholars listen after libraries, disputations, and professors. Fuller. Syn. -- To attend; hearken. See Attend.\n\nTo attend to. [Obs.] Shak.
listener |One who listens; a hearkener.
lister |A spear armed with three or more prongs, for striking fish. [Scotland]\n\nOne who makes a list or roll.\n\nSame as Leister.
listerian |Of or pertaining to listerism.
listerism |The systematic use of antiseptics in the performance of operations and the treatment of wounds; -- so called from Joseph Lister, an English surgeon.
listerize |To make antiseptic.
listful |Attentive [Obs.] Spenser.
listing |1. The act or process of one who lists (in any sense of the verb); as, the listing of a door; the listing of a stock at the Stock Exchange. 2. The selvedge of cloth; list. 3. (Carp.)  The sapwood cut from the edge of a board. 4. (Agric.)  The throwing up of the soil into ridges, -- a method adopted in the culture of beets and some garden crops. [Local, U. S.]
listless |Having no desire or inclination; indifferent; heedless; spiritless. \" A listless unconcern.\" Thomson. Benumbed with cold, and listless of their gain. Dryden. I was listless, and desponding. Swift. Syn. -- Heedless; careless; indifferent; vacant; uninterested; languid; spiritless; supine; indolent. -- List\"less*ly, adv. -- List\"less*ness, n.
lit |, a form of the imp. & p. p. of Light.
litany |A solemn form of supplication in the public worship of various churches, in which the clergy and congregation join, the former leading and the latter responding in alternate sentences. It is usually of a penitential character. Supplications . . . for the appeasing of God's wrath were of the Greek church termed litanies, and rogations of the Latin. Hooker.
litarge |Litharge. [Obs.] Chaucer.
litchi |The fruit of a tree native to China (Nephelium Litchi). It is nutlike, having a rough but tender shell, containing an aromatic pulp, and a single large seed. In the dried fruit which is exported the pulp somewhat resembles a raisin in color and form. [Written also lichi, and lychee.] -- lite. See -lith.
lite |Little. [Obs.] Chaucer.
liter |A measure of capacity in the metric system, being a cubic decimeter, equal to 61.022 cubic inches, or 2.113 American pints, or 1.76 English pints.
literacy |State of being literate.
literal |1. According to the letter or verbal expression; real; not figurative or metaphorical; as, the literal meaning of a phrase. It hath but one simple literal sense whose light the owls can not abide. Tyndale . 2. Following the letter or exact words; not free. A middle course between the rigor of literal translations and the liberty of paraphrasts. Hooker. 3. Consisting of, or expressed by, letters. The literal notation of numbers was known to Europeans before the ciphers. Johnson. 4. Giving a strict or literal construction; unimaginative; matter-of fast; -- applied to persons. Literal contract (Law), contract of which the whole evidence is given in writing. Bouvier. -- Literal equation (Math.), an equation in which known quantities are expressed either wholly or in part by means of letters; -- distinguished from a numerical equation.\n\nLiteral meaning. [Obs.] Sir T. Browne.
literalism |1. That which accords with the letter; a mode of interpreting literally; adherence to the letter. 2. (Fine Arts)  The tendency or disposition to represent objects faithfully, without abstraction, conventionalities, or idealization.
literalist |One who adheres to the letter or exact word; an interpreter according to the letter.
literality |The state or quality of being literal. Sir T. Browne.
literalization |The act of literalizing; reduction to a literal meaning.
literalize |To make literal; to interpret or put in practice according to the strict meaning of the words; -- opposed to spiritualize; as, to literalize Scripture.
literalizer |A literalist.
literally |1. According to the primary and natural import of words; not figuratively; as, a man and his wife can not be literally one flesh. 2. With close adherence to words; word by word. So wild and ungovernable a poet can not be translated literally. Dryden.
literalness |The quality or state of being literal; literal import.
literary |1. Of or pertaining to letters or literature; pertaining to learning or learned men; as, literary fame; a literary history; literary conversation. He has long outlived his century, the term commonly fixed as the test of literary merit. Johnson. 2. Versed in, or acquainted with, literature; occupied with literature as a profession; connected with literature or with men of letters; as, a literary man. In the literary as well as fashionable world. Mason. Literary property. (a) Property which consists in written or printed compositions. (b) The exclusive right of publication as recognized and limited by law.
literate |Instructed in learning, science, or literature; learned; lettered. The literate now chose their emperor, as the military chose theirs. Landor.\n\n1. One educated, but not having taken a university degree; especially, such a person who is prepared to take holy orders. [Eng.] 2. A literary man.
literati |Learned or literary men. See Literatus. Shakespearean commentators, and other literati. Craik.
literatim |Letter for letter.
literation |The act or process of representing by letters.
literator |1. One who teaches the letters or elements of knowledge; a petty schoolmaster. Burke. 2. A person devoted to the study of literary trifles, esp. trifles belonging to the literature of a former age. That class of subjects which are interesting to the regular literator or black-letter \" bibliomane,\" simply because they have once been interesting. De Quincey. 3. A learned person; a literatus. Sir W. Hamilton.
literature |1. Learning; acquaintance with letters or books. 2. The collective body of literary productions, embracing the entire results of knowledge and fancy preserved in writing; also, the whole body of literary productions or writings upon a given subject, or in reference to a particular science or branch of knowledge, or of a given country or period; as, the literature of Biblical criticism; the literature of chemistry. 3. The class of writings distinguished for beauty of style or expression, as poetry, essays, or history, in distinction from scientific treatises and works which contain positive knowledge; belles-lettres. 4. The occupation, profession, or business of doing literary work. Lamp. Syn. -- Science; learning; erudition; belles-lettres. See Science. -- Literature, Learning, Erudition. Literature, in its widest sense, embraces all compositions in writing or print which preserve the results of observation, thought, or fancy; but those upon the positive sciences (mathematics, etc.) are usually excluded. It is often confined, however, to belles-lettres, or works of taste and sentiment, as poetry, eloquence, history, etc., excluding abstract discussions and mere erudition. A man of literature (in this narrowest sense) is one who is versed in belles-lettres; a man of learning excels in what is taught in the schools, and has a wide extent of knowledge, especially, in respect to the past; a man of erudition is one who is skilled in the more recondite branches of learned inquiry. The origin of all positive science and philosophy, as well as of all literature and art, in the forms in which they exist in civilized Europe, must be traced to the Greeks. Sir G. Lewis. Learning thy talent is, but mine is sense. Prior. Some gentlemen, abounding in their university erudition, fill their sermons with philosophical terms. Swift.
literatus |A learned man; a man acquainted with literature; -- chiefly used in the plural. Now we are to consider that our bright ideal of a literatus may chance to be maimed. De Quincey.
lith |3d pers. sing. pres. of Lie, to recline, for lieth. Chaucer.\n\nA joint or limb; a division; a member; a part formed by growth, and articulated to, or symmetrical with, other parts. Chaucer.
lithaemia |A condition in which uric (lithic) acid is present in the blood.
lithagogue |A medicine having, or supposed to have, the power of expelling calculous matter with the urine. Hooper.
litharge |Lead monoxide; a yellowish red substance, obtained as an amorphous powder, or crystallized in fine scales, by heating lead moderately in a current of air or by calcining lead nitrate or carbonate. It is used in making flint glass, in glazing earthenware, in making red lead minium, etc. Called also massicot.
lithargyrum |Crystallized litharge, obtained by fusion in the form of fine yellow scales.
lithate |A salt of lithic or uric acid; a urate. [Obs.] [Written also lithiate.]
lithe |To listen or listen to; to hearken to. [Obs.] P. Plowman.\n\n1. Mild; calm; as, lithe weather. [Obs.] 2. Capable of being easily bent; pliant; flexible; limber; as, the elephant's lithe proboscis. Milton.\n\nTo smooth; to soften; to palliate. [Obs.]
lithely |In a lithe, pliant, or flexible manner.
litheness |The quality or state of being lithe; flexibility; limberness.
lither |Bad; wicked; false; worthless; slothful. [Obs.] Chaucer. Not lither in business, fervent in spirit. Bp. Woolton. Note: Professor Skeat thinks \" the lither sky\" as found in Shakespeare's Henry VI. ((Part I. IY. YII., 21) means the stagnant or pestilential sky. -- Li\"ther*ly, adv. [Obs.]. -- Li\"ther*ness, n. [Obs.]
litherly |Crafty; cunning; mischievous; wicked; treacherous; lazy.[Archaic] He [the dwarf] was waspish, arch, and litherly. Sir W. Scott.
lithesome |Pliant; limber; flexible; supple; nimble; lissom. -- Lithe\"some*ness, n.
lithia |The oxide of lithium; a strong alkaline caustic similar to potash and soda, but weaker. See Lithium. Lithia emerald. See Hiddenite.
lithiasis |The formation of stony concretions or calculi in any part of the body, especially in the bladder and urinary passages. Dunglison.
lithic |1. Of or pertaining to stone; as, lithic architecture. 2. (Med.)  Pertaining to the formation of uric-acid concretions (stone) in the bladder and other parts of the body; as, lithic diathesis. LIthic acid (Old Med. Chem.), uric acid. See Uric acid, under Uric.\n\nA medicine which tends to prevent stone in the bladder.\n\nPertaining to or denoting lithium or some of its compounds. Frankland.
lithiophilite |A phosphate of manganese and lithium; a variety of triphylite.
lithium |A metallic element of the alkaline group, occurring in several minerals, as petalite, spodumene, lepidolite, triphylite, etc., and otherwise widely disseminated, though in small quantities. Note: When isolated it is a soft, silver white metal, tarnishing and oxidizing very rapidly in the air. It is the lightest solid element known, specific gravity being 0.59. Symbol Li. Atomic weight 7.0 So called from having been discovered in a mineral.
litho |A combining form from Gr. stone.
lithobilic |Pertaining to or designating an organic acid of the tartaric acid series, distinct from lithofellic acid, but, like it, obtained from certain bile products, as bezoar stones.
lithocarp |Fossil fruit; a fruit petrified; a carpolite.
lithochromatics |See Lithochromics.
lithochromics |The art of printing colored pictures on canvas from oil paintings on stone.
lithoclast |An instrument for crushing stones in the bladder.
lithocyst |A sac containing small, calcareous concretions (otoliths). They are found in many Medusæ, and other invertebrates, and are supposed to be auditory organs.
lithodome |Any one of several species of bivalves, which form holes in limestone, in which they live; esp., any species of the genus Lithodomus.
lithodomous |Like, or pertaining to, Lithodomus; lithophagous.
lithodomus |A genus of elongated bivalve shells, allied to the mussels, and remarkable for their ability to bore holes for shelter, in solid limestone, shells, etc. Called also Lithophagus. Note: These holes are at first very small and shallow, but are enlarged with the growth of the shell, sometimes becoming two or three inches deep and nearly an inch diameter.
lithofellic |Pertaining to, or designating, a crystalline, organic acid, resembling cholic acid, found in the biliary intestinal concretions (bezoar stones) common in certain species of antelope.
lithofracteur |An explosive compound of nitroglycerin. See Nitroglycerin.
lithogenesy |The doctrine or science of the origin of the minerals composing the globe.
lithogenous |Stone-producing; -- said of polyps which form coral.
lithoglyph |An engraving on a gem.
lithoglypher |One who curs or engraves precious stones.
lithoglyphic |Of or pertaining to the art of cutting and engraving precious stones.
lithoglyptics |The art of cutting and engraving gems.
lithograph |To trace on stone by the process of lithography so as to transfer the design to paper by printing; as, to lithograph a design; to lithograph a painting. See Lithography.\n\nA print made by lithography.
lithographer |One who lithographs; one who practices lithography.
lithographic |Of or pertaining to lithography; made by lithography; as, the lithographic art; a lithographic picture. Lithographic limestone (Min.), a compact, fine-grained limestone, obtained largely from the Lias and Oölite, esp. of Bavaria, and extensively used in lithography. -- Lith`o*graph\"ic*al*ly, adv.
lithographical |Of or pertaining to lithography; made by lithography; as, the lithographic art; a lithographic picture. Lithographic limestone (Min.), a compact, fine-grained limestone, obtained largely from the Lias and Oölite, esp. of Bavaria, and extensively used in lithography. -- Lith`o*graph\"ic*al*ly, adv.
lithography |The art or process of putting designs or writing, with a greasy material, on stone, and of producing printed impressions therefrom. The process depends, in the main, upon the antipathy between grease and water, which prevents a printing ink containing oil from adhering to wetted parts of the stone not covered by the design. See Lithographic limestone, under Lithographic.
lithoid |Like a stone; having a stony structure.
lithoidal |Like a stone; having a stony structure.
litholatry |The worship of a stone or stones.
lithologic |1. (Geol.)  Of or pertaining to the character of a rock, as derived from the nature and mode of aggregation of its mineral contents. 2. Of or pertaining to lithology.
lithological |1. (Geol.)  Of or pertaining to the character of a rock, as derived from the nature and mode of aggregation of its mineral contents. 2. Of or pertaining to lithology.
lithologically |From a lithological point of view; as, to consider a stratum lithologically.
lithologist |One who is skilled in lithology.
lithology |1. The science which treats of rocks, as regards their mineral constitution and classification, and their mode of occurrence in nature. 2. (Med.)  A treatise on stones found in the body.
lithomancy |Divination by means of stones.
lithomarge |A clay of a fine smooth texture, and very sectile.
lithonthriptic |Same as Lithontriptic.
lithonthryptic |Same as Lithontriptic.
lithontriptic |Having the quality of, or used for, dissolving or destroying stone in the bladder or kidneys; as, lithontriptic forcéps. -- n.  A lithontriptic remedy or agent, as distilled water.
lithontriptist |Same as Lithotriptist.
lithontriptor |See Lithotriptor.
lithophagous |(a) Eating or swallowing stones or gravel, as the ostrich. (b) Eating or destroying stone; -- applied to various animals which make burrows in stone, as many bivalve mollusks, certain sponges, annelids, and sea urchins. See Lithodomus.
lithophane |Porcelain impressed with figures which are made distinct by transmitted light, -- as when hung in a window, or used as a lamp shade.
lithophosphor |A stone that becomes phosphoric by heat.
lithophosphoric |Pertaining to lithophosphor; becoming phosphoric by heat.
lithophotography |Same as Photolithography.
lithophyll |A fossil leaf or impression of a leaf.
lithophyse |A spherulitic cavity often with concentric chambers, observed in some volcanic rocks, as in rhyolitic lavas. It is supposed to be produced by expanding gas, whence the name.
lithophyte |A hard, or stony, plantlike organism, as the gorgonians, corals, and corallines, esp. those gorgonians having a calcareous axis. All the lithophytes except the corallines are animals.
lithophytic |Of or pertaining to lithophytes.
lithophytous |Lithophytic.
lithosian |Any one of various species of moths belonging to the family Lithosidæ. Many of them are beautifully colored.
lithosphere |(a) The solid earth as distinguished from its fluid envelopes, the hydrosphere and atmosphere. (b) The outer part of the solid earth, the portion undergoing change through the gradual transfer of material by volcanic eruption, the circulation of underground water, and the process of erosion and deposition. It is, therefore, regarded as a third mobile envelope comparable with the hydrosphere and atmosphere.
lithotint |1. A kind of lithography by which the effect of a tinted drawing is produced, as if made with India ink. 2. A picture produced by this process.
lithotome |1. A stone so formed by nature as to appear as if cut by art. 2. (Surg.)  An instrument used for cutting the bladder in operations for the stone.
lithotomic |Pertaining to, or performed by, lithotomy.
lithotomical |Pertaining to, or performed by, lithotomy.
lithotomist |One who performs the operation of cutting for stone in the bladder, or one who is skilled in the operation.
lithotomy |The operation, art, or practice of cutting for stone in the bladder.
lithotripsy |The operation of crushing a stone in the bladder with an instrument called lithotriptor or lithotrite; lithotrity.
lithotriptic |Same as Lithontriptic.
lithotriptist |One skilled in breaking and extracting stone in the bladder.
lithotriptor |An instrument for triturating the stone in the bladder; a lithotrite.
lithotrite |A lithotriptor.
lithotritist |A lithotriptist.
lithotritor |A lithotriptor.
lithotrity |The operation of breaking a stone in the bladder into small pieces capable of being voided.
lithotype |A kind of stereotype plate made by lithotypy; also, that which in printed from it. See Lithotypy.\n\nTo prepare for printing with plates made by the process of lithotypy. See Lithotypy.
lithotypic |Of, pertaining to, or produced by, lithotypy.
lithotypy |The art or process of making a kind of hard, stereotypeplate, by pressing into a mold, taken from a page of type or other matter, a composition of gum shell-lac and sand of a fine quality, together with a little tar and linseed oil, all in a heated state.
lithoxyl |Petrified wood. [Obs.]
lithuanian |Of or pertaining to Lithuania (formerly a principality united with Poland, but now Russian and Prussian territory).\n\nA native, or one of the people, of Lithuania; also, the language of the Lithuanian people.
lithy |Easily bent; pliable. Lithy tree (Bot.), a European shrub (Viburnum Lantana); -- so named from its tough and flexible stem.
litigable |Such as can be litigated.
litigant |Disposed to litigate; contending in law; engaged in a lawsuit; as, the parties litigant. Ayliffe.\n\nA person engaged in a lawsuit.
litigate |To make the subject of a lawsuit; to contest in law; to prosecute or defend by pleadings, exhibition of evidence, and judicial debate in a court; as, to litigate a cause.\n\nTo carry on a suit by judicial process.
litigation |The act or process of litigating; a suit at law; a judicial contest.
litigator |One who litigates.
litigious |1. Inclined to judicial contest; given to the practice of contending in law; guarrelsome; contentious; fond of litigation. \" A pettifogging attorney or a litigious client.\" Macaulay. Soldiers find wars, and lawyers find out still Litigious men, who guarrels move. Donne. 2. Subject to contention; disputable; controvertible; debatable; doubtful; precarious. Shak. No fences, parted fields, nor marks, nor bounds, Distinguished acres of litigious grounds. Dryden. 3. Of or pertaining to legal disputes. Nor brothers cite to the litigious bar. Young.
litigiously |In a litigious manner.
litigiousness |The state of being litigious; disposition to engage in or carry on lawsuits.
litmus |A dyestuff extracted from certain lichens (Roccella tinctoria, Lecanora tartarea, etc.), as a blue amorphous mass which consists of a compound of the alkaline carbonates with certain coloring matters related to orcin and orcein. Note: Litmus is used as a dye, and being turned red by acids and restored to its blue color by alkalies, is a common indicator or test for acidity and alkalinity. Litmus paper (Chem.), unsized paper saturated with blue or red litmus, -- used in testing for acids or alkalies.
litotes |A diminution or softening of statement for the sake of avoiding censure or increasing the effect by contrast with the moderation shown in the form of expression; as, \" a citizen of no mean city,\" that is, of an illustrious city.
litraneter |An instrument for ascertaining the specific gravity of liquids.
litre |A measure of capacity in the metric system, being a cubic decimeter, equal to 61.022 cubic inches, or 2.113 American pints, or 1.76 English pints.\n\nSame as Liter.
litter |1. A bed or stretcher so arranged that a person, esp. a sick or wounded person, may be easily carried in or upon it. There is a litter ready; lay him in 't. Shak. 2. Straw, hay, etc., scattered on a floor, as bedding for animals to rest on; also, a covering of straw for plants. To crouch in litter of your stable planks. Shak. Take off the litter from your kernel beds. Evelyn. 3. Things lying scattered about in a manner indicating slovenliness; scattered rubbish. Strephon, who found the room was void. Stole in, and took a strict survey Of all the litter as it lay. Swift. 4. Disorder or untidiness resulting from scattered rubbish, or from thongs lying about uncared for; as, a room in a state of litter. 5. The young brought forth at one time, by a sow or other multiparous animal, taken collectively. Also Fig. A wolf came to a sow, and very kindly offered to take care of her litter. D. Estrange. Reflect upon numerous litter of strange, senseless opinions that crawl about the world. South.\n\n1. To supply with litter, as cattle; to cover with litter, as the floor of a stall. Tell them how they litter their jades. Bp. Hacke For his ease, well littered was the floor. Dryden. 2. To put into a confused or disordered condition; to strew with scattered articles; as, to litter a room. The room with volumes littered round. Swift. 3. To give birth to; to bear; -- said of brutes, esp. those which produce more than one at a birth, and also of human beings, in abhorrence or contempt. We might conceive that dogs were created blind, because we observe they were littered so with us. Sir T. Browne. The son that she did litter here, A freckled whelp hagborn. Shak.\n\n1. To be supplied with litter as bedding; to sleep or make one's bed in litter. [R.] The inn Where he and his horse littered. Habington. 2. To produce a litter. A desert . . . where the she-wolf still littered. Macaulay.
litterateur |One who occupies himself with literature; a literary man; a literatus. \" Befriended by one kind-hearted littérateur after another.\" C. Kingsley.
littery |Covered or encumbered with litter; consisting of or constituting litter.
little |1. Small in size or extent; not big; diminutive; -- opposed to big or large; as, a little body; a little animal; a little piece of ground; a little hill; a little distance; a little child. He sought to see Jesus who he was; and could not for the press, because he was little of stature. Luke xix. 3. 2. Short in duration; brief; as, a little sleep. Best him enough: after a little time, I'll beat him too. Shak. 3. Small in quantity or amount; not much; as, a little food; a little air or water. Conceited of their little wisdoms, and doting upon their own fancies. Barrow. 4. Small in dignity, power, or importance; not great; insignificant; contemptible. When thou wast little in thine own sight, wast thou not made the head of the tribes I Sam. xv. 17. 5. Small in force or efficiency; not strong; weak; slight; inconsiderable; as, little attention or exertion;little effort; little care or diligence. By sad experiment I know How little weight my words with thee can find. Milton. 6. Small in extent of views or sympathies; narrow; shallow; contracted; mean; illiberal; ungenerous. The long-necked geese of the world that are ever hissing dispraise, Because their natures are little. Tennyson. Little chief. (Zoöl.) See Chief hare. -- Little finger, the fourth and smallest finger of the hand. -- Little go (Eng. Universities), a public examination about the middle of the course, which as less strict and important than the final one; -- called also smalls. Cf. Great go, under Great. Thackeray. -- Little hours (R. C. Ch.), the offices of prime, tierce, sext, and nones. Vespers and compline are sometimes included. -- Little ones, young children. The men, and the women, and the little ones. Deut. ii. 34.\n\n1. That which is little; a small quantity, amount, space, or the like. Much was in little writ. Dryden. There are many expressions, which carrying with them no clear ideas, are like to remove but little of my ignorance. Locke. 2. A small degree or scale; miniature. \" His picture in little.\" Shak. A little, to or in a small degree; to a limited extent; somewhat; for a short time. \" Stay a little.\" Shak. The painter flattered her a little. Shak. -- By little and little, or Little by little, by slow degrees; piecemeal; gradually.\n\nIn a small quantity or degree; not much; slightly; somewhat; -- often with a preceding it. \" The poor sleep little.\" Otway.
little-ease |An old slang name for the pillory, stocks, etc., of a prison.[Eng.] Latimer.
