quartzoid |A form of crystal common with quartz, consisting of two six- sided pyramids, base to base.
quotidian |Occurring or returning daily; as, a quotidian fever.\n\nAnything returning daily; especially (Med.), an intermittent fever or ague which returns every day. Milton.
quotient |1. (Arith.)  The number resulting from the division of one number by another, and showing how often a less number is contained in a greater; thus, the quotient of twelve divided by four is three. 2. (Higher Alg.)  The result of any process inverse to multiplication. See the Note under Multiplication.
quotiety |The relation of an object to number. Krauth-Fleming.
quotum |Part or proportion; quota. [R.] \"A very small quotum.\" Max Müller.
quran |See Koran.
r |R, the eighteenth letter of the English alphabet, is a vocal consonant.  It is sometimes called a semivowel, and a liquid. See Guide to Pronunciation, §§ 178, 179, and 250-254. \"R is the dog's letter and hurreth in the sound.\"  B. Jonson. In words derived from the Greek language the letter h is generally written after r to represent the aspirated sound of the Greek \"r, but does not affect the pronunciation of the English word, as rhapsody, rhetoric. The English letter derives its form from the Greek through the Latin, the Greek letter being derived from the Phonician, which, it is believed, is ultimately of Egyptian origin. Etymologically, R is most closely related to l, s, and n; as in bandore, mandole; purple, L. purpura; E. chapter, F. chapitre, L. capitulum; E. was, were; hare, G. hase; E. order, F. ordre, L. ordo, ordinis; E. coffer, coffin. The three Rs, a jocose expression for reading, (w)riting, and (a)rithmetic, -- the fundamentals of an education.
ra |A roe; a deer. [Obs.]  Chaucer.
ra- |A prefix, from the Latin re and ad combined, coming to us through the French and Italian. See Re-, and Ad-.
raash |The electric catfish. [Written also raasch.]
rab |A rod or stick used by masons in mixing hair with mortar.
rabat |A polishing material made of potter's clay that has failed in baking.\n\n(a) A clerical linen collar. (b) A kind of clerical scarf fitted to a collar; as, a black silk rabat.
rabate |To recover to the fist, as a hawk. [Obs.]
rabatine |A collar or cape. [Obs.]  Sir W. Scott.
rabato |A kind of ruff for the neck; a turned-down collar; a rebato. [Obs.] Shak.
rabbate |To abate or diminish. [Obs.] --n.  Abatement. [Obs.]
rabbet |1. To cut a rabbet in; to furnish with a rabbet. 2. To unite the edges of, as boards, etc., in a rabbet joint.\n\n1. (Carp.) A longitudinal channel, groove, or recess cut out of the edge or face of any body; especially, one intended to receive another member, so as to break or cover the joint, or more easily to hold the members in place; thus, the groove cut for a panel, for a pane of glass, or for a door, is a rabbet, or rebate. 2. Same as Rabbet joint, below. Rabbet joint (Carp.), a joint formed by fitting together rabbeted boards or timbers; -- called also rabbet. -- Rabbet plane, a joiner's plane for cutting a rabbet. Moxon.
rabbi |Master; lord; teacher; -- a Jewish title of respect or honor for a teacher or doctor of the law. \"The gravest rabbies.\"  Milton. Be not ye called Rabbi, for one is your Master, even Christ, and all ye are brethren. Matt. xxiii. 8.
rabbin |Same as Rabbi.
rabbinic |Of or pertaining to the rabbins or rabbis, or pertaining to the opinions, learning, or language of the rabbins. \"Comments staler than rabbinic.\" Lowell. We will not buy your rabbinical fumes. Milton.\n\nThe language or dialect of the rabbins; the later Hebrew.
rabbinical |Of or pertaining to the rabbins or rabbis, or pertaining to the opinions, learning, or language of the rabbins. \"Comments staler than rabbinic.\" Lowell. We will not buy your rabbinical fumes. Milton.
rabbinically |In a rabbinical manner; after the manner of the rabbins.
rabbinism |1. A rabbinic expression or phraseology; a peculiarity of the language of the rabbins. 2. The teachings and traditions of the rabbins.
rabbinist |One among the Jews who adhered to the Talmud and the traditions of the rabbins, in opposition to the Karaites, who rejected the traditions.
rabbinite |Same as Rabbinist.
rabbiting |The hunting of rabbits.  T. Hughes.
rabbitry |A place where rabbits are kept; especially, a collection of hutches for tame rabbits.
rabble |An iron bar, with the end bent, used in stirring or skimming molten iron in the process of puddling.\n\nOf or pertaining to a rabble; like, or suited to, a rabble; disorderly; vulgar. [R.] Dryden.\n\n1. A tumultuous crowd of vulgar, noisy people; a mob; a confused, disorderly throng. I saw, I say, come out of London, even unto the presence of the prince, a great rabble of mean and light persons. Ascham. Jupiter, Mercury, Bacchus, Venus, Mars, and the whole rabble of licentious deities. Bp. Warburton. 2. A confused, incoherent discourse; a medley of voices; a chatter. The rabble, the lowest class of people, without reference to an assembly; the dregs of the people. \"The rabble call him \"lord.'\" Shak.\n\nTo speak in a confused manner. [Prov. Eng. & Scot.]\n\nTo stir or skim with a rabble, as molten iron.\n\n1. To insult, or assault, by a mob; to mob; as, to rabble a curate. Macaulay. The bishops' carriages were stopped and the prelates themselves rabbled on their way to the house. J. R. Green. 2. To utter glibly and incoherently; to mouth without intelligence. [Obs. or Scot.]  Foxe. 3. To rumple; to crumple. [Scot.]
rabble-rout |A tumultuous crowd; a rabble; a noisy throng.
rabblement |A tumultuous crowd of low people; a rabble. \"Rude rablement.\" Spenser. And still, as he refused it, the rabblement hooted. Shak.
rabbler |A scraping tool for smoothing metal.
rabdoidal |See Sagittal. [Written also rhabdoidal.]
rabdology |The method or art of performing arithmetical operations by means of Napier's bones. See Napier's bones. [Written also rhabdology.]
rabdomancy |Divination by means of rods or wands. [Written also rhabdomancy.]  Sir T. Browne.
rabid |1. Furious; raging; extremely violent. The rabid flight Of winds that ruin ships. Chapman. 2. Extreme, unreasonable, or fanatical in opinion; excessively zealous; as, a rabid socialist. 3. Affected with the distemper called rabies; mad; as, a rabid dog or fox. 4. (Med.) Of or pertaining to rabies, or hydrophobia; as, rabid virus.
rabidity |Rabidness; furiousness.
rabidly |In a rabid manner; with extreme violence.
rabidness |The quality or state of being rabid.
rabies |Same as Hydrophobia (b); canine madness.
rabinet |A kind of small ordnance formerly in use. [Written also rabanet.] Ainsworth.
rabious |Fierce. [Obs.]  Daniel.
rabot |A rubber of hard wood used in smoothing marble to be polished. Knight.
raca |A term of reproach used by the Jews of our Savior's time, meaning \"worthless.\" Whosoever shall say to his brother, Raca, shall be in danger of the council. Matt. v. 22.
racahout |A preparation from acorns used by the Arabs as a substitute for chocolate, and also as a beverage for invalids.
raccoon |A North American nocturnal carnivore (Procyon lotor) allied to the bears, but much smaller, and having a long, full tail, banded with black and gray. Its body is gray, varied with black and white. Called also coon, and mapach. Raccoon dog (Zoöl.), the tanate. -- Raccoon fox (Zoöl.), the cacomixle.
race |A game, match, etc., open only to losers in early stages of contests.\n\nA root. \"A race or two of ginger.\" Shak. Race ginger, ginger in the root, or not pulverized.\n\n1. The descendants of a common ancestor; a family, tribe, people, or nation, believed or presumed to belong to the same stock; a lineage; a breed. The whole race of mankind. Shak. Whence the long race of Alban fathers come. Dryden. Note: Naturalists and ehnographers divide mankind into several distinct varieties, or races. Cuvier refers them all to three, Pritchard enumerates seven, Agassiz eight, Pickering describes eleven. One of the common classifications is that of Blumenbach, who makes five races: the Caucasian, or white race, to which belong the greater part of the European nations and those of Western Asia; the Mongolian, or yellow race, occupying Tartary, China, Japan, etc.; the Ethiopian, or negro race, occupying most of Africa (except the north), Australia, Papua, and other Pacific Islands; the American, or red race, comprising the Indians of North and South America; and the Malayan, or brown race, which occupies the islands of the Indian Archipelago, etc. Many recent writers classify the Malay and American races as branches of the Mongolian. See Illustration in Appendix. 2. Company; herd; breed. For do but note a wild and wanton herd, Or race of youthful and unhandled colts, Fetching mad bounds. Shak . 3. (Bot.)  A variety of such fixed character that it may be propagated by seed. 4. Peculiar flavor, taste, or strength, as of wine; that quality, or assemblage of qualities, which indicates origin or kind, as in wine; hence, characteristic flavor; smack. \"A race of heaven.\" Shak. Is it [the wine] of the right race Massinqer. 5. Hence, characteristic quality or disposition. [Obs.] And now I give my sensual race the rein. Shak. Some . . . great race of fancy or judgment. Sir W. Temple. Syn. -- Lineage; line; family; house; breed; offspring; progeny; issue.\n\n1. A progress; a course; a movement or progression. 2. Esp., swift progress; rapid course; a running. The flight of many birds is swifter than the race of any beasts. Bacon. 3. Hence: The act or process of running in competition; a contest of speed in any way, as in running, riding, driving, skating, rowing, sailing; in the plural, usually, a meeting for contests in the running of horses; as, he attended the races. The race is not to the swift. Eccl. ix. 11. I wield the gauntlet, and I run the race. Pope. 4. Competitive action of any kind, especially when prolonged; hence, career; course of life. My race of glory run, and race of shame. Milton. 5. A strong or rapid current of water, or the channel or passage for such a current; a powerful current or heavy sea, sometimes produced by the meeting of two tides; as, the Portland Race; the Race of Alderney. 6. The current of water that turns a water wheel, or the channel in which it flows; a mill race. Note: The part of the channel above the wheel is sometimes called the headrace, the part below, the tailrace. 7. (Mach.)  A channel or guide along which a shuttle is driven back and forth, as in a loom, sewing machine, etc. Race cloth, a cloth worn by horses in racing, having pockets to hold the weights prescribed. -- Race course. (a) The path, generally circular or elliptical, over which a race is run. (b) Same as Race way, below. -- Race cup, a cup given as a prize to the victor in a race. -- Race glass, a kind of field glass. -- Race horse. (a) A horse that runs in competition; specifically, a horse bred or kept for running races. (b) A breed of horses remarkable for swiftness in running. (c) (Zoöl.) The steamer duck. (d) (Zoöl.) A mantis. -- Race knife, a cutting tool with a blade that is hooked at the point, for marking outlines, on boards or metals, as by a pattern, -- used in shipbuilding. -- Race saddle, a light saddle used in racing. -- Race track. Same as Race course (a), above. -- Race way, the canal for the current that drives a water wheel.\n\n1. To run swiftly; to contend in a race; as, the animals raced over the ground; the ships raced from port to port. 2. (Steam Mach.)  To run too fast at times, as a marine engine or screw, when the screw is lifted out of water by the action of a heavy sea.\n\n1. To cause to contend in race; to drive at high speed; as, to race horses. 2. To run a race with.
race suicide |The voluntary failure of the members of a race or people to have a number of children sufficient to keep the birth rate equal to the death rate.
raceabout |A small sloop-rigged racing yacht carrying about six hundred square feet of sail, distinguished from a knockabout by having a short bowsprit.
racemate |A salt of racemic acid.
racemation |1. A cluster or bunch, as of grapes. Sir T. Browne. 2. Cultivation or gathering of clusters of grapes. [R.]
raceme |A flower cluster with an elongated axis and many one-flowered lateral pedicels, as in the currant and chokecherry. Compound raceme, one having the lower pedicels developed into secondary racemes.
racemed |Arranged in a raceme, or in racemes.
racemic |Pertaining to, or designating, an acid found in many kinds of grapes. It is also obtained from tartaric acid, with which it is isomeric, and from sugar, gum, etc., by oxidation. It is a sour white crystalline substance, consisting of a combination of dextrorotatory and levorotatory tartaric acids. Gregory.
racemiferous |Bearing racemes, as the currant.
racemiform |Having the form of a raceme. Gray.
racemose |Resembling a raceme; growing in the form of a raceme; as, (Bot.) racemose berries or flowers; (Anat.) the racemose glands, in which the ducts are branched and clustered like a raceme. Gray.
racemous |See Racemose.
racemule |A little raceme.
racemulose |Growing in very small racemes.
racer |1. One who, or that which, races, or contends in a race; esp., a race horse. And bade the nimblest racer seize the prize. Pope. 2. (Zoöl.)  The common American black snake. 3. (Mil.)  One of the circular iron or steel rails on which the chassis of a heavy gun is turned.
rach |A dog that pursued his prey by scent, as distinguished from the greyhound.[Obs.]
rache |A dog that pursued his prey by scent, as distinguished from the greyhound.[Obs.]
rachialgia |A painful affection of the spine; especially, Pott's disease; also, formerly, lead colic.
rachidian |Of or pertaining to the rachis; spinal; vertebral. Same as Rhachidian.
rachilla |Same as Rhachilla.
rachiodont |Same as Rhachiodont.
rachis |1. (Anat.)  The spine; the vertebral column. 2. (Bot. & Zoöl.)  Same as Rhachis.
rachitic |Of or pertaining to rachitis; affected by rachitis; rickety.
rachitis |1. (Med.)  Literally, inflammation of the spine, but commonly applied to the rickets. See Rickets. 2. (Bot.)  A disease which produces abortion in the fruit or seeds. Henslow.
rachitome |A dissecting instrument for opening the spinal canal. [Written also rachiotome.]
racial |Of or pertaining to a race or family of men; as, the racial complexion.
racily |In a racy manner.
raciness |The quality of being racy; peculiar and piquant flavor. The general characteristics of his [Cobbett's] style were perspicuity, unequaled and inimitable; . . . a purity always simple, and raciness often elegant. London Times.
racing |a. & n. from Race, v. t. & i. Racing crab (Zoöl.), an ocypodian.
rack |Same as Arrack.\n\nThe neck and spine of a fore quarter of veal or mutton.\n\nA wreck; destruction. [Obs., except in a few phrases.] Rack and ruin, destruction; utter ruin. [Colloq.] -- To go to rack, to perish; to be destroyed. [Colloq.] \"All goes to rack.\" Pepys.\n\nThin, flying, broken clouds, or any portion of floating vapor in the sky. Shak. The winds in the upper region, which move the clouds above, which we call the rack, . . . pass without noise. Bacon. And the night rack came rolling up. C. Kingsley.\n\nTo fly, as vapor or broken clouds.\n\nTo amble fast, causing a rocking or swaying motion of the body; to pace; -- said of a horse. Fuller.\n\nA fast amble.\n\nTo draw off from the lees or sediment, as wine. It is in common practice to draw wine or beer from the lees (which we call racking), whereby it will clarify much the sooner. Bacon. Rack vintage, wine cleansed and drawn from the lees. Cowell.\n\n1. An instrument or frame used for stretching, extending, retaining, or displaying, something. Specifically: (a) An engine of torture, consisting of a large frame, upon which the body was gradually stretched until, sometimes, the joints were dislocated; -- formerly used judicially for extorting confessions from criminals or suspected persons. During the troubles of the fifteenth century, a rack was introduced into the Tower, and was occasionally used under the plea of political necessity. Macaulay. (b) An instrument for bending a bow. (c) A grate on which bacon is laid. (d) A frame or device of various construction for holding, and preventing the waste of, hay, grain, etc., supplied to beasts. (e) A frame on which articles are deposited for keeping or arranged for display; as, a clothes rack; a bottle rack, etc. (f) (Naut.) A piece or frame of wood, having several sheaves, through which the running rigging passes; -- called also rack block. Also, a frame to hold shot. (g) (Mining) A frame or table on which ores are separated or washed. (h) A frame fitted to a wagon for carrying hay, straw, or grain on the stalk, or other bulky loads. (i) A distaff. 2. (Mech.)  A bar with teeth on its face, or edge, to work with those of a wheel, pinion, or worm, which is to drive it or be driven by it. 3. That which is extorted; exaction. [Obs.] Sir E. Sandys. Mangle rack. (Mach.) See under Mangle. n. -- Rack block. (Naut.) See def. 1 (f), above. -- Rack lashing, a lashing or binding where the rope is tightened, and held tight by the use of a small stick of wood twisted around. -- Rack rail (Railroads), a toothed rack, laid as a rail, to afford a hold for teeth on the driving wheel of locomotive for climbing steep gradients, as in ascending a mountain. -- Rack saw, a saw having wide teeth. -- Rack stick, the stick used in a rack lashing. -- To be on the rack, to suffer torture, physical or mental. -- To live at rack and manger, to live on the best at another's expense. [Colloq.] -- To put to the rack, to subject to torture; to torment. A fit of the stone puts a kingto the rack, and makes him as miserable as it does the meanest subject. Sir W. Temple.\n\n1. To extend by the application of force; to stretch or strain; specifically, to stretch on the rack or wheel; to torture by an engine which strains the limbs and pulls the joints. He was racked and miserably tormented. Pope. 2. To torment; to torture; to affect with extreme pain or anguish. Vaunting aloud but racked with deep despair. Milton. 3. To stretch or strain, in a figurative sense; hence, to harass, or oppress by extortion. The landlords there shamefully rack their tenants. Spenser. They [landlords] rack a Scripture simile beyond the true intent thereof. Fuller. Try what my credit can in Venice do; That shall be racked even to the uttermost. Shak. 4. (Mining)  To wash on a rack, as metals or ore. 5. (Naut.)  To bind together, as two ropes, with cross turns of yarn, marline, etc. To rack one's brains or wits, to exert them to the utmost for the purpose of accomplishing something. Syn. -- To torture; torment; rend; tear.
rack-rent |A rent of the full annual value of the tenement, or near it; an excessive or unreasonably high rent. Blackstone.\n\nTo subject to rack-rent, as a farm or tenant.
rack-renter |1. One who is subjected to playing rack-rent. 2. One who exacts rack-rent.
rackabones |A very lean animal, esp. a horse. [Colloq. U. S.]
rackarock |A Sprengel explosive consisting of potassium chlorate and mono- nitrobenzene.
racker |1. One who racks. 2. A horse that has a racking gait.
racket |1. A thin strip of wood, having the ends brought together, forming a somewhat elliptical hoop, across which a network of catgut or cord is stretched. It is furnished with a handle, and is used for catching or striking a ball in tennis and similar games. Each one [of the Indians] has a bat curved like a crosier, and ending in a racket. Bancroft. 2. A variety of the game of tennis played with peculiar long-handled rackets; -- chiefly in the plural. Chaucer. 3. A snowshoe formed of cords stretched across a long and narrow frame of light wood. [Canada] 4. A broad wooden shoe or patten for a man horse, to enable him to step on marshy or soft ground. Racket court, a court for playing the game of rackets.\n\nTo strike with, or as with, a racket. Poor man [is] racketed from one temptation to another. Hewyt.\n\n1. confused, clattering noise; din; noisy talk or sport. 2. A carouse; any reckless dissipation. [Slang]\n\n1. To make a confused noise or racket. 2. To engage in noisy sport; to frolic. Sterne. 3. To carouse or engage in dissipation. [Slang]
racket-tail |Any one of several species of humming birds of the genus Steganura, having two of the tail feathers very long and racket- shaped.
racket-tailed |Having long and spatulate, or racket-shaped, tail feathers.
racketer |One who makes, or engages in, a racket.
rackett |An old wind instrument of the double bassoon kind, having ventages but not keys.
rackety |Making a tumultuous noise.
racking |Spun yarn used in racking ropes.
racktail |An arm attached to a swinging notched arc or rack, to let off the striking mechanism of a repeating clock.
rackwork |Any mechanism having a rack, as a rack and pinion.
racle |See Rakel. [Obs.] Chaucer.
racleness |See Rakelness. [Obs.] Chaucer.
raconteur |A relater; a storyteller.
racoonda |The coypu.
racovian |One of a sect of Socinians or Unitarians in Poland.
racquet |See Racket.
racy |1. Having a strong flavor indicating origin; of distinct characteristic taste; tasting of the soil; hence, fresh; rich. The racy wine, Late from the mellowing cask restored to light. Pope. 2. Hence: Exciting to the mental taste by a strong or distinctive character of thought or language; peculiar and piquant; fresh and lively. Our raciest, most idiomatic popular word. M. Arnold. Burn's English, though not so racy as his Scotch, is generally correct. H. Coleridge. The rich and racy humor of a natural converser fresh from the plow. Prof. Wilson. Syn. -- Spicy; spirited; lively; smart; piquant. -- Racy, Spicy. Racy refers primarily to that peculiar flavor which certain wines are supposed to derive from the soil in which the grapes were grown; and hence we call a style or production racy when it \"smacks of the soil,\" or has an uncommon degree of natural freshness and distinctiveness of thought and language. Spicy, when applied, has reference to a spirit and pungency added by art, seasoning the matter like a condiment. It does not, like racy, suggest native peculiarity. A spicy article in a magazine; a spicy retort. Racy in conversation; a racy remark. Rich, racy verses, in which we The soil from which they come, taste, smell, and see. Cowley.
rad |imp. & p. p. of Read, Rede. Spenser.
radde |imp. of Read, Rede. Chaucer.
raddle |1. A long, flexible stick, rod, or branch, which is interwoven with others, between upright posts or stakes, in making a kind of hedge or fence. 2. A hedge or fence made with raddles; -- called also raddle hedge. Todd. 3. An instrument consisting of a woodmen bar, with a row of upright pegs set in it, used by domestic weavers to keep the warp of a proper width, and prevent tangling when it is wound upon the beam of the loom.\n\nTo interweave or twist together. Raddling or working it up like basket work. De Foe.\n\nA red pigment used in marking sheep, and in some mechanical processes; ruddle. \"A ruddle of rouge.\" Thackeray.\n\nTo mark or paint with, or as with, raddle. \"Whitened and raddled old women.\" Thackeray.
raddock |The ruddock. [Prov. Eng.]
rade |A raid. [Scot.]
radeau |A float; a raft. Three vessels under sail, and one at anchor, above Split Rock, and behind it the radeau Thunderer. W. Irving.
radial |Of or pertaining to a radius or ray; consisting of, or like, radii or rays; radiated; as, (Bot.) radial projections; (Zoöl.) radial vessels or canals; (Anat.) the radial artery. Radial symmetry. (Biol.) See under Symmetry.
radial engine |An engine, usually an internal-combustion engine of a certain type (the radial type) having several cylinders arranged radially like the spokes of a complete wheel. The semiradial engine has radiating cylinders on only one side of the crank shaft.
radiale |1. (Anat.)  The bone or cartilage of the carpus which articulates with the radius and corresponds to the scaphoid bone in man. 2. pl. (Zoöl.)  Radial plates in the calyx of a crinoid.
radially |In a radial manner.
radian |An arc of a circle which is equal to the radius, or the angle measured by such an arc.
radiance |The quality of being radiant; brilliancy; effulgence; vivid brightness; as, the radiance of the sun. Girt with omnipotence, with radiance crowned. Milton. What radiancy of glory, What light beyond compare ! Neale. Syn. -- Luster; brilliancy; splendor; glare; glitter.
radiancy |The quality of being radiant; brilliancy; effulgence; vivid brightness; as, the radiance of the sun. Girt with omnipotence, with radiance crowned. Milton. What radiancy of glory, What light beyond compare ! Neale. Syn. -- Luster; brilliancy; splendor; glare; glitter.
radiant |1. Emitting or proceeding as from a center; [U.S.] rays; radiating; radiate. 2. Especially, emitting or darting rays of light or heat; issuing in beams or rays; beaming with brightness; emitting a vivid light or splendor; as, the radiant sun. Mark what radiant state she spreads. Milton. 3. Beaming with vivacity and happiness; as, a radiant face. 4. (Her.)  Giving off rays; -- said of a bearing; as, the sun radiant; a crown radiant. 5. (Bot.)  Having a raylike appearance, as the large marginal flowers of certain umbelliferous plants; -- said also of the cluster which has such marginal flowers. Radiant energy (Physics), energy given out or transmitted by radiation, as in the case of light and radiant heat. -- Radiant heat, proceeding in right lines, or directly from the heated body, after the manner of light, in distinction from heat conducted or carried by intervening media. -- Radiant point. (Astron.) See Radiant, n., 3.\n\n1. (Opt.)  The luminous point or object from which light emanates; also, a body radiating light brightly. 2. (Geom.)  A straight line proceeding from a given point, or fixed pole, about which it is conceived to revolve. 3. (Astron.)  The point in the heavens at which the apparent paths of shooting stars meet, when traced backward, or whence they appear to radiate.
radiant engine |A semiradial engine. See Radial engine, above.
radiantly |In a radiant manner; with glittering splendor.
radiary |A radiate. [Obs.]
radiata |An extensive artificial group of invertebrates, having all the parts arranged radially around the vertical axis of the body, and the various organs repeated symmetrically in each ray or spheromere. Note: It includes the coelenterates and the echinoderms. Formerly, the group was supposed to be a natural one, and was considered one of the grand divisions of the animal kingdom.
radiate |1. To emit rays; to be radiant; to shine. Virtues shine more clear In them [kings], and radiant like the sun at noon. Howell. 2. To proceed in direct lines from a point or surface; to issue in rays, as light or heat. Light radiates from luminous bodies directly to our eyes. Locke.\n\n1. To emit or send out in direct lines from a point or points; as, to radiate heat. 2. To enlighten; to illuminate; to shed light or brightness on; to irradiate. [R.]\n\n1. Having rays or parts diverging from a center; radiated; as, a radiate crystal. 2. (Bot.)  Having in a capitulum large ray florets which are unlike the disk florets, as in the aster, daisy, etc. 3. (Zoöl.)  Belonging to the Radiata.\n\nOne of the Radiata.
radiate-veined |Having the principal veins radiating, or diverging, from the apex of the petiole; -- said of such leaves as those of the grapevine, most maples, and the castor-oil plant.
radiated |1. Emitted, or sent forth, in rays or direct lines; as, radiated heat. 2. Formed of, or arranged like, rays or radii; having parts or markings diverging, like radii, from a common center or axis; as, a radiated structure; a radiated group of crystals. 3. (Zoöl.)  Belonging to the Radiata.
radiately |In a radiate manner; with radiation or divergence from a center.
radiatiform |Having the marginal florets enlarged and radiating but not ligulate, as in the capitula or heads of the cornflower, Gray.
radiation |1. The act of radiating, or the state of being radiated; emission and diffusion of rays of light; beamy brightness. 2. The shooting forth of anything from a point or surface, like the diverging rays of light; as, the radiation of heat.
radiative |Capable of radiating; acting by radiation. Tyndall.
radiator |That which radiates or emits rays, whether of light or heat; especially, that part of a heating apparatus from which the heat is radiated or diffused; as, a stream radiator.
radical |1. Of or pertaining to the root; proceeding directly from the root. 2. Hence: Of or pertaining to the root or origin; reaching to the center, to the foundation to the ultimate sources to the principles, or the like: original; fundamental; thorough-going; unsparing; extreme; as, radical evils; radical reform; a radical party. The most determined exertions of that authority, against them, only showed their radical independence. Burke. 3. (Bot.) (a) Belonging to, or proceeding from, the root of a plant; as, radical tubers or hairs. (b) Proceeding from a rootlike stem, or one which does not rise above the ground; as, the radical leaves of the dandelion and the sidesaddle flower. 4. (Philol.)  Relating, or belonging, to the root, or ultimate source of derivation; as, a radical verbal form. 5. (Math.)  Of or pertaining to a radix or root; as, a radical quantity; a radical sign. See below. Radical axis of two circles. (Geom.) See under Axis. -- Radical pitch, the pitch or tone with which the utterance of a syllable begins. Rush. -- Radical quantity (Alg.), a quantity to which the radical sign is prefixed; specifically, a quantity which is not a perfect power of the degree indicated by the radical sign; a surd. -- Radical sign (Math.), the sign sq. root (originally the letter r, the initial of radix, root), placed before any quantity, denoting that its root is to be extracted; thus, sq. roota, or sq. root(a + b). To indicate any other than the square root, a corresponding figure is placed over the sign; thus cube roota, indicates the third or cube root of a. -- Radical stress (Elocution), force of utterance falling on the initial part of a syllable or sound. -- Radical vessels (Anat.), minute vessels which originate in the substance of the tissues. Syn. -- Primitive; original; natural; underived; fundamental; entire. -- Radical, Entire. These words are frequently employed as interchangeable in describing some marked alternation in the condition of things. There is, however, an obvious difference between them. A radical cure, reform, etc., is one which goes to the root of the thing in question; and it is entire, in the sense that, by affecting the root, it affects in a appropriate degree the entire body nourished by the root; but it may not be entire in the sense of making a change complete in its nature, as well as in its extent. Hence, we speak of a radical change; a radical improvement; radical differences of opinion; while an entire change, an entire improvement, an entire difference of opinion, might indicate more than was actually intended. A certain change may be both radical and entire, in every sense.\n\n1. (Philol.) (a) A primitive word; a radix, root, or simple, underived, uncompounded word; an etymon. (b) A primitive letter; a letter that belongs to the radix. The words we at present make use of, and understand only by common agreement, assume a new air and life in the understanding, when you trace them to their radicals, where you find every word strongly stamped with nature; full of energy, meaning, character, painting, and poetry. Cleland. 2. (Politics)  One who advocates radical changes in government or social institutions, especially such changes as are intended to level class inequalities; -- opposed to conservative. In politics they [the Independents] were, to use phrase of their own time. \"Root-and-Branch men,\" or, to use the kindred phrase of our own, Radicals. Macaulay. 3. (Chem.) (a) A characteristic, essential, and fundamental constituent of any compound; hence, sometimes, an atom. As a general rule, the metallic atoms are basic radicals, while the nonmetallic atoms are acid radicals. J. P. Cooke. (b) Specifically, a group of two or more atoms, not completely saturated, which are so linked that their union implies certain properties, and are conveniently regarded as playing the part of a single atom; a residue; -- called also a compound radical. Cf. Residue. 4. (Alg.)  A radical quantity. See under Radical, a. An indicated root of a perfect power of the degree indicated is not a radical but a rational quantity under a radical form. Davies & Peck (Math. Dict. ) 5. (Anat.)  A radical vessel. See under Radical, a.
radicalism |The quality or state of being radical; specifically, the doctrines or principles of radicals in politics or social reform. Radicalism means root work; the uprooting of all falsehoods and abuses. F. W. Robertson.
radicality |1. Germinal principle; source; origination. [Obs.] Sir T. Browne. 2. Radicalness; relation to root in essential to a root in essential nature or principle.
radically |1. In a radical manner; at, or from, the origin or root; fundamentally; as, a scheme or system radically wrong or defective. 2. Without derivation; primitively; essentially. [R.] These great orbs thus radically bright. Prior.
radicalness |Quality or state of being radical.
radicant |Taking root on, or above, the ground; rooting from the stem, as the trumpet creeper and the ivy.
radicate |Radicated.\n\nTo take root; to become rooted. Evelyn.\n\nTo cause to take root; to plant deeply and firmly; to root. Time should . . . rather confirm and radicate in us the remembrance of God's goodness. Barrow.
radicated |Rooted; specifically: (a) (Bot.) Having roots, or possessing a well-developed root. (b) (Zoöl.) Having rootlike organs for attachment.
radication |1. The process of taking root, or state of being rooted; as, the radication of habits. 2. (Bot.)  The disposition of the roots of a plant.
radicel |A small branch of a root; a rootlet.
radiciflorous |Rhizanthous.
radiciform |Having the nature or appearance of a radix or root.
radicle |(a) The rudimentary stem of a plant which supports the cotyledons in the seed, and from which the root is developed downward; the stem of the embryo; the caulicle. (b) A rootlet; a radicel.
radicular |Of or performance to roots, or the root of a plant.
radicule |A radicle.
radiculose |Producing numerous radicles, or rootlets.
radii |pl. of Radius.
radio- |A combining form indicating connection with, or relation to, a radius or ray; specifically (Anat.), with the radius of the forearm; as, radio-ulnar, radiomuscular, radiocarpal.
radio-active |Capable of luminescence under the action of cathode rays, X rays, or any of the allied forms of radiation. -- Ra`di*o- ac*tiv\"i*ty, n.
radio-flagellata |A group of Protozoa having both flagella and pseudopodia.
radioconductor |A substance or device that has its conductivity altered in some way by electric waves, as a coherer.
radiograph |A picture produced by the Röntgen rays upon a sensitive surface, photographic or fluorescent, especially a picture of opaque objects traversed by the rays.
radiography |Art or process of making radiographs. -- Ra`di*o*graph\"ic (#), *graph\"ic*al (#), a. --Ra`di*o*graph\"ic*al*ly, adv.
radiolaria |Order of rhizopods, usually having a siliceous skeleton, or shell, and sometimes radiating spicules. The pseudopodia project from the body like rays. It includes the polycystines. See Polycystina.
radiolarian |Of or pertaining to the Radiolaria. -- n.  One of the Radiolaria.
radioli |The barbs of the radii of a feather; barbules.
radiolite |A hippurite.
radiometer |1. (Naut.)  A forestaff. 2. (Physics)  An instrument designed for measuring the mechanical effect of radiant energy. Note: It consists of a number of light discs, blackened on one side, placed at the ends of extended arms, supported on an a pivot in an exhausted glass vessel. When exposed to rays of light or heat, the arms rotate.
radiometry |The use of the radiometer, or the measurement of radiation. -- Ra`di*o*met\"ric (#), a.
radiomicrometer |A very sensitive modification or application of the thermopile, used for indicating minute changes of radiant heat, or temperature.
