maculature |, Blotting paper. [Obs.]
make |A companion; a mate; often, a husband or a wife. [Obs.] For in this world no woman is Worthy to be my make. Chaucer.\n\n1. To cause to exist; to bring into being; to form; to produce; to frame; to fashion; to create. Hence, in various specific uses or applications: (a) To form of materials; to cause to exist in a certain form; to construct; to fabricate. He . . . fashioned it with a graving tool, after he had made it a molten calf. Ex. xxxii. 4. (b) To produce, as something artificial, unnatural, or false; -- often with up; as, to make up a story. And Art, with her contending, doth aspire To excel the natural with made delights. Spenser. (c) To bring about; to bring forward; to be the cause or agent of; to effect, do, perform, or execute; -- often used with a noun to form a phrase equivalent to the simple verb that corresponds to such noun; as, to make complaint, for to complain; to make record of, for to record; to make abode, for to abide, etc. Call for Samson, that he may make us sport. Judg. xvi. 25. Wealth maketh many friends. Prov. xix. 4. I will neither plead my age nor sickness in excuse of the faults which I have made. Dryden. (d) To execute with the requisite formalities; as, to make a bill, note, will, deed, etc. (e) To gain, as the result of one's efforts; to get, as profit; to make acquisition of; to have accrue or happen to one; as, to make a large profit; to make an error; to make a loss; to make money. He accuseth Neptune unjustly who makes shipwreck a second time. Bacon. (f) To find, as the result of calculation or computation; to ascertain by enumeration; to find the number or amount of, by reckoning, weighing, measurement, and the like; as, he made the distance of; to travel over; as, the ship makes ten knots an hour; he made the distance in one day. (h) To put a desired or desirable condition; to cause to thrive. Who makes or ruins with a smile or frown. Dryden. 2. To cause to be or become; to put into a given state verb, or adjective; to constitute; as, to make known; to make public; to make fast. Who made thee a prince and a judge over us Ex. ii. 14. See, I have made thee a god to Pharaoh. Ex. vii. 1. Note: When used reflexively with an adjective, the reflexive pronoun is often omitted; as, to make merry; to make bold; to make free, etc. 3. To cause to appear to be; to constitute subjectively; to esteem, suppose, or represent. He is not that goose and ass that Valla would make him. Baker. 4. To require; to constrain; to compel; to force; to cause; to occasion; -- followed by a noun or pronoun and infinitive. Note: In the active voice the to of the infinitive is usually omitted. I will make them hear my words. Deut. iv. 10. They should be made to rise at their early hour. Locke. 5. To become; to be, or to be capable of being, changed or fashioned into; to do the part or office of; to furnish the material for; as, he will make a good musician; sweet cider makes sour vinegar; wool makes warm clothing. And old cloak makes a new jerkin. Shak. 6. To compose, as parts, ingredients, or materials; to constitute; to form; to amount to. The heaven, the air, the earth, and boundless sea, Make but one temple for the Deity. Waller. 7. To be engaged or concerned in. [Obs.] Gomez, what makest thou here, with a whole brotherhood of city bailiffs Dryden. 8. To reach; to attain; to arrive at or in sight of. \"And make the Libyan shores.\" Dryden. They that sail in the middle can make no land of either side. Sir T. Browne. To make a bed, to prepare a bed for being slept on, or to put it in order. -- To make a card (Card Playing), to take a trick with it. -- To make account. See under Account, n. -- To make account of, to esteem; to regard. -- To make away. (a) To put out of the way; to kill; to destroy. [Obs.] If a child were crooked or deformed in body or mind, they made him away. Burton. (b) To alienate; to transfer; to make over. [Obs.] Waller. -- To make believe, to pretend; to feign; to simulate. -- To make bold, to take the liberty; to venture. -- To make the cards (Card Playing), to shuffle the pack. -- To make choice of, to take by way of preference; to choose. -- To make danger, to make experiment. [Obs.] Beau. & Fl. -- To make default (Law), to fail to appear or answer. -- To make the doors, to shut the door. [Obs.] Make the doors upon a woman's wit, and it will out at the casement. Shak. - To make free with. See under Free, a. -- To make good. See under Good. -- To make head, to make headway. -- To make light of. See under Light, a. -- To make little of. (a) To belittle. (b) To accomplish easily. -- To make love to. See under Love, n. -- To make meat, to cure meat in the open air. [Colloq. Western U. S.] -- To make merry, to feast; to be joyful or jovial. -- To make much of, to treat with much consideration,, attention, or fondness; to value highly. -- To make no bones. See under Bone, n. -- To make no difference, to have no weight or influence; to be a matter of indifference. -- To make no doubt, to have no doubt. -- To make no matter, to have no weight or importance; to make no difference. -- To make oath (Law), to swear, as to the truth of something, in a prescribed form of law. -- To make of. (a) To understand or think concerning; as, not to know what to make of the news. (b) To pay attention to; to cherish; to esteem; to account. \"Makes she no more of me than of a slave.\" Dryden. -- To make one's law (Old Law), to adduce proof to clear one's self of a charge. -- To make out. (a) To find out; to discover; to decipher; as, to make out the meaning of a letter. (b) To prove; to establish; as, the plaintiff was unable to make out his case. (c) To make complete or exact; as, he was not able to make out the money. -- To make over, to transfer the title of; to convey; to alienate; as, he made over his estate in trust or in fee. -- To make sail. (Naut.) (a) To increase the quantity of sail already extended. (b) To set sail. -- To make shift, to manage by expedients; as, they made shift to do without it. [Colloq.]. -- To make sternway, to move with the stern foremost; to go or drift backward. -- To make strange, to act in an unfriendly manner or as if surprised; to treat as strange; as, to make strange of a request or suggestion. -- To make suit to, to endeavor to gain the favor of; to court. -- To make sure. See under Sure. -- To make up. (a) To collect into a sum or mass; as, to make up the amount of rent; to make up a bundle or package. (b) To reconcile; to compose; as, to make up a difference or quarrel. (c) To supply what is wanting in; to complete; as, a dollar is wanted to make up the stipulated sum. (d) To compose, as from ingredients or parts; to shape, prepare, or fabricate; as, to make up a mass into pills; to make up a story. He was all made up of love and charms! Addison. (e) To compensate; to make good; as, to make up a loss. (f) To adjust, or to arrange for settlement; as, to make up accounts. (g) To dress and paint for a part, as an actor; as, he was well made up. -- To make up a face, to distort the face as an expression of pain or derision. -- To make up one's mind, to reach a mental determination; to resolve. -- To make water. (a) (Naut.) To leak. (b) To urinate. -- To make way, or To make one's way. (a) To make progress; to advance. (b) To open a passage; to clear the way. -- To make words, to multiply words.\n\n1. To act in a certain manner; to have to do; to manage; to interfere; to be active; -- often in the phrase to meddle or make. [Obs.] A scurvy, jack-a-nape priest to meddle or make. Shak. 2. To proceed; to tend; to move; to go; as, he made toward home; the tiger made at the sportsmen. Note: Formerly, authors used to make on, to make forth, to make about; but these phrases are obsolete. We now say, to make at, to make away, to make for, to make off, to make toward, etc. 3. To tend; to contribute; to have effect; -- with for or against; as, it makes for his advantage. M. Arnold. Follow after the things which make for peace. Rom. xiv. 19. Considerations infinite Do make against it. Shak. 4. To increase; to augment; to accrue. 5. To compose verses; to write poetry; to versify. [Archaic] Chaucer. Tennyson. To solace him some time, as I do when I make. P. Plowman. To make as if, or To make as though, to pretend that; to make show that; to make believe (see under Make, v. t.). Joshua and all Israel made as if they were beaten before them, and fled. Josh. viii. 15. My lord of London maketh as though he were greatly displeased with me. Latimer. -- To make at, to go toward hastily, or in a hostile manner; to attack. -- To make away with. (a) To carry off. (b) To transfer or alienate; hence, to spend; to dissipate. (c) To kill; to destroy. -- To make off, to go away suddenly. -- To make out, to succeed; to be able at last; to make shift; as, he made out to reconcile the contending parties. -- To make up, to become reconciled or friendly. -- To make up for, to compensate for; to supply an equivalent for. -- To make up to. (a) To approach; as, a suspicious boat made up to us. (b) To pay addresses to; to make love to. -- To make up with, to become reconciled to. [Colloq.] -- To make with, to concur or agree with. Hooker.\n\nStructure, texture, constitution of parts; construction; shape; form. It our perfection of so frail a make As every plot can undermine and shake Dryden. On the make,bent upon making great profits; greedy of gain. [Low, U. S.]
make and break |Any apparatus for making and breaking an electric circuit; a circuit breaker.
make-belief |A feigning to believe; make believe. J. H. Newman.
make-believe |A feigning to believe, as in the play of children; a mere pretense; a fiction; an invention. \"Childlike make-believe.\" Tylor. To forswear self-delusion and make-believe. M. Arnold.\n\nFeigned; insincere. \"Make-believe reverence.\" G. Eliot.
make-game |An object of ridicule; a butt. Godwin.
make-peace |A peacemaker. [R.] Shak.
make-up |The way in which the parts of anything are put together; often, the way in which an actor is dressed, painted, etc., in personating a character. The unthinking masses are necessarily teleological in their mental make-up. L. F. Ward.
makebate |One who excites contentions and quarrels. [Obs.]
maked |Made. Chaucer.
makeless |1. Matchless. [Obs.] Chaucer. 2. Without a mate. Shak.
maker |1. One who makes, forms, or molds; a manufacturer; specifically, the Creator. The universal Maker we may praise. Milton. 2. (Law)  The person who makes a promissory note. 3. One who writes verses; a poet. [Obs.] Note: \"The Greeks named the poet poihth`s, which name, as the most excellent, hath gone through other languages. It cometh of this word poiei^n, make; wherein, I know not whether by luck or wisdom, we Englishmen have met well the Greeks in calling him a maker.\" Sir P. Sidney.
makeshift |That with which one makes shift; a temporary expedient. James Mill. I am not a model clergyman, only a decent makeshift. G. Eliot.
makeweight |That which is thrown into a scale to make weight; something of little account added to supply a deficiency or fill a gap.
maki |A lemur. See Lemur.
making |1. The act of one who makes; workmanship; fabrication; construction; as, this is cloth of your own making; the making of peace or war was in his power. 2. Composition, or structure. 3. a poem.[Obs.] Sir J. Davies. 4. That which establishes or places in a desirable state or condition; the material of which something may be made; as, early misfortune was the making of him. 5. External appearance; from. [Obs.] Shak.
making-iron |A tool somewhat like a chisel with a groove in it, used by calkers of ships to finish the seams after the oakum has been driven in.
making-up |1. The act of bringing spirits to a certain degree of strength, called proof. 2. The act of becoming reconciled or friendly.
mal- |. A prefix in composition denoting ill,or evil, F. male, adv., fr. malus, bad, ill. In some words it has the form male-, as in malediction, malevolent. See Malice. Note: The formmale- is chiefly used in cases where the c, either alone or with other letters, is pronounced as a separate syllable, as in malediction, malefactor, maleficent, etc. Where this is not the case, as in malfeasance or male-feasance, malformation or male- formation, etc., as also where the word to which it is prefixed commences with a vowel, as in maladministration, etc., the form malis to be preferred, and is the one commonly employed.
mala |Evils; wrongs; offenses against right and law. Mala in se Etym: [L.] (Law), offenses which are such from their own nature, at common law, irrespective of statute. -- Mala prohibita Etym: [L.] (Law), offenses prohibited by statute, as distinguished from mala in se, which are offenses at common law.
malabar |A region in the western part of the Peninsula of India, between the mountains and the sea. Malabar nut (Bot.), the seed of an East Indian acanthaceous shrub, the Adhatoda Vasica, sometimes used medicinally.
malacatune |See Melocoton.
malacca |A town and district upon the seacoast of the Malay Peninsula. Malacca cane (Bot.), a cane obtained from a species of palm of the genus Calamus (C. Scipionum), and of a brown color, often mottled. The plant is a native of Cochin China, Sumatra, and Malays.
malachite |Native hydrous carbonate of copper, usually occurring in green mammillary masses with concentric fibrous structure. Note: Green malachite, or malachite proper, admits of a high polish, and is sometimes used for ornamental work. Blue malachite, or azurite, is a related species of a deep blue color. Malachite green. See Emerald green, under Green, n.
malacissant |Softening; relaxing. [Obs.]
malacissation |The act of making soft or supple. [Obs.] Bacon.
malacobdella |A genus of nemertean worms, parasitic in the gill cavity of clams and other bivalves. They have a large posterior sucker, like that of a leech. See Illust. of Bdellomorpha.
malacoderm |One of a tribe of beetles (Malacodermata), with a soft and flexible body, as the fireflies.
malacolite |A variety of pyroxene.
malacologist |One versed in the science of malacology.
malacology |The science which relates to the structure and habits of mollusks.
malacopoda |A class of air-breathing Arthropoda; -- called also Protracheata, and Onychophora. Note: They somewhat resemble myriapods, and have from seventeen to thirty-three pairs of short, imperfectly jointed legs, two pairs of simple jaws, and a pair of antennæ. The trancheæ are connected with numerous spiracles scattered over the surface of the body. Peripatus is the only known genus. See Peripatus.
malacopterygian |One of the Malacopterygii.
malacopterygii |An order of fishes in which the fin rays, except the anterior ray of the pectoral and dorsal fins, are closely jointed, and not spiny. It includes the carp, pike, salmon, shad, etc. Called also Malacopteri.
malacopterygious |Belonging to the Malacopterygii.
malacosteon |A peculiar disease of the bones, in consequence of which they become softened and capable of being bent without breaking.
malacostomous |Having soft jaws without teeth, as certain fishes.
malacostraca |A subclass of Crustacea, including Arthrostraca and Thoracostraca, or all those higher than the Entomostraca.
malacostracan |One of the Malacostraca.
malacostracology |That branch of zoölogical science which relates to the crustaceans; -- called also carcinology.
malacostracous |Belonging to the Malacostraca.
malacotoon |See Melocoton.
malacozoa |An extensive group of Invertebrata, including the Mollusca, Brachiopoda, and Bryozoa. Called also Malacozoaria.
malacozoic |Of or pertaining to the Malacozoa.
maladdress |Bad address; an awkward, tactless, or offensive way of accosting one or talking with one. W. D. Howells.
maladjustment |A bad adjustment.
maladministration |Bad administration; bad management of any business, especially of public affairs. [Written also maleadministration.]
maladroit |Of a quality opposed to adroitness; clumsy; awkward; unskillful. -- Mal\"a*droit`ly, adv. -- Mal`a*droit\"ness, n.
malady |1. Any disease of the human body; a distemper, disorder, or indisposition, proceeding from impaired, defective, or morbid organic functions; especially, a lingering or deep-seated disorder. The maladies of the body may prove medicines to the mind. Buckminster. 2. A moral or mental defect or disorder. Love's a malady without a cure. Dryden. Syn. -- Disorder; distemper; sickness; ailment; disease; illness. See Disease.
malaga |A city and a province of Spain, on the Mediterranean. Hence, Malaga grapes, Malaga raisins, Malaga wines.
malagash |Same as Malagasy.
malagasy |A native or natives of Madagascar; also (sing.), the language.
malaise |An indefinite feeling of uneasiness, or of being sick or ill at ease.
malamate |A salt of malamic acid.
malambo |A yellowish aromatic bark, used in medicine and perfumery, said to be from the South American shrub Croton Malambo.
malamethane |A white crystalline substance forming the ethyl salt of malamic acid.
malamic |Of or pertaining an acid intermediate between malic acid and malamide, and known only by its salts.
malamide |The acid amide derived from malic acid, as a white crystalline substance metameric with asparagine.
malanders |A scurfy eruption in the bend of the knee of the fore leg of a horse. See Sallenders. [Written also mallenders.]
malapert |Bold; forward; impudent; saucy; pert. Shak. -- n.  A malapert person. Are you growing malapert! Will you force me to make use of my authority Dryden. -- Mal\"a*pert`ly, adv. -- Mal\"a*pert`ness, n.
malapropism |A grotesque misuse of a word; a word so used.
malapropos |Unseasonable or unseasonably; unsuitable or unsuitably.
malapterurus |A genus of African siluroid fishes, including the electric catfishes. See Electric cat, under Electric.
malar |Of or pertaining to the region of the cheek bone, or to the malar bone; jugal.\n\nThe cheek bone, which forms a part of the lower edge of the orbit.
malaria |1. Air infected with some noxious substance capable of engendering disease; esp., an unhealthy exhalation from certain soils, as marshy or wet lands, producing fevers; miasma. Note: The morbific agent in malaria is supposed by some to be a vegetable microbe or its spores, and by others to be a very minute animal blood parasite (an infusorian). 2. (Med.)  A morbid condition produced by exhalations from decaying vegetable matter in contact with moisture, giving rise to fever and ague and many other symptoms characterized by their tendency to recur at definite and usually uniform intervals.
malaria parasite |Any of several minute protozoans of the genus Plasmodium (syn. Hæmatozoön) which in their adult condition live in the tissues of mosquitoes of the genus Anopheles (which see) and when transferred to the blood of man, by the bite of the mosquito, produce malaria. The young parasites, or sporozoites, enter the red blood corpuscles, growing at their expense, undergoing sporulation, and finally destroying the corpuscles, thus liberating in the blood plasma an immense number of small spores called merozoites. An indefinite but not ultimated number of such generations may follow, but if meanwhile the host is bitten by a mosquito, the parasites develop into gametes in the stomach of the insect. These conjugate, the zygote thus produced divides, forming spores, and eventually sporozoites, which, penetrating to the salivary glands of the mosquito, may be introduced into a new host. The attacks of the disease coincide with the dissolution of the corpuscles and liberation of the spores and products of growth of the parasites into the blood plasma. Several species of the parasite are distinguished, as P. vivax, producing tertian malaria; P. malariæ, quartan malaria; and P. (subgenus Laverania) falciferum, the malarial fever of summer and autumn common in the tropics.
malarial |Of or pertaining, to or infected by, malaria. Malarial fever (Med.), a fever produced by malaria, and characterized by the occurrence of chills, fever, and sweating in distinct paroxysms, At intervals of definite and often uniform duration, in which these symptoms are wholly absent (intermittent fever), or only partially so (remittent fever); fever and ague; chills and fever.
malarian |Of or pertaining, to or infected by, malaria. Malarial fever (Med.), a fever produced by malaria, and characterized by the occurrence of chills, fever, and sweating in distinct paroxysms, At intervals of definite and often uniform duration, in which these symptoms are wholly absent (intermittent fever), or only partially so (remittent fever); fever and ague; chills and fever.
malarious |Of or pertaining, to or infected by, malaria. Malarial fever (Med.), a fever produced by malaria, and characterized by the occurrence of chills, fever, and sweating in distinct paroxysms, At intervals of definite and often uniform duration, in which these symptoms are wholly absent (intermittent fever), or only partially so (remittent fever); fever and ague; chills and fever.
malashaganay |The fresh-water drumfish (Haploidonotus grunniens).
malassimilation |(a) Imperfect digestion of the several leading constituents of the food. (b) An imperfect elaboration by the tissues of the materials brought to them by the blood.
malate |A salt of malic acid.
malax |To soften by kneading or stirring with some thinner substance. [R.]
malaxate |To soften by kneading or stirring with some thinner substance. [R.]
malaxation |The act of softening by mixing with a thinner substance; the formation of ingredients into a mass for pills or plasters. [R.]
malaxator |One who, or that which, malaxates; esp., a machine for grinding, kneading, or stirring into a pasty or doughy mass. [R.]
malay |One of a race of a brown or copper complexion in the Malay Peninsula and the western islands of the Indian Archipelago.\n\nOf or pertaining to the Malays or their country. -- n.  The Malay language. Malay apple (Bot.), a myrtaceous tree (Eugenia Malaccensis) common in India; also, its applelike fruit.
malayalam |The name given to one the cultivated Dravidian languages, closely related to the Tamil. Yule.
malayan |Of or pertaining to the Malays or their country. -- n.  The Malay language. Malay apple (Bot.), a myrtaceous tree (Eugenia Malaccensis) common in India; also, its applelike fruit.
malbrouck |A West African arboreal monkey (Cercopithecus cynosurus).
malconformation |Imperfect, disproportionate, or abnormal formation; ill form; disproportion of parts.
malcontent |discontented; uneasy; dissatisfied; especially, dissatisfied with the government. [Written also malecontent.] The famous malcontent earl of Leicester. Milner.\n\nOne who discontented; especially, a discontented subject of a government; one who express his discontent by words or overt acts. Spenser. Berkeley.
malcontented |Malcontent. -- Mal`con*tent\"ed*ly, adv. -- Mal`con*tent\"ed*ness, n.
maldanian |Any species of marine annelids of the genus Maldane, or family Maldanidæ. They have a slender, round body, and make tubes in the sand or mud.
male |Evil; wicked; bad. [Obs.] Marston.\n\nSame as Mail, a bag. [Obs.] Chaucer.\n\n1. Of or pertaining to the sex that begets or procreates young, or (in a wider sense) to the sex that produces spermatozoa, by which the ova are fertilized; not female; as, male organs. 2. (Bot.)  Capable of producing fertilization, but not of bearing fruit; - - said of stamens and antheridia, and of the plants, or parts of plants, which bear them. 3. Suitable to the male sex; characteristic or suggestive of a male; masculine; as, male courage. 4. Consisting of males; as, a male choir. 5. (Mech.)  Adapted for entering another corresponding piece (the female piece) which is hollow and which it fits; as, a male gauge, for gauging the size or shape of a hole; a male screw, etc. Male berry (Bot.), a kind of coffee. See Pea berry. -- Male fern (Bot.), a fern of the genus Aspidium (A. Filixmas), used in medicine as an anthelmintic, esp. against the tapeworm. Aspidium marginale in America, and A. athamanticum in South Africa, are used as good substitutes for the male fern in medical practice. See Female fern, under Female. -- Male rhyme, a rhyme in which only the last syllables agree, as laid, afraid, dismayed. See Female rhyme, under Female. -- Male screw (Mech.), a screw having threads upon its exterior which enter the grooves upon the inside of a corresponding nut or female screw. -- Male thread, the thread of a male screw.\n\n1. An animal of the male sex. 2. (Bot.)  A plant bearing only staminate flowers.
male- |. See Mal-.
male-odor |See Malodor.
male-spirited |Having the spirit of a male; vigorous; courageous. [R.] B. Jonson.
maleadministration |Maladministration.
maleate |A salt of maleic acid.
malebranchism |The philosophical system of Malebranche, an eminent French metaphysician. The fundamental doctrine of his system is that the mind can not have knowledge of anything external to itself except in its relation to God.
maleconformation |Malconformation.
malecontent |Malcontent.
maledicency |Evil speaking. [Obs.] Atterbury.
maledicent |Speaking reproachfully; slanderous. [Obs.] Sir E. Sandys.
maledict |Accursed; abominable. [R.]
malediction |A proclaiming of evil against some one; a cursing; imprecation; a curse or execration; -- opposed to benediction. No malediction falls from his tongue. Longfellow. Syn. -- Cursing; curse; execration; imprecation; denunciation; anathema. -- Malediction, Curse, Imprecation, Execration. Malediction is the most general term, denoting bitter reproach, or wishes and predictions of evil. Curse implies the desire or threat of evil, declared upon oath or in the most solemn manner. Imprecation is literally the praying down of evil upon a person. Execration is literally a putting under the ban of excommunication, a curse which excludes from the kingdom of God. In ordinary usage, the last three words describe profane swearing, execration being the strongest.
malefaction |A crime; an offense; an evil deed. [R.] Shak.
malefactor |1. An evil doer; one who commits a crime; one subject to public prosecution and punishment; a criminal. 2. One who does wrong by injuring another, although not a criminal. [Obs.] H. Brooke. Fuller. Syn. -- Evil doer; criminal; culprit; felon; convict.
malefactress |A female malefactor. Hawthorne.
malefeasance |See Malfeasance.
malefic |Doing mischief; causing harm or evil; nefarious; hurtful. [R.] Chaucer.
malefice |An evil deed; artifice; enchantment. [Obs.]
maleficence |Evil doing, esp. to others.
maleficent |Doing evil to others; harmful; mischievous.
maleficial |Injurious. Fuller.
maleficiate |To bewitch; to harm. [Obs.] Burton.
maleficiation |A bewitching. [Obs.]
maleficience |The doing of evil, harm, or mischief.
maleficient |Doing evil, harm, or mischief.
maleformation |See Malformation.
maleic |Pertaining to, or designating, an acid of the ethylene series, metameric with fumaric acid and obtained by heating malic acid.
malengine |Evil machination; guile; deceit. [Obs.] Gower.
maleo |A bird of Celebes (megacephalon maleo), allied to the brush turkey. It makes mounds in which to lay its eggs.
malepractice |See Malpractice.
malet |A little bag or budget. [Obs.] Shelton.
maletreat |See Maltreat.
malevolence |The quality or state of being malevolent; evil disposition toward another; inclination to injure others; ill will. See Synonym of Malice.
malevolent |Wishing evil; disposed to injure others; rejoicing in another's misfortune. Syn. -- Ill-disposed; envious; mischievous; evil-minded; spiteful; malicious; malignant; rancorous.
malevolently |In a malevolent manner.
malevolous |Malevolent. [Obs.] Bp. Warburton.
malexecution |Bad execution. D. Webster.
maleyl |A hypothetical radical derived from maleic acid.
malfeasance |The doing of an act which a person ought not to do; evil conduct; an illegal deed. [Written also malefeasance.]
malformation |Ill formation; irregular or anomalous formation; abnormal or wrong conformation or structure.
malgracious |Not graceful; displeasing. [Obs.] Gower.
malgre |See Mauger.
malic |Pertaining to, or obtained from, apples; as, malic acid. Malic acid, a hydroxy acid obtained as a substance which is sirupy or crystallized with difficulty, and has a strong but pleasant sour taste. It occurs in many fruits, as in green apples, currants, etc. It is levorotatory or dextrorotatory according to the temperature and concentration. An artificial variety is a derivative of succinic acid, but has no action on polarized light, and thus malic acid is a remarkable case of physical isomerism.
malice |1. Enmity of heart; malevolence; ill will; a spirit delighting in harm or misfortune to another; a disposition to injure another; a malignant design of evil. \"Nor set down aught in malice.\" Shak. Envy, hatred, and malice are three distinct passions of the mind. Ld. Holt. 2. (Law)  Any wicked or mischievous intention of the mind; a depraved inclination to mischief; an intention to vex, annoy, or injure another person, or to do a wrongful act without just cause or cause or excuse; a wanton disregard of the rights or safety of others; willfulness. Malice aforethought or prepense, malice previously and deliberately entertained. Syn. -- Spite; ill will; malevolence; grudge; pique; bitterness; animosity; malignity; maliciousness; rancor; virulence. See Spite. -- Malevolence, Malignity, Malignancy. Malice is a stronger word than malevolence, which may imply only a desire that evil may befall another, while malice desires, and perhaps intends, to bring it about. Malignity is intense and deepseated malice. It implies a natural delight in hating and wronging others. One who is malignant must be both malevolent and malicious; but a man may be malicious without being malignant. Proud tyrants who maliciously destroy And ride o'er ruins with malignant joy. Somerville. in some connections, malignity seems rather more pertinently applied to a radical depravity of nature, and malignancy to indications of this depravity, in temper and conduct in particular instances. Cogan.\n\nTo regard with extreme ill will. [Obs.]
malicho |Mischief. [Obs.] Shak.
malicious |1. Indulging or exercising malice; harboring ill will or enmity. I grant him bloody, . . . Sudden, malicious, smacking of every sin That has a name. Shak. 2. Proceeding from hatred or ill will; dictated by malice; as, a malicious report; malicious mischief. 3. (Law)  With wicked or mischievous intentions or motives; wrongful and done intentionally without just cause or excuse; as, a malicious act. Malicious abandonment, the desertion of a wife or husband without just cause. Burrill. -- Malicious mischief (Law), malicious injury to the property of another; -- an offense at common law. Wharton. -- Malicious prosecution or arrest (Law), a wanton prosecution or arrest, by regular process in a civil or criminal proceeding, without probable cause. Bouvier. Syn. -- Ill-disposed; evil-minded; mischievous; envious; malevolent; invidious; spiteful; bitter; malignant; rancorous; malign. -- Ma*li\"cious*ly, adv. -- Ma*li\"cious*ness, n.
malign |1. Having an evil disposition toward others; harboring violent enmity; malevolent; malicious; spiteful; -- opposed to benign. Witchcraft may be by operation of malign spirits. Bacon. 2. Unfavorable; unpropitious; pernicious; tending to injure; as, a malign aspect of planets. 3. Malignant; as, a malign ulcer. [R.] Bacon.\n\nTo treat with malice; to show hatred toward; to abuse; to wrong; to injure. [Obs.] The people practice what mischiefs and villainies they will against private men, whom they malign by stealing their goods, or murdering them. Spenser. 2. To speak great evil of; to traduce; to defame; to slander; to vilify; to asperse. To be envied and shot at; to be maligned standing, and to be despised falling. South.\n\nTo entertain malice. [Obs.]
malignance |1. The state or quality of being malignant; extreme malevolence; bitter enmity; malice; as, malignancy of heart. 2. Unfavorableness; evil nature. The malignancy of my fate might perhaps distemner yours. Shak. 3. (Med.)  Virulence; tendency to a fatal issue; as, the malignancy of an ulcer or of a fever. 4. The state of being a malignant. Syn. -- Malice; malevolence; malignity. See Malice.
malignancy |1. The state or quality of being malignant; extreme malevolence; bitter enmity; malice; as, malignancy of heart. 2. Unfavorableness; evil nature. The malignancy of my fate might perhaps distemner yours. Shak. 3. (Med.)  Virulence; tendency to a fatal issue; as, the malignancy of an ulcer or of a fever. 4. The state of being a malignant. Syn. -- Malice; malevolence; malignity. See Malice.
malignant |1. Disposed to do harm, inflict suffering, or cause distress; actuated by extreme malevolence or enmity; virulently inimical; bent on evil; malicious. A malignant and a turbaned Turk. Shak. 2. Characterized or caused by evil intentions; pernicious. \"Malignant care.\" Macaulay. Some malignant power upon my life. Shak. Something deleterious and malignant as his touch. Hawthorne. 3. (Med.)  Tending to produce death; threatening a fatal issue; virulent; as, malignant diphtheria. Malignant pustule (Med.), a very contagious disease, transmitted to man from animals, characterized by the formation, at the point of reception of the virus, of a vesicle or pustule which first enlarges and then breaks down into an unhealthy ulcer. It is marked by profound exhaustion and usually fatal. Called also charbon, and sometimes, improperly, anthrax.\n\n1. A man of extrems enmity or evil intentions. Hooker. 2. (Eng. Hist.)  One of the adherents of Charles L. or Charles LL.; -- so called by the opposite party.
malignantly |In a malignant manner.
maligner |One who maligns.
malignify |To make malign or malignant. [R.] \"A strong faith malignified.\" Southey.
malignity |1. The state or quality of being malignant; disposition to do evil; virulent enmity; malignancy; malice; spite. 2. Virulence; deadly quality. His physicians discerned an invincible malignity in his disease. Hayward. 3. Extreme evilness of nature or influence; perniciousness; heinousness; as, the malignity of fraud. [R.] Syn. -- See Malice.
malignly |In a malign manner; with malignity.
malinger |To act the part of a malingerer; to feign illness or inability.
malingerer |In the army, a soldier who feigns himself sick, or who induces or protracts an illness, in order to avoid doing his duty; hence, in general, one who shirks his duty by pretending illness or inability.
malingery |The spirit or practices of a malingerer; malingering.
malison |Malediction; curse; execration. [Poetic] God's malison on his head who this gainsays. Sir W. Scott.
malkin |1. Originally, a kitchenmaid; a slattern. Chaucer. 2. A mop made of clouts, used by the kitchen servant. 3. A scarecrow.[Prov. Eng.] 4. (Mil.)  A mop or sponge attached to a jointed staff for swabbing out a cannon.
mall |1. A large heavy wooden beetle; a mallet for driving anything with force; a maul. Addison. 2. A heavy blow. [Obs.] Spenser. 3. An old game played with malls or mallets and balls. See Pall-mall. Cotton. 4. A place where the game of mall was played. Hence: A public walk; a level shaded walk. Part of the area was laid out in gravel walks, and planted with elms; and these convenient and frequented walks obtained the name of the City Mall. Southey.\n\nTo beat with a mall; to beat with something heavy; to bruise; to maul.\n\nFormerly, among Teutonic nations, a meeting of the notables of a state for the transaction of public business, such meeting being a modification of the ancient popular assembly. Hence: (a) A court of justice. (b) A place where justice is administered. (c) A place where public meetings are held. Councils, which had been as frequent as diets or malls, ceased. Milman.
mallard |1. (Zoöl.)  A drake; the male of Anas boschas. 2. (Zoöl.)  A large wild duck (Anas boschas) inhabiting both America and Europe. The domestic duck has descended from this species. Called also greenhead.
malleability |The quality or state of being malleable; -- opposed to friability and brittleness. Locke.
malleable |Capable of being extended or shaped by beating with a hammer, or by the pressure of rollers; -- applied to metals. Malleable iron, iron that is capable of extension or of being shaped under the hammer; decarbonized cast iron. See under Iron. -- Malleable iron castings, articles cast from pig iron and made malleable by heating then for several days in the presence of some substance, as hematite, which deprives the cast iron of some of its carbon.
malleableize |To make malleable.
malleableness |Quality of being malleable.
malleal |Pertaining to the malleus.
malleate |To hammer; to beat into a plate or leaf.
malleation |The act or process of beating into a plate, sheet, or leaf, as a metal; extension by beating.
mallecho |Same as Malicho.
mallee bird |The leipoa. See Leipoa.
mallemock |See Mollemoke.
mallemoke |See Mollemoke.
mallenders |Same as Malanders.
