sesamoidal |Sesamoid.
shagreened |1. Made or covered with the leather called shagreen. \"A shagreen case of lancets.\" T. Hook. 2. (Zoöl.)  Covered with rough scales or points like those on shagreen.
shah |The title of the supreme ruler in certain Eastern countries, especially Persia. [Written also schah.] Shah Nameh. Etym: [Per., Book of Kings.] A celebrated historical poem written by Firdousi, being the most ancient in the modern Persian language. Brande & C.
shahin |A large and swift Asiatic falcon (Falco pregrinator) highly valued in falconry.
shaik |See Sheik.
shail |To walk sidewise. [Obs.] L'Estrange.
shaitan |1. Among Mohammedans: (a) An evil spirit; the evil one; the devil. (b) One of bad disposition; a fiend. [Colloq.] 2.  (Meteor.) A dust storm. [India]
shake |obs. p. p. of Shake. Chaucer.\n\n1. To cause to move with quick or violent vibrations; to move rapidly one way and the other; to make to tremble or shiver; to agitate. As a fig tree casteth her untimely figs, when she is shaken of a mighty wind. Rev. vi. 13. Ascend my chariot; guide the rapid wheels That shake heaven's basis. Milton. 2. Fig.: To move from firmness; to weaken the stability of; to cause to waver; to impair the resolution of. When his doctrines grew too strong to be shook by his enemies, they persecuted his reputation. Atterbury. Thy equal fear that my firm faith and love Can by his fraud be shaken or seduced. Milton. 3. (Mus.)  To give a tremulous tone to; to trill; as, to shake a note in music. 4. To move or remove by agitating; to throw off by a jolting or vibrating motion; to rid one's self of; -- generally with an adverb, as off, out, etc.; as, to shake fruit down from a tree. Shake off the golden slumber of repose. Shak. 'Tis our fast intent To shake all cares and business from our age. Shak. I could scarcely shake him out of my company. Bunyan. To shake a cask (Naut.), to knock a cask to pieces and pack the staves. -- To shake hands, to perform the customary act of civility by clasping and moving hands, as an expression of greeting, farewell, good will, agreement, etc. -- To shake out a reef (Naut.), to untile the reef points and spread more canvas. -- To shake the bells. See under Bell. -- To shake the sails (Naut.), to luff up in the wind, causing the sails to shiver. Ham. Nav. Encyc.\n\nTo be agitated with a waving or vibratory motion; to tremble; to shiver; to quake; to totter. Under his burning wheels The steadfast empyrean shook throughout, All but the throne itself of God. Milton. What danger Who 's that that shakes behind there Beau & FL. Shaking piece, a name given by butchers to the piece of beef cut from the under side of the neck. See Illust. of Beef.\n\n1. The act or result of shaking; a vacillating or wavering motion; a rapid motion one way and other; a trembling, quaking, or shivering; agitation. The great soldier's honor was composed Of thicker stuff, which could endure a shake. Herbert. Our salutations were very hearty on both sides, consisting of many kind shakes of the hand. Addison. 2. A fissure or crack in timber, caused by its being dried too suddenly. Gwilt. 3. A fissure in rock or earth. 4. (Mus.)  A rapid alternation of a principal tone with another represented on the next degree of the staff above or below it; a trill. 5. (Naut.)  One of the staves of a hogshead or barrel taken apart. Totten. 6. A shook of staves and headings. Knight. 7. (Zoöl.)  The redshank; -- so called from the nodding of its head while on the ground. [Prov. Eng.] No great shakes, of no great importance. [Slang] Byron. -- The shakes, the fever and ague. [Colloq. U.S.]
shakedown |A temporary substitute for a bed, as one made on the floor or on chairs; -- perhaps originally from the shaking down of straw for this purpose. Sir W. Scott.
shakefork |A fork for shaking hay; a pitchfork. [Obs.]
shaken |1. Caused to shake; agitated; as, a shaken bough. 2. Cracked or checked; split. See Shake, n., 2. Nor is the wood shaken or twisted. Barroe. 3. Impaired, as by a shock.
shaker |1. A person or thing that shakes, or by means of which something is shaken. 2. One of a religious sect who do not marry, popularly so called from the movements of the members in dancing, which forms a part of their worship. Note: The sect originated in England in 1747, and came to the United States in 1774, under the leadership of Mother Ann Lee. The Shakers are sometimes nicknamed Shaking Quakers, but they differ from the Quakers in doctrine and practice. They style themselves the \"United Society of Believers in Christ's Second Appearing.\" The sect is now confined in the United States. 3. (Zoöl.)  A variety of pigeon. P. J. Selby.
shakeress |A female Shaker.
shakerism |Doctrines of the Shakers.
shakespearean |Of, pertaining to, or in the style of, Shakespeare or his works. [Written also Shakespearian, Shakspearean, Shakspearian, Shaksperean, Shaksperian.etc.]
shakiness |Quality of being shaky.
shakings |Deck sweepings, refuse of cordage, canvas, etc. Ham. Nav. Encyc.
shako |A kind of military cap or headress.
shakudo |An alloy of copper, invented by the Japanese, having a very dark blue color approaching black.
shaky |1. Shaking or trembling; as, a shaky spot in a marsh; a shaky hand. Thackeray. 2. Full of shakes or cracks; cracked; as, shaky timber. Gwilt. 3. Easily shaken; tottering; unsound; as, a shaky constitution; shaky business credit. [Colloq.]
shale |1. A shell or husk; a cod or pod. \"The green shales of a bean.\" Chapman. 2. Etym: [G. shale.] (Geol.)  A fine-grained sedimentary rock of a thin, laminated, and often friable, structure. Bituminous shale. See under Bituminous.\n\nTo take off the shell or coat of; to shell. Life, in its upper grades, was bursting its shell, or was shaling off its husk. I. Taylor.
shall |1. To owe; to be under obligation for. [Obs.] \"By the faith I shall to God\" Court of Love. 2. To be obliged; must. [Obs.] \"Me athinketh [I am sorry] that I shall rehearse it her.\" Chaucer. 3. As an auxiliary, shall indicates a duty or necessity whose obligation is derived from the person speaking; as, you shall go; he shall go; that is, I order or promise your going. It thus ordinarily expresses, in the second and third persons, a command, a threat, or a promise. If the auxillary be emphasized, the command is made more imperative, the promise or that more positive and sure. It is also employed in the language of prophecy; as, \"the day shall come when . . . , \" since a promise or threat and an authoritative prophecy nearly coincide in significance. In shall with the first person, the necessity of the action is sometimes implied as residing elsewhere than in the speaker; as, I shall suffer; we shall see; and there is always a less distinct and positive assertion of his volition than is indicated by will. \"I shall go\" implies nearly a simple futurity; more exactly, a foretelling or an expectation of my going, in which, naturally enough, a certain degree of plan or intention may be included; emphasize the shall, and the event is described as certain to occur, and the expression approximates in meaning to our emphatic \"I will go.\" In a question, the relation of speaker and source of obligation is of course transferred to the person addressed; as, \"Shall you go\" (answer, \"I shall go\"); \"Shall he go\" i. e., \"Do you require or promise his going\" (answer, \"He shall go\".) The same relation is transferred to either second or third person in such phrases as \"You say, or think, you shall go;\" \"He says, or thinks, he shall go.\" After a conditional conjunction (as if, whether) shall is used in all persons to express futurity simply; as, if I, you, or he shall say they are right. Should is everywhere used in the same connection and the same senses as shall, as its imperfect. It also expresses duty or moral obligation; as, he should do it whether he will or not. In the early English, and hence in our English Bible, shall is the auxiliary mainly used, in all the persons, to express simple futurity. (Cf. Will, v. t.) Shall may be used elliptically; thus, with an adverb or other word expressive of motion go may be omitted. \"He to England shall along with you.\" Shak. Note: Shall and will are often confounded by inaccurate speakers and writers. Say: I shall be glad to see you. Shall I do this Shall I help you (not Will I do this) See Will.
shalli |See Challis.
shallon |An evergreen shrub (Gaultheria Shallon) of Northwest America; also, its fruit. See Salal-berry.
shalloon |A thin, loosely woven, twilled worsted stuff. In blue shalloon shall Hannibal be clad. Swift.
shallop |A boat. [She] thrust the shallop from the floating strand. Spenser. Note: The term shallop is applied to boats of all sizes, from a light canoe up to a large boat with masts and sails.
shallot |A small kind of onion (Allium Ascalonicum) growing in clusters, and ready for gathering in spring; a scallion, or eschalot.
shallow |1. Not deep; having little depth; shoal. \"Shallow brooks, and rivers wide.\" Milton. 2. Not deep in tone. [R.] The sound perfecter and not so shallow and jarring. Bacon. 3. Not intellectually deep; not profound; not penetrating deeply; simple; not wise or knowing; ignorant; superficial; as, a shallow mind; shallow learning. The king was neither so shallow, nor so ill advertised, as not to perceive the intention of the French king. Bacon. Deep versed in books, and shallow in himself. Milton.\n\n1. A place in a body of water where the water is not deep; a shoal; a flat; a shelf. A swift stream is not heard in the channel, but upon shallows of gravel. Bacon. Dashed on the shallows of the moving sand. Dryden. 2. (Zoöl.)  The rudd. [Prov. Eng.]\n\nTo make shallow. Sir T. Browne.\n\nTo become shallow, as water.
shallow-bodied |Having a moderate depth of hold; -- said of a vessel.
shallow-brained |Weak in intellect; foolish; empty-headed. South.
shallow-hearted |Incapable of deep feeling. Tennyson.
shallow-pated |Shallow-brained.
shallow-waisted |Having a flush deck, or with only a moderate depression amidships; -- said of a vessel.
shallowly |In a shallow manner.
shallowness |Quality or state of being shallow.
shalm |See Shawm. [Obs.] Knolles.
shalt |2d per. sing. of Shall.
shaly |Resembling shale in structure.
sham |1. That which deceives expectation; any trick, fraud, or device that deludes and disappoint; a make-believe; delusion; imposture, humbug. \"A mere sham.\" Bp. Stillingfleet. Believe who will the solemn sham, not I. Addison. 2. A false front, or removable ornamental covering. Pillow sham, a covering to be laid on a pillow.\n\nFalse; counterfeit; pretended; feigned; unreal; as, a sham fight. They scorned the sham independence proffered to them by the Athenians. Jowett (Thucyd)\n\n1. To trick; to cheat; to deceive or delude with false pretenses. Fooled and shammed into a conviction. L'Estrange. 2. To obtrude by fraud or imposition. [R.] We must have a care that we do not . . . sham fallacies upon the world for current reason. L'Estrange. 3. To assume the manner and character of; to imitate; to ape; to feign. To sham Abram or Abraham, to feign sickness; to malinger. Hence a malingerer is called, in sailors' cant, Sham Abram, or Sham Abraham.\n\nTo make false pretenses; to deceive; to feign; to impose. Wondering . . . whether those who lectured him were such fools as they professed to be, or were only shamming. Macaulay.
shama |A saxicoline singing bird (Kittacincla macroura) of India, noted for the sweetness and power of its song. In confinement it imitates the notes of other birds and various animals with accuracy. Its head, neck, back, breast, and tail are glossy black, the rump white, the under parts chestnut.
shaman |A priest of Shamanism; a wizard among the Shamanists.
shamanic |Of or pertaining to Shamanism.
shamanism |The type of religion which once prevalied among all the Ural- Altaic peoples (Tungusic, Mongol, and Turkish), and which still survives in various parts of Northern Asia. The Shaman, or wizard priest, deals with good as well as with evil spirits, especially the good spirits of ancestors. Encyc. Brit.
shamanist |An adherent of Shamanism.
shamble |1. (Mining)  One of a succession of niches or platforms, one above another, to hold ore which is thrown successively from platform to platform, and thus raised to a higher level. 2. pl.  A place where butcher's meat is sold. As summer flies are in the shambles. Shak. 3. pl.  A place for slaughtering animals for meat. To make a shambles of the parliament house. Shak.\n\nTo walk awkwardly and unsteadily, as if the knees were weak; to shuffle along.
shambling |Characterized by an awkward, irregular pace; as, a shambling trot; shambling legs.\n\nAn awkward, irregular gait.
shame |1. A painful sensation excited by a consciousness of guilt or impropriety, or of having done something which injures reputation, or of the exposure of that which nature or modesty prompts us to conceal. HIde, for shame, Romans, your grandsires' images, That blush at their degenerate progeny. Dryden. Have you no modesty, no maiden shame Shak. 2. Reproach incurred or suffered; dishonor; ignominy; derision; contempt. Ye have borne the shame of the heathen. Ezek. xxxvi. 6. Honor and shame from no condition rise. Pope. And every woe a tear can claim Except an erring sister's shame. Byron. 3. The cause or reason of shame; that which brings reproach, and degrades a person in the estimation of others; disgrace. O Cshame is this! Shak. Guides who are the shame of religion. Shak. 4. The parts which modesty requires to be covered; the private parts. Isa. xlvii. 3. For shame! you should be ashamed; shame on you! -- To put to shame, to cause to feel shame; to humiliate; to disgrace. \"Let them be driven backward and put to shame that wish me evil.\" Ps. xl. 14.\n\n1. To make ashamed; to excite in (a person) a comsciousness of guilt or impropriety, or of conduct derogatory to reputation; to put to shame. Were there but one righteous in the world, he would . . . shame the world, and not the world him. South. 2. To cover with reproach or ignominy; to dishonor; to disgrace. And with foul cowardice his carcass shame. Spenser. 3. To mock at; to deride. [Obs. or R.] Ye have shamed the counsel of the poor. Ps. xiv. 6.\n\nTo be ashamed; to feel shame. [R.] I do shame To think of what a noble strain you are. Shak.
shame-proof |Shameless. Shak.
shamefaced |Easily confused or put out of countenance; diffident; bashful; modest. Your shamefaced virtue shunned the people's prise. Dryden. Note: Shamefaced was once shamefast, shamefacedness was shamefastness, like steadfast and steadfastness; but the ordinary manifestations of shame being by the face, have brought it to its present orthography. Trench. -- Shame\"faced, adv. -- Shame\"faced`ness, n.
shamefast |Modest; shamefaced. -- Shame\"fast*ly, adv. -- Shame\"fast*ness, n. [Archaic] See Shamefaced. Shamefast she was in maiden shamefastness. Chaucer. [Conscience] is a blushing shamefast spirit. Shak. Modest apparel with shamefastness. 1 Tim. ii. 9 (Rev. Ver.).
shameful |1. Bringing shame or disgrace; injurious to reputation; disgraceful. His naval preparations were not more surprising than his quick and shameful retreat. Arbuthnot. 2. Exciting the feeling of shame in others; indecent; as, a shameful picture; a shameful sight. Spenser. Syn. -- Disgraceful; reproachful; indecent; unbecoming; degrading; scandalous; ignominious; infamous. -- Shame\"ful*ly, adv. -- Shame\"ful*ness, n.
shameless |1. Destitute of shame; wanting modesty; brazen-faced; insensible to disgrace. \"Such shameless bards we have.\" Pope. Shame enough to shame thee, wert thou not shameless. Shak. 2. Indicating want of modesty, or sensibility to disgrace; indecent; as, a shameless picture or poem. Syn. -- Impudent; unblushing; audacious; immodest; indecent; indelicate. -- Shame\"less*ly, adv. -- Shame\"less*ness, n.
shamer |One who, or that which, disgraces, or makes ashamed. Beau & Fl.
shammer |One who shams; an impostor. Johnson.
shammy |1. (Zoöl.)  The chamois. 2. A soft, pliant leather, prepared originally from the skin of the chamois, but now made also from the skin of the sheep, goat, kid, deer, and calf. See Shamoying. [Written also chamois, shamoy, and shamois.]
shamois |See Shammy.
shamoy |See Shammy.
shamoying |A process used in preparing certain kinds of leather, which consists in frizzing the skin, and working oil into it to supply the place of the astringent (tannin, alum, or the like) ordinarily used in tanning.
shampoo |1. To press or knead the whole surface of the body of (a person), and at the same time to stretch the limbs and joints, in connection with the hot bath. 2. To wash throughly and rub the head of (a person), with the fingers, using either soap, or a soapy preparation, for the more thorough cleansing.\n\nThe act of shampooing.
shampooer |One who shampoos.
shamrock |A trifoliate plant used as a national emblem by the Irish. The legend is that St. Patrick once plucked a leaf of it for use in illustrating the doctrine of the trinity. Note: The original plant was probably a kind of wood sorrel (Oxalis Acetocella); but now the name is given to the white clover (Trifolium repens), and the black medic (Medicago lupulina).
shandrydan |A jocosely depreciative name for a vehicle. [Ireland]
shandygaff |A mixture of strong beer and ginger beer. [Eng.]
shanghai |To intoxicate and ship (a person) as a sailor while in this condition. [Written also shanghae.] [Slang, U.S.]\n\nA large and tall breed of domestic fowl.
shank |See Chank.\n\n1. The part of the leg from the knee to the foot; the shin; the shin bone; also, the whole leg. His youthful hose, well saved, a world too wide For his shrunk shank. Shak. 2. Hence, that part of an instrument, tool, or other thing, which connects the acting part with a handle or other part, by which it is held or moved. Specifically: (a) That part of a key which is between the bow and the part which enters the wards of the lock. (b) The middle part of an anchor, or that part which is between the ring and the arms. See Illustr. of Anchor. (c) That part of a hoe, rake, knife, or the like, by which it is secured to a handle. (d) A loop forming an eye to a button. 3. (Arch.)  The space between two channels of the Doric triglyph. Gwilt. 4. (Founding)  A large ladle for molten metal, fitted with long bars for handling it. 5. (Print.)  The body of a type. 6. (Shoemaking)  The part of the sole beneath the instep connecting the broader front part with the heel. 7. (Zoöl.)  A wading bird with long legs; as, the green-legged shank, or knot; the yellow shank, or tattler; -- called also shanks. 8. pl.  Flat-nosed pliers, used by opticians for nipping off the edges of pieces of glass to make them round. Shank painter (Naut.), a short rope or chain which holds the shank of an anchor against the side of a vessel when it is secured for a voyage. -- To ride shank's mare, to go on foot; to walk.\n\nTo fall off, as a leaf, flower, or capsule, on account of disease affecting the supporting footstalk; -- usually followed by off. Darwin.
shankbeer |See Schenkbeer.
shanked |Having a shank.
shanker |See Chancre.
shanny |The European smooth blenny (Blennius pholis). It is olive-green with irregular black spots, and without appendages on the head. SHAN'T Shan't.  A contraction of shall not. [Colloq.]
shanty |Jaunty; showy. [Prov. Eng.]\n\nA small, mean dwelling; a rough, slight building for temporary use; a hut.\n\nTo inhabit a shanty. S. H. Hammond.
shapable |1. That may be shaped. 2. Shapely. [R.] \"Round and shapable.\" De Foe.
shape |1. To form or create; especially, to mold or make into a particular form; to give proper form or figure to. I was shapen in iniquity. Ps. li. 5. Grace shaped her limbs, and beauty decked her face. Prior. 2. To adapt to a purpose; to regulate; to adjust; to direct; as, to shape the course of a vessel. To the stream, when neither friends, nor force, Nor spead nor art avail, he shapes his course. Denham. Charmed by their eyes, their manners I acqire, And shape my foolishness to their desire. Prior. 3. To image; to conceive; to body forth. Oft my jealousy Shapes faults that are not. Shak. 4. To design; to prepare; to plan; to arrange. When shapen was all this conspiracy, From point to point. Chaucer. Shaping machine. (Mach.) Same as Shaper. -- To shape one's self, to prepare; to make ready. [Obs.] I will early shape me therefor. Chaucer.\n\nTo suit; to be adjusted or conformable. [R.] Shak.\n\n1. Character or construction of a thing as determining its external appearance; outward aspect; make; figure; form; guise; as, the shape of a tree; the shape of the head; an elegant shape. He beat me grievously, in the shape of a woman. Shak. 2. That which has form or figure; a figure; an appearance; a being. Before the gates three sat, On either side, a formidable shape. Milton. 3. A model; a pattern; a mold. 4. Form of embodiment, as in words; form, as of thought or conception; concrete embodiment or example, as of some quality. Milton. 5. Dress for disguise; guise. [Obs.] Look better on this virgin, and consider This Persian shape laid by, and she appearing In a Greekish dress. Messinger. 6. (Iron Manuf.) (a) A rolled or hammered piece, as a bar, beam, angle iron, etc., having a cross section different from merchant bar. (b) A piece which has been roughly forged nearly to the form it will receive when completely forged or fitted. To take shape, to assume a definite form.
shapeless |Destitute of shape or regular form; wanting symmetry of dimensions; misshapen; -- opposed to Ant: shapely. -- Shape\"less*ness, n. The shapeless rock, or hanging precipice. Pope.
shapeliness |The quality or state of being shapely.
shapely |1. Well-formed; having a regular shape; comely; symmetrical. T. Warton. Waste sandy valleys, once perplexed with thorn, The spiry fir and shapely box adorn. Pope. Where the shapely column stood. Couper. 2. Fit; suitable. [Obs.] Shaply for to be an alderman. Chaucer.
shaper |1. One who shapes; as, the shaper of one's fortunes. The secret of those old shapers died with them. Lowell. 2. That which shapes; a machine for giving a particular form or outline to an object. Specifically; (a) (Metal Working) A kind of planer in which the tool, instead of the work, receives a reciprocating motion, usually from a crank. (b) (Wood Working) A machine with a vertically revolving cutter projecting above a flat table top, for cutting irregular outlines, moldings, etc.
shapoo |The oörial.
shaps |Chaparajos. [Western U. S.] A pair of gorgeous buckskin shaps, embroidered up the sides and adorned with innumerable ermine skins. The Century.
shard |A plant; chard. [Obs.] Dryden.\n\n1. A piece or fragment of an earthen vessel, or a like brittle substance, as the shell of an egg or snail. Shak. The precious dish Broke into shards of beauty on the board. E. Arnold. 2. (Zoöl.)  The hard wing case of a beetle. They are his shards, and he their beetle. Shak. 3. A gap in a fence. [Obs.] Stanyhurst. 4. A boundary; a division. [Obs. & R.] Spenser.
shard-borne |Borne on shards or scaly wing cases. \"The shard-borne beetle.\" Shak.
sharded |Having elytra, as a beetle.
shardy |Having, or consisting of, shards.
share |1. The part (usually an iron or steel plate) of a plow which cuts the ground at the bottom of a furrow; a plowshare. 2. The part which opens the ground for the reception of the seed, in a machine for sowing seed. Knight.\n\n1. A certain quantity; a portion; a part; a division; as, a small share of prudence. 2. Especially, the part allotted or belonging to one, of any property or interest owned by a number; a portion among others; an apportioned lot; an allotment; a dividend. \"My share of fame.\" Dryden. 3. Hence, one of a certain number of equal portions into which any property or invested capital is divided; as, a ship owned in ten shares. 4. The pubes; the sharebone. [Obs.] Holland. To go shares, to partake; to be equally concerned. -- Share and share alike, in equal shares.\n\n1. To part among two or more; to distribute in portions; to divide. Suppose I share my fortune equally between my children and a stranger. Swift. 2. To partake of, use, or experience, with others; to have a portion of; to take and possess in common; as, to share a shelter with another. While avarice and rapine share the land. Milton. 3. To cut; to shear; to cleave; to divide. [Obs.] The shared visage hangs on equal sides. Dryden.\n\nTo have part; to receive a portion; to partake, enjoy, or suffer with others. A right of inheritance gave every one a title to share in the goods of his father. Locke.
sharebeam |The part of the plow to which the share is attached.
sharebone |The public bone.
sharebroker |A broker who deals in railway or other shares and securities.
shareholder |One who holds or owns a share or shares in a joint fund or property.
sharer |One who shares; a participator; a partaker; also, a divider; a distributer.
sharewort |A composite plant (Aster Tripolium) growing along the seacoast of Europe.
shark |1. (Zoöl.)  Any one of numerous species of elasmobranch fishes of the order Plagiostomi, found in all seas. Note: Some sharks, as the basking shark and the whale shark, grow to an enormous size, the former becoming forty feet or more, and the latter sixty feet or more, in length. Most of them are harmless to man, but some are exceedingly voracious. The man-eating sharks mostly belong to the genera Carcharhinus, Carcharodon, and related genera. They have several rows of large sharp teeth with serrated edges, as the great white shark (Carcharodon carcharias, or Rondeleti) of tropical seas, and the great blue shark (Carcharhinus glaucus) of all tropical and temperate seas. The former sometimes becomes thirty-six feet long, and is the most voracious and dangerous species known. The rare man-eating shark of the United States coast (Charcarodon Atwoodi) is thought by some to be a variety, or the young, of C. carcharias. The dusky shark (Carcharhinus obscurus), and the smaller blue shark (C. caudatus), both common species on the coast of the United States, are of moderate size and not dangerous. They feed on shellfish and bottom fishes. 2. A rapacious, artful person; a sharper. [Colloq.] 3. Trickery; fraud; petty rapine; as, to live upon the shark. [Obs.] South. Baskin shark, Liver shark, Nurse shark, Oil shark, Sand shark, Tiger shark, etc. See under Basking, Liver, etc. See also Dogfish, Houndfish, Notidanian, and Tope. -- Gray shark, the sand shark. -- Hammer-headed shark. See Hammerhead. -- Port Jackson shark. See Cestraciont. -- Shark barrow, the eggcase of a shark; a sea purse. -- Shark ray. Same as Angel fish (a), under Angel. -- Thrasher shark, or Thresher shark, a large, voracious shark. See Thrasher. -- Whale shark, a huge harmless shark (Rhinodon typicus) of the Indian Ocean. It becomes sixty feet or more in length, but has very small teeth.\n\nTo pick or gather indiscriminately or covertly. [Obs.] Shak.\n\n1. To play the petty thief; to practice fraud or trickery; to swindle. Neither sharks for a cup or a reckoning. Bp. Earle. 2. To live by shifts and stratagems. Beau & Fl.
sharker |One who lives by sharking.
sharking |Petty rapine; trick; also, seeking a livelihood by shifts and dishonest devices.
sharock |An East Indian coin of the value of 12
sharp |1. Having a very thin edge or fine point; of a nature to cut or pierce easily; not blunt or dull; keen. He dies upon my scimeter's sharp point. Shak. 2. Terminating in a point or edge; not obtuse or rounded; somewhat pointed or edged; peaked or ridged; as, a sharp hill; sharp features. 3. Affecting the sense as if pointed or cutting, keen, penetrating, acute: to the taste or smell, pungent, acid, sour, as ammonia has a sharp taste and odor; to the hearing, piercing, shrill, as a sharp sound or voice; to the eye, instantaneously brilliant, dazzling, as a sharp flash. 4. (Mus.) (a) High in pitch; acute; as, a sharp note or tone. (b) Raised a semitone in pitch; as, C sharp (C#), which is a half step, or semitone, higher than C. (c) So high as to be out of tune, or above true pitch; as, the tone is sharp; that instrument is sharp. Opposed in all these senses to Ant: flat. 5. Very trying to the feelings; pierching; keen; severe; painful; distressing; as, sharp pain, weather; a sharp and frosty air. Sharp misery had worn him to the bones. Shak. The morning sharp and clear. Cowper. In sharpest perils faithful proved. Keble. 6. Cutting in language or import; biting; sarcastic; cruel; harsh; rigorous; severe; as, a sharp rebuke. \"That sharp look.\" Tennyson. To that place the sharp Athenian law Can not pursue us. Shak. Be thy words severe, Sharp as merits but the sword forbear. Dryden. 7. Of keen perception; quick to discern or distinguish; having nice discrimination; acute; penetrating; sagacious; clever; as, a sharp eye; sharp sight, hearing, or judgment. Nothing makes men sharper . . . than want. Addison. Many other things belong to the material world, wherein the sharpest philosophers have never yeL. Watts. 8. Eager in pursuit; keen in quest; impatient for gratification; keen; as, a sharp appetite. 9. Fierce; ardent; fiery; violent; impetuous. \"In sharp contest of battle.\" Milton. A sharp assault already is begun. Dryden. 10. Keenly or unduly attentive to one's own interest; close and exact in dealing; shrewd; as, a sharp dealer; a sharp customer. The necessity of being so sharp and exacting. Swift. 11. Composed of hard, angular grains; gritty; as, sharp sand. Moxon. 12. Steep; precipitous; abrupt; as, a sharp ascent or descent; a sharp turn or curve. 13. (Phonetics)  Uttered in a whisper, or with the breath alone, without voice, as certain consonants, such as p, k, t, f; surd; nonvocal; aspirated. Note: Sharp is often used in the formation of self-explaining compounds; as, sharp-cornered, sharp-edged, sharp-pointed, sharp- tasted, sharp-visaged, etc. Sharp practice, the getting of an advantage, or the attempt to do so, by a tricky expedient. -- To brace sharp, or To sharp up (Naut.), to turn the yards to the most oblique position possible, that the ship may lie well up to the wind. Syn. -- Keen; acute; piercing; penetrating; quick; sagacious; discerning; shrewd; witty; ingenious; sour; acid; tart; pungent; acrid; severe; poignant; biting; acrimonious; sarcastic; cutting; bitter; painful; afflictive; violent; harsh; fierce; ardent; fiery.\n\n1. To a point or edge; piercingly; eagerly; sharply. M. Arnold. The head [of a spear] full sharp yground. Chaucer. You bite so sharp at reasons. Shak. 2. Precisely; exactly; as, we shall start at ten o'clock sharp. [Colloq.] Look sharp, attend; be alert. [Colloq.]\n\n1. A sharp tool or weapon. [Obs.] If butchers had but the manners to go to sharps, gentlemen would be contented with a rubber at cuffs. Collier. 2. (Mus.) (a) The character [#] used to indicate that the note before which it is placed is to be raised a half step, or semitone, in pitch. (b) A sharp tone or note. Shak. 3. A portion of a stream where the water runs very rapidly. [Prov. Eng.] C. Kingsley. 4. A sewing needle having a very slender point; a needle of the most pointed of the three grades, blunts, betweens, and sharps. 5. pl.  Same as Middlings, 1. 6. An expert. [Slang]\n\n1. To sharpen. [Obs.] Spenser. 2. (Mus.)  To raise above the proper pitch; to elevate the tone of; especially, to raise a half step, or semitone, above the natural tone.\n\n1. To play tricks in bargaining; to act the sharper. L'Estrange. 2. (Mus.)  To sing above the proper pitch.
sharp-cut |Cut sharply or definitely, or so as to make a clear, well- defined impression, as the lines of an engraved plate, and the like; clear-cut; hence, having great distinctness; well-defined; clear.
sharp-set |Eager in appetite or desire of gratification; affected by keen hunger; ravenous; as, an eagle or a lion sharp-set. The town is sharp-set on new plays. Pope.
sharp-sighted |Having quick or acute sight; -- used literally and figuratively. -- Sharp`-sight`ed*ness, n.
sharp-witted |Having an acute or nicely discerning mind.
sharpen |To make sharp. Specifically: (a) To give a keen edge or fine point to; to make sharper; as, to sharpen an ax, or the teeth of a saw. (b) To render more quick or acute in perception; to make more ready or ingenious. The air . . . sharpened his visual ray To objects distant far. Milton. He that wrestles with us strengthens our nerves and sharpens our skill. Burke. (c) To make more eager; as, to sharpen men's desires. Epicurean cooks Sharpen with cloyless sauce his appetite. Shak. (d) To make more pungent and intense; as, to sharpen a pain or disease. (e) To make biting, sarcastic, or severe. \"Sharpen each word.\" E. Smith. (f) To render more shrill or piercing. Inclosures not only preserve sound, but increase and sharpen it. Bacon. (g) To make more tart or acid; to make sour; as, the rays of the sun sharpen vinegar. (h) (Mus. ) To raise, as a sound, by means of a sharp; to apply a sharp to.\n\nTo grow or become sharp.
sharper |A person who bargains closely, especially, one who cheats in bargains; a swinder; also, a cheating gamester. Sharpers, as pikes, prey upon their own kind. L'Estrange. Syn. -- Swindler; cheat; deceiver; trickster; rogue. See Swindler.
sharpie |A long, sharp, flat-bottomed boat, with one or two masts carrying a triangular sail. They are often called Fair Haven sharpies, after the place on the coast of Connecticut where they originated. [Local, U.S.]
sharpling |A stickleback. [Prov. Eng.]
sharply |In a sharp manner,; keenly; acutely. They are more sharply to be chastised and reformed than the rude Irish. Spenser. The soldiers were sharply assailed with wants. Hayward. You contract your eye when you would see sharply. Bacon.
sharpness |The quality or condition of being sharp; keenness; acuteness.
sharpsaw |The great titmouse; -- so called from its harsh call notes. [Prov. Eng.]
sharpshooter |One skilled in shooting at an object with exactness; a good marksman.
sharpshooting |A shooting with great precision and effect; hence, a keen contest of wit or argument.
sharptail |(a) The pintail duck. (b) The pintail grouse, or prairie chicken.
shash |1. The scarf of a turban. [Obs.] Fuller. 2. A sash. [Obs.]
shasta |A mountain peak, etc., in California.
shasta daisy |A large-flowered garden variety of the oxeye daisy.
shasta fir |A Californian fir (Abies shastensis).
shasta sam |A game like California Jack, except that the pack drawn from is turned face down.
shaster |A treatise for authoritative instruction among the Hindoos; a book of institutes; especially, a treatise explaining the Vedas. [Written also sastra.]
shastra |A treatise for authoritative instruction among the Hindoos; a book of institutes; especially, a treatise explaining the Vedas. [Written also sastra.]
shathmont |A shaftment. [Scot.]
