wastorel |See Wastrel. [Obs.]
we |The plural nominative case of the pronoun of the first person; the word with which a person in speaking or writing denotes a number or company of which he is one, as the subject of an action expressed by a verb. Note: We is frequently used to express men in general, including the speaker. We is also often used by individuals, as authors, editors, etc., in speaking of themselves, in order to avoid the appearance of egotism in the too frequent repetition of the pronoun I. The plural style is also in use among kings and other sovereigns, and is said to have been begun by King John of England. Before that time, monarchs used the singular number in their edicts. The German and the French sovereigns followed the example of King John in a. d. 1200.
weak |1. Wanting physical strength. Specifically: -- (a) Deficient in strength of body; feeble; infirm; sickly; debilitated; enfeebled; exhausted. A poor, infirm, weak, and despised old man. Shak. Weak with hunger, mad with love. Dryden. (b) Not able to sustain a great weight, pressure, or strain; as, a weak timber; a weak rope. (c) Not firmly united or adhesive; easily broken or separated into pieces; not compact; as, a weak ship. (d) Not stiff; pliant; frail; soft; as, the weak stalk of a plant. (e) Not able to resist external force or onset; easily subdued or overcome; as, a weak barrier; as, a weak fortress. (f) Lacking force of utterance or sound; not sonorous; low; small; feeble; faint. A voice not soft, weak, piping, and womanish. Ascham. (g) Not thoroughly or abundantly impregnated with the usual or required ingredients, or with stimulating and nourishing substances; of less than the usual strength; as, weak tea, broth, or liquor; a weak decoction or solution; a weak dose of medicine. (h) Lacking ability for an appropriate function or office; as, weak eyes; a weak stomach; a weak magistrate; a weak regiment, or army. 2. Not possessing or manifesting intellectual, logical, moral, or political strength, vigor, etc. Specifically: - (a) Feeble of mind; wanting discernment; lacking vigor; spiritless; as, a weak king or magistrate. To think every thing disputable is a proof of a weak mind and captious temper. Beattie. Origen was never weak enough to imagine that there were two Gods. Waterland. (b) Resulting from, or indicating, lack of judgment, discernment, or firmness; unwise; hence, foolish. If evil thence ensue, She first his weak indulgence will accuse. Milton. (c) Not having full confidence or conviction; not decided or confirmed; vacillating; wavering. Him that is weak in the faith receive ye, but not to doubtful disputations. Rom. xiv. 1. (d) Not able to withstand temptation, urgency, persuasion, etc.; easily impressed, moved, or overcome; accessible; vulnerable; as, weak resolutions; weak virtue. Guard thy heart On this weak side, where most our nature fails. Addison. (e) Wanting in power to influence or bind; as, weak ties; a weak sense of honor of duty. (f) Not having power to convince; not supported by force of reason or truth; unsustained; as, a weak argument or case. \"Convinced of his weak arguing.\" Milton. A case so weak . . . hath much persisted in. Hooker. (g) Wanting in point or vigor of expression; as, a weak sentence; a weak style. (h) Not prevalent or effective, or not felt to be prevalent; not potent; feeble. \"Weak prayers.\" Shak. (i) Lacking in elements of political strength; not wielding or having authority or energy; deficient in the resources that are essential to a ruler or nation; as, a weak monarch; a weak government or state. I must make fair weather yet awhile, Till Henry be more weak, and I more strong. Shak. (k) (Stock Exchange)  Tending towards lower prices; as, a weak market. 3. (Gram.) (a) Pertaining to, or designating, a verb which forms its preterit (imperfect) and past participle by adding to the present the suffix - ed, -d, or the variant form -t; as in the verbs abash, abashed; abate, abated; deny, denied; feel, felt. See Strong, 19 (a). (b) Pertaining to, or designating, a noun in Anglo-Saxon, etc., the stem of which ends in -n. See Strong, 19 (b). Note: Weak is often used in the formation of self-explaining compounds; as, weak-eyed, weak-handed, weak-hearted, weak-minded, weak-spirited, and the like. Weak conjugation (Gram.), the conjugation of weak verbs; -- called also new, or regular, conjugation, and distinguished from the old, or irregular, conjugation. -- Weak declension (Anglo-Saxon Gram.), the declension of weak nouns; also, one of the declensions of adjectives. -- Weak side, the side or aspect of a person's character or disposition by which he is most easily affected or influenced; weakness; infirmity. -- Weak sore or ulcer (Med.), a sore covered with pale, flabby, sluggish granulations.\n\nTo make or become weak; to weaken. [R.] Never to seek weaking variety. Marston.
weak-hearted |Having little courage; of feeble spirit; dispirited; faint- hearted. \"Weak-hearted enemies.\" Shak.
weak-kneed |Having weak knees; hence, easily yielding; wanting resolution. H. James.
weak-minded |Having a weak mind, either naturally or by reason of disease; feebleminded; foolish; idiotic. -- Weak\"-mind`ed*ness, n.
weaken |1. To make weak; to lessen the strength of; to deprive of strength; to debilitate; to enfeeble; to enervate; as, to weaken the body or the mind; to weaken the hands of a magistrate; to weaken the force of an objection or an argument. Their hands shall be weakened from the work, that it be not done. Neh. vi. 9. 2. To reduce in quality, strength, or spirit; as, to weaken tea; to weaken any solution or decoction.\n\nTo become weak or weaker; to lose strength, spirit, or determination; to become less positive or resolute; as, the patient weakened; the witness weakened on cross-examination. \"His notion weakens, his discernings are lethargied.\" Shak.
weakener |One who, or that which, weakens. \"[Fastings] weakeners of sin.\" South.
weakfish |Any fish of the genus Cynoscion; a squeteague; -- so called from its tender mouth. See Squeteague. Spotted weakfish (Zoöl.), the spotted squeteague.
weakish |Somewhat weak; rather weak.
weakishness |Quality or state of being weakish.
weakling |A weak or feeble creature. Shak. \"All looking on him as a weakling, which would post to the grave.\" Fuller. We may not be weaklings because we have a strong enemy. Latimer.\n\nWeak; feeble. Sir T. North.
weakly |In a weak manner; with little strength or vigor; feebly.\n\nNot strong of constitution; infirm; feeble; as, a weakly woman; a man of a weakly constitution.
weakness |1. The quality or state of being weak; want of strength or firmness; lack of vigor; want of resolution or of moral strength; feebleness. 2. That which is a mark of lack of strength or resolution; a fault; a defect. Many take pleasure in spreading abroad the weakness of an exalted character. Spectator. Syn. -- Feebleness; debility; languor; imbecility; infirmness; infirmity; decrepitude; frailty; faintness.
weal |The mark of a stripe. See Wale.\n\nTo mark with stripes. See Wale.\n\n1. A sound, healthy, or prosperous state of a person or thing; prosperity; happiness; welfare. God . . . grant you wele and prosperity. Chaucer. As we love the weal of our souls and bodies. Bacon. To him linked in weal or woe. Milton. Never was there a time when it more concerned the public weal that the character of the Parliament should stand high. Macaulay. 2. The body politic; the state; common wealth. [Obs.] The special watchmen of our English weal. Shak.\n\nTo promote the weal of; to cause to be prosperous. [Obs.] Beau. & Fl.
weal-balanced |Balanced or considered with reference to public weal. [Obs.] Shak.
weald |A wood or forest; a wooded land or region; also, an open country; -- often used in place names. Fled all night long by glimmering waste and weald, And heard the spirits of the waste and weald Moan as she fled. Tennyson. Weald clay (Geol.), the uppermost member of the Wealden strata. See Wealden.
wealden |Of or pertaining to the lowest division of the Cretaceous formation in England and on the Continent, which overlies the Oölitic series.\n\nThe Wealden group or strata.
wealdish |Of or pertaining to a weald, esp. to the weald in the county of Kent, England. [Obs.] Fuller.
wealful |Weleful. [Obs.] Chaucer.
wealsman |A statesman; a politician. [R.] Shak.
wealth |1. Weal; welfare; prosperity; good. [Obs.] \"Let no man seek his own, but every man another's wealth.\" 1 Cor. x. 24. 2. Large possessions; a comparative abundance of things which are objects of human desire; esp., abundance of worldly estate; affluence; opulence; riches. I have little wealth to lose. Shak. Each day new wealth, without their care, provides. Dryden. Wealth comprises all articles of value and nothing else. F. A. Walker. Active wealth. See under Active. Syn. -- Riches; affluence; opulence; abundance.
wealthful |Full of wealth; wealthy; prosperous. [R.] Sir T. More. -- Wealth\"ful*ly, adv. [R.]
wealthily |In a wealthy manner; richly. I come to wive it wealthily in Padua. Shak.
wealthiness |The quality or state of being wealthy, or rich; richness; opulence.
wealthy |1. Having wealth; having large possessions, or larger than most men, as lands, goods, money, or securities; opulent; affluent; rich. A wealthy Hebrew of my tribe. Shak. Thou broughtest us out into a wealthy place. Ps. lxvi. 12. 2. Hence, ample; full; satisfactory; abundant. [R.] The wealthy witness of my pen. B. Jonson.
wean |1. To accustom and reconcile, as a child or other young animal, to a want or deprivation of mother's milk; to take from the breast or udder; to cause to cease to depend on the mother nourishment. And the child grew, and was weaned; and Abraham made a great feast the same day that Isaac was weaned. Gen. xxi. 8. 2. Hence, to detach or alienate the affections of, from any object of desire; to reconcile to the want or loss of anything. \"Wean them from themselves.\" Shak. The troubles of age were intended . . . to wean us gradually from our fondness of life. Swift.\n\nA weanling; a young child. I, being but a yearling wean. Mrs. Browning.
weanedness |Quality or state of being weaned.
weanel |A weanling. [Obs.] Spenser.
weanling |a. & n. from Wean, v. The weaning of the whelp is the great test of the skill of the kennel man. J. H. Walsh. Weaning brash. (Med.) See under Brash.\n\nA child or animal newly weaned; a wean.\n\nRecently weaned. Milton.
weapon |1. An instrument of offensive of defensive combat; something to fight with; anything used, or designed to be used, in destroying, defeating, or injuring an enemy, as a gun, a sword, etc. The weapons of our warfare are not carnal. 2 Cor. x. 4. They, astonished, all resistance lost, All courage; down their idle weapons dropped. Milton. 2. Fig.: The means or instrument with which one contends against another; as, argument was his only weapon. \"Woman's weapons, water drops.\" Shak. 3. (Bot.)  A thorn, prickle, or sting with which many plants are furnished. Concealed weapons. See under Concealed. -- Weapon salve, a salve which was supposed to cure a wound by being applied to the weapon that made it. [Obs.] Boyle.
weaponed |Furnished with weapons, or arms; armed; equipped.
weaponless |Having no weapon.
weaponry |Weapons, collectively; as, an array of weaponry. [Poetic]
wear |Same as Weir.\n\nTo cause to go about, as a vessel, by putting the helm up, instead of alee as in tacking, so that the vessel's bow is turned away from, and her stern is presented to, the wind, and, as she turns still farther, her sails fill on the other side; to veer.\n\n1. To carry or bear upon the person; to bear upon one's self, as an article of clothing, decoration, warfare, bondage, etc.; to have appendant to one's body; to have on; as, to wear a coat; to wear a shackle. What compass will you wear your farthingale Shak. On her white breast a sparkling cross swore, Which Jews might kiss, and infidels adore. Pope. 2. To have or exhibit an appearance of, as an aspect or manner; to bear; as, she wears a smile on her countenance. \"He wears the rose of youth upon him.\" Shak. His innocent gestures wear A meaning half divine. Keble. 3. To use up by carrying or having upon one's self; hence, to consume by use; to waste; to use up; as, to wear clothes rapidly. 4. To impair, waste, or diminish, by continual attrition, scraping, percussion, on the like; to consume gradually; to cause to lower or disappear; to spend. That wicked wight his days doth wear. Spenser. The waters wear the stones. Job xiv. 19. 5. To cause or make by friction or wasting; as, to wear a channel; to wear a hole. 6. To form or shape by, or as by, attrition. Trials wear us into a liking of what, possibly, in the first essay, displeased us. Locke. To wear away, to consume; to impair, diminish, or destroy, by gradual attrition or decay. -- To wear off, to diminish or remove by attrition or slow decay; as, to wear off the nap of cloth. -- To wear on or upon, to wear. [Obs.] \"[I] weared upon my gay scarlet gites [gowns.]\" Chaucer. -- To wear out. (a) To consume, or render useless, by attrition or decay; as, to wear out a coat or a book. (b) To consume tediously. \"To wear out miserable days.\" Milton. (c) To harass; to tire. \"[He] shall wear out the saints of the Most High.\" Dan vii. 25. (d) To waste the strength of; as, an old man worn out in military service. -- To wear the breeches. See under Breeches. [Colloq.]\n\n1. To endure or suffer use; to last under employment; to bear the consequences of use, as waste, consumption, or attrition; as, a coat wears well or ill; -- hence, sometimes applied to character, qualifications, etc.; as, a man wears well as an acquaintance. 2. To be wasted, consumed, or diminished, by being used; to suffer injury, loss, or extinction by use or time; to decay, or be spent, gradually. \"Thus wore out night.\" Milton. Away, I say; time wears. Shak. Thou wilt surely wear away, both thou and this people that is with thee. Ex. xviii. 18. His stock of money began to wear very low. Sir W. Scott. The family . . . wore out in the earlier part of the century. Beaconsfield. To wear off, to pass away by degrees; as, the follies of youth wear off with age. -- To wear on, to pass on; as, time wears on. G. Eliot. -- To wear weary, to become weary, as by wear, long occupation, tedious employment, etc.\n\n1. The act of wearing, or the state of being worn; consumption by use; diminution by friction; as, the wear of a garment. 2. The thing worn; style of dress; the fashion. Motley wear. Shak. Wear and tear, the loss by wearing, as of machinery in use; the loss or injury to which anything is subjected by use, accident, etc.\n\n1. A dam in a river to stop and raise the water, for the purpose of conducting it to a mill, forming a fish pond, or the like. 2. A fence of stakes, brushwood, or the like, set in a stream, tideway, or inlet of the sea, for taking fish. 3. A long notch with a horizontal edge, as in the top of a vertical plate or plank, through which water flows, -- used in measuring the quantity of flowing water.
wearable |Capable of being worn; suitable to be worn.
wearer |1. One who wears or carries as appendant to the body; as, the wearer of a cloak, a sword, a crown, a shackle, etc. Cowls, hoods, and habits, with their wearers, tossed, And fluttered into rags. Milton. 2. That which wastes or diminishes.
weariable |That may be wearied.
weariful |Abounding in qualities which cause weariness; wearisome. -- Wea\"ri*ful*ly, adv.
weariless |Incapable of being wearied.
wearily |In a weary manner.
weariness |The quality or state of being weary or tried; lassitude; exhaustion of strength; fatigue. With weariness and wine oppressed. Dryden. A man would die, though he were neither valiant nor miserable, only upon a weariness to do the same thing so oft over and over. Bacon.
wearing |1. The act of one who wears; the manner in which a thing wears; use; conduct; consumption. Belike he meant to ward, and there to see his wearing. Latimer. 2. That which is worn; clothes; garments. [Obs.] Give me my nightly wearing and adieu. Shak.\n\nPertaining to, or designed for, wear; as, wearing apparel.
wearish |1. Weak; withered; shrunk. [Obs.] \"A wearish hand.\" Ford. A little, wearish old man, very melancholy by nature. Burton. 2. Insipid; tasteless; unsavory. [Obs.] Wearish as meat is that is not well tasted. Palsgrave.
wearisome |Causing weariness; tiresome; tedious; weariful; as, a wearisome march; a wearisome day's work; a wearisome book. These high wild hills and rough uneven ways Draws out our miles, and makes them wearisome. Shak. Syn. -- Irksome; tiresome; tedious; fatiguing; annoying; vexatious. See Irksome. -- Wea\"ri*some*ly, adv. -- Wea\"ri*some*ness, n.
weary |1. Having the strength exhausted by toil or exertion; worn out in respect to strength, endurance, etc.; tired; fatigued. I care not for my spirits if my legs were not weary. Shak. [I] am weary, thinking of your task. Longfellow. 2. Causing weariness; tiresome. \"Weary way.\" Spenser. \"There passed a weary time.\" Coleridge. 3. Having one's patience, relish, or contentment exhausted; tired; sick; -- with of before the cause; as, weary of marching, or of confinement; weary of study. Syn. -- Fatigued; tiresome; irksome; wearisome.\n\n1. To reduce or exhaust the physical strength or endurance of; to tire; to fatigue; as, to weary one's self with labor or traveling. So shall he waste his means, weary his soldiers. Shak. 2. To make weary of anything; to exhaust the patience of, as by continuance. I stay too long by thee; I weary thee. Shak. 3. To harass by anything irksome. I would not cease To weary him with my assiduous cries. Milton. To weary out, to subdue or exhaust by fatigue. Syn. -- To jade; tire; fatigue; fag. See Jade.\n\nTo grow tired; to become exhausted or impatient; as, to weary of an undertaking.
weasand |The windpipe; -- called also, formerly, wesil. [Formerly, written also, wesand, and wezand.] Cut his weasand with thy knife. Shak.
weasel |Any one of various species of small carnivores belonging to the genus Putorius, as the ermine and ferret. They have a slender, elongated body, and are noted for the quickness of their movements and for their bloodthirsty habit in destroying poultry, rats, etc. The ermine and some other species are brown in summer, and turn white in winter; others are brown at all seasons. Malacca weasel, the rasse. -- Weasel coot, a female or young male of the smew; -- so called from the resemblance of the head to that of a weasel. Called also weasel duck. -- Weasel lemur, a short-tailed lemur (Lepilemur mustelinus). It is reddish brown above, grayish brown below, with the throat white.
weasel-faced |Having a thin, sharp face, like a weasel.
weaser |The American merganser; -- called also weaser sheldrake. [Local, U. S.]
weasiness |Quality or state of being weasy; full feeding; sensual indulgence. [Obs.] Joye.
weasy |Given to sensual indulgence; gluttonous. [Obs.] Joye.
weather |1. The state of the air or atmosphere with respect to heat or cold, wetness or dryness, calm or storm, clearness or cloudiness, or any other meteorological phenomena; meteorological condition of the atmosphere; as, warm weather; cold weather; wet weather; dry weather, etc. Not amiss to cool a man's stomach this hot weather. Shak. Fair weather cometh out of the north. Job xxxvii. 22. 2. Vicissitude of season; meteorological change; alternation of the state of the air. Bacon. 3. Storm; tempest. What gusts of weather from that gathering cloud My thoughts presage! Dryden. 4. A light rain; a shower. [Obs.] Wyclif. Stress of weather, violent winds; force of tempests. -- To make fair weather, to flatter; to give flattering representations. [R.] -- To make good, or bad, weather (Naut.), to endure a gale well or ill; -- said of a vessel. Shak. -- Under the weather, ill; also, financially embarrassed. [Colloq. U. S.] Bartlett. -- Weather box. Same as Weather house, below. Thackeray. -- Weather breeder, a fine day which is supposed to presage foul weather. -- Weather bureau, a popular name for the signal service. See Signal service, under Signal, a. [U.S.] -- Weather cloth (Naut.), a long piece of canvas of tarpaulin used to preserve the hammocks from injury by the weather when stowed in the nettings. -- Weather door. (Mining) See Trapdoor, 2. -- Weather gall. Same as Water gall, 2. [Prov. Eng.] Halliwell. -- Weather house, a mechanical contrivance in the form of a house, which indicates changes in atmospheric conditions by the appearance or retirement of toy images. Peace to the artist whose ingenious thought Devised the weather house, that useful toy! Cowper. -- Weather molding, or Weather moulding (Arch.), a canopy or cornice over a door or a window, to throw off the rain. -- Weather of a windmill sail, the obliquity of the sail, or the angle which it makes with its plane of revolution. -- Weather report, a daily report of meteorological observations, and of probable changes in the weather; esp., one published by government authority. -- Weather spy, a stargazer; one who foretells the weather. [R.] Donne. -- Weather strip (Arch.), a strip of wood, rubber, or other material, applied to an outer door or window so as to cover the joint made by it with the sill, casings, or threshold, in order to exclude rain, snow, cold air, etc.\n\n1. To expose to the air; to air; to season by exposure to air. [An eagle] soaring through his wide empire of the air To weather his broad sails. Spenser. This gear lacks weathering. Latimer. 2. Hence, to sustain the trying effect of; to bear up against and overcome; to sustain; to endure; to resist; as, to weather the storm. For I can weather the roughest gale. Longfellow. You will weather the difficulties yet. F. W. Robertson. 3. (Naut.)  To sail or pass to the windward of; as, to weather a cape; to weather another ship. 4. (Falconry)  To place (a hawk) unhooded in the open air. Encyc. Brit. To weather a point. (a) (Naut.) To pass a point of land, leaving it on the lee side. (b) Hence, to gain or accomplish anything against opposition. -- To weather out, to encounter successfully, though with difficulty; as, to weather out a storm.\n\nTo undergo or endure the action of the atmosphere; to suffer meteorological influences; sometimes, to wear away, or alter, under atmospheric influences; to suffer waste by weather. The organisms . . . seem indestructible, while the hard matrix in which they are imbedded has weathered from around them. H. Miller.\n\nBeing toward the wind, or windward -- opposed to lee; as, weather bow, weather braces, weather gauge, weather lifts, weather quarter, weather shrouds, etc. Weather gauge. (a) (Naut.) The position of a ship to the windward of another. (b) Fig.: A position of advantage or superiority; advantage in position. To veer, and tack, and steer a cause Against the weather gauge of laws. Hudibras. -- Weather helm (Naut.), a tendency on the part of a sailing vessel to come up into the wind, rendering it necessary to put the helm up, that is, toward the weather side. -- Weather shore (Naut.), the shore to the windward of a ship. Totten. -- Weather tide (Naut.), the tide which sets against the lee side of a ship, impelling her to the windward. Mar. Dict.
weather map |A map or chart showing the principal meteorological elements at a given hour and over an extended region. Such maps usually show the height of the barometer, the temperature of the air, the relative humidity, the state of the weather, and the direction and velocity of the wind. Isobars and isotherms outline the general distribution of temperature and pressure, while shaded areas indicate the sections over which rain has just fallen. Other lines inclose areas where the temperature has fallen or risen markedly. In tabular form are shown changes of pressure and of temperature, maximum and minimum temperatures, and total rain for each weather station since the last issue, usually 12 hours.
weather signal |Any signal giving information about the weather. The system used by the United States Weather Bureau includes temperature, cold or hot wave, rain or snow, wind direction, storm, and hurricane signals.
weather station |A station for taking meteorological observations, making weather forecasts, or disseminating such information. Such stations are of the first order when they make observations of all the important elements either hourly or by self-registering instruments; of the second order when only important observations are taken; of the third order when simpler work is done, as to record rainfall and maximum and minimum temperatures.
weather-beaten |Beaten or harassed by the weather; worn by exposure to the weather, especially to severe weather. Shak.
weather-bit |A turn of the cable about the end of the windlass, without the bits.
weather-bitten |Eaten into, defaced, or worn, by exposure to the weather. Coleridge.
weather-board |To nail boards upon so as to lap one over another, in order to exclude rain, snow, etc. Gwilt.
weather-bound |Kept in port or at anchor by storms; delayed by bad weather; as, a weather-bound vessel.
weather-driven |Driven by winds or storms; forced by stress of weather. Carew.
weather-fend |To defend from the weather; to shelter. Shak. [We] barked the white spruce to weather-fend the roof. Emerson.
weatherbit |To take another turn with, as a cable around a windlass. Totten.
weatherboard |1. (Naut.) (a) That side of a vessel which is toward the wind; the windward side. (b) A piece of plank placed in a porthole, or other opening, to keep out water. 2. (a) (Arch.) A board extending from the ridge to the eaves along the slope of the gable, and forming a close junction between the shingling of a roof and the side of the building beneath. (b) A clapboard or feather-edged board used in weatherboarding.
weatherboarding |(a) The covering or siding of a building, formed of boards lapping over one another, to exclude rain, snow, etc. (b) Boards adapted or intended for such use.
weathercock |1. A vane, or weather vane; -- so called because originally often in the figure of a cock, turning on the top of a spire with the wind, and showing its direction. \"As a wedercok that turneth his face with every wind.\" Chaucer. Noisy weathercocks rattled and sang of mutation. Longfellow. 2. Hence, any thing or person that turns easily and frequently; one who veers with every change of current opinion; a fickle, inconstant person.\n\nTo supply with a weathercock; to serve as a weathercock for. Whose blazing wyvern weathercock the spire. Tennyson.
weathered |1. (Arch.)  Made sloping, so as to throw off water; as, a weathered cornice or window sill. 2. (Geol.)  Having the surface altered in color, texture, or composition, or the edges rounded off by exposure to the elements.
weatherglass |An instrument to indicate the state of the atmosphere, especially changes of atmospheric pressure, and hence changes of weather, as a barometer or baroscope. Poor man's weatherglass. (Bot.) See under Poor.
weathering |The action of the elements on a rock in altering its color, texture, or composition, or in rounding off its edges.
weatherliness |The quality of being weatherly.
weatherly |Working, or able to sail, close to the wind; as, a weatherly ship. Cooper.
weathermost |Being farthest to the windward.
weatherproof |Proof against rough weather.
weatherwise |Skillful in forecasting the changes of the weather. Hakluyt.
weatherwiser |Something that foreshows the weather. [Obs.] Derham.
weatherworn |Worn by the action of, or by exposure to, the weather.
weave |1. To unite, as threads of any kind, in such a manner as to form a texture; to entwine or interlace into a fabric; as, to weave wool, silk, etc.; hence, to unite by close connection or intermixture; to unite intimately. This weaves itself, perforce, into my business. Shak. That in their green shops weave the smooth-haired silk To deck her sons. Milton. And for these words, thus woven into song. Byron. 2. To form, as cloth, by interlacing threads; to compose, as a texture of any kind, by putting together textile materials; as, to weave broadcloth; to weave a carpet; hence, to form into a fabric; to compose; to fabricate; as, to weave the plot of a story. When she weaved the sleided silk. Shak. Her starry wreaths the virgin jasmin weaves. Ld. Lytton.\n\n1. To practice weaving; to work with a loom. 2. To become woven or interwoven.\n\nA particular method or pattern of weaving; as, the cassimere weave.
weaver |1. One who weaves, or whose occupation is to weave. \"Weavers of linen.\" P. Plowman. 2. (Zoöl.)  A weaver bird. 3. (Zoöl.)  An aquatic beetle of the genus Gyrinus. See Whirling. Weaver bird (Zoöl.), any one of numerous species of Asiatic, Fast Indian, and African birds belonging to Ploceus and allied genera of the family Ploceidæ. Weaver birds resemble finches and sparrows in size, colors, and shape of the bill. They construct pensile nests composed of interlaced grass and other similar materials. In some of the species the nest is retort-shaped, with the opening at the bottom of the tube. -- Weavers' shuttle (Zoöl.), an East Indian marine univalve shell (Radius volva); -- so called from its shape. See Illust. of Shuttle shell, under Shuttle.
weaverfish |See Weever.
weaving |1. The act of one who, or that which, weaves; the act or art of forming cloth in a loom by the union or intertexture of threads. 2. (Far.)  An incessant motion of a horse's head, neck, and body, from side to side, fancied to resemble the motion of a hand weaver in throwing the shuttle. Youatt.
weazand |See Weasand. [Obs.]
weazen |Thin; sharp; withered; wizened; as, a weazen face. They were weazen and shriveled. Dickens.
weazeny |Somewhat weazen; shriveled. [Colloq.] \"Weazeny, baked pears.\" Lowell.
web |A weaver. [Obs.] Chaucer.\n\n1. That which is woven; a texture; textile fabric; esp., something woven in a loom. Penelope, for her Ulysses' sake, Devised a web her wooers to deceive. Spenser. Not web might be woven, not a shuttle thrown, or penalty of exile. Bancroft. 2. A whole piece of linen cloth as woven. 3. The texture of very fine thread spun by a spider for catching insects at its prey; a cobweb. \"The smallest spider's web.\" Shak. 4. Fig.: Tissue; texture; complicated fabrication. The somber spirit of our forefathers, who wove their web of life with hardly a . . . thread of rose-color or gold. Hawthorne. Such has been the perplexing ingenuity of commentators that it is difficult to extricate the truth from the web of conjectures. W. Irving. 5. (Carriages)  A band of webbing used to regulate the extension of the hood. 6. A thin metal sheet, plate, or strip, as of lead. And Christians slain roll up in webs of lead. Fairfax. Specifically: - (a) The blade of a sword. [Obs.] The sword, whereof the web was steel, Pommel rich stone, hilt gold. Fairfax. (b) The blade of a saw. (c) The thin, sharp part of a colter. (d) The bit of a key. 7. (Mach. & Engin.)  A plate or thin portion, continuous or perforated, connecting stiffening ribs or flanges, or other parts of an object. Specifically: -- (a) The thin vertical plate or portion connecting the upper and lower flanges of an lower flanges of an iron girder, rolled beam, or railroad rail. (b) A disk or solid construction serving, instead of spokes, for connecting the rim and hub, in some kinds of car wheels, sheaves, etc. (c) The arm of a crank between the shaft and the wrist. (d) The part of a blackmith's anvil between the face and the foot. 8. (Med.)  Pterygium; -- called also webeye. Shak. 9. (Anat.)  The membrane which unites the fingers or toes, either at their bases, as in man, or for a greater part of their length, as in many water birds and amphibians. 10. (Zoöl.)  The series of barbs implanted on each side of the shaft of a feather, whether stiff and united together by barbules, as in ordinary feathers, or soft and separate, as in downy feathers. See Feather. Pin and web (Med.), two diseases of the eye, caligo and pterygium; -- sometimes wrongly explained as one disease. See Pin, n., 8, and Web, n., 8. \"He never yet had pinne or webbe, his sight for to decay.\" Gascoigne. -- Web member (Engin.), one of the braces in a web system. -- Web press, a printing press which takes paper from a roll instead of being fed with sheets. -- Web system (Engin.), the system of braces connecting the flanges of a lattice girder, post, or the like.\n\nTo unite or surround with a web, or as if with a web; to envelop; to entangle.
web-fingered |Having the fingers united by a web for a considerable part of their length.
web-footed |Having webbed feet; palmiped; as, a goose or a duck is a web- footed fowl.
web-toed |Having the toes united by a web for a considerable part of their length.
webbed |1. Provided with a web. 2. (Zoöl.)  Having the toes united by a membrane, or web; as, the webbed feet of aquatic fowls.
webber |One who forms webs; a weaver; a webster. [Obs.]
webbing |A woven band of cotton or flax, used for reins, girths, bed bottoms, etc.
webby |Of or pertaining to a web or webs; like a web; filled or covered with webs. Bats on their webby wings in darkness move. Crabbe.
weber |The standard unit of electrical quantity, and also of current. See Coulomb, and Amp. [Obs.]
webeye |See Web, n., 8.
webfoot |1. A foot the toes of which are connected by a membrane. 2. (Zoöl.)  Any web-footed bird.
webster |A weaver; originally, a female weaver. [Obs.] Brathwait.
websterite |A hydrous sulphate of alumina occurring in white reniform masses.
webworm |Any one of various species of moths whose gregarious larvæ eat the leaves of trees, and construct a large web to which they retreat when not feeding. Note: The most destructive webworms belong to the family Bombycidæ, as the fall webworm (Hyphantria textor), which feeds on various fruit and forest trees, and the common tent caterpillar, which feeds on various fruit trees (see Tent caterpillar, under Tent.) The grapevine webworm is the larva of a geometrid moth (see Vine inchworm, under Vine).
wed |A pledge; a pawn. [Obs.] Gower. Piers Plowman. Let him be ware, his neck lieth to wed [i. e., for a security]. Chaucer.\n\n1. To take for husband or for wife by a formal ceremony; to marry; to espouse. With this ring I thee wed. Bk. of Com. Prayer. I saw thee first, and wedded thee. Milton. 2. To join in marriage; to give in wedlock. And Adam, wedded to another Eve, Shall live with her. Milton. 3. Fig.: To unite as if by the affections or the bond of marriage; to attach firmly or indissolubly. Thou art wedded to calamity. Shak. Men are wedded to their lusts. Tillotson. [Flowers] are wedded thus, like beauty to old age. Cowper. 4. To take to one's self and support; to espouse. [Obs.] They positively and concernedly wedded his cause. Clarendon.\n\nTo contact matrimony; to marry. \"When I shall wed.\" Shak.
weddahs |See Veddahs.
wedded |1. Joined in wedlock; married. Let wwedded dame. Pope. 2. Of or pertaining to wedlock, or marriage. \"Wedded love.\" Milton.
wedder |See Wether. Sir W. Scott.
wedding |Nuptial ceremony; nuptial festivities; marriage; nuptials. Simple and brief was the wedding, as that of Ruth and of Boaz. Longfellow. Note: Certain anniversaries of an unbroken marriage have received fanciful, and more or less appropriate, names. Thus, the fifth anniversary is called the wooden wedding; the tenth, the tin wedding; the fifteenth, the crystal wedding; the twentieth, the china wedding; the twenty-fifth, the silver wedding; the fiftieth, the golden wedding; the sixtieth, the diamond wedding. These anniversaries are often celebrated by appropriate presents of wood, tin, china, silver, gold, etc., given by friends. Note: Wedding is often used adjectively; as, wedding cake, wedding cards, wedding clothes, wedding day, wedding feast, wedding guest, wedding ring, etc. Let her beauty be her wedding dower. Shak. Wedding favor, a marriage favor. See under Marriage.
weder |Weather. [Obs.] Chaucer.
