supremely |In a supreme manner.
sward |1. Skin; covering. [Obs. or Prov. Eng.] Halliwell. 2. The grassy surface of land; that part of the soil which is filled with the roots of grass; turf. The sward was trim as any garden lawn. Tennyson. Sward pork, bacon in large fitches. [Prov. Eng.]\n\nTo produce sward upon; to cover, or be covered, with sward. Mortimer.
sward-cutter |(a) A plow for turning up grass land. (b) A lawn mower.
swarded |Covered with sward. Mrs. Browning.
swardy |Covered with sward or grass.
sware |imp. of Swear. [Obs. or Poetic] Cophetua sware a royal oath. Tennyson.
swarf |To grow languid; to faint. [Scot.] \"To swarf for very hunger.\" Sir W. Scott.\n\nThe grit worn away from grindstones in grinding cutlery wet. [Prov. Eng.]
swarm |To climb a tree, pole, or the like, by embracing it with the arms and legs alternately. See Shin. [Colloq.] At the top was placed a piece of money, as a prize for those who could swarm up and seize it. W. Coxe.\n\n1. A large number or mass of small animals or insects, especially when in motion. \"A deadly swarm of hornets.\" Milton. 2. Especially, a great number of honeybees which emigrate from a hive at once, and seek new lodgings under the direction of a queen; a like body of bees settled permanently in a hive. \"A swarm of bees.\" Chaucer. 3. Hence, any great nimber or multitude, as of people in motion, or sometimes of inanimate objects; as, a swarm of meteorites. Those prodigious swarms that had settled themselves in every part of it [Italy]. Addison. Syn. -- Multitude; crowd; throng.\n\n1. To collect, and depart from a hive by flight in a body; -- said of bees; as, bees swarm in warm, clear days in summer. 2. To appear or collect in a crowd; to throng together; to congregate in a multitude. Chaucer. 3. To be crowded; to be thronged with a multitude of beings in motion. Every place swarms with soldiers. Spenser. 4. To abound; to be filled (with). Atterbury. 5. To breed multitudes. Not so thick swarmed once the soil Bedropped with blood of Gorgon. Milton.\n\nTo crowd or throng. Fanshawe.
swarmspore |1. (Bot.)  One of innumerable minute, motile, reproductive bodies, produced asexually by certain algæ and fungi; a zoöspore. 2. (Zoöl.)  One of the minute flagellate germs produced by the sporulation of a protozoan; -- called also zoöspore.
swart |Sward. [Obs.] Holinshed.\n\n1. Of a dark hue; moderately black; swarthy; tawny. \"Swart attendants.\" Trench. \"Swart savage maids.\" Hawthorne. A nation strange, with visage swart. Spenser. 2. Gloomy; malignant. [Obs.] Milton. Swart star, the Dog Star; -- so called from its appearing during the hot weather of summer, which makes swart the countenance. [R.] Milton.\n\nTo make swart or tawny; as, to swart a living part. Sir T. Browne.
swartback |The black-backed gull (Larus marinus); -- called also swarbie. [Prov. Eng.]
swarth |Swart; swarthy. \"A swarth complexion.\" Chapman.\n\nAn apparition of a person about to die; a wraith. [Prov. Eng.] Grose.\n\nSward; short grass. Grassy swarth, close cropped by nibbling sheep. Cowper.\n\nSee Swath.
swarthily |In a swarthy manner; with a tawny hue; duskily.
swarthiness |The quality or state of being swarthy; a dusky or dark complexion; tawniness.
swarthness |Swarthiness. [R.] Dr. R. Clerke.
swarthy |Being of a dark hue or dusky complexion; tawny; swart; as, swarthy faces. \"A swarthy Ethiope.\" Shak. Their swarthy hosts would darken all our plains. Addison.\n\nTo make swarthy. [Obs.] Cowley.
swartiness |Swarthiness. [Obs.]
swartish |Somewhat swart, dark, or tawny.
swartness |The quality or state of being swart.
swarty |Swarthy; tawny. [Obs.] Burton.
swarve |1. To swerve. [Obs. or Scot.] Spenser. Jamieson. 2. To climb. [Prov. Eng.] Halliwell.
swash |An oval figure, whose moldings are oblique to the axis of the work. Moxon. Swash plate (Mach.), a revolving circular plate, set obliquely on its shaft, and acting as a cam to give a reciprocating motion to a rod in a direction parallel to the shaft.\n\nSoft, like fruit too ripe; swashy. [Prov. Eng.] Pegge.\n\n1. To dash or flow noisily, as water; to splash; as, water swashing on a shallow place. 2. To fall violently or noisily. [Obs.] Holinshed. 3. To bluster; to make a great noise; to vapor or brag.\n\n1. Impulse of water flowing with violence; a dashing or splashing of water. 2. A narrow sound or channel of water lying within a sand bank, or between a sand bank and the shore, or a bar over which the sea washes. 3. Liquid filth; wash; hog mash. [Obs.] 4. A blustering noise; a swaggering behavior. [Obs.] 5. A swaggering fellow; a swasher.
swashbuckler |A bully or braggadocio; a swaggering, boastful fellow; a swaggerer. Milton.
swasher |One who makes a blustering show of valor or force of arms. Shak.
swashing |1. Swaggering; hectoring. \"A swashing and martial outside.\" Shak. 2. Resounding; crushing. \"Swashing blow.\" Shak.
swashway |Same as 4th Swash, 2.
swashy |Soft, like fruit that is too ripe; quashy; swash. [Prov. Eng.]
swastica |A symbol or ornament in the form of a Greek cross with the ends of the arms at right angles all in the same direction, and each prolonged to the height of the parallel arm of the cross. A great many modified forms exist, ogee and volute as well as rectilinear, while various decorative designs, as Greek fret or meander, are derived from or closely associated with it. The swastika is found in remains from the Bronze Age in various parts of Europe, esp. at Hissarlik (Troy), and was in frequent use as late as the 10th century. It is found in ancient Persia, in India, where both Jains and Buddhists used (or still use) it as religious symbol, in China and Japan, and among Indian tribes of North, Central, and South America. It is usually thought to be a charm, talisman, or religious token, esp. a sign of good luck or benediction. Max MüLler distinguished from the swastika, with arms prolonged to the right, the suavastika, with arms prolonged to the left, but this distinction is not commonly recognized. Other names for the swastika are fylfot and gammadion.
swastika |A symbol or ornament in the form of a Greek cross with the ends of the arms at right angles all in the same direction, and each prolonged to the height of the parallel arm of the cross. A great many modified forms exist, ogee and volute as well as rectilinear, while various decorative designs, as Greek fret or meander, are derived from or closely associated with it. The swastika is found in remains from the Bronze Age in various parts of Europe, esp. at Hissarlik (Troy), and was in frequent use as late as the 10th century. It is found in ancient Persia, in India, where both Jains and Buddhists used (or still use) it as religious symbol, in China and Japan, and among Indian tribes of North, Central, and South America. It is usually thought to be a charm, talisman, or religious token, esp. a sign of good luck or benediction. Max MüLler distinguished from the swastika, with arms prolonged to the right, the suavastika, with arms prolonged to the left, but this distinction is not commonly recognized. Other names for the swastika are fylfot and gammadion.
swat |imp. of Sweat. Chaucer.
swatch |1. A swath. [Obs.] Tusser. 2. A piece, pattern, or sample, generally of cloth. Halliwell. Jamieson.
swate |imp. of Sweat. Thomson.
swath |1. A line of grass or grain cut and thrown together by the scythe in mowing or cradling. 2. The whole sweep of a scythe, or the whole breadth from which grass or grain is cut by a scythe or a machine, in mowing or cradling; as, to cut a wide swath. 3. A band or fillet; a swathe. Shak. Swath bank, a row of new-mown grass. [Prov. Eng.]
swathe |To bind with a swathe, band, bandage, or rollers. Their children are never swathed or bound about with any thing when they are first born. Abp. Abbot.\n\nA bandage; a band; a swath. Wrapped me in above an hundred yards of swathe. Addison. Milk and a swathe, at first, his whole demand. Young. The solemn glory of the afternoon, with its long swathes of light between the far off rows of limes. G. Eliot.
swather |A device attached to a mowing machine for raising the uncut fallen grain and marking the limit of the swath.
swatte |imp. of Sweat. Chaucer.
sway |1. To move or wield with the hand; to swing; to wield; as, to sway the scepter. As sparkles from the anvil rise, When heavy hammers on the wedge are swayed. Spenser. 2. To influence or direct by power and authority; by persuasion, or by moral force; to rule; to govern; to guide. The will of man is by his reason swayed. Shak. She could not sway her house. Shak. This was the race To sway the world, and land and sea subdue. Dryden. 3. To cause to incline or swing to one side, or backward and forward; to bias; to turn; to bend; warp; as, reeds swayed by wind; judgment swayed by passion. As bowls run true by being made On purpose false, and to be swayed. Hudibras. Let not temporal and little advantages sway you against a more durable interest. Tillotson. 4. (Naut.)  To hoist; as, to sway up the yards. Syn. -- To bias; rule; govern; direct; influence; swing; move; wave; wield.\n\n1. To be drawn to one side by weight or influence; to lean; to incline. The balance sways on our part. Bacon. 2. To move or swing from side to side; or backward and forward. 3. To have weight or influence. The example of sundry churches . . . doth sway much. Hooker. 4. To bear sway; to rule; to govern. Hadst thou swayed as kings should do. Shak.\n\n1. The act of swaying; a swaying motion; the swing or sweep of a weapon. With huge two-handed sway brandished aloft. Milton. 2. Influence, weight, or authority that inclines to one side; as, the sway of desires. A. Tucker. 3. Preponderance; turn or cast of balance. Expert When to advance, or stand, or turn the sway Of battle. Milton. 4. Rule; dominion; control. Cowper. When vice prevails, and impious men bear sway, The post of honor is a private station. Addison. 5. A switch or rod used by thatchers to bind their work. [Prov. Eng.] Halliwell. Syn. -- Rule; dominion; power; empire; control; influence; direction; preponderance; ascendency.
sway bar |(a) A bar attached to the hounds, in the rear of the front axle, so as to slide on the reach as the axle is swung in turning the vehicle. (b) Either of the two bars used in coupling the front and rear sleds of a logging sled; also, the bar used to couple two logging cars.
sway-backed |Having the back hollow or sagged, whether naturally or as the result of injury or weakness; -- said of horses and other animals.
sway-bracing |The horizontal bracing of a bridge, which prevents its swaying.
swayed |Bent down, and hollow in the back; sway-backed; -- said of a horse. Shak.
swayful |Able to sway. [R.] Rush.
swaying |An injury caused by violent strains or by overloading; -- said of the backs of horses. Crabb.
sweal |To melt and run down, as the tallow of a candle; to waste away without feeding the flame. [Written also swale.] Sir W. Scott.\n\nTo singe; to scorch; to swale; as, to sweal a pig by singeing off the hair.
swear |1. To affirm or utter a solemn declaration, with an appeal to God for the truth of what is affirmed; to make a promise, threat, or resolve on oath; also, to affirm solemnly by some sacred object, or one regarded as sacred, as the Bible, the Koran, etc. Ye shall swear by my name falsely. Lev. xix. 12. I swear by all the Roman gods. Shak. 2. (Law)  To give evidence on oath; as, to swear to the truth of a statement; he swore against the prisoner. 3. To make an appeal to God in an irreverant manner; to use the name of God or sacred things profanely; to call upon God in imprecation; to curse. [I] swore little; diced not above seven times a week. Shak. To swear by, to place great confidence in a person or thing; to trust implicitly as an authority. \"I simply meant to ask if you are one of those who swear by Lord Verulam.\" Miss Edgeworth. -- To swear off, to make a solemn vow, or a serious resolution, to abstain from something; as, to swear off smoking. [Slang]\n\n1. To utter or affirm with a solemn appeal to God for the truth of the declaration; to make (a promise, threat, or resolve) under oath. Swear unto me here by God, that thou wilt not deal falsely with me. Gen. xxi. 23. He swore consent to your succession. Shak. 2. (Law)  To put to an oath; to cause to take an oath; to administer an oath to; -- ofetn followed by in or into; as, to swear witnesses; to swear a jury; to swear in an officer; he was sworn into office. 3. To declare or charge upon oath; as, he swore treason against his friend. Johnson. 4. To appeal to by an oath. Now, by Apollo, king, Thou swear'st thy gods in vain. Shak. To swear the peace against one, to make oath that one is under the actual fear of death or bodily harm from the person, in which case the person must find sureties that he will keep the peace.
swearer |1. One who swears; one who calls God to witness for the truth of his declaration. 2. A profane person; one who uses profane language. Then the liars and swearers are fools. Shak.
swearing |from Swear, v. Idle swearing is a cursedness. Chaucer.
sweat |1. To excrete sensible moisture from the pores of the skin; to perspire. Shak. 2. Fig.: To perspire in toil; to work hard; to drudge. He 'd have the poets sweat. Waller. 3. To emit moisture, as green plants in a heap.\n\n1. To cause to excrete moisture from the skin; to cause to perspire; as, his physicians attempted to sweat him by most powerful sudorifics. 2. To emit or suffer to flow from the pores; to exude. It made her not a drop for sweat. Chaucer. With exercise she sweat ill humors out. Dryden. 3. To unite by heating, after the application of soldier. 4. To get something advantageous, as money, property, or labor from (any one), by exaction or oppression; as, to sweat a spendthrift; to sweat laborers. [Colloq.] To sweat coin, to remove a portion of a piece of coin, as by shaking it with others in a bag, so that the friction wears off a small quantity of the metal. The only use of it [money] which is interdicted is to put it in circulation again after having diminished its weight by \"sweating\| or otherwise| because the quantity of metal contains is no longer consistent with its impression. R. Cobden.\n\n1. (Physiol.)  The fluid which is excreted from the skin of an animal; the fluid secreted by the sudoriferous glands; a transparent| colorless| acid liquid with a peculiar odor| containing some fatty acids and mineral matter; perspiration. See Perspiration. In the sweat of thy face shalt thou eat bread. Gen. iii. 19. 2. The act of sweating; or the state of one who sweats; hence| labor; toil; drudgery. Shak. 3. Moisture issuing from any substance; as| the sweat of hay or grain in a mow or stack. Mortimer. 4. The sweating sickness. [Obs.] Holinshed. 5. (Man.)  A short run by a race horse in exercise. Sweat box (Naut.)| a small closet in which refractory men are confined. -- Sweat glands (Anat.)| sudoriferous glands. See under Sudoriferous."
sweater |1. One who sweats. 2. One who, or that which, causes to sweat; as: (a) A sudorific. (b) A woolen jacket or jersey worn by athletes. (c) An employer who oppresses his workmen by paying low wages. [Slang]
sweatily |In a sweaty manner.
sweatiness |Quality or state of being sweaty.
sweating |a. & n. from Sweat, v. Sweating bath, a bath producing sensible sweat; a stove or sudatory. -- Sweating house, a house for sweating persons in sickness. -- Sweating iron, a kind of knife, or a piece of iron, used to scrape off sweat, especially from horses; a horse scraper. -- Sweating room. (a) A room for sweating persons. (b) (Dairying) A room for sweating cheese and carrying off the superfluous juices. -- Sweating sickness (Med.), a febrile epidemic disease which prevailed in some countries of Europe, but particularly in England, in the fifteenth and sixteenth centuries, characterized by profuse sweating. Death often occured in a few hours.
sweaty |1. Moist with sweat; as, a sweaty skin; a sweaty garment. 2. Consisting of sweat; of the nature of sweat. No noisome whiffs or sweaty streams. Swift. 3. Causing sweat; hence, laborious; toilsome; difficult. \"The sweaty forge.\" Prior.
swede |1. A native or inhabitant of Sweden. 2. (Bot.)  A Swedish turnip. See under Turnip.
swedenborgian |One who holds the doctrines of the New Jerusalem church, as taught by Emanuel Swedenborg, a Swedish philosopher and religious writer, who was born a. d. 1688 and died 1772. Swedenborg claimed to have intercourse with the spiritual world, through the opening of his spiritual senses in 1745. He taught that the Lord Jesus Christ, as comprehending in himself all the fullness of the Godhead, is the one only God, and that there is a spiritual sense to the Scriptures, which he (Swedenborg) was able to reveal, because he saw the correspondence between natural and spiritual things.\n\nOf or pertaining to Swedenborg or his views.
swedenborgianism |The doctrines of the Swedenborgians.
swedish |Of or pertaining to Sweden or its inhabitants. Swedish turnip. (Bot.) See under Turnip.\n\nThe language of Swedes.
sweeny |An atrophy of the muscles of the shoulder in horses; also, atrophy of any muscle in horses. [Written also swinney.]
sweep |1. To pass a broom across (a surface) so as to remove loose dirt, dust, etc.; to brush, or rub over, with a broom for the purpose of cleaning; as, to sweep a floor, the street, or a chimney. Used also figuratively. I will sweep it with the besom of destruction. Isa. xiv. 23. 2. To drive or carry along or off with a broom or a brush, or as if with a broom; to remove by, or as if by, brushing; as, to sweep dirt from a floor; the wind sweeps the snow from the hills; a freshet sweeps away a dam, timber, or rubbish; a pestilence sweeps off multitudes. The hail shall sweep away the refuge of lies. Isa. xxviii. 17. I have already swept the stakes. Dryden. 3. To brush against or over; to rub lightly along. Their long descending train, With rubies edged and sapphires, swept the plain. Dryden. 4. To carry with a long, swinging, or dragging motion; hence, to carry in a stately or proud fashion. And like a peacock sweep along his tail. Shak. 5. To strike with a long stroke. Wake into voice each silent string, And sweep the sounding lyre. Pope. 6. (Naut.)  To draw or drag something over; as, to sweep the bottom of a river with a net. 7. To pass over, or traverse, with the eye or with an instrument of observation; as, to sweep the heavens with a telescope. To sweep, or sweep up, a mold (Founding), to form the sand into a mold by a templet, instead of compressing it around the pattern.\n\n1. To clean rooms, yards, etc., or to clear away dust, dirt, litter, etc., with a broom, brush, or the like. 2. To brush swiftly over the surface of anything; to pass with switness and force, as if brushing the surface of anything; to move in a stately manner; as, the wind sweeps across the plain; a woman sweeps through a drawing-room. 3. To pass over anything comprehensively; to range through with rapidity; as, his eye sweeps through space.\n\n1. The act of sweeping. 2. The compass or range of a stroke; as, a long sweep. 3. The compass of any turning body or of any motion; as, the sweep of a door; the sweep of the eye. 4. The compass of anything flowing or brushing; as, the flood carried away everything within its sweep. 5. Violent and general destruction; as, the sweep of an epidemic disease. 6. Direction and extent of any motion not rectlinear; as, the sweep of a compass. 7. Direction or departure of a curve, a road, an arch, or the like, away from a rectlinear line. The road which makes a small sweep. Sir W. Scott. 8. One who sweeps; a sweeper; specifically, a chimney sweeper. 9. (Founding)  A movable templet for making molds, in loam molding. 10. (Naut.) (a) The mold of a ship when she begins to curve in at the rungheads; any part of a ship shaped in a segment of a circle. (b) A large oar used in small vessels, partly to propel them and partly to steer them. 11. (Refining)  The almond furnace. [Obs.] 12. A long pole, or piece of timber, moved on a horizontal fulcrum fixed to a tall post and used to raise and lower a bucket in a well for drawing water. [Variously written swape, sweep, swepe, and swipe.] 13. (Card Playing)  In the game of casino, a pairing or combining of all the cards on the board, and so removing them all; in whist, the winning of all the tricks (thirteen) in a hand; a slam. 14. pl.  The sweeping of workshops where precious metals are worked, containing filings, etc. Sweep net, a net for drawing over a large compass. -- Sweep of the tiller (Naut.), a circular frame on which the tiller traverses.
sweep-saw |A bow-saw.
sweepage |The crop of hay got in a meadow. [Prov. Eng.]
sweeper |One who, or that which, sweeps, or cleans by sweeping; a sweep; as, a carpet sweeper. It is oxygen which is the great sweeper of the economy. Huxley.
sweeping |Cleaning off surfaces, or cleaning away dust, dirt, or litter, as a broom does; moving with swiftness and force; carrying everything before it; including in its scope many persons or things; as, a sweeping flood; a sweeping majority; a sweeping accusation. -- Sweep\"ing*ly, adv. -Sweep\"ing*ness, n.
sweepings |Things collected by sweeping; rubbish; as, the sweepings of a street.
sweepstake |1. A winning of all the stakes or prizes. Heylin. 2. A complete removal or carrying away; a clean sweep. [Obs.] Bp. Hacket.
sweepstakes |1. A winning of all the stakes or prizes; a sweepstake. 2. sing. or pl.  The whole money or other things staked at a horse race, a given sum being put up for each horse, all of which goes to the winner, or is divided among several, as may be previously agreed. 3. A race for all the sums staked or prizes offered.
sweepwasher |One who extracts the residuum of precious metals from the sweepings, potsherds, etc., of refineries of gold and silver, or places where these metals are used.
sweepy |Moving with a sweeping motion. The branches bend before their sweepy away. Dryden.
sweet |1. Having an agreeable taste or flavor such as that of sugar; saccharine; -- opposed to sour and bitter; as, a sweet beverage; sweet fruits; sweet oranges. 2. Pleasing to the smell; fragrant; redolent; balmy; as, a sweet rose; sweet odor; sweet incense. The breath of these flowers is sweet to me. Longfellow. 3. Pleasing to the ear; soft; melodious; harmonious; as, the sweet notes of a flute or an organ; sweet music; a sweet voice; a sweet singer. To make his English sweet upon his tongue. Chaucer. A voice sweet, tremulous, but powerful. Hawthorne. 4. Pleasing to the eye; beautiful; mild and attractive; fair; as, a sweet face; a sweet color or complexion. Sweet interchange Of hill and valley, rivers, woods, and plains. Milton. 5. Fresh; not salt or brackish; as, sweet water. Bacon. 6. Not changed from a sound or wholesome state. Specifically: (a) Not sour; as, sweet milk or bread. (b) Not state; not putrescent or putrid; not rancid; as, sweet butter; sweet meat or fish. 7. Plaesing to the mind; mild; gentle; calm; amiable; winning; presuasive; as, sweet manners. Canst thou bind the sweet influence of Pleiades Job xxxviii. 31. Mildness and sweet reasonableness is the one established rule of Christian working. M. Arnold. Note: Sweet is often used in the formation of self-explaining compounds; as, sweet-blossomed, sweet-featured, sweet-smelling, sweet-tempered, sweet-toned, etc. Sweet alyssum. (Bot.) See Alyssum. -- Sweet apple. (Bot.) (a) Any apple of sweet flavor. (b) See Sweet- top. -- Sweet bay. (Bot.) (a) The laurel (laurus nobilis). (b) Swamp sassafras. -- Sweet calabash (Bot.), a plant of the genus Passiflora (P. maliformis) growing in the West Indies, and producing a roundish, edible fruit, the size of an apple. -- Sweet cicely. (Bot.) (a) Either of the North American plants of the umbelliferous genus Osmorrhiza having aromatic roots and seeds, and white flowers. Gray. (b) A plant of the genus Myrrhis (M. odorata) growing in England. -- Sweet calamus, or Sweet cane. (Bot.) Same as Sweet flag, below. -- Sweet Cistus (Bot.), an evergreen shrub (Cistus Ladanum) from which the gum ladanum is obtained. -- Sweet clover. (Bot.) See Melilot. -- Sweet coltsfoot (Bot.), a kind of butterbur (Petasites sagittata) found in Western North America. -- Sweet corn (Bot.), a variety of the maize of a sweet taste. See the Note under Corn. -- Sweet fern (Bot.), a small North American shrub (Comptonia, or Myrica, asplenifolia) having sweet-scented or aromatic leaves resembling fern leaves. -- Sweet flag (Bot.), an endogenous plant (Acorus Calamus) having long flaglike leaves and a rootstock of a pungent aromatic taste. It is found in wet places in Europe and America. See Calamus, 2. -- Sweet gale (Bot.), a shrub (Myrica Gale) having bitter fragrant leaves; -- also called sweet willow, and Dutch myrtle. See 5th Gale. Sweet grass (Bot.), holy, or Seneca, grass. -- Sweet gum (Bot.), an American tree (Liquidambar styraciflua). See Liquidambar. -- Sweet herbs, fragrant herbs cultivated for culinary purposes. -- Sweet John (Bot.), a variety of the sweet William. -- Sweet leaf (Bot.), horse sugar. See under Horse. -- Sweet marjoram. (Bot.) See Marjoram. -- Sweet marten (Zoöl.), the pine marten. -- Sweet maudlin (Bot.), a composite plant (Achillea Ageratum) allied to milfoil. -- Sweet oil, olive oil. -- Sweet pea. (Bot.) See under Pea. -- Sweet potato. (Bot.) See under Potato. -- Sweet rush (Bot.), sweet flag. -- Sweet spirits of niter (Med. Chem.) See Spirit of nitrous ether, under Spirit. -- Sweet sultan (Bot.), an annual composite plant (Centaurea moschata), also, the yellow-flowered (C. odorata); -- called also sultan flower. -- Sweet tooth, an especial fondness for sweet things or for sweetmeats. [Colloq.] -- Sweet William. (a) (Bot.) A species of pink (Dianthus barbatus) of many varieties. (b) (Zoöl.) The willow warbler. (c) (Zoöl.) The European goldfinch; -- called also sweet Billy. [Prov. Eng.] -- Sweet willow (Bot.), sweet gale. -- Sweet wine. See Dry wine, under Dry. -- To be sweet on, to have a particular fondness for, or special interest in, as a young man for a young woman. [Colloq.] Thackeray. Syn. -- Sugary; saccharine; dulcet; luscious.\n\n1. That which is sweet to the taste; -- used chiefly in the plural. Specifically: (a) Confectionery, sweetmeats, preserves, etc. (b) Home-made wines, cordials, metheglin, etc. 2. That which is sweet or pleasant in odor; a perfume. \"A wilderness of sweets.\" Milton. 3. That which is pleasing or grateful to the mind; as, the sweets of domestic life. A little bitter mingled in our cup leaves no relish of the sweet. Locke. 4. One who is dear to another; a darling; -- a term of endearment. \"Wherefore frowns my sweet\" B. Jonson.\n\nSweetly. Shak.\n\nTo sweeten. [Obs.] Udall.
sweet-breasted |Having a sweet, musical voice, as the nightingale. Cf. Breast, n., 6. [Obs.]
sweet-scented |Having a sweet scent or smell; fragrant. Sweet-scented shrub (Bot.), a shrub of the genus Calycanthus, the flowers of which, when crushed, have a fragrance resembling that of strawberries.
sweet-sop |A kind of custard apple (Anona squamosa). See under Custard.
sweetbread |1. Either the thymus gland or the pancreas, the former being called neck, or throat, sweetbread, the latter belly sweetbread. The sweetbreads of ruminants, esp. of the calf, are highly esteemed as food. See Pancreas, and Thymus. 2. (Anat.)  The pancreas.
sweetbrier |A kind of rose (Rosa rubiginosa) with minutely glandular and fragrant foliage. The small-flowered sweetbrier is Rosa micrantha.
sweeten |1. To make sweet to the taste; as, to sweeten tea. 2. To make pleasing or grateful to the mind or feelings; as, to sweeten life; to sweeten friendship. 3. To make mild or kind; to soften; as, to sweeten the temper. 4. To make less painful or laborious; to relieve; as, to sweeten the cares of life. Dryden. And sweeten every secret tear. Keble. 5. To soften to the eye; to make delicate. Correggio has made his memory immortal by the strength he has given to his figures, and by sweetening his lights and shadows, and melting them into each other. Dryden. 6. To make pure and salubrious by destroying noxious matter; as, to sweeten rooms or apartments that have been infected; to sweeten the air. 7. To make warm and fertile; -- opposed to sour; as, to dry and sweeten soils. 8. To restore to purity; to free from taint; as, to sweeten water, butter, or meat.\n\nTo become sweet. Bacon.
sweetener |One who, or that which, sweetens; one who palliates; that which moderates acrimony.
sweetening |1. The act of making sweet. 2. That which sweetens.
sweetheart |A lover of mistress.
sweethearting |Making love. \"To play at sweethearting.\" W. Black.
sweeting |1. A sweet apple. Ascham. 2. A darling; -- a word of endearment. Shak.
sweetish |Somewhat sweet. -- Sweet\"ish*ness, n.
sweetly |In a sweet manner.
sweetmeat |1. Fruit preserved with sugar, as peaches, pears, melons, nuts, orange peel, etc.; -- usually in the plural; a confect; a confection. 2. The paint used in making patent leather. 3. (Zoöl.)  A boat shell (Crepidula fornicata) of the American coast. [Local, U.S.]
sweetness |The quality or state of being sweet (in any sense of the adjective); gratefulness to the taste or to the smell; agreeableness.
sweetroot |Licorice.
sweetwater |A variety of white grape, having a sweet watery juice; -- also called white sweetwater, and white muscadine.
sweetweed |A name for two tropical American weeds (Capraria biflora, and Scoparia dulcis) of the Figwort family.
sweetwood |(a) The true laurel (Laurus nobilis.) (b) The timber of the tree Oreodaphne Leucoxylon, growing in Jamaica. The name is also applied to the timber of several other related trees.
sweetwort |Any plant of a sweet taste.
sweigh |Sway; movement. [Obs.] Chaucer.
sweinmote |See Swainmote. [Obs.]
swell |1. To grow larger; to dilate or extend the exterior surface or dimensions, by matter added within, or by expansion of the inclosed substance; as, the legs swell in dropsy; a bruised part swells; a bladder swells by inflation. 2. To increase in size or extent by any addition; to increase in volume or force; as, a river swells, and overflows its banks; sounds swell or diminish. 3. To rise or be driven into waves or billows; to heave; as, in tempest, the ocean swells into waves. 4. To be puffed up or bloated; as, to swell with pride. You swell at the tartan, as the bull is said to do at scarlet. Sir W. Scott. 5. To be inflated; to belly; as, the sails swell. 6. To be turgid, bombastic, or extravagant; as, swelling words; a swelling style. 7. To protuberate; to bulge out; as, a cask swells in the middle. 8. To be elated; to rise arrogantly. Your equal mind yet swells not into state. Dryden. 9. To grow upon the view; to become larger; to expand. \"Monarchs to behold the swelling scene!\" Shak. 10. To become larger in amount; as, many little debts added, swell to a great amount. 11. To act in a pompous, ostentatious, or arrogant manner; to strut; to look big. Here he comes, swelling like a turkey cock. Shak.\n\n1. To increase the size, bulk, or dimensions of; to cause to rise, dilate, or increase; as, rains and dissolving snow swell the rivers in spring; immigration swells the population. [The Church] swells her high, heart-cheering tone. Keble. 2. To aggravate; to heighten. It is low ebb with his accuser when such peccadilloes are put to swell the charge. Atterbury. 3. To raise to arrogance; to puff up; to inflate; as, to be swelled with pride or haughtiness. 4. (Mus.)  To augment gradually in force or loudness, as the sound of a note.\n\n1. The act of swelling. 2. Gradual increase. Specifically: (a) Increase or augmentation in bulk; protuberance. (b) Increase in height; elevation; rise. Little River affords navigation during a swell to within three miles of the Miami. Jefferson. (c) Increase of force, intensity, or volume of sound. Music arose with its voluptuous swell. Byron. (d) Increase of power in style, or of rhetorical force. The swell and subsidence of his periods. Landor. 3. A gradual ascent, or rounded elevation, of land; as, an extensive plain abounding with little swells. 4. A wave, or billow; especially, a succession of large waves; the roll of the sea after a storm; as, a heavy swell sets into the harbor. The swell Of the long waves that roll in yonder bay. Tennyson. The gigantic swells and billows of the snow. Hawthorne. 5. (Mus.)  A gradual increase and decrease of the volume of sound; the crescendo and diminuendo combined; -- generally indicated by the sign. 6. A showy, dashing person; a dandy. [Slang] Ground swell. See under Ground. -- Organ swell (Mus.), a certain number of pipes inclosed in a box, the uncovering of which by means of a pedal produces increased sound. -- Swell shark (Zoöl.), a small shark (Scyllium ventricosum) of the west coast of North America, which takes in air when caught, and swells up like a swellfish.\n\nHaving the characteristics of a person of rank and importance; showy; dandified; distinguished; as, a swell person; a swell neighborhood. [Slang] Swell mob. See under Mob. [Slang]
swelldom |People of rank and fashion; the class of swells, collectively. [Jocose]
swellfish |Any plectognath fish that dilates itself, as the bur fish, puffer, or diodon.
swelling |1. The act of that which swells; as, the swelling of rivers in spring; the swelling of the breast with pride. Rise to the swelling of the voiceless sea. Coleridge. 2. A protuberance; a prominence; especially (Med.),  an unnatural prominence or protuberance; as, a scrofulous swelling. The superficies of such plates are not even, but have many cavities and swellings. Sir I. Newton.
swellish |Dandified; stylish. [Slang]
swelltoad |A swellfish.
swelt |imp. of Swell.\n\n1. To die; to perish. [Obs.] 2. To faint; to swoon. [Obs.] Chaucer. Night she swelt for passing joy. Spenser.\n\nTo overpower, as with heat; to cause to faint; to swelter. [Obs. or Prov. Eng.] Bp. Hall.
swelter |1. To be overcome and faint with heat; to be ready to perish with heat. \"Sweltered cattle.\" Coleridge. 2. To welter; to soak. [Obs.] Drayton.\n\n1. To oppress with heat. Bentley. 2. To exude, like sweat. [R.] Shak.
sweltry |Suffocating with heat; oppressively hot; sultry. [R.] Evelyn.
swelve |To swallow. [Obs.] Chaucer.
swept |imp. & p. p. of Sweep.
swerd |See Sward, n. & v. [Obs.]\n\nSword. [Obs.] Chaucer.
