isagoge |An introduction. [Obs.] Harris.
jagannath |A particular form of Vishnu, or of Krishna, whose chief idol and worship are at Puri, in Orissa. The idol is considered to contain the bones of Krishna and to possess a soul. The principal festivals are the Snanayatra, when the idol is bathed, and the Rathayatra, when the image is drawn upon a car adorned with obscene paintings. Formerly it was erroneously supposed that devotees allowed themselves to be crushed beneath the wheels of this car. It is now known that any death within the temple of Jagannath is considered to render the place unclean, and any spilling of blood in the presence of the idol is a pollution.
jagannatha |A particular form of Vishnu, or of Krishna, whose chief idol and worship are at Puri, in Orissa. The idol is considered to contain the bones of Krishna and to possess a soul. The principal festivals are the Snanayatra, when the idol is bathed, and the Rathayatra, when the image is drawn upon a car adorned with obscene paintings. Formerly it was erroneously supposed that devotees allowed themselves to be crushed beneath the wheels of this car. It is now known that any death within the temple of Jagannath is considered to render the place unclean, and any spilling of blood in the presence of the idol is a pollution.
jager |1. (Mil.)  A sharpshooter. See Yager. 2. (Zoöl.)  Any species of gull of the genus Stercorarius. Three species occur on the Atlantic coast. The jagers pursue other species of gulls and force them to disgorge their prey. The two middle tail feathers are usually decidedly longer than the rest. Called also boatswain, and marline-spike bird. The name is also applied to the skua, or Arctic gull (Megalestris skua).
jagg |See Jag.
jagged |Having jags; having rough, sharp notches, protuberances, or teeth; cleft; laciniate; divided; as, jagged rocks. \" Jagged vine leaves' shade.\" Trench. -- Jag\"ged*ly, adv. -- Jag\"ged*ness, n.
jagger |One who carries about a small load; a peddler. See 2d Jag. [Scot.] Sir W. Scott.\n\nOne who, or that which, jags; specifically: (a) jagging iron used for crimping pies, cakes, etc. (b) A toothed chisel. See Jag, v. t. Jagger spring, a spring beneath a seat, and resting on cleats or blocks in the body of a vehicle. Knight.
jaggery |Raw palm sugar, made in the East Indies by evaporating the fresh juice of several kinds of palm trees, but specifically that of the palmyra (Borassus flabelliformis). [Written also jagghery.]
jaggery palm |An East Indian palm (Caryota urens) having leaves pinnate with wedge-shaped divisions, the petiole very stout. It is the principal source of jaggery, and is often cultivated for ornament.
jaggy |Having jags; set with teeth; notched; uneven; as, jaggy teeth. Addison.
jaghir |A village or district the government and revenues of which are assigned to some person, usually in consideration of some service to be rendered, esp. the maintenance of troops. [Written also jaghire, jagir, etc.] [India] Whitworth.
jaghirdar |The holder of a jaghir.
jagua palm |A great Brazilian palm (Maximiliana regia), having immense spathes which are used for baskets and tubs.
jaguar |A large and powerful feline animal (Felis onca), ranging from Texas and Mexico to Patagonia. It is usually brownish yellow, with large, dark, somewhat angular rings, each generally inclosing one or two dark spots. It is chiefly arboreal in its habits. Called also the American tiger.
jaguarondi |A South American wild cat (Felis jaguarondi), having a long, slim body and very short legs. Its color is grayish brown, varied with a blackish hue. It is arboreal in its habits and feeds mostly on birds.
jah |Jehovah. Ps. lxviii. 4.
jahve |A modern transliteration of the Hebrew word translated Jehovah in the Bible; -- used by some critics to discriminate the tribal god of the ancient Hebrews from the Christian Jehovah. Yahweh or Yahwe is the spelling now generally adopted by scholars.
jahveh |A modern transliteration of the Hebrew word translated Jehovah in the Bible; -- used by some critics to discriminate the tribal god of the ancient Hebrews from the Christian Jehovah. Yahweh or Yahwe is the spelling now generally adopted by scholars.
jahvism |1. The religion or worship of Yahweh (Jehovah), or the system of doctrines, etc., connected with it. 2.  Use of Yahweh as a name of God.
jahvist |See Jehovist, Jehovistic.\n\nThe author of the passages of the Old Testament, esp. those of the Hexateuch, in which God is styled Yahweh, or Jehovah; the author of the Yahwistic, or Jehovistic, Prophetic Document (J); also, the document itself.
jahvistic |See Jehovist, Jehovistic.
jahwist |The author of the passages of the Old Testament, esp. those of the Hexateuch, in which God is styled Yahweh, or Jehovah; the author of the Yahwistic, or Jehovistic, Prophetic Document (J); also, the document itself.
jail |A kind of prison; a building for the confinement of persons held in lawful custody, especially for minor offenses or with reference to some future judicial proceeding. [Written also gaol.] This jail I count the house of liberty. Milton. Jail bird, a prisoner; one who has been confined in prison. [Slang] - - Jail delivery, the release of prisoners from jail, either legally or by violence. -- Jail delivery commission. See under Gaol. -- Jail fever (Med.), typhus fever, or a disease resembling it, generated in jails and other places crowded with people; -- called also hospital fever, and ship fever. -- Jail liberties, or Jail limits, a space or district around a jail within which an imprisoned debtor was, on certain conditions, allowed to go at large. Abbott. -- Jail lock, a peculiar form of padlock; -- called also Scandinavian lock.\n\nTo imprison. [R.] T. Adams (1614). [Bolts] that jail you from free life. Tennyson.
jailer |The keeper of a jail or prison. [Written also jailor, gaoler.]
jain |One of a numerous sect in British India, holding the tenets of Jainism.
jaina |One of a numerous sect in British India, holding the tenets of Jainism.
jainism |The heterodox Hindoo religion, of which the most striking features are the exaltation of saints or holy mortals, called jins, above the ordinary Hindoo gods, and the denial of the divine origin and infallibility of the Vedas. It is intermediate between Brahmanism and Buddhism, having some things in common with each.
jairou |The ahu or Asiatic gazelle.
jak |see Ils Jack.
jakes |A privy. Shak.
jakie |A South American striped frog (Pseudis paradoxa), remarkable for having a tadpole larger than the adult, and hence called also paradoxical frog.
jako |An African parrot (Psittacus erithacus), very commonly kept as a cage bird; -- called also gray parrot.
jakwood |See Jackwood.
jalap |The tubers of the Mexican plant Ipomoea purga (or Exogonium purga), a climber much like the morning-glory. The abstract, extract, and powder, prepared from the tubers, are well known purgative medicines. Other species of Ipomoea yield several inferior kinds of jalap, as the I. Orizabensis, and I. tuberosa. False jalap, the root of Mirabilis Jalapa, four-o'clock, or marvel of Peru.
jalapic |Of or pertaining to jalap.
jalapin |A glucoside found in the stems of the jalap plant and scammony. It is a strong purgative.
jalons |Long poles, topped with wisps of straw, used as landmarks and signals. Farrow.
jalousie |A Venetian or slatted inside window blind.
jalousied |Furnished with jalousies; as, jalousied porches.
jam |A kind of frock for children.\n\nSee Jamb.\n\n1. To press into a close or tight position; to crowd; to squeeze; to wedge in. The . . . jammed in between two rocks. De Foe. 2. To crush or bruise; as, to jam a finger in the crack of a door. [Colloq.] 3. (Naut.)  To bring (a vessel) so close to the wind that half her upper sails are laid aback. W. C. Russell.\n\n1. A mass of people or objects crowded together; also, the pressure from a crowd; a crush; as, a jam in a street; a jam of logs in a river. 2. An injury caused by jamming. [Colloq.]\n\nA preserve of fruit boiled with sugar and water; as, raspberry jam; currant jam; grape jam. Jam nut. See Check nut, under Check. -- Jam weld (Forging), a butt weld. See under Butt.
jamacina |Jamaicine.
jamadar |Same as Jemidar.
jamaica |One of the West India is islands. Jamaica ginger, a variety of ginger, called also white ginger, prepared in Jamaica from the best roots, which are deprived of their epidermis and dried separately. -- Jamaica pepper, allspice. -- Jamaica rose (Bot.), a West Indian melastomaceous shrub (Blakea trinervis), with showy pink flowers.
jamaican |Of or pertaining to Jamaica. -- n.  A native or inhabitant of Jamaica.
jamaicine |An alkaloid said to be contained in the bark of Geoffroya inermis, a leguminous tree growing in Jamaica and Surinam; -- called also jamacina. Watts.
jamb |1. (Arch)  The vertical side of any opening, as a door or fireplace; hence, less properly, any narrow vertical surface of wall, as the of a chimney-breast or of a pier, as distinguished from its face. Gwilt. 2. (Mining)  Any thick mass of rock which prevents miners from following the lode or vein.\n\nSee Jam, v. t.
jambee |A fashionable cane. [Obs.] Tatler.
jambes |In the Middle Ages, armor for the legs below the knees. [Written also giambeux.] Chaucer.
jambeux |In the Middle Ages, armor for the legs below the knees. [Written also giambeux.] Chaucer.
jambolana |A myrtaceous tree of the West Indies and tropical America (Calyptranthes Jambolana), with astringent bark, used for dyeing. It bears an edible fruit.
jambool |The Java plum; also, a drug obtained from its bark and seeds, used as a remedy for diabetes.
jambooree |A noisy or unrestrained carousal or frolic; a spree. [Slang] Kipling. A Calcutta-made pony cart had been standing in front of the manager's bungalow when Raja Singh started on his jamboree. W. A. Fraser.
jambul |The Java plum; also, a drug obtained from its bark and seeds, used as a remedy for diabetes.
jamdani |A silk fabric, with a woven pattern of sprigs of flowers. [Written also jamdanee.] Balfour (Cyc. of India).
jamesonite |A steel-gray mineral, of metallic luster, commonly fibrous massive. It is a sulphide of antimony and lead, with a little iron. JAMES'S POWDER James\"'s pow`der. (Med.)  Antimonial powder, first prepared by Dr. James, ar English physician; -- called also fever powder.
jamestown weed |The poisonous thorn apple or stramonium (Datura stramonium), a rank weed early noticed at Jamestown, Virginia. See Datura. Note: This name is often corrupted into jimson, jimpson, and gympsum.
jan |One of intermediate order between angels and men.
jane |1. A coin of Genoa; any small coin. Chaucer. 2. A kind of twilled cotton cloth. See Jean.
jane-of-apes |A silly, pert girl; -- corresponding to jackanapes. Massinger.
jangle |1. To sound harshly or discordantly, as bells out of tune. 2. To talk idly; to prate; to babble; to chatter; to gossip. \"Thou janglest as a jay.\" Chaucer. 3. To quarrel in words; to altercate; to wrangle. Good wits will be jangling; but, gentles, agree. Shak. Prussian Trenck . . . jargons and jangles in an unmelodious manner. Carlyle.\n\nTo cause to sound harshly or inharmoniously; to produce discordant sounds with. Like sweet bells jangled, out of tune, and harsh. Shak.\n\n1. Idle talk; prate; chatter; babble. Chaucer. 2. Discordant sound; wrangling. The musical jangle of sleigh bells. Longfellow.
jangler |1. An idle talker; a babbler; a prater. Chaucer. 2. A wrangling, noisy fellow.
jangleress |A female prater or babbler.
janglery |Jangling. [Obs.] Chaucer.
jangling |Producing discordant sounds. \"A jangling noise.\" Milton.\n\n1. Idle babbling; vain disputation. From which some, having swerved, have turned aside unto vain jangling. 1 Tim. i. 6. 2. Wrangling; altercation. Lamb.
janissary |See Janizary.
janitor |A door-keeper; a porter; one who has the care of a public building, or a building occupied for offices, suites of rooms, etc.
janitress |A female janitor.
janitrix |A female janitor.
janizar |A janizary. [R.] Byron.
janizarian |Of or pertaining to the janizaries, or their government. Burke.
janizary |A soldier of a privileged military class, which formed the nucleus of the Turkish infantry, but was suppressed in 1826. [written also janissary.]
janker |A long pole on two wheels, used in hauling logs. [Scot.] Jamieson.
jansenism |The doctrine of Jansen regarding free will and divine grace.
jansenist |A follower of Cornelius Jansen, a Roman Catholic bishop of Ypres, in Flanders, in the 17th century, who taught certain doctrines denying free will and the possibility of resisting divine grace.
jant |See Jaunt.
janthina |See Ianthina.
jantily |See Jauntily.
jantiness |See Jauntiness.
janty |See Jaunty.
january |The first month of the year, containing thirty-one days. Note: Before the adoption of New Style, the commencement of the year was usually reckoned from March 25.
janus |A Latin deity represented with two faces looking in opposite directions. Numa is said to have dedicated to Janus the covered passage at Rome, near the Forum, which is usually called the Temple of Janus. This passage was open in war and closed in peace. Dr. W. Smith. Janus cloth, a fabric having both sides dressed, the sides being of different colors, -- used for reversible garments.
janus-faced |Double-faced; deceitful. Janus-faced lock, one having duplicate faces so as to go upon a right or a left hand door, the key entering on either side indifferently. Knight.
janus-headed |Double-headed.
japan |Work varnished and figured in the Japanese manner; also, the varnish or lacquer used in japanning.\n\nOf or pertaining to Japan, or to the lacquered work of that country; as, Japan ware. Japan allspice (Bot.), a spiny shrub from Japan (Chimonanthus fragrans), related to the Carolina allspice. -- Japan black (Chem.), a quickly drying black lacquer or varnish, consisting essentially of asphaltum dissolved in naphtha or turpentine, and used for coating ironwork; -- called also Brunswick black, Japan lacquer, or simply Japan. -- Japan camphor, ordinary camphor brought from China or Japan, as distinguished from the rare variety called borneol or Borneo camphor. -- Japan clover, or Japan pea (Bot.), a cloverlike plant (Lespedeza striata) from Eastern Asia, useful for fodder, first noticed in the Southern United States about 1860, but now become very common. During the Civil War it was called variously Yankee clover and Rebel clover. -- Japan earth. See Catechu. -- Japan ink, a kind of writing ink, of a deep, glossy black when dry. -- Japan varnish, a varnish prepared from the milky juice of the Rhus vernix, a small Japanese tree related to the poison sumac.\n\n1. To cover with a coat of hard, brilliant varnish, in the manner of the Japanese; to lacquer. 2. To give a glossy black to, as shoes. [R.] Gay.
japan current |A branch of the equatorial current of the Pacific, washing the eastern coast of Formosa and thence flowing northeastward past Japan and merging into the easterly drift of the North Pacific; -- called also Kuro-Siwo, or Black Stream, in allusion to the deep blue of its water. It is similar in may ways to the Gulf Stream.
japanese |Of or pertaining to Japan, or its inhabitants.\n\n1. A native or inhabitant of Japan; collectively, the people of Japan. 2. sing.  The language of the people of Japan.
japanned |Treated, or coated, with varnish in the Japanese manner. Japanned leather,leather treated with coatings of Japan varnish, and dried in a stove. Knight.
japanner |1. One who varnishes in the manner of the Japanese, or one skilled in the art. 2. A bootblack. [R.]
japanning |The art or act of varnishing in the Japanese manner.
japannish |After the manner of the Japanese; resembling japanned articles. Carlyle.
jape |To jest; to play tricks; to jeer. [Obs.] Chaucer.\n\nTo mock; to trick. Chaucer. I have not been putting a jape upon you. Sir W. Scott. The coy giggle of the young lady to whom he has imparted his latest merry jape. W. Besant.
japer |A jester; a buffoon. [Obs.] Chaucer.
japery |Jesting; buffoonery. [Obs.] Chaucer.
japhethite |A Japhetite. Kitto.
japhetic |Pertaining to, or derived from, Japheth, one of the sons of Noah; as, Japhetic nations, the nations of Europe and Northern Asia; Japhetic languages.
japhetite |A descendant of Japheth.
japonica |A species of Camellia (Camellia Japonica), a native of Japan, bearing beautiful red or white flowers. Many other genera have species of the same name.
japonism |A quality, idiom, or peculiarity characteristic of the Japanese or their products, esp. in art.
jar |A turn. [Only in phrase.] On the jar, on the turn, ajar, as a door.\n\n1. A deep, broad-mouthed vessel of earthenware or glass, for holding fruit, preserves, etc., or for ornamental purposes; as, a jar of honey; a rose jar. Dryden. 2. The measure of what is contained in a jar; as, a jar of oil; a jar of preserves. Bell jar, Leyden jar. See in the Vocabulary.\n\n1. To give forth a rudely quivering or tremulous sound; to sound harshly or discordantly; as, the notes jarred on my ears. When such strings jar, what hope of harmony Shak. A string may jar in the best master's hand. Roscommon. 2. To act in opposition or disagreement; to clash; to interfere; to quarrel; to dispute. When those renowned noble peers Greece Through stubborn pride among themselves did jar. Spenser. For orders and degrees Jar not with liberty, but well consist. Milton.\n\n1. To cause a short, tremulous motion of, to cause to tremble, as by a sudden shock or blow; to shake; to shock; as, to jar the earth; to jar one's faith. 2. To tick; to beat; to mark or tell off. [Obs.] My thoughts are minutes, and with sighs they jar Their watches on unto mine eyes. Shak.\n\n1. A rattling, tremulous vibration or shock; a shake; a harsh sound; a discord; as, the jar of a train; the jar of harsh sounds. 2. Clash of interest or opinions; collision; discord; debate; slight disagreement. And yet his peace is but continual jar. Spenser. Cease, cease these jars, and rest your minds in peace. Shak. 3. A regular vibration, as of a pendulum. I love thee not a jar of the clock. Shak. 4. pl.  In deep well boring, a device resembling two long chain links, for connecting a percussion drill to the rod or rope which works it, so that the drill is driven down by impact and is jerked loose when jammed.
jar-owl |The goatsucker.
jararaca |A poisonous serpent of Brazil (Bothrops jararaca), about eighteen inches long, and of a dusky, brownish color, variegated with red and black spots.
jarble |To wet; to bemire. [Prov. Eng.] Halliwell.
jardiniere |An ornamental stand or receptacle for plants, flowers, etc., used as a piece of decorative furniture in room.
jards |A callous tumor on the leg of a horse, below the hock.
jargle |To emit a harsh or discordant sound. [Obs.] Bp. Hall.
jargon |Confused, unintelligible language; gibberish; hence, an artificial idiom or dialect; cant language; slang. \"A barbarous jargon.\" Macaulay. \"All jargon of the schools.\" Prior. The jargon which serves the traffickers. Johnson.\n\nTo utter jargon; to emit confused or unintelligible sounds; to talk unintelligibly, or in a harsh and noisy manner. The noisy jay, Jargoning like a foreigner at his food. Longfellow.\n\nA variety of zircon. See Zircon.
jargonelle |A variety of pear which ripens early.
jargonic |Of or pertaining to the mineral jargon.
jargonist |One addicted to jargon; one who uses cant or slang. Macaulay.
jarl |A chief; an earl; in English history, one of the leaders in the Danish and Norse invasions. Longfellow.
jarnut |An earthnut. Dr. Prior.
jarosite |An ocher-yellow mineral occurring on minute rhombohedral crystals. It is a hydrous sulphate of iron and potash.
jarrah |The mahoganylike wood of the Australian Eucalyptus marginata. See Eucalyptus.
jarring |Shaking; disturbing; discordant. \"A jarring sound.\" Dryden.\n\n1. A shaking; a tremulous motion; as, the jarring of a steamship, caused by its engines. 2. Discord; a clashing of interests. \"Endless jarrings and immortal hate.\" Dryden.
jarringly |In a jarring or discordant manner.
jarvey |1. The driver of a hackney coach. [Slang, Eng.] Carlyle. 2. A hackney coach. [Slang, Eng.] The litter at the bottom of the jarvy. T. Hook.
jarvy |1. The driver of a hackney coach. [Slang, Eng.] Carlyle. 2. A hackney coach. [Slang, Eng.] The litter at the bottom of the jarvy. T. Hook.
jasey |A wig; -- so called, perhaps, from being made of, or resembling, Jersey yarn. Thackeray.
jashawk |A young hawk. Booth.
jasmine |A shrubby plant of the genus Jasminum, bearing flowers of a peculiarly fragrant odor. The J. officinale, common in the south of Europe, bears white flowers. The Arabian jasmine is J. Sambac, and, with J. angustifolia, comes from the East Indies. The yellow false jasmine in the Gelseminum sempervirens (see Gelsemium). Several other plants are called jasmine in the West Indies, as species of Calotropis and Faramea. [Written also jessamine.] Cape jasmine, or Cape jessamine, the Gardenia florida, a shrub with fragrant white flowers, a native of China, and hardy in the Southern United States.
jasp |Jasper. [Obs.] Spenser.
jaspachate |Agate jasper. [Obs.]
jaspe |Having the surface decorated with cloudings and streaks, somewhat as if imitating jasper.
jasper |An opaque, impure variety of quartz, of red, yellow, and other dull colors, breaking with a smooth surface. It admits of a high polish, and is used for vases, seals, snuff boxes, etc. When the colors are in stripes or bands, it is called striped or banded jasper. The Egyptian pebble is a brownish yellow jasper. Jasper opal, a yellow variety of opal resembling jasper. -- Jasper ware, a delicate kind of earthenware invented by Josiah Wedgwood. It is usually white, but is capable of receiving color.
jasperated |mixed with jasper; containing particles of jasper; as, jasperated agate.
jasperize |To convert into, or make to resemble, jasper. Polished specimens of jasperized and agatized woods. Pop. Sci. Monthly.
jaspery |Of the nature of jasper; mixed with jasper.
jaspidean |Consisting of jasper, or containing jasper; jaspery; jasperlike.
jaspideous |Consisting of jasper, or containing jasper; jaspery; jasperlike.
jaspilite |A compact siliceous rock resembling jasper.
jaspoid |Resembling jasper. [R.]
jasponyx |An onyx, part or all of whose layers consist of jasper.
jatrophic |Of or pertaining to physic nuts, the seeds of plants of the genus Jatropha.
jaunce |To ride hard; to jounce. [Obs.] Spurr'd, galled and tired by jauncing Bolingbroke. Shak.
jaundice |A morbid condition, characterized by yellowness of the eyes, skin, and urine, whiteness of the fæces, constipation, uneasiness in the region of the stomach, loss of appetite, and general languor and lassitude. It is caused usually by obstruction of the biliary passages and consequent damming up, in the liver, of the bile, which is then absorbed into the blood. Blue jaundice. See Cyanopathy.\n\nTo affect with jaundice; to color by prejudice or envy; to prejudice. The envy of wealth jaundiced his soul. Ld. Lytton.
jaundiced |1. affected with jaundice. Jaundiced eyes seem to see all objects yellow. Bp. Hall. 2. Prejudiced; envious; as, a jaundiced judgment.
jaunt |1. To ramble here and there; to stroll; to make an excursion. 2. To ride on a jaunting car. Jaunting car, a kind of low-set open vehicle, used in Ireland, in which the passengers ride sidewise, sitting back to back. [Written also jaunty car.] Thackeray.\n\nTo jolt; to jounce. [Obs.] Bale.\n\n1. A wearisome journey. [R.] Our Savior, meek, and with untroubled mind After his aëry jaunt, though hurried sore. Hungry and cold, betook him to his rest. Milton. 2. A short excursion for pleasure or refreshment; a ramble; a short journey.
jauntily |In a jaunty manner.
jauntiness |The quality of being jaunty. That jauntiness of air I was once master of. Addison.
jaunty |Airy; showy; finical; hence, characterized by an affected or fantastical manner.
java |1. One of the islands of the Malay Archipelago belonging to the Netherlands. 2. Java coffee, a kind of coffee brought from Java. Java cat (Zoöl.), the musang. -- Java sparrow (Zoöl.), a species of finch (Padda oryzivora), native of Java, but very commonly kept as a cage bird; -- called also ricebird, and paddy bird. In the male the upper parts are glaucous gray, the head and tail black, the under parts delicate rose, and the cheeks white. The bill is large and red. A white variety is also kept as a cage bird.
javanese |Of or pertaining to Java, or to the people of Java. -- n. sing. & pl.  A native or natives of Java.
javel |A vagabond. [Obs.] Spenser.
javelin |A sort of light spear, to be thrown or cast by thew hand; anciently, a weapon of war used by horsemen and foot soldiers; now used chiefly in hunting the wild boar and other fierce game. Flies the javelin swifter to its mark, Launched by the vigor of a Roman arm Addison.\n\nTo pierce with a javelin. [R.] Tennyson.
javelinier |A soldier armed with a javelin. Holland.
jaw |1. (Anat.) (a) One of the bones, usually bearing teeth, which form the framework of the mouth. (b) Hence, also, the bone itself with the teeth and covering. (c) In the plural, the mouth. 2. Fig.: Anything resembling the jaw of an animal in form or action; esp., pl., the mouth or way of entrance; as, the jaws of a pass; the jaws of darkness; the jaws of death. Shak. 3. (Mach.) (a) A notch or opening. (b) A notched or forked part, adapted for holding an object in place; as, the jaw of a railway-car pedestal. See Axle guard. (b) One of a pair of opposing parts which are movable towards or from each other, for grasping or crushing anything between them, as, the jaws of a vise, or the jaws of a stone-crushing machine. 4. (Naut.)  The inner end of a boom or gaff, hollowed in a half circle so as to move freely on a mast. 5.  Impudent or abusive talk. [Slang] H. Kingsley. Jaw bit (Railroad), a bar across the jaws of a pedestal underneath an axle box. -- Jaw breaker, a word difficult to pronounce. [Obs.] -- Jaw rope (Naut.), a rope which holds the jaws of a gaff to the mast. -- Jaw tooth, a molar or grinder; a back tooth.\n\nTo scold; to clamor. [Law] Smollett.\n\nTo assail or abuse by scolding. [Law]
jaw-fall |Depression of the jaw; hence, depression of spirits. M. Griffith (1660).
jaw-fallen |Dejected; chopfallen.
jawbone |The bone of either jaw; a maxilla or a mandible.
jawed |Having jaws; -- chiefly in composition; as, lantern-jawed. \"Jawed like a jetty.\" Skelton.
jawfoot |See Maxilliped.
jawing |Scolding; clamorous or abusive talk. [Slang] H. Kingsley.
jawn |See Yawn. [Obs.] Marston.
jawy |Relating to the jaws. Gayton.
jay |Any one of the numerous species of birds belonging to Garrulus, Cyanocitta, and allied genera. They are allied to the crows, but are smaller, more graceful in form, often handsomely colored, and usually have a crest. Note: The European jay (Garrulus glandarius) is a large and handsomely colored species, having the body pale reddish brown, lighter beneath; tail and wing quills blackish; the primary coverts barred with bright blue and black; throat, tail coverts, and a large spot on the wings, white. Called also jay pie, Jenny jay, and kæ. The common blue jay (Cyanocitta cristata.), and the related species, are brilliantly colored, and have a large erectile crest. The California jay (Aphelocoma Californica), the Florida jay (A. Floridana), and the green jay (Xanthoura luxuosa), of Texas and Mexico, are large, handsome, crested species. The Canada jay (Perisoreus Canadensis), and several allied species, are much plainer and have no crest. See Blue jay, and Whisky jack. Jay thrush (Zoöl.), any one several species of Asiatic singing birds, of the genera Garrulax, Grammatoptila, and related genera of the family Crateropodidæ; as; the white-throated jay thrush (G. albogularis), of India.
jayet |See Jet. [Obs.]
jayhawker |A name given to a free-booting, unenlisted, armed man or guerrilla. Note: [A term of opprobrium used in the war of 1861-65, U. S.]
jazel |A gem of an azure color. [Obs.]
jazerant |A coat of defense made of small plates of metal sewed upon linen or the like; also, this kind of armor taken generally; as, a coat of jazerant.
jealous |1. Zealous; solicitous; vigilant; anxiously watchful. I have been very jeolous for the Lord God of hosts. Kings xix. 10. How nicely jealous is every one of us of his own repute! Dr. H. More. 2. Apprehensive; anxious; suspiciously watchful. 'This doing wrong creates such doubts as these, Renders us jealous and disturbs our peace. Waller. The people are so jealous of the clergy's ambition. Swift. 3. Exacting exclusive devotion; intolerant of rivalry. Thou shalt worship no other God; for the Lord, whose name is Jealous, is a jealous God. Ex. xxxiv. 14. 4. Disposed to suspect rivalry in matters of interest and affection; apprehensive regarding the motives of possible rivals, or the fidelity of friends; distrustful; having morbid fear of rivalry in love or preference given to another; painfully suspicious of the faithfulness of husband, wife, or lover. If the spirit of jealousy come upon him, and he be jealous of his wife. Num. v. 14. To both these sisters have I sworn my love: Each jealous of the other, as the stung Are of the adder. Shak. It is one of the best bonds, both of chastity and obedience, in the wife, if she think her husband wise; which she will never do if she find him jealous. Bacon. Syn. -- Suspicious; anxious; envious. Jealous, Suspicious. Suspicious is the wider term. We suspect a person when we distrust his honesty and imagine he has some bad design. We are jealous when we suspect him of aiming to deprive us of what we dearly prize. Iago began by awakening the suspicions of Othello, and converted them at last into jealousy. \"Suspicion may be excited by some kind of accusation, not supported by evidence sufficient for conviction, but sufficient to trouble the repose of confidence.\" \"Jealousy is a painful apprehension of rivalship in cases that are peculiarly interesting to us.\" Cogan.
jealoushood |Jealousy. [Obs.] Shak.
jealously |In a jealous manner.
jealousness |State or quality of being jealous.
jealousy |The quality of being jealous; earnest concern or solicitude; painful apprehension of rivalship in cases nearly affecting one's happiness; painful suspicion of the faithfulness of husband, wife, or lover. I was jealous for jealousy. Zech. viii. 2. Jealousy is the . . . apprehension of superiority. Shenstone. Whoever had qualities to alarm our jealousy, had excellence to deserve our fondness. Rambler.
jeames |A footman; a flunky. [Slang, Eng.] Thackeray.
jean |A twilled cotton cloth. Satin jean, a kind of jean woven smooth and glossy, after the manner of satin.
jears |See 1st Jeer (b).
jeat |See Jet. [Obs.]
jedding ax |A stone mason's tool, having a flat face and a pointed part. Knight.
jee |See Gee.
jeel |A morass; a shallow lake. [Written also jhil.] [India] Whitworth.
jeer |(a) A gear; a tackle. (b) pl.  An assemblage or combination of tackles, for hoisting or lowering the lower yards of a ship. Jeer capstan (Naut.), an extra capstan usually placed between the foremast and mainmast.\n\nTo utter sarcastic or scoffing reflections; to speak with mockery or derision; to use taunting language; to scoff; as, to jeer at a speaker. But when he saw her toy and gibe and jeer. Spenser. Syn. -- To sneer; scoff; flout; gibe; mock.\n\nTo treat with scoffs or derision; to address with jeers; to taunt; to flout; to mock at. And if we can not jeer them, we jeer ourselves. B. Jonson.\n\nA railing remark or reflection; a scoff; a taunt; a biting jest; a flout; a jibe; mockery. Midas, exposed to all their jeers, Had lost his art, and kept his ears. Swift.
jeerer |A scoffer; a railer; a mocker.
jeering |Mocking; scoffing. -- n.  A mocking utterance. -- Jeer\"ing*ly, adv.
jeers |See 1st Jeer (b).
jeffersonia |An American herb with a pretty, white, solitary blossom, and deeply two-cleft leaves (Jeffersonia diphylla); twinleaf.
jeffersonian |Pertaining to, or characteristic of, Thomas Jefferson or his policy or political doctrines. Lowell.
jeffersonian simplicity |The absence of pomp or display which Jefferson aimed at in his administration as President (1801-1809), eschewing display or ceremony tending to distinguish the President from the people, as in going to the capital on horseback and with no escort, the abolition of court etiquette and the weekly levee, refusal to recognize titles of honor, etc.
jeffersonite |A variety of pyroxene of olive-green color passing into brown. It contains zinc.
jeg |See Jig, 6.
jehad |A religious war against infidels or Mohammedan heretics; also, any bitter war or crusade for a principle or belief. [Their] courage in war . . . had not, like that of the Mohammedan dervishes of the Sudan, or of Mohammedans anywhere engaged in a jehad, a religious motive and the promise of future bliss behind it. James Bryce.
jehovah |A Scripture name of the Supreme Being, by which he was revealed to the Jews as their covenant God or Sovereign of the theocracy; the \"ineffable name\" of the Supreme Being, which was not pronounced by the Jews.
jehovist |1. One who maintains that the vowel points of the word Jehovah, in Hebrew, are the proper vowels of that word; -- opposed to adonist. 2. The writer of the passages of the Old Testament, especially those of the Pentateuch, in which the Supreme Being is styled Jehovah. See Elohist. The characteristic manner of the Jehovist differs from that of his predecessor [the Elohist]. He is fuller and freer in his descriptions; more reflective in his assignment of motives and causes; more artificial in mode of narration. S. Davidson.\n\nThe author of the passages of the Old Testament, esp. those of the Hexateuch, in which God is styled Yahweh, or Jehovah; the author of the Yahwistic, or Jehovistic, Prophetic Document (J); also, the document itself.
jehovistic |Relating to, or containing, Jehovah, as a name of God; -- said of certain parts of the Old Testament, especially of the Pentateuch, in which Jehovah appears as the name of the Deity. See Elohistic.
jehu |A coachman; a driver; especially, one who drives furiously. [Colloq.]
jejunal |Pertaining to the jejunum.
jejune |1. Lacking matter; empty; void of substance. 2. Void of interest; barren; meager; dry; as, a jejune narrative. - Je*june\"ly, adv. -- Je*june\"ness, n. Bacon.
jejunity |The quality of being jejune; jejuneness.
jejunum |The middle division of the small intestine, between the duodenum and ileum; -- so called because usually found empty after death.
